{HEADER}
user_id: 928
target_id: 330
target_screen_position_mm: [40.08, 63.96]
fingertip_offset: [2.18, 31.17, 22.66]
completion_time: 4.0519
endpoint_error_mm: [19.4574, -14.1203, 12.1136]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.109131, 21.138405, 22.451189, 6.679077]
control_points_accel: [3.560253, -4.239471, -12.661745, 13.340962]
stiffness_measurements: [0.217527, 0.082819, 0.115755, 0.188711]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,330,0,-3.2731,-2.5448,463.7398,-9.2180,28.1317,441.0776,-0.0301,-0.1272,0.0439,0.9904,1840.0000,1836.0000,1819.0000,-1.5356,0.1377,,
0.0081,330,0,-2.1008,-2.6704,463.7620,-8.0717,28.0010,441.0998,-0.0298,-0.1270,0.0440,0.9905,1840.0000,1836.0000,1819.0000,-1.5356,0.1377,,
0.0199,330,0,-2.1008,-2.6704,463.7620,-8.0717,28.0010,441.0998,-0.0298,-0.1270,0.0440,0.9905,1840.0000,1836.0000,1819.0000,-1.5356,0.1377,,
0.0318,330,0,-1.1484,-2.7543,463.9862,-7.1526,27.9106,441.3239,-0.0303,-0.1277,0.0439,0.9904,1840.0000,1836.0000,1819.0000,-1.5356,0.1377,,
0.0440,330,0,-1.1484,-2.7543,463.9862,-7.1526,27.9106,441.3239,-0.0303,-0.1277,0.0439,0.9904,1840.0000,1836.0000,1819.0000,-1.5356,0.1377,,
0.0560,330,0,-0.8182,-2.9608,462.3391,-6.8597,27.6968,439.6768,-0.0307,-0.1262,0.0447,0.9905,1840.0000,1836.0000,1819.0000,-1.5356,0.1377,,
0.0640,330,0,-0.2566,-2.9121,462.6153,-6.3351,27.7382,439.9531,-0.0304,-0.1269,0.0447,0.9904,1840.0000,1834.0000,1819.0000,-1.5356,0.1377,,
0.0759,330,0,-0.2566,-2.9121,462.6153,-6.3351,27.7382,439.9531,-0.0304,-0.1269,0.0447,0.9904,1840.0000,1834.0000,1819.0000,-1.5356,0.1377,,
0.0879,330,0,-0.1354,-2.9369,462.0242,-6.1805,27.7200,439.3620,-0.0306,-0.1275,0.0447,0.9904,1840.0000,1834.0000,1819.0000,-1.5356,0.1377,,
0.0999,330,0,-0.2667,-2.8341,462.0072,1.1178,28.3824,439.3450,0.1712,0.2847,0.0512,0.9418,1839.0000,1834.0000,1819.0000,-1.5356,0.1377,,
0.1119,330,0,-0.4760,-2.6945,461.7081,-6.4248,27.9812,439.0458,-0.0299,-0.1271,0.0449,0.9904,1839.0000,1834.0000,1819.0000,-1.5356,0.1377,,
0.1239,330,0,-0.4760,-2.6945,461.7081,-6.4248,27.9812,439.0458,-0.0299,-0.1271,0.0449,0.9904,1839.0000,1833.0000,1819.0000,-1.5385,0.1394,,
0.1318,330,0,-0.4668,-2.9525,461.4474,-6.4875,27.7091,438.7852,-0.0298,-0.1276,0.0449,0.9904,1839.0000,1833.0000,1819.0000,-1.5385,0.1394,,
0.1440,330,0,-0.4668,-2.9525,461.4474,-6.4875,27.7091,438.7852,-0.0298,-0.1276,0.0449,0.9904,1839.0000,1833.0000,1819.0000,-1.5385,0.1425,,
0.1560,330,0,-0.8288,-3.0675,460.8805,-6.6396,27.6346,438.2183,-0.0290,-0.1280,0.0454,0.9903,1839.0000,1833.0000,1819.0000,-1.5385,0.1425,,
0.1680,330,0,-1.1863,-3.4263,460.2223,-7.3101,27.2150,437.5601,-0.0293,-0.1279,0.0451,0.9903,1839.0000,1832.0000,1819.0000,-1.5385,0.1425,,
0.1800,330,0,-1.1863,-3.4263,460.2223,-7.3101,27.2150,437.5601,-0.0293,-0.1279,0.0451,0.9903,1838.0000,1831.0000,1819.0000,-1.5385,0.1425,,
