{HEADER}
user_id: 988
target_id: 311
target_screen_position_mm: [216.03, 48.04]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 6.7402
endpoint_error_mm: [1.3848, 6.0930, 4.2746]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,311,0,221.3650,71.3581,733.7787,221.6511,103.6558,714.5867,0.0296,-0.0142,-0.0349,0.9989,1840.0000,1847.0000,1829.0000,15.6540,4.2662,,
0.0122,311,0,221.0709,70.8352,733.9069,221.5271,103.1309,714.7148,0.0271,-0.0154,-0.0348,0.9989,1840.0000,1847.0000,1829.0000,15.6540,4.2628,,
0.0245,311,0,220.8178,70.3253,734.0350,221.2740,102.6211,714.8429,0.0252,-0.0162,-0.0349,0.9989,1840.0000,1847.0000,1829.0000,15.6540,4.2662,,
0.0357,311,0,220.7767,70.3123,734.1713,221.2787,102.6074,714.9792,0.0237,-0.0162,-0.0353,0.9990,1840.0000,1847.0000,1829.0000,15.6540,4.2628,,
0.0443,311,0,220.3691,69.8025,734.6317,220.7197,102.0995,715.4396,0.0224,-0.0172,-0.0360,0.9990,1840.0000,1847.0000,1829.0000,15.6540,4.2628,,
0.0555,311,0,219.3214,69.1998,735.7805,219.6721,101.4969,716.5884,0.0209,-0.0177,-0.0361,0.9990,1840.0000,1847.0000,1829.0000,15.6540,4.2628,,
0.0677,311,0,219.3124,69.1970,735.8106,219.8701,101.4912,716.6185,0.0196,-0.0177,-0.0365,0.9990,1840.0000,1847.0000,1829.0000,15.6509,4.2680,,
0.0797,311,0,218.9111,68.7694,736.2753,219.2011,101.0671,717.0833,0.0183,-0.0177,-0.0363,0.9990,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.0919,311,0,217.2251,67.3394,736.7958,217.6230,99.6359,717.6037,0.0171,-0.0182,-0.0364,0.9990,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.1010,311,0,216.2703,66.7564,737.0630,216.6681,99.0529,717.8710,0.0160,-0.0186,-0.0365,0.9990,1840.0000,1847.0000,1829.0000,15.6509,4.2680,,
0.1119,311,0,216.2650,66.7548,737.0810,216.8345,99.0487,717.8889,0.0153,-0.0191,-0.0369,0.9990,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.1237,311,0,215.4302,66.6162,737.5887,215.9998,98.9102,718.3967,0.0146,-0.0194,-0.0369,0.9990,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.1359,311,0,215.4227,66.6139,737.5887,215.8360,98.9102,718.3967,0.0146,-0.0194,-0.0371,0.9990,1840.0000,1847.0000,1829.0000,15.6509,4.2680,,
0.1477,311,0,214.1808,65.6655,737.6145,214.5779,97.9620,718.4224,0.0140,-0.0199,-0.0383,0.9990,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.1597,311,0,212.4765,65.6655,738.4175,213.0678,97.9590,719.2255,0.0132,-0.0204,-0.0391,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.1685,311,0,211.7299,66.0419,738.4303,212.3212,98.3354,719.2382,0.0124,-0.0204,-0.0391,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2680,,
0.1799,311,0,211.7060,66.0419,738.4303,212.5200,98.3306,719.2382,0.0117,-0.0208,-0.0396,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.1916,311,0,210.8773,65.9941,738.1918,211.7118,98.2823,718.9998,0.0120,-0.0212,-0.0404,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.2047,311,0,209.9773,65.5623,738.1918,210.4939,97.8572,718.9998,0.0111,-0.0209,-0.0404,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2680,,
0.2163,311,0,209.4224,65.5523,738.1744,209.9390,97.8471,718.9823,0.0107,-0.0208,-0.0404,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2680,,
0.2252,311,0,209.3824,65.5498,738.1744,209.9199,97.8443,718.9823,0.0107,-0.0210,-0.0407,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.2357,311,0,208.6819,65.3620,738.1235,209.2194,97.6565,718.9315,0.0107,-0.0210,-0.0407,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2680,,
0.2487,311,0,208.6819,65.3620,738.1235,209.3497,97.6541,718.9315,0.0094,-0.0217,-0.0415,0.9989,1840.0000,1847.0000,1829.0000,15.6509,4.2680,,
0.2597,311,0,207.8485,65.9996,737.7567,208.5595,98.2908,718.5646,0.0101,-0.0217,-0.0418,0.9988,1840.0000,1847.0000,1829.0000,15.6509,4.2646,,
0.2717,311,0,206.7192,66.6862,737.7120,207.4440,98.9771,718.5199,0.0101,-0.0219,-0.0424,0.9988,1840.0000,1847.0000,1829.0000,15.6476,4.2627,,
0.2843,311,0,206.0081,67.3454,737.1749,206.9337,99.6312,717.9828,0.0104,-0.0223,-0.0434,0.9988,1840.0000,1847.0000,1829.0000,15.6476,4.2627,,
0.2931,311,0,205.3412,68.3857,737.0186,206.2668,100.6714,717.8265,0.0104,-0.0223,-0.0434,0.9988,1840.0000,1847.0000,1829.0000,15.6476,4.2627,,
0.3037,311,0,205.3412,68.3857,737.0186,206.3682,100.6683,717.8265,0.0106,-0.0231,-0.0444,0.9987,1840.0000,1847.0000,1829.0000,15.6476,4.2661,,
0.3156,311,0,204.7610,69.3829,736.4948,205.7880,101.6655,717.3027,0.0106,-0.0231,-0.0444,0.9987,1840.0000,1847.0000,1829.0000,15.6476,4.2627,,
0.3278,311,0,204.7610,69.3829,736.4947,205.5872,101.6713,717.3026,0.0118,-0.0228,-0.0450,0.9987,1840.0000,1847.0000,1829.0000,15.6476,4.2627,,
0.3397,311,0,204.1273,70.8528,735.3167,205.2370,103.1327,716.1246,0.0122,-0.0227,-0.0456,0.9986,1840.0000,1847.0000,1829.0000,15.6476,4.2627,,
0.3518,311,0,204.1273,70.8528,735.3167,209.1705,102.7557,716.1246,-0.0063,0.0163,0.0311,0.9994,1840.0000,1847.0000,1829.0000,15.6476,4.2661,,
0.3604,311,0,204.1273,70.8528,735.3167,209.1705,102.7557,716.1246,-0.0023,0.0185,0.0336,0.9993,1840.0000,1847.0000,1829.0000,15.6476,4.2627,,
0.3717,311,0,203.8282,72.5248,734.0275,204.6485,104.8134,714.8354,0.0061,-0.0250,-0.0461,0.9986,1840.0000,1847.0000,1829.0000,15.6444,4.2643,,
0.3837,311,0,203.6354,74.0691,733.3793,204.6576,106.3519,714.1872,0.0076,-0.0249,-0.0462,0.9986,1840.0000,1847.0000,1829.0000,15.6444,4.2643,,
0.3957,311,0,203.6354,75.1489,732.1069,204.6267,107.4327,712.9148,0.0083,-0.0248,-0.0464,0.9986,1840.0000,1847.0000,1829.0000,15.6444,4.2643,,
0.4077,311,0,203.7315,75.7741,731.2327,204.7228,108.0579,712.0406,0.0089,-0.0246,-0.0463,0.9986,1840.0000,1847.0000,1829.0000,15.6444,4.2643,,
0.4167,311,0,203.7340,75.7750,731.2236,204.6569,108.0608,712.0316,0.0094,-0.0244,-0.0462,0.9986,1840.0000,1847.0000,1829.0000,15.6444,4.2643,,
0.4280,311,0,203.7728,76.2037,730.5266,204.7840,108.4869,711.3345,0.0100,-0.0244,-0.0464,0.9986,1840.0000,1847.0000,1829.0000,15.6444,4.2643,,
0.4396,311,0,204.3973,77.2846,729.0793,205.4085,109.5678,709.8873,0.0104,-0.0242,-0.0464,0.9986,1840.0000,1847.0000,1829.0000,15.6444,4.2643,,
0.4516,311,0,204.4014,77.2862,729.0647,205.2689,109.5735,709.8726,0.0108,-0.0242,-0.0466,0.9986,1840.0000,1847.0000,1829.0000,15.6412,4.2660,,
0.4636,311,0,204.7634,78.0425,728.0317,205.8776,110.3223,708.8397,0.0111,-0.0238,-0.0461,0.9986,1811.0000,1847.0000,1829.0000,15.6381,4.2678,,
0.4756,311,0,205.4821,78.4251,726.1060,206.4668,110.7091,706.9139,0.0124,-0.0230,-0.0459,0.9986,1794.0000,1847.0000,1829.0000,15.6318,4.2714,,
0.4847,311,0,206.1987,79.5712,725.2043,207.1834,111.8551,706.0122,0.0133,-0.0221,-0.0458,0.9986,1787.0000,1847.0000,1829.0000,15.6350,4.2733,,
0.4961,311,0,206.1987,79.6007,724.9250,207.2519,111.8825,705.7330,0.0147,-0.0215,-0.0458,0.9986,1771.0000,1847.0000,1829.0000,15.6383,4.2751,,
0.5078,311,0,205.7291,79.6007,723.7981,206.6498,111.8865,704.6060,0.0149,-0.0214,-0.0457,0.9986,1744.0000,1847.0000,1829.0000,15.6383,4.2751,,
0.5197,311,0,205.7291,80.5975,721.2642,206.6498,112.8833,702.0721,0.0149,-0.0214,-0.0457,0.9986,1704.0000,1847.0000,1829.0000,15.6415,4.2770,,
0.5318,311,0,205.7291,80.5975,721.2642,206.6149,112.8843,702.0721,0.0154,-0.0209,-0.0457,0.9986,1687.0000,1847.0000,1829.0000,15.6481,4.2807,,
0.5436,311,0,205.5393,81.0482,720.0463,206.4552,113.3342,700.8542,0.0161,-0.0200,-0.0456,0.9986,1645.0000,1847.0000,1829.0000,15.6578,4.2862,,
0.5527,311,0,205.3427,81.7712,717.4882,206.2586,114.0572,698.2961,0.0164,-0.0196,-0.0455,0.9986,1618.0000,1847.0000,1829.0000,15.6611,4.2880,,
0.5641,311,0,205.2881,81.7930,717.2974,206.3293,114.0752,698.1053,0.0167,-0.0198,-0.0462,0.9986,1601.0000,1847.0000,1829.0000,15.6839,4.3010,,
0.5756,311,0,205.2031,82.2282,716.4121,206.1987,114.5118,697.2200,0.0172,-0.0206,-0.0479,0.9985,1574.0000,1847.0000,1829.0000,15.9026,4.4283,,
0.5876,311,0,205.0528,83.6471,714.0962,206.0484,115.9308,694.9041,0.0172,-0.0206,-0.0479,0.9985,1545.0000,1847.0000,1829.0000,16.0039,4.4925,,
0.5998,311,0,205.0528,83.6471,714.0962,206.0920,115.9294,694.9041,0.0176,-0.0207,-0.0488,0.9984,1528.0000,1847.0000,1829.0000,16.1021,4.5722,,
0.6085,311,0,204.9552,84.3789,713.0933,206.3977,116.6457,693.9012,0.0181,-0.0210,-0.0498,0.9984,1505.0000,1847.0000,1829.0000,16.1872,4.6339,,
0.6197,311,0,204.7197,84.3789,710.1515,205.7775,116.6606,690.9594,0.0180,-0.0209,-0.0500,0.9984,1439.0000,1847.0000,1829.0000,16.2723,4.6924,,
0.6322,311,0,204.0419,84.1978,709.1193,205.0998,116.4794,689.9272,0.0180,-0.0209,-0.0500,0.9984,1433.0000,1847.0000,1829.0000,16.5279,4.8848,,
0.6437,311,0,204.0419,84.1978,709.1193,205.5402,116.4620,689.9272,0.0183,-0.0212,-0.0509,0.9983,1415.0000,1847.0000,1829.0000,16.6461,4.9585,,
0.6556,311,0,203.5447,83.6492,707.3102,204.6796,115.9282,688.1182,0.0180,-0.0210,-0.0516,0.9983,1374.0000,1847.0000,1829.0000,17.0338,5.1986,,
0.6677,311,0,203.4849,83.5579,704.7668,204.8581,115.8276,685.5747,0.0177,-0.0206,-0.0512,0.9983,1321.0000,1847.0000,1829.0000,17.2446,5.3418,,
0.6764,311,0,203.4849,81.9285,703.4614,204.8581,114.1983,684.2693,0.0177,-0.0206,-0.0512,0.9983,1305.0000,1847.0000,1829.0000,17.3665,5.4313,,
0.6877,311,0,203.4849,81.9285,703.4613,205.1465,114.1847,684.2692,0.0173,-0.0197,-0.0507,0.9984,1288.0000,1847.0000,1829.0000,17.6008,5.6522,,
0.6998,311,0,202.7153,80.6928,701.3700,203.8511,112.9718,682.1779,0.0176,-0.0203,-0.0520,0.9983,1247.0000,1847.0000,1829.0000,17.7329,5.7882,,
0.7118,311,0,200.3974,79.3349,699.3320,201.5332,111.6139,680.1399,0.0176,-0.0203,-0.0520,0.9983,1215.0000,1847.0000,1829.0000,18.1262,6.1155,,
0.7238,311,0,200.3974,79.3349,699.3320,202.0067,111.5937,680.1399,0.0167,-0.0211,-0.0535,0.9982,1199.0000,1847.0000,1829.0000,18.3644,6.2500,,
0.7361,311,0,199.5077,79.3349,697.4068,200.8014,111.6079,678.2147,0.0155,-0.0216,-0.0546,0.9982,1158.0000,1847.0000,1829.0000,18.5337,6.3493,,
0.7448,311,0,198.2277,78.7010,694.0973,199.5214,110.9741,674.9052,0.0147,-0.0216,-0.0546,0.9982,1101.0000,1847.0000,1829.0000,18.6267,6.4054,,
0.7557,311,0,198.1965,78.6886,693.9883,199.7085,110.9522,674.7963,0.0148,-0.0220,-0.0554,0.9981,1085.0000,1847.0000,1829.0000,18.8462,6.5671,,
0.7678,311,0,197.6957,78.6886,692.6866,199.2122,110.9520,673.4945,0.0148,-0.0221,-0.0559,0.9981,1057.0000,1847.0000,1829.0000,19.0027,6.6659,,
0.7800,311,0,196.6208,79.1732,688.9578,198.1112,111.4378,669.7657,0.0147,-0.0218,-0.0555,0.9981,975.0000,1847.0000,1829.0000,19.2360,6.8354,,
0.7917,311,0,195.8497,79.7377,686.9320,197.3401,112.0022,667.7399,0.0147,-0.0218,-0.0555,0.9981,950.0000,1847.0000,1830.0000,19.4496,7.0377,,
0.8003,311,0,195.8497,79.7377,686.9320,197.3035,112.0039,667.7399,0.0142,-0.0216,-0.0546,0.9982,919.0000,1847.0000,1830.0000,19.5699,7.2039,,
0.8117,311,0,195.8497,79.7042,685.3918,197.2013,111.9749,666.1998,0.0137,-0.0207,-0.0520,0.9983,899.0000,1847.0000,1830.0000,20.1626,7.7561,,
0.8236,311,0,194.5747,77.5865,681.2932,195.9263,109.8572,662.1011,0.0137,-0.0207,-0.0520,0.9983,828.0000,1847.0000,1830.0000,20.3837,7.9047,,
0.8358,311,0,194.5747,77.5865,681.2932,195.9491,109.8563,662.1011,0.0132,-0.0208,-0.0515,0.9984,813.0000,1847.0000,1830.0000,20.8557,8.4027,,
0.8480,311,0,193.5558,76.7241,679.3491,194.9906,108.9912,660.1570,0.0122,-0.0220,-0.0516,0.9984,771.0000,1847.0000,1831.0000,21.2130,8.7434,,
0.8597,311,0,191.9623,73.0822,676.8911,193.2547,105.3554,657.6990,0.0106,-0.0223,-0.0496,0.9985,719.0000,1847.0000,1831.0000,21.3852,8.9151,,
0.8686,311,0,190.5819,69.6783,676.0640,191.8744,101.9514,656.8719,0.0104,-0.0227,-0.0496,0.9985,718.0000,1847.0000,1831.0000,21.6862,9.2674,,
0.8798,311,0,190.5188,69.6552,675.8401,191.5843,101.9366,656.6481,0.0102,-0.0229,-0.0498,0.9984,706.0000,1847.0000,1831.0000,22.0454,9.5281,,
