{HEADER}
user_id: 988
target_id: 349
target_screen_position_mm: [-88.11, 79.88]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 5.9640
endpoint_error_mm: [13.6103, 7.0327, -2.3735]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,349,0,-115.4912,5.4876,730.2128,-118.3431,37.6605,711.0208,0.0021,0.0020,0.0162,0.9999,1853.0000,1854.0000,1825.0000,11.1694,-7.4721,,
0.0125,349,0,-115.4912,5.4876,730.2128,-118.3431,37.6605,711.0208,0.0021,0.0020,0.0162,0.9999,1853.0000,1854.0000,1825.0000,11.1694,-7.4721,,
0.0246,349,0,-115.4912,5.4876,730.2128,-118.5829,37.6383,711.0208,0.0021,0.0021,0.0163,0.9999,1853.0000,1854.0000,1825.0000,11.1694,-7.4721,,
0.0379,349,0,-115.7350,5.2919,729.1162,-118.6077,37.4629,709.9241,0.0020,0.0020,0.0156,0.9999,1853.0000,1854.0000,1825.0000,11.1694,-7.4721,,
0.0469,349,0,-117.0621,4.3969,729.1038,-119.8149,36.5784,709.9117,0.0019,0.0018,0.0145,0.9999,1853.0000,1849.0000,1825.0000,11.1694,-7.4721,,
0.0560,349,0,-117.6958,3.6286,728.5003,-120.4487,35.8100,709.3082,0.0019,0.0018,0.0145,0.9999,1853.0000,1848.0000,1825.0000,11.1694,-7.4721,,
0.0683,349,0,-117.6958,3.6286,728.5003,-120.4685,35.8083,709.3082,0.0018,0.0018,0.0139,0.9999,1853.0000,1847.0000,1825.0000,11.1694,-7.4721,,
0.0800,349,0,-118.4481,3.4935,728.5003,-121.1335,35.6807,709.3082,0.0015,0.0015,0.0117,0.9999,1853.0000,1838.0000,1825.0000,11.1664,-7.4704,,
0.0924,349,0,-118.8505,2.0605,727.6827,-121.5359,34.2477,708.4907,0.0015,0.0015,0.0117,0.9999,1853.0000,1836.0000,1825.0000,11.1664,-7.4704,,
0.1041,349,0,-118.8505,2.0605,727.6827,-121.2435,34.2707,708.4907,0.0014,0.0014,0.0110,0.9999,1853.0000,1834.0000,1825.0000,11.1512,-7.4618,,
0.1128,349,0,-119.2980,1.9639,727.6548,-122.0077,34.1491,708.4627,0.0011,0.0011,0.0089,1.0000,1853.0000,1829.0000,1825.0000,11.1299,-7.4497,,
0.1241,349,0,-119.8320,1.6295,727.2982,-122.5417,33.8146,708.1061,0.0011,0.0011,0.0089,1.0000,1853.0000,1828.0000,1825.0000,11.0782,-7.4204,,
0.1366,349,0,-119.8320,1.6295,727.2982,-122.2658,33.8366,708.1061,0.0010,0.0010,0.0081,1.0000,1853.0000,1819.0000,1825.0000,11.0478,-7.4032,,
0.1481,349,0,-119.7050,1.6314,726.6931,-121.8939,33.8562,707.5010,0.0010,0.0009,0.0075,1.0000,1853.0000,1807.0000,1825.0000,11.0325,-7.3911,,
0.1603,349,0,-118.9160,2.0722,725.3821,-121.1836,34.2915,706.1901,0.0009,0.0008,0.0067,1.0000,1853.0000,1795.0000,1825.0000,10.9260,-7.3273,,
0.1691,349,0,-118.6597,2.0722,725.2090,-120.9274,34.2915,706.0169,0.0009,0.0008,0.0067,1.0000,1853.0000,1794.0000,1825.0000,10.7920,-7.2444,,
0.1799,349,0,-118.6597,2.0722,725.2090,-121.1154,34.2777,706.0169,0.0008,0.0008,0.0064,1.0000,1853.0000,1791.0000,1825.0000,10.6975,-7.1908,,
0.1920,349,0,-117.8904,2.0529,725.0131,-120.1146,34.2752,705.8210,0.0007,0.0007,0.0056,1.0000,1853.0000,1778.0000,1825.0000,10.5571,-7.1078,,
0.2042,349,0,-116.8723,1.5330,724.0854,-119.0966,33.7553,704.8934,0.0007,0.0007,0.0056,1.0000,1853.0000,1775.0000,1825.0000,10.4379,-7.0333,,
0.2159,349,0,-116.8723,1.5330,724.0854,-119.0131,33.7609,704.8934,0.0006,0.0006,0.0048,1.0000,1853.0000,1772.0000,1825.0000,10.3676,-6.9831,,
0.2281,349,0,-116.1515,0.6982,723.8967,-118.3355,32.9233,704.7047,0.0004,0.0004,0.0035,1.0000,1853.0000,1760.0000,1825.0000,10.3524,-6.9675,,
0.2368,349,0,-115.9317,-0.7523,723.0295,-118.1158,31.4727,703.8375,0.0004,0.0004,0.0035,1.0000,1853.0000,1759.0000,1825.0000,10.3524,-6.9675,,
0.2480,349,0,-115.9317,-0.7523,723.0295,-117.8570,31.4892,703.8375,0.0003,0.0003,0.0022,1.0000,1853.0000,1757.0000,1825.0000,10.3401,-6.9606,,
0.2601,349,0,-115.4008,-0.8484,722.9388,-117.2267,31.3989,703.7468,0.0003,0.0003,0.0020,1.0000,1853.0000,1746.0000,1825.0000,10.3310,-6.9485,,
0.2721,349,0,-114.5516,-0.9828,721.5128,-116.5087,31.2568,702.3207,0.0002,0.0002,0.0019,1.0000,1853.0000,1727.0000,1825.0000,10.3310,-6.9450,,
0.2839,349,0,-114.3567,-0.9828,720.9545,-116.3138,31.2568,701.7624,0.0002,0.0002,0.0019,1.0000,1853.0000,1727.0000,1825.0000,10.3034,-6.9190,,
0.2962,349,0,-114.3567,-0.9828,720.9545,-116.2280,31.2619,701.7624,0.0002,0.0002,0.0016,1.0000,1853.0000,1724.0000,1825.0000,10.2514,-6.8861,,
0.3053,349,0,-113.9451,-0.8033,720.7454,-115.7344,31.4460,701.5533,0.0002,0.0002,0.0016,1.0000,1853.0000,1713.0000,1825.0000,10.0493,-6.7646,,
0.3161,349,0,-112.5071,-0.5406,719.0732,-114.2964,31.7088,699.8812,0.0002,0.0002,0.0016,1.0000,1853.0000,1699.0000,1825.0000,9.8561,-6.6378,,
0.3281,349,0,-112.5071,-0.5406,719.0732,-114.6342,31.6883,699.8812,0.0002,0.0002,0.0017,1.0000,1853.0000,1690.0000,1825.0000,9.7732,-6.5805,,
0.3399,349,0,-111.3405,-0.0723,718.4257,-113.1983,32.1732,699.2336,0.0002,0.0002,0.0012,1.0000,1853.0000,1678.0000,1825.0000,9.5888,-6.4483,,
0.3518,349,0,-108.3725,-0.0723,716.8524,-110.2856,32.1699,697.6603,0.0001,0.0001,0.0010,1.0000,1853.0000,1663.0000,1825.0000,9.4750,-6.3734,,
0.3608,349,0,-106.9554,-0.3307,716.5771,-108.8685,31.9116,697.3851,0.0001,0.0001,0.0010,1.0000,1853.0000,1664.0000,1825.0000,9.4227,-6.3403,,
0.3721,349,0,-106.9554,-0.3307,716.5771,-108.7766,31.9169,697.3851,0.0001,0.0001,0.0010,1.0000,1853.0000,1654.0000,1825.0000,9.3333,-6.2828,,
0.3839,349,0,-105.1757,-0.6885,715.4736,-107.0302,31.5572,696.2816,0.0001,0.0001,0.0010,1.0000,1853.0000,1630.0000,1825.0000,9.3179,-6.2706,,
0.3960,349,0,-102.9181,-0.7092,713.8464,-104.6741,31.5421,694.6544,0.0001,0.0001,0.0006,1.0000,1853.0000,1619.0000,1825.0000,9.3149,-6.2619,,
0.4080,349,0,-102.2775,-0.7092,712.9105,-104.0335,31.5421,693.7184,0.0001,0.0001,0.0006,1.0000,1853.0000,1618.0000,1825.0000,9.2655,-6.2167,,
0.4198,349,0,-102.2775,-0.7092,712.9105,-104.1602,31.5349,693.7184,0.0001,0.0001,0.0010,1.0000,1853.0000,1610.0000,1825.0000,9.2131,-6.1766,,
0.4286,349,0,-101.6065,-0.0415,712.2359,-103.4860,32.2028,693.0438,0.0001,0.0001,0.0007,1.0000,1853.0000,1600.0000,1825.0000,8.9755,-6.0246,,
0.4399,349,0,-100.8164,1.3366,709.3189,-102.6959,33.5808,690.1268,0.0001,0.0001,0.0007,1.0000,1853.0000,1571.0000,1825.0000,8.7282,-5.8568,,
0.4522,349,0,-100.8164,1.3366,709.3189,-102.6921,33.5811,690.1268,0.0000,0.0000,0.0002,1.0000,1853.0000,1562.0000,1825.0000,8.5982,-5.7590,,
0.4643,349,0,-100.1127,1.6580,708.2378,-101.6843,33.9187,689.0457,-0.0001,-0.0001,-0.0004,1.0000,1853.0000,1541.0000,1825.0000,8.2727,-5.5053,,
0.4760,349,0,-98.3994,1.6580,705.9026,-100.1378,33.9101,686.7106,-0.0000,-0.0000,-0.0003,1.0000,1853.0000,1517.0000,1825.0000,8.2013,-5.4545,,
0.4878,349,0,-96.8099,1.6487,704.8876,-98.5483,33.9008,685.6956,-0.0000,-0.0000,-0.0003,1.0000,1853.0000,1516.0000,1825.0000,8.1267,-5.3881,,
0.4966,349,0,-96.8099,1.6487,704.8876,-98.6849,33.8932,685.6956,0.0000,0.0000,0.0002,1.0000,1853.0000,1507.0000,1825.0000,8.0552,-5.2888,,
0.5081,349,0,-94.5167,0.7331,704.0240,-96.4229,32.9758,684.8319,0.0001,0.0001,0.0004,1.0000,1853.0000,1498.0000,1825.0000,7.9899,-5.2138,,
0.5207,349,0,-90.4955,-1.0409,702.1181,-92.4017,31.2018,682.9260,0.0001,0.0001,0.0004,1.0000,1853.0000,1489.0000,1825.0000,7.8841,-5.0745,,
0.5320,349,0,-90.4955,-1.0409,702.1181,-92.2540,31.2102,682.9260,0.0001,0.0001,0.0007,1.0000,1853.0000,1483.0000,1825.0000,7.8809,-5.0693,,
0.5440,349,0,-89.1743,-1.4567,701.1192,-90.9429,30.7938,681.9271,0.0001,0.0001,0.0005,1.0000,1853.0000,1475.0000,1825.0000,7.8529,-5.0534,,
0.5526,349,0,-85.8526,-2.3615,698.1675,-87.6212,29.8890,678.9755,0.0001,0.0001,0.0005,1.0000,1853.0000,1452.0000,1825.0000,7.8218,-5.0358,,
0.5652,349,0,-85.8526,-2.3615,698.1675,-87.7999,29.8787,678.9755,0.0001,0.0001,0.0008,1.0000,1853.0000,1449.0000,1825.0000,7.6941,-4.9634,,
0.5760,349,0,-84.1769,-2.3615,697.3992,-86.2435,29.8713,678.2072,0.0002,0.0002,0.0019,1.0000,1853.0000,1444.0000,1825.0000,7.5319,-4.8646,,
0.5882,349,0,-81.4369,-1.7335,694.6974,-83.2130,30.5166,675.5054,0.0002,0.0002,0.0012,1.0000,1853.0000,1417.0000,1825.0000,7.4133,-4.7421,,
0.6000,349,0,-80.2119,-1.4952,693.2339,-81.9879,30.7549,674.0419,0.0002,0.0002,0.0012,1.0000,1853.0000,1416.0000,1825.0000,7.3414,-4.6842,,
0.6120,349,0,-80.2119,-1.4952,693.2339,-82.0384,30.7521,674.0419,0.0002,0.0002,0.0018,1.0000,1853.0000,1413.0000,1825.0000,7.2289,-4.5721,,
0.6209,349,0,-78.7139,-1.4943,691.8975,-80.6843,30.7445,672.7054,0.0004,0.0004,0.0031,1.0000,1853.0000,1402.0000,1825.0000,7.1318,-4.4792,,
0.6319,349,0,-75.2296,-1.4943,689.8995,-77.0875,30.7512,670.7075,0.0005,0.0005,0.0038,1.0000,1853.0000,1386.0000,1825.0000,7.1005,-4.4545,,
0.6440,349,0,-73.5131,-2.1760,688.4905,-75.3710,30.0695,669.2984,0.0005,0.0005,0.0038,1.0000,1853.0000,1388.0000,1825.0000,6.8593,-4.3006,,
0.6562,349,0,-73.5131,-2.1760,688.4905,-75.4888,30.0625,669.2984,0.0006,0.0006,0.0046,1.0000,1853.0000,1386.0000,1826.0000,6.7496,-4.2315,,
0.6682,349,0,-71.7179,-2.7985,687.6055,-73.7640,29.4356,668.4135,0.0007,0.0007,0.0054,1.0000,1853.0000,1385.0000,1826.0000,6.4858,-3.9718,,
