{HEADER}
user_id: 999
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [-0.97, 32.92, 19.60]
completion_time: 11.0636
endpoint_error_mm: [-1.5820, 5.0005, 1.4268]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.232760, 6.795296, 5.159784, 7.054626]
control_points_accel: [0.511740, -1.614305, 3.032177, -1.929612]
stiffness_measurements: [0.286907, 0.181744, 0.304497, 0.290343]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-177.7106,-9.3696,678.5235,-179.2544,23.5246,658.9255,0.0228,-0.0166,-0.0079,0.9996,1876.0000,1850.0000,1838.0000,0.0000,-0.1629,,
0.0118,354,0,-177.3567,-8.7356,678.3967,-178.8664,24.1601,658.7987,0.0234,-0.0168,-0.0081,0.9996,1876.0000,1849.0000,1838.0000,0.0000,-0.1661,,
0.0240,354,0,-177.3567,-8.7356,678.3967,-178.8664,24.1601,658.7987,0.0234,-0.0168,-0.0081,0.9996,1876.0000,1849.0000,1838.0000,0.0000,-0.1661,,
0.0329,354,0,-177.1001,-8.4273,677.6984,-178.5590,24.4707,658.1005,0.0248,-0.0174,-0.0085,0.9995,1876.0000,1840.0000,1838.0000,0.0027,-0.1646,,
0.0436,354,0,-177.0801,-7.7147,676.5414,-178.6519,25.1781,656.9435,0.0232,-0.0168,-0.0088,0.9996,1876.0000,1820.0000,1838.0000,0.0027,-0.1646,,
0.0557,354,0,-177.0801,-7.7147,676.5414,-178.6519,25.1781,656.9435,0.0232,-0.0168,-0.0088,0.9996,1876.0000,1816.0000,1838.0000,0.0027,-0.1646,,
0.0679,354,0,-177.0130,-7.7771,676.3386,-178.5437,25.1177,656.7407,0.0264,-0.0181,-0.0085,0.9995,1876.0000,1808.0000,1838.0000,0.0027,-0.1646,,
0.0796,354,0,-176.0238,-7.7580,675.5822,-177.6374,25.1328,655.9843,0.0257,-0.0183,-0.0095,0.9995,1876.0000,1790.0000,1838.0000,0.0027,-0.1646,,
0.0915,354,0,-175.7210,-7.8621,675.1553,-177.0970,25.0395,655.5574,0.0249,-0.0180,-0.0090,0.9995,1876.0000,1777.0000,1838.0000,0.0027,-0.1646,,
0.1001,354,0,-175.7210,-7.8621,675.1553,-177.0970,25.0395,655.5574,0.0249,-0.0180,-0.0090,0.9995,1876.0000,1775.0000,1838.0000,-0.0314,-0.1453,,
0.1117,354,0,-175.2667,-7.9020,674.5537,-176.5822,25.0021,654.9558,0.0245,-0.0179,-0.0091,0.9995,1876.0000,1759.0000,1838.0000,-0.1772,-0.0691,,
0.1240,354,0,-175.2667,-7.9020,674.5537,-176.5822,25.0021,654.9558,0.0245,-0.0179,-0.0091,0.9995,1876.0000,1757.0000,1838.0000,-0.2580,-0.0266,,
0.1369,354,0,-174.3986,-8.4122,674.3165,-175.8997,24.4839,654.7185,0.0268,-0.0175,-0.0089,0.9994,1876.0000,1749.0000,1838.0000,-0.2642,-0.0264,,
0.1476,354,0,-173.0837,-9.2928,673.2960,-174.8231,23.5916,653.6981,0.0253,-0.0169,-0.0099,0.9995,1876.0000,1723.0000,1838.0000,-0.2642,-0.0264,,
0.1563,354,0,-173.0837,-9.2928,673.2960,-174.8231,23.5916,653.6981,0.0253,-0.0169,-0.0099,0.9995,1876.0000,1722.0000,1838.0000,-0.2642,-0.0264,,
0.1675,354,0,-171.9991,-9.5645,672.8002,-173.0464,23.3492,653.2023,0.0248,-0.0151,-0.0106,0.9995,1876.0000,1709.0000,1838.0000,-0.2673,-0.0246,,
0.1797,354,0,-169.3650,-10.1001,672.6498,-171.0237,22.7884,653.0519,0.0249,-0.0165,-0.0099,0.9995,1876.0000,1705.0000,1838.0000,-0.2828,-0.0158,,
0.1917,354,0,-168.9146,-10.6625,671.7131,-170.1642,22.2442,652.1151,0.0245,-0.0134,-0.0097,0.9996,1876.0000,1682.0000,1838.0000,-0.3698,0.0335,,
0.2037,354,0,-168.9146,-10.6625,671.7131,-170.1642,22.2442,652.1151,0.0245,-0.0134,-0.0097,0.9996,1876.0000,1681.0000,1838.0000,-0.6156,0.1728,,
0.2156,354,0,-167.9485,-10.9685,671.4593,-169.2052,21.9379,651.8613,0.0245,-0.0139,-0.0103,0.9996,1876.0000,1674.0000,1838.0000,-0.9804,0.3828,,
0.2242,354,0,-167.9485,-10.9685,671.4593,-169.2052,21.9379,651.8613,0.0245,-0.0139,-0.0103,0.9996,1876.0000,1674.0000,1838.0000,-1.1804,0.4962,,
0.2355,354,0,-165.5311,-11.0034,670.7158,-166.7223,21.9054,651.1179,0.0253,-0.0120,-0.0105,0.9996,1876.0000,1656.0000,1838.0000,-1.5341,0.6966,,
0.2477,354,0,-160.7369,-10.8574,670.7704,-161.6278,22.0609,651.1725,0.0271,-0.0106,-0.0086,0.9995,1876.0000,1656.0000,1838.0000,-1.6815,0.7834,,
0.2597,354,0,-157.9037,-10.6710,670.8209,-159.1358,22.2363,651.2229,0.0239,-0.0087,-0.0077,0.9996,1876.0000,1658.0000,1838.0000,-1.6815,0.7834,,
0.2717,354,0,-157.9037,-10.6710,670.8209,-159.1358,22.2363,651.2229,0.0239,-0.0087,-0.0077,0.9996,1876.0000,1659.0000,1838.0000,-1.6815,0.7834,,
0.2804,354,0,-154.4535,-10.6171,671.4257,-155.9919,22.2773,651.8278,0.0246,-0.0079,-0.0066,0.9996,1876.0000,1661.0000,1838.0000,-1.6815,0.7834,,
0.2915,354,0,-154.4535,-10.6171,671.4257,-155.9919,22.2773,651.8278,0.0246,-0.0079,-0.0066,0.9996,1876.0000,1662.0000,1838.0000,-1.6815,0.7834,,
0.3036,354,0,-151.1877,-9.1857,670.8778,-152.8649,23.7019,651.2799,0.0237,-0.0044,-0.0032,0.9997,1876.0000,1664.0000,1838.0000,-1.6815,0.7867,,
0.3156,354,0,-150.3990,-9.1924,669.6462,-151.9650,23.7007,650.0482,0.0236,-0.0042,-0.0034,0.9997,1876.0000,1641.0000,1838.0000,-1.6815,0.7867,,
0.3277,354,0,-149.5842,-8.9980,668.8998,-151.3872,23.8830,649.3019,0.0241,-0.0044,-0.0033,0.9997,1876.0000,1625.0000,1838.0000,-1.6815,0.7867,,
0.3397,354,0,-149.5842,-8.9980,668.8998,-151.3872,23.8830,649.3019,0.0241,-0.0044,-0.0033,0.9997,1876.0000,1627.0000,1838.0000,-1.6815,0.7867,,
0.3485,354,0,-149.0360,-8.6332,668.7621,-150.5972,24.2602,649.1642,0.0253,-0.0038,-0.0034,0.9997,1876.0000,1625.0000,1838.0000,-1.6815,0.7867,,
0.3597,354,0,-147.4735,-8.8097,667.7411,-149.7167,24.0441,648.1432,0.0254,-0.0028,-0.0023,0.9997,1876.0000,1603.0000,1838.0000,-1.6846,0.7917,,
0.3716,354,0,-147.4735,-8.8097,667.7411,-149.7167,24.0441,648.1432,0.0254,-0.0028,-0.0023,0.9997,1876.0000,1605.0000,1838.0000,-1.6909,0.7953,,
0.3837,354,0,-146.5645,-8.8972,667.0298,-148.2550,23.9897,647.4319,0.0252,-0.0029,-0.0030,0.9997,1876.0000,1590.0000,1838.0000,-1.7693,0.8397,,
0.3956,354,0,-144.6868,-8.9855,665.6743,-146.4300,23.8987,646.0763,0.0236,-0.0023,-0.0031,0.9997,1876.0000,1561.0000,1838.0000,-1.8981,0.9127,,
0.4077,354,0,-144.6868,-8.9855,665.6743,-146.4300,23.8987,646.0763,0.0236,-0.0023,-0.0031,0.9997,1876.0000,1563.0000,1838.0000,-1.9767,0.9638,,
0.4164,354,0,-142.9058,-8.8741,665.0616,-144.9983,23.9898,645.4636,0.0231,-0.0026,-0.0032,0.9997,1876.0000,1550.0000,1838.0000,-2.0144,0.9852,,
0.4277,354,0,-140.0376,-8.1912,663.4061,-141.5749,24.7032,643.8082,0.0254,0.0002,-0.0040,0.9997,1876.0000,1516.0000,1838.0000,-2.1654,1.0740,,
0.4396,354,0,-140.0376,-8.1912,663.4061,-141.5749,24.7032,643.8082,0.0254,0.0002,-0.0040,0.9997,1876.0000,1519.0000,1838.0000,-2.1938,1.0933,,
0.4518,354,0,-137.5381,-7.9851,663.1199,-139.0471,24.9107,643.5220,0.0255,0.0015,-0.0036,0.9997,1876.0000,1515.0000,1838.0000,-2.3009,1.1573,,
0.4638,354,0,-133.3183,-6.7771,661.5745,-135.1786,26.1007,641.9766,0.0272,0.0051,-0.0011,0.9996,1876.0000,1485.0000,1838.0000,-2.4490,1.2445,,
0.4726,354,0,-133.3183,-6.7771,661.5745,-135.1786,26.1007,641.9766,0.0272,0.0051,-0.0011,0.9996,1876.0000,1488.0000,1838.0000,-2.6542,1.3641,,
0.4836,354,0,-136.2718,-7.4352,687.6375,-143.3318,24.7295,668.0396,0.1546,0.2954,0.0247,0.9425,1876.0000,1491.0000,1838.0000,-2.8059,1.4663,,
0.4956,354,0,-125.0866,-7.1020,658.3329,-126.9156,25.7775,638.7350,0.0260,0.0086,0.0002,0.9996,1876.0000,1422.0000,1838.0000,-2.9261,1.5410,,
0.5081,354,0,-125.0866,-7.1020,658.3329,-126.9156,25.7775,638.7350,0.0260,0.0086,0.0002,0.9996,1876.0000,1431.0000,1838.0000,-3.2048,1.7185,,
0.5196,354,0,-122.0145,-7.2554,657.1965,-123.7703,25.6282,637.5986,0.0254,0.0097,0.0006,0.9996,1876.0000,1413.0000,1838.0000,-3.4872,1.8949,,
0.5315,354,0,-114.2370,-7.3517,655.4012,-116.6448,25.4905,635.8033,0.0253,0.0115,0.0023,0.9996,1876.0000,1386.0000,1838.0000,-3.6021,1.9793,,
0.5403,354,0,-114.2370,-7.3517,655.4012,-116.6448,25.4905,635.8033,0.0253,0.0115,0.0023,0.9996,1876.0000,1393.0000,1838.0000,-3.8408,2.1439,,
0.5518,354,0,-112.0229,-7.9183,653.7350,-113.8138,24.9633,634.1371,0.0251,0.0159,0.0022,0.9996,1876.0000,1370.0000,1838.0000,-4.0165,2.2693,,
0.5636,354,0,-104.0388,-8.1446,650.9579,-106.0734,24.7228,631.3600,0.0246,0.0210,0.0038,0.9995,1876.0000,1328.0000,1838.0000,-4.1568,2.3489,,
0.5764,354,0,-99.0836,-8.8744,650.1035,-101.5853,23.9608,630.5055,0.0233,0.0220,0.0056,0.9995,1876.0000,1329.0000,1838.0000,-4.1701,2.3594,,
0.5878,354,0,-99.0836,-8.8744,650.1035,-101.5853,23.9608,630.5055,0.0233,0.0220,0.0056,0.9995,1876.0000,1344.0000,1838.0000,-4.2307,2.3938,,
0.5995,354,0,-94.3453,-9.3118,648.8032,-96.9999,23.5113,629.2053,0.0217,0.0262,0.0067,0.9994,1876.0000,1334.0000,1838.0000,-4.4224,2.5025,,
0.6083,354,0,-85.5771,-9.3259,645.7516,-87.6725,23.5378,626.1537,0.0236,0.0303,0.0081,0.9992,1876.0000,1295.0000,1838.0000,-4.5663,2.5905,,
0.6195,354,0,-85.5771,-9.3259,645.7516,-87.6725,23.5378,626.1537,0.0236,0.0303,0.0081,0.9992,1876.0000,1316.0000,1838.0000,-4.6048,2.6221,,
0.6315,354,0,-80.9933,-9.0688,644.9234,-83.1633,23.7900,625.3254,0.0257,0.0317,0.0078,0.9991,1876.0000,1321.0000,1838.0000,-4.7649,2.7193,,
0.6437,354,0,-70.7370,-9.6997,641.5240,-72.6495,23.1751,621.9261,0.0240,0.0383,0.0078,0.9989,1876.0000,1291.0000,1838.0000,-4.9637,2.8450,,
0.6567,354,0,-65.7364,-9.5404,640.5095,-68.2724,23.2922,620.9115,0.0233,0.0407,0.0101,0.9988,1876.0000,1308.0000,1838.0000,-5.1691,2.9908,,
0.6654,354,0,-65.7364,-9.5404,640.5095,-68.2724,23.2922,620.9115,0.0233,0.0407,0.0101,0.9988,1876.0000,1327.0000,1838.0000,-5.3910,3.1556,,
0.6754,354,0,-60.8424,-9.3689,638.8767,-63.0885,23.4847,619.2788,0.0242,0.0419,0.0112,0.9988,1876.0000,1326.0000,1838.0000,-5.5004,3.2469,,
0.6875,354,0,-51.3580,-11.6296,636.3247,-53.6752,21.2192,616.7268,0.0244,0.0472,0.0113,0.9985,1876.0000,1321.0000,1838.0000,-5.6169,3.4688,,
