t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,343,0,-184.6072,-27.5186,604.5224,-0.3769,0.1796,0.0847,0.9047,1845.0000,1868.0000,1863.0000,,,,
0.0130,343,0,-184.6072,-27.5186,604.5224,-0.3769,0.1796,0.0847,0.9047,1848.0000,1859.0000,1863.0000,,,,
0.0244,343,0,-184.6072,-27.5186,604.5224,-0.3769,0.1796,0.0847,0.9047,1849.0000,1848.0000,1863.0000,,,,
0.0354,343,0,-176.1766,11.2330,655.9260,-0.0856,0.0700,-0.0284,0.9935,1850.0000,1834.0000,1863.0000,,,,
0.0453,343,0,-176.1766,11.2330,655.9260,-0.0856,0.0700,-0.0284,0.9935,1852.0000,1821.0000,1863.0000,,,,
0.0561,343,0,-176.1766,11.2330,655.9260,-0.0856,0.0700,-0.0284,0.9935,1853.0000,1805.0000,1863.0000,,,,
0.0681,343,0,-217.3481,13.0814,775.0383,0.1981,0.3057,-0.0459,0.9301,1853.0000,1786.0000,1863.0000,,,,
0.0810,343,0,-217.3481,13.0814,775.0383,0.1981,0.3057,-0.0459,0.9301,1853.0000,1763.0000,1863.0000,,,,
0.0926,343,0,-217.3481,13.0814,775.0383,0.1981,0.3057,-0.0459,0.9301,1853.0000,1742.0000,1863.0000,,,,
0.1044,343,0,-182.6168,-0.4915,658.6845,-0.0756,0.0688,-0.0387,0.9940,1853.0000,1721.0000,1863.0000,,,,
0.1133,343,0,-182.6168,-0.4915,658.6845,-0.0756,0.0688,-0.0387,0.9940,1853.0000,1705.0000,1863.0000,,,,
0.1248,343,0,-182.6168,-0.4915,658.6845,-0.0756,0.0688,-0.0387,0.9940,1853.0000,1685.0000,1863.0000,,,,
0.1362,343,0,-182.6168,-0.4915,658.6845,-0.0756,0.0688,-0.0387,0.9940,1853.0000,1665.0000,1863.0000,,,,
0.1481,343,0,-135.4869,-20.9340,580.2352,-0.2737,-0.0836,-0.1003,0.9529,1853.0000,1644.0000,1863.0000,,,,
