t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,303,1,153.3602,39.2094,286.8127,-0.0378,0.0426,-0.0236,0.9981,2027.0000,2028.0000,2028.0000,,,,
0.0127,303,1,155.3090,38.5084,296.8559,0.0202,0.0362,-0.0322,0.9986,2027.0000,2028.0000,2028.0000,,,,
0.0236,303,1,155.3090,38.5084,296.8559,0.0202,0.0362,-0.0322,0.9986,2027.0000,2028.0000,2028.0000,,,,
0.0359,303,1,155.3090,38.5084,296.8559,0.0202,0.0362,-0.0322,0.9986,2027.0000,2028.0000,2028.0000,,,,
0.0447,303,1,155.3090,38.5084,296.8559,0.0202,0.0362,-0.0322,0.9986,2027.0000,2028.0000,2028.0000,,,,
0.0558,303,1,155.3090,38.5084,296.8559,0.0202,0.0362,-0.0322,0.9986,2027.0000,2028.0000,2028.0000,,,,
0.0682,303,1,155.6476,37.3371,289.2814,-0.0305,0.0511,-0.0297,0.9978,2027.0000,2028.0000,2028.0000,,,,
0.0799,303,1,155.6476,37.3371,289.2814,-0.0305,0.0511,-0.0297,0.9978,2027.0000,2028.0000,2028.0000,,,,
0.0922,303,1,155.6476,37.3371,289.2814,-0.0305,0.0511,-0.0297,0.9978,2027.0000,2028.0000,2028.0000,,,,
0.1041,303,1,155.6476,37.3371,289.2814,-0.0305,0.0511,-0.0297,0.9978,2027.0000,2028.0000,2028.0000,,,,
0.1128,303,1,155.6476,37.3371,289.2814,-0.0305,0.0511,-0.0297,0.9978,2027.0000,2028.0000,2028.0000,,,,
0.1237,303,1,155.6476,37.3371,289.2814,-0.0305,0.0511,-0.0297,0.9978,2027.0000,2028.0000,2028.0000,,,,
0.1359,303,1,155.0937,37.5301,287.2019,-0.0285,0.0487,-0.0282,0.9980,2027.0000,2028.0000,2028.0000,,,,
0.1475,303,1,155.0937,37.5301,287.2019,-0.0285,0.0487,-0.0282,0.9980,2027.0000,2028.0000,2028.0000,,,,
