t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,130,0,32.8485,69.3242,830.9053,33.4174,100.2201,850.9934,-0.3058,-0.3942,-0.1367,0.8558,1870.0000,1868.0000,1873.0000,,,,
0.0120,130,0,32.8485,69.3242,830.9053,33.4174,100.2201,850.9934,-0.3058,-0.3942,-0.1367,0.8558,1868.0000,1868.0000,1873.0000,,,,
0.0241,130,0,32.8485,69.3242,830.9053,33.4174,100.2201,850.9934,-0.3058,-0.3942,-0.1367,0.8558,1867.0000,1868.0000,1874.0000,,,,
0.0362,130,0,33.1561,69.7412,836.1577,44.7425,98.3879,856.2458,0.3693,-0.2914,0.0955,0.8772,1864.0000,1868.0000,1874.0000,,,,
0.0480,130,0,33.1561,69.7412,836.1577,44.7425,98.3879,856.2458,0.3693,-0.2914,0.0955,0.8772,1863.0000,1867.0000,1873.0000,,,,
0.0566,130,0,33.1561,69.7412,836.1577,44.7425,98.3879,856.2458,0.3693,-0.2914,0.0955,0.8772,1861.0000,1867.0000,1873.0000,,,,
0.0679,130,0,34.3176,70.0259,829.1846,34.3139,100.9270,849.2726,-0.3442,-0.2517,-0.1308,0.8950,1858.0000,1867.0000,1873.0000,,,,
0.0801,130,0,34.3176,70.0259,829.1846,34.3139,100.9270,849.2726,-0.3442,-0.2517,-0.1308,0.8950,1855.0000,1866.0000,1873.0000,,,,
0.0919,130,0,34.3176,70.0259,829.1846,34.3139,100.9270,849.2726,-0.3442,-0.2517,-0.1308,0.8950,1852.0000,1865.0000,1873.0000,,,,
0.1040,130,0,46.7123,73.9707,687.9157,54.5270,103.8674,708.0038,-0.3041,0.6705,0.4742,0.4828,1849.0000,1863.0000,1873.0000,,,,
0.1167,130,0,46.7123,73.9707,687.9157,54.5270,103.8674,708.0038,-0.3041,0.6705,0.4742,0.4828,1843.0000,1864.0000,1873.0000,,,,
0.1256,130,0,46.7123,73.9707,687.9157,54.5270,103.8674,708.0038,-0.3041,0.6705,0.4742,0.4828,1839.0000,1864.0000,1873.0000,,,,
0.1359,130,0,83.9225,98.4569,832.0733,85.9319,129.2926,852.1614,-0.0216,0.1293,-0.0555,0.9898,1835.0000,1864.0000,1873.0000,,,,
0.1479,130,0,83.9225,98.4569,832.0733,85.9319,129.2926,852.1614,-0.0216,0.1293,-0.0555,0.9898,1826.0000,1865.0000,1873.0000,,,,
0.1600,130,0,83.9225,98.4569,832.0733,85.9319,129.2926,852.1614,-0.0216,0.1293,-0.0555,0.9898,1817.0000,1867.0000,1873.0000,,,,
0.1718,130,0,90.4088,102.0129,826.0660,82.7283,131.9443,846.1541,0.0730,-0.0794,-0.0228,0.9939,1809.0000,1867.0000,1873.0000,,,,
0.1808,130,0,90.4088,102.0129,826.0660,82.7283,131.9443,846.1541,0.0730,-0.0794,-0.0228,0.9939,1804.0000,1867.0000,1873.0000,,,,
0.1921,130,0,90.4088,102.0129,826.0660,82.7283,131.9443,846.1541,0.0730,-0.0794,-0.0228,0.9939,1796.0000,1867.0000,1873.0000,,,,
0.2039,130,0,88.2084,107.8368,842.8115,89.5628,138.7082,862.8995,0.2775,-0.3190,0.0190,0.9060,1789.0000,1867.0000,1873.0000,,,,
0.2158,130,0,88.2084,107.8368,842.8115,89.5628,138.7082,862.8995,0.2775,-0.3190,0.0190,0.9060,1781.0000,1867.0000,1873.0000,,,,
0.2279,130,0,88.2084,107.8368,842.8115,89.5628,138.7082,862.8995,0.2775,-0.3190,0.0190,0.9060,1772.0000,1867.0000,1873.0000,,,,
0.2404,130,0,83.8894,109.0840,813.8636,85.8360,139.9237,833.9517,-0.0547,-0.0143,-0.0661,0.9962,1764.0000,1867.0000,1873.0000,,,,
0.2494,130,0,83.8894,109.0840,813.8636,85.8360,139.9237,833.9517,-0.0547,-0.0143,-0.0661,0.9962,1759.0000,1867.0000,1873.0000,,,,
0.2602,130,0,83.8894,109.0840,813.8636,85.8360,139.9237,833.9517,-0.0547,-0.0143,-0.0661,0.9962,1752.0000,1867.0000,1873.0000,,,,
0.2720,130,0,83.8894,109.0840,813.8636,85.8360,139.9237,833.9517,-0.0547,-0.0143,-0.0661,0.9962,1746.0000,1867.0000,1873.0000,,,,
0.2840,130,1,90.9545,119.0037,844.9436,93.1656,149.8256,865.0317,-0.0736,0.1966,-0.0815,0.9743,1736.0000,1867.0000,1873.0000,,,,
0.2959,130,1,90.9545,119.0037,844.9436,93.1656,149.8256,865.0317,-0.0736,0.1966,-0.0815,0.9743,1727.0000,1866.0000,1873.0000,,,,
0.3079,130,1,90.9545,119.0037,844.9436,93.1656,149.8256,865.0317,-0.0736,0.1966,-0.0815,0.9743,1719.0000,1863.0000,1873.0000,,,,
0.3167,130,0,85.5963,109.1755,714.4944,83.3892,139.9977,734.5825,0.1021,0.4441,-0.1188,0.8822,1737.0000,1864.0000,1873.0000,,,,
0.3281,130,0,85.5963,109.1755,714.4944,83.3892,139.9977,734.5825,0.1021,0.4441,-0.1188,0.8822,1729.0000,1865.0000,1873.0000,,,,
0.3397,130,0,85.5963,109.1755,714.4944,83.3892,139.9977,734.5825,0.1021,0.4441,-0.1188,0.8822,1721.0000,1866.0000,1873.0000,,,,
0.3519,130,0,105.5555,134.8644,825.7266,108.4555,165.6291,845.8147,-0.0456,-0.0035,-0.0691,0.9966,1713.0000,1867.0000,1873.0000,,,,
0.3639,130,0,105.5555,134.8644,825.7266,108.4555,165.6291,845.8147,-0.0456,-0.0035,-0.0691,0.9966,1697.0000,1867.0000,1873.0000,,,,
0.3726,130,0,105.5555,134.8644,825.7266,108.4555,165.6291,845.8147,-0.0456,-0.0035,-0.0691,0.9966,1685.0000,1867.0000,1873.0000,,,,
0.3838,130,0,110.0605,137.0477,796.3924,119.8592,166.3540,816.4805,0.0534,0.2505,-0.0515,0.9653,1673.0000,1867.0000,1873.0000,,,,
0.3965,130,0,110.0605,137.0477,796.3924,119.8592,166.3540,816.4805,0.0534,0.2505,-0.0515,0.9653,1657.0000,1867.0000,1873.0000,,,,
0.4080,130,0,110.0605,137.0477,796.3924,119.8592,166.3540,816.4805,0.0534,0.2505,-0.0515,0.9653,1643.0000,1867.0000,1873.0000,,,,
0.4197,130,0,125.3042,151.8016,829.0590,135.0984,181.1095,849.1470,0.1735,-0.2220,-0.0495,0.9582,1630.0000,1867.0000,1873.0000,,,,
0.4319,130,0,125.3042,151.8016,829.0590,135.0984,181.1095,849.1470,0.1735,-0.2220,-0.0495,0.9582,1610.0000,1867.0000,1873.0000,,,,
0.4407,130,0,125.3042,151.8016,829.0590,135.0984,181.1095,849.1470,0.1735,-0.2220,-0.0495,0.9582,1599.0000,1867.0000,1873.0000,,,,
0.4518,130,0,125.3042,151.8016,829.0590,135.0984,181.1095,849.1470,0.1735,-0.2220,-0.0495,0.9582,1586.0000,1867.0000,1873.0000,,,,
0.4641,130,0,130.7492,154.9594,800.6050,125.5566,185.4211,820.6931,-0.0360,-0.0002,-0.0749,0.9965,1571.0000,1867.0000,1873.0000,,,,
0.4761,130,0,130.7492,154.9594,800.6050,125.5566,185.4211,820.6931,-0.0360,-0.0002,-0.0749,0.9965,1560.0000,1867.0000,1873.0000,,,,
0.4877,130,0,130.7492,154.9594,800.6050,125.5566,185.4211,820.6931,-0.0360,-0.0002,-0.0749,0.9965,1549.0000,1867.0000,1873.0000,,,,
0.4998,130,0,139.6478,163.4388,792.9929,143.0515,194.1519,813.0809,0.3698,-0.2926,0.0222,0.8816,1538.0000,1867.0000,1873.0000,,,,
0.5087,130,0,139.6478,163.4388,792.9929,143.0515,194.1519,813.0809,0.3698,-0.2926,0.0222,0.8816,1525.0000,1867.0000,1873.0000,,,,
0.5220,130,0,139.6478,163.4388,792.9929,143.0515,194.1519,813.0809,0.3698,-0.2926,0.0222,0.8816,1508.0000,1867.0000,1873.0000,,,,
0.5321,130,0,147.2274,167.8373,784.1014,149.8079,198.6304,804.1895,0.0913,0.1477,-0.0588,0.9830,1495.0000,1867.0000,1873.0000,,,,
0.5440,130,0,147.2274,167.8373,784.1014,149.8079,198.6304,804.1895,0.0913,0.1477,-0.0588,0.9830,1478.0000,1867.0000,1873.0000,,,,
0.5561,130,0,147.2274,167.8373,784.1014,149.8079,198.6304,804.1895,0.0913,0.1477,-0.0588,0.9830,1461.0000,1867.0000,1873.0000,,,,
0.5648,130,0,151.9870,166.8369,774.4706,154.9883,197.5919,794.5587,-0.0426,0.0111,-0.0735,0.9963,1449.0000,1867.0000,1873.0000,,,,
0.5760,130,0,151.9870,166.8369,774.4706,154.9883,197.5919,794.5587,-0.0426,0.0111,-0.0735,0.9963,1436.0000,1867.0000,1873.0000,,,,
0.5878,130,0,151.9870,166.8369,774.4706,154.9883,197.5919,794.5587,-0.0426,0.0111,-0.0735,0.9963,1421.0000,1867.0000,1874.0000,,,,
0.5998,130,0,155.1918,167.1745,773.0699,165.2930,196.3780,793.1580,0.0645,0.2675,-0.0514,0.9600,1407.0000,1867.0000,1874.0000,,,,
0.6118,130,0,155.1918,167.1745,773.0699,165.2930,196.3780,793.1580,0.0645,0.2675,-0.0514,0.9600,1392.0000,1867.0000,1874.0000,,,,
0.6240,130,0,155.1918,167.1745,773.0699,165.2930,196.3780,793.1580,0.0645,0.2675,-0.0514,0.9600,1375.0000,1867.0000,1874.0000,,,,
0.6325,130,0,155.1918,167.1745,773.0699,165.2930,196.3780,793.1580,0.0645,0.2675,-0.0514,0.9600,1365.0000,1867.0000,1874.0000,,,,
0.6440,130,0,159.7687,163.9579,759.7327,157.0335,194.7377,779.8207,0.1669,0.2178,-0.0559,0.9600,1352.0000,1867.0000,1874.0000,,,,
0.6561,130,0,159.7687,163.9579,759.7327,157.0335,194.7377,779.8207,0.1669,0.2178,-0.0559,0.9600,1343.0000,1867.0000,1874.0000,,,,
0.6679,130,0,159.7687,163.9579,759.7327,157.0335,194.7377,779.8207,0.1669,0.2178,-0.0559,0.9600,1334.0000,1867.0000,1874.0000,,,,
0.6800,130,0,178.1578,163.5656,760.3890,181.9980,194.2272,780.4771,0.0209,0.2369,-0.0428,0.9704,1323.0000,1867.0000,1874.0000,,,,
0.6886,130,0,178.1578,163.5656,760.3890,181.9980,194.2272,780.4771,0.0209,0.2369,-0.0428,0.9704,1307.0000,1867.0000,1874.0000,,,,
0.6999,130,0,178.1578,163.5656,760.3890,181.9980,194.2272,780.4771,0.0209,0.2369,-0.0428,0.9704,1289.0000,1867.0000,1874.0000,,,,
0.7120,130,0,188.7988,165.2710,756.1775,190.9376,196.0980,776.2656,-0.0765,0.0527,-0.0829,0.9922,1271.0000,1867.0000,1874.0000,,,,
0.7239,130,0,188.7988,165.2710,756.1775,190.9376,196.0980,776.2656,-0.0765,0.0527,-0.0829,0.9922,1251.0000,1867.0000,1874.0000,,,,
0.7360,130,0,188.7988,165.2710,756.1775,190.9376,196.0980,776.2656,-0.0765,0.0527,-0.0829,0.9922,1231.0000,1868.0000,1874.0000,,,,
0.7479,130,0,199.1960,163.0213,745.6624,195.0581,193.6441,765.7504,0.0554,0.1950,-0.0636,0.9772,1213.0000,1868.0000,1874.0000,,,,
0.7568,130,0,199.1960,163.0213,745.6624,195.0581,193.6441,765.7504,0.0554,0.1950,-0.0636,0.9772,1200.0000,1868.0000,1874.0000,,,,
0.7681,130,0,199.1960,163.0213,745.6624,195.0581,193.6441,765.7504,0.0554,0.1950,-0.0636,0.9772,1184.0000,1868.0000,1874.0000,,,,
0.7801,130,0,206.1210,160.5261,727.6528,209.0725,191.2859,747.7408,-0.0469,0.0334,-0.0707,0.9958,1166.0000,1868.0000,1874.0000,,,,
0.7921,130,0,206.1210,160.5261,727.6528,209.0725,191.2859,747.7408,-0.0469,0.0334,-0.0707,0.9958,1144.0000,1868.0000,1874.0000,,,,
