{HEADER}
user_id: 123
target_id: 262
target_screen_position_mm: [-88.11, 32.12]
fingertip_offset: [1.22, 33.85, 20.50]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,262,0,-284.1700,-113.8599,777.7894,-283.3600,-80.0010,757.2899,-0.0444,-0.1360,-0.0548,0.9882,1838.0000,1807.0000,1871.0000,,,,
0.0125,262,0,-275.4387,-104.4929,788.4606,-273.5224,-70.6785,767.9611,-0.0841,-0.1136,-0.0706,0.9874,1838.0000,1781.0000,1861.0000,,,,
0.0242,262,0,-275.4387,-104.4929,788.4606,-273.5224,-70.6785,767.9611,-0.0841,-0.1136,-0.0706,0.9874,1838.0000,1760.0000,1855.0000,,,,
0.0333,262,0,-275.4387,-104.4929,788.4606,-273.5224,-70.6785,767.9611,-0.0841,-0.1136,-0.0706,0.9874,1838.0000,1743.0000,1850.0000,,,,
0.0438,262,0,-282.6613,-113.6416,792.2427,-280.7000,-79.8298,771.7432,-0.0805,-0.0996,-0.0686,0.9894,1838.0000,1725.0000,1846.0000,,,,
0.0559,262,0,-282.6613,-113.6416,792.2427,-280.7000,-79.8298,771.7432,-0.0805,-0.0996,-0.0686,0.9894,1838.0000,1704.0000,1841.0000,,,,
0.0676,262,0,-281.5835,-115.4896,796.0382,-280.4101,-81.6413,775.5387,-0.0747,-0.0836,-0.0651,0.9916,1838.0000,1681.0000,1835.0000,,,,
0.0798,262,0,-281.5835,-115.4896,796.0382,-280.4101,-81.6413,775.5387,-0.0747,-0.0836,-0.0651,0.9916,1838.0000,1659.0000,1830.0000,,,,
0.0918,262,0,-277.4990,-113.6195,794.0065,-276.3060,-79.7718,773.5070,-0.0784,-0.0838,-0.0663,0.9912,1838.0000,1638.0000,1825.0000,,,,
0.1006,262,0,-277.4990,-113.6195,794.0065,-276.3060,-79.7718,773.5070,-0.0784,-0.0838,-0.0663,0.9912,1838.0000,1624.0000,1822.0000,,,,
0.1118,262,0,-277.4990,-113.6195,794.0065,-276.3060,-79.7718,773.5070,-0.0784,-0.0838,-0.0663,0.9912,1838.0000,1604.0000,1817.0000,,,,
0.1240,262,0,-277.1418,-114.2838,800.9252,-275.8748,-80.4389,780.4257,-0.0809,-0.0935,-0.0649,0.9902,1838.0000,1582.0000,1812.0000,,,,
0.1356,262,0,-277.1418,-114.2838,800.9252,-275.8748,-80.4389,780.4257,-0.0809,-0.0935,-0.0649,0.9902,1838.0000,1562.0000,1808.0000,,,,
0.1477,262,0,-270.6709,-112.7326,801.2512,-269.0749,-78.9016,780.7517,-0.0902,-0.0682,-0.0691,0.9912,1838.0000,1541.0000,1803.0000,,,,
0.1595,262,0,-270.6709,-112.7326,801.2512,-269.0749,-78.9016,780.7517,-0.0902,-0.0682,-0.0691,0.9912,1838.0000,1521.0000,1798.0000,,,,
0.1681,262,0,-270.6709,-112.7326,801.2512,-269.0749,-78.9016,780.7517,-0.0902,-0.0682,-0.0691,0.9912,1839.0000,1506.0000,1794.0000,,,,
0.1797,262,0,-271.2858,-115.2989,807.6699,-269.8598,-81.4603,787.1703,-0.0790,-0.0687,-0.0647,0.9924,1839.0000,1488.0000,1790.0000,,,,
0.1918,262,0,-271.2858,-115.2989,807.6699,-269.8598,-81.4603,787.1703,-0.0790,-0.0687,-0.0647,0.9924,1839.0000,1467.0000,1784.0000,,,,
0.2037,262,0,-270.6544,-114.4913,833.9649,-268.8242,-80.6721,813.4654,-0.1039,-0.0151,-0.0793,0.9913,1839.0000,1447.0000,1779.0000,,,,
0.2157,262,0,-270.6544,-114.4913,833.9649,-268.8242,-80.6721,813.4654,-0.1039,-0.0151,-0.0793,0.9913,1839.0000,1426.0000,1773.0000,,,,
0.2247,262,0,-247.2810,-109.7145,783.4814,-245.2615,-75.9061,762.9819,-0.0955,-0.0737,-0.0646,0.9906,1839.0000,1413.0000,1770.0000,,,,
0.2355,262,0,-247.2810,-109.7145,783.4814,-245.2615,-75.9061,762.9819,-0.0955,-0.0737,-0.0646,0.9906,1839.0000,1400.0000,1766.0000,,,,
0.2478,262,0,-240.8955,-105.7118,780.8870,-238.6841,-71.9154,760.3875,-0.1040,-0.0868,-0.0648,0.9887,1839.0000,1386.0000,1761.0000,,,,
0.2599,262,0,-240.8955,-105.7118,780.8870,-238.6841,-71.9154,760.3875,-0.1040,-0.0868,-0.0648,0.9887,1839.0000,1374.0000,1758.0000,,,,
0.2717,262,0,-240.8955,-105.7118,780.8870,-238.6841,-71.9154,760.3875,-0.1040,-0.0868,-0.0648,0.9887,1839.0000,1360.0000,1755.0000,,,,
0.2837,262,0,-245.0523,-108.2613,801.8171,-243.0623,-74.4511,781.3176,-0.0855,-0.0467,-0.0620,0.9933,1839.0000,1345.0000,1751.0000,,,,
0.2925,262,0,-245.0523,-108.2613,801.8171,-243.0623,-74.4511,781.3176,-0.0855,-0.0467,-0.0620,0.9933,1839.0000,1333.0000,1748.0000,,,,
0.3039,262,0,-236.8976,-111.4326,774.9503,-235.0368,-77.6152,754.4508,-0.1723,-0.2879,-0.0575,0.9403,1839.0000,1318.0000,1743.0000,,,,
0.3157,262,0,-236.8976,-111.4326,774.9503,-235.0368,-77.6152,754.4508,-0.1723,-0.2879,-0.0575,0.9403,1839.0000,1304.0000,1737.0000,,,,
0.3278,262,0,-231.1962,-107.5742,790.2438,-229.4763,-73.7492,769.7443,-0.1029,-0.0841,-0.0608,0.9893,1839.0000,1290.0000,1731.0000,,,,
0.3397,262,0,-231.1962,-107.5742,790.2438,-229.4763,-73.7492,769.7443,-0.1029,-0.0841,-0.0608,0.9893,1839.0000,1277.0000,1727.0000,,,,
0.3517,262,0,-231.1962,-107.5742,790.2438,-229.4763,-73.7492,769.7443,-0.1029,-0.0841,-0.0608,0.9893,1839.0000,1264.0000,1722.0000,,,,
0.3608,262,0,-230.2190,-107.6573,785.8638,-228.9739,-73.8115,765.3643,-0.0884,-0.0487,-0.0590,0.9931,1839.0000,1252.0000,1719.0000,,,,
0.3718,262,0,-230.2190,-107.6573,785.8638,-228.9739,-73.8115,765.3643,-0.0884,-0.0487,-0.0590,0.9931,1839.0000,1239.0000,1715.0000,,,,
0.3838,262,0,-219.8434,-102.9960,792.6943,-218.1823,-69.1681,772.1948,-0.0625,-0.0477,-0.0497,0.9957,1839.0000,1224.0000,1710.0000,,,,
0.3958,262,0,-219.8434,-102.9960,792.6943,-218.1823,-69.1681,772.1948,-0.0625,-0.0477,-0.0497,0.9957,1839.0000,1214.0000,1708.0000,,,,
0.4077,262,0,-225.4516,-99.9234,824.0228,-224.3248,-66.0735,803.5233,-0.0819,-0.0113,-0.0633,0.9946,1840.0000,1203.0000,1705.0000,,,,
0.4163,262,0,-225.4516,-99.9234,824.0228,-224.3248,-66.0735,803.5233,-0.0819,-0.0113,-0.0633,0.9946,1840.0000,1190.0000,1704.0000,,,,
0.4278,262,0,-225.4516,-99.9234,824.0228,-224.3248,-66.0735,803.5233,-0.0819,-0.0113,-0.0633,0.9946,1840.0000,1174.0000,1703.0000,,,,
0.4397,262,0,-198.4485,-94.1992,792.7073,-197.1623,-60.3550,772.2078,-0.0728,-0.0655,-0.0508,0.9939,1840.0000,1159.0000,1700.0000,,,,
0.4520,262,0,-198.4485,-94.1992,792.7073,-197.1623,-60.3550,772.2078,-0.0728,-0.0655,-0.0508,0.9939,1840.0000,1158.0000,1700.0000,,,,
0.4638,262,0,-189.4863,-86.7264,792.2717,-188.2852,-52.8790,771.7722,-0.0781,-0.0523,-0.0532,0.9941,1840.0000,1155.0000,1700.0000,,,,
0.4757,262,0,-189.4863,-86.7264,792.2717,-188.2852,-52.8790,771.7722,-0.0781,-0.0523,-0.0532,0.9941,1840.0000,1154.0000,1703.0000,,,,
0.4844,262,0,-183.7363,-81.8755,796.5273,-182.3974,-48.0333,776.0278,-0.0700,-0.0336,-0.0560,0.9954,1840.0000,1152.0000,1705.0000,,,,
0.4958,262,0,-183.7363,-81.8755,796.5273,-182.3974,-48.0333,776.0278,-0.0700,-0.0336,-0.0560,0.9954,1840.0000,1150.0000,1709.0000,,,,
0.5096,262,0,-182.4207,-85.0735,799.2194,-182.4619,-51.2049,778.7198,-0.1044,-0.3308,-0.0229,0.9376,1840.0000,1145.0000,1712.0000,,,,
0.5197,262,0,-182.4207,-85.0735,799.2194,-182.4619,-51.2049,778.7198,-0.1044,-0.3308,-0.0229,0.9376,1840.0000,1141.0000,1712.0000,,,,
0.5321,262,0,-182.4207,-85.0735,799.2194,-182.4619,-51.2049,778.7198,-0.1044,-0.3308,-0.0229,0.9376,1840.0000,1133.0000,1711.0000,,,,
0.5440,262,0,-166.1998,-78.8297,801.1093,-165.9396,-44.9621,780.6097,-0.0806,-0.0467,-0.0446,0.9947,1840.0000,1126.0000,1709.0000,,,,
0.5528,262,0,-166.1998,-78.8297,801.1093,-165.9396,-44.9621,780.6097,-0.0806,-0.0467,-0.0446,0.9947,1840.0000,1127.0000,1711.0000,,,,
0.5638,262,0,-158.5726,-73.6201,802.9003,-158.7999,-39.7522,782.4008,-0.0981,-0.3381,-0.0167,0.9359,1840.0000,1128.0000,1712.0000,,,,
0.5755,262,0,-158.5726,-73.6201,802.9003,-158.7999,-39.7522,782.4008,-0.0981,-0.3381,-0.0167,0.9359,1840.0000,1130.0000,1717.0000,,,,
0.5874,262,0,-146.4264,-68.5400,803.4161,-146.5571,-34.6716,782.9166,-0.0608,-0.0239,-0.0395,0.9971,1840.0000,1130.0000,1720.0000,,,,
0.5997,262,0,-146.4264,-68.5400,803.4161,-146.5571,-34.6716,782.9166,-0.0608,-0.0239,-0.0395,0.9971,1840.0000,1136.0000,1726.0000,,,,
0.6082,262,0,-146.4264,-68.5400,803.4161,-146.5571,-34.6716,782.9166,-0.0608,-0.0239,-0.0395,0.9971,1840.0000,1139.0000,1729.0000,,,,
0.6197,262,0,-126.7807,-61.2854,807.5731,-126.9346,-27.4171,787.0735,-0.0463,0.0077,-0.0379,0.9982,1840.0000,1141.0000,1733.0000,,,,
0.6319,262,0,-126.7807,-61.2854,807.5731,-126.9346,-27.4171,787.0735,-0.0463,0.0077,-0.0379,0.9982,1840.0000,1156.0000,1740.0000,,,,
0.6437,262,0,-114.2729,-59.5104,809.2121,-114.6021,-25.6433,788.7126,-0.0392,-0.0095,-0.0349,0.9986,1840.0000,1168.0000,1746.0000,,,,
0.6558,262,0,-114.2729,-59.5104,809.2121,-114.6021,-25.6433,788.7126,-0.0392,-0.0095,-0.0349,0.9986,1840.0000,1186.0000,1752.0000,,,,
0.6678,262,0,-99.4508,-56.2072,838.0845,-98.5127,-22.3515,817.5850,-0.0126,-0.0342,-0.0356,0.9987,1840.0000,1199.0000,1756.0000,,,,
0.6769,262,0,-99.4508,-56.2072,838.0845,-98.5127,-22.3515,817.5850,-0.0126,-0.0342,-0.0356,0.9987,1840.0000,1217.0000,1761.0000,,,,
0.6877,262,0,-98.5510,-49.3585,835.7748,-98.7918,-15.4907,815.2753,-0.0514,-0.0160,-0.0372,0.9979,1840.0000,1234.0000,1765.0000,,,,
0.6997,262,0,-98.5510,-49.3585,835.7748,-98.7918,-15.4907,815.2753,-0.0514,-0.0160,-0.0372,0.9979,1840.0000,1247.0000,1775.0000,,,,
