{HEADER}
user_id: 123
target_id: 262
target_screen_position_mm: [-88.11, 32.12]
fingertip_offset: [1.51, 33.58, 19.27]
completion_time: 7.5637
endpoint_error_mm: [1.5762, -6.6766, 1.5390]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,262,0,-121.8449,-3.8753,756.6439,-125.3916,29.5469,737.3718,-0.0113,0.0053,0.0179,0.9998,1862.0000,1825.0000,1876.0000,,,,
0.0121,262,0,-121.8449,-3.8753,756.6439,-125.3916,29.5469,737.3718,-0.0113,0.0053,0.0179,0.9998,1862.0000,1823.0000,1876.0000,,,,
0.0247,262,0,-121.8449,-3.8753,756.6439,-125.3916,29.5469,737.3718,-0.0113,0.0053,0.0179,0.9998,1862.0000,1820.0000,1876.0000,,,,
0.0335,262,0,-121.3991,-2.7861,756.4739,-125.2379,30.6039,737.2017,-0.0111,0.0035,0.0188,0.9998,1862.0000,1817.0000,1876.0000,,,,
0.0438,262,0,-121.3991,-2.7861,756.4739,-125.2379,30.6039,737.2017,-0.0111,0.0035,0.0188,0.9998,1862.0000,1812.0000,1876.0000,,,,
0.0558,262,0,-120.1959,-1.5796,753.2374,-124.1091,31.8017,733.9653,-0.0119,0.0058,0.0184,0.9997,1862.0000,1806.0000,1876.0000,,,,
0.0680,262,0,-120.1959,-1.5796,753.2374,-124.1091,31.8017,733.9653,-0.0119,0.0058,0.0184,0.9997,1862.0000,1800.0000,1876.0000,,,,
0.0800,262,0,-120.3931,-1.1544,757.0287,-124.2622,32.2320,737.7565,-0.0104,0.0045,0.0191,0.9998,1862.0000,1794.0000,1876.0000,,,,
0.0919,262,0,-120.3931,-1.1544,757.0287,-124.2622,32.2320,737.7565,-0.0104,0.0045,0.0191,0.9998,1862.0000,1788.0000,1876.0000,,,,
0.1006,262,0,-120.3931,-1.1544,757.0287,-124.2622,32.2320,737.7565,-0.0104,0.0045,0.0191,0.9998,1862.0000,1784.0000,1876.0000,,,,
0.1118,262,0,-117.6567,-0.3620,746.2237,-121.5662,33.0198,726.9515,-0.0074,0.0090,0.0199,0.9997,1862.0000,1778.0000,1876.0000,,,,
0.1240,262,0,-117.6567,-0.3620,746.2237,-121.5662,33.0198,726.9515,-0.0074,0.0090,0.0199,0.9997,1862.0000,1771.0000,1876.0000,,,,
0.1362,262,0,-117.9677,-0.0986,758.3997,-121.8113,33.2908,739.1276,-0.0133,0.0054,0.0183,0.9997,1862.0000,1765.0000,1876.0000,,,,
0.1482,262,0,-117.9677,-0.0986,758.3997,-121.8113,33.2908,739.1276,-0.0133,0.0054,0.0183,0.9997,1862.0000,1759.0000,1876.0000,,,,
0.1599,262,0,-116.5714,1.2974,754.3307,-120.1919,34.7117,735.0585,-0.0114,0.0056,0.0179,0.9998,1862.0000,1753.0000,1876.0000,,,,
0.1692,262,0,-116.5714,1.2974,754.3307,-120.1919,34.7117,735.0585,-0.0114,0.0056,0.0179,0.9998,1862.0000,1749.0000,1876.0000,,,,
0.1800,262,0,-116.5714,1.2974,754.3307,-120.1919,34.7117,735.0585,-0.0114,0.0056,0.0179,0.9998,1862.0000,1743.0000,1876.0000,,,,
0.1921,262,0,-115.1228,2.8464,755.3922,-118.8078,36.2537,736.1200,-0.0109,0.0081,0.0179,0.9997,1862.0000,1738.0000,1876.0000,,,,
0.2038,262,0,-115.1228,2.8464,755.3922,-118.8078,36.2537,736.1200,-0.0109,0.0081,0.0179,0.9997,1862.0000,1733.0000,1876.0000,,,,
0.2159,262,0,-111.9015,6.5332,750.8018,-115.5868,39.9404,731.5297,-0.0100,0.0074,0.0178,0.9998,1862.0000,1728.0000,1876.0000,,,,
0.2245,262,0,-111.9015,6.5332,750.8018,-115.5868,39.9404,731.5297,-0.0100,0.0074,0.0178,0.9998,1862.0000,1724.0000,1876.0000,,,,
0.2358,262,0,-111.9015,6.5332,750.8018,-115.5868,39.9404,731.5297,-0.0100,0.0074,0.0178,0.9998,1862.0000,1720.0000,1876.0000,,,,
0.2480,262,0,-110.8283,9.0149,750.4324,-114.5544,42.4176,731.1602,-0.0081,0.0091,0.0180,0.9998,1862.0000,1715.0000,1876.0000,,,,
0.2601,262,0,-110.8283,9.0149,750.4324,-114.5544,42.4176,731.1602,-0.0081,0.0091,0.0180,0.9998,1862.0000,1710.0000,1876.0000,,,,
0.2721,262,0,-108.1874,13.0047,743.2714,-111.6490,46.4358,723.9993,-0.0050,0.0092,0.0182,0.9998,1862.0000,1706.0000,1876.0000,,,,
0.2840,262,0,-108.1874,13.0047,743.2714,-111.6490,46.4358,723.9993,-0.0050,0.0092,0.0182,0.9998,1862.0000,1702.0000,1876.0000,,,,
0.2926,262,0,-107.2614,15.9153,748.3368,-110.8714,49.3308,729.0646,-0.0043,0.0105,0.0191,0.9998,1862.0000,1699.0000,1876.0000,,,,
0.3039,262,0,-107.2614,15.9153,748.3368,-110.8714,49.3308,729.0646,-0.0043,0.0105,0.0191,0.9998,1862.0000,1695.0000,1876.0000,,,,
0.3166,262,0,-105.3832,17.9412,747.1937,-108.9526,51.3610,727.9216,-0.0060,0.0094,0.0191,0.9998,1862.0000,1691.0000,1876.0000,,,,
0.3280,262,0,-105.3832,17.9412,747.1937,-108.9526,51.3610,727.9216,-0.0060,0.0094,0.0191,0.9998,1862.0000,1687.0000,1876.0000,,,,
0.3400,262,0,-105.3832,17.9412,747.1937,-108.9526,51.3610,727.9216,-0.0060,0.0094,0.0191,0.9998,1862.0000,1682.0000,1876.0000,,,,
0.3491,262,0,-103.7098,19.6702,743.2025,-107.2249,53.0958,723.9304,-0.0005,0.0130,0.0183,0.9997,1862.0000,1679.0000,1876.0000,,,,
