{HEADER}
user_id: 123
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [-0.08, 32.54, 20.54]
completion_time: 7.2838
endpoint_error_mm: [-5.8469, 7.0710, 1.0873]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,126,0,60.4776,70.8317,785.6321,61.6557,103.3532,765.0881,-0.0054,-0.0124,-0.0460,0.9988,1882.0000,1857.0000,1895.0000,,,,
0.0153,126,0,60.4776,70.8317,785.6321,61.6557,103.3532,765.0881,-0.0054,-0.0124,-0.0460,0.9988,1879.0000,1857.0000,1895.0000,,,,
0.0305,126,0,66.0132,74.8468,787.8848,67.2462,107.3663,767.3408,-0.0003,-0.0088,-0.0444,0.9990,1872.0000,1857.0000,1895.0000,,,,
0.0398,126,0,66.0132,74.8468,787.8848,67.2462,107.3663,767.3408,-0.0003,-0.0088,-0.0444,0.9990,1867.0000,1857.0000,1895.0000,,,,
0.0483,126,0,74.4047,83.0520,842.7997,76.1070,115.5503,822.2557,-0.0091,-0.0523,-0.0482,0.9974,1861.0000,1857.0000,1895.0000,,,,
0.0569,126,0,74.4047,83.0520,842.7997,76.1070,115.5503,822.2557,-0.0091,-0.0523,-0.0482,0.9974,1855.0000,1857.0000,1895.0000,,,,
0.0681,126,0,74.4047,83.0520,842.7997,76.1070,115.5503,822.2557,-0.0091,-0.0523,-0.0482,0.9974,1846.0000,1857.0000,1895.0000,,,,
0.0799,126,0,68.8746,75.9167,820.6709,69.5300,108.4529,800.1269,-0.0194,-0.0488,-0.0477,0.9975,1837.0000,1857.0000,1895.0000,,,,
0.0919,126,0,68.8746,75.9167,820.6709,69.5300,108.4529,800.1269,-0.0194,-0.0488,-0.0477,0.9975,1827.0000,1857.0000,1895.0000,,,,
0.1040,126,0,58.9858,74.1306,786.3430,59.9649,106.6587,765.7990,-0.0025,0.0002,-0.0452,0.9990,1818.0000,1857.0000,1895.0000,,,,
0.1129,126,0,58.9858,74.1306,786.3430,59.9649,106.6587,765.7990,-0.0025,0.0002,-0.0452,0.9990,1813.0000,1857.0000,1895.0000,,,,
0.1239,126,0,58.9858,74.1306,786.3430,59.9649,106.6587,765.7990,-0.0025,0.0002,-0.0452,0.9990,1805.0000,1857.0000,1896.0000,,,,
0.1359,126,0,63.6249,74.6340,786.6268,65.0929,107.1437,766.0828,-0.0003,-0.0038,-0.0448,0.9990,1797.0000,1857.0000,1896.0000,,,,
0.1480,126,0,63.6249,74.6340,786.6268,65.0929,107.1437,766.0828,-0.0003,-0.0038,-0.0448,0.9990,1788.0000,1857.0000,1896.0000,,,,
0.1598,126,0,73.3402,78.8055,817.5625,75.5982,111.2699,797.0185,-0.0138,-0.0491,-0.0490,0.9975,1780.0000,1857.0000,1896.0000,,,,
0.1720,126,0,73.3402,78.8055,817.5625,75.5982,111.2699,797.0185,-0.0138,-0.0491,-0.0490,0.9975,1770.0000,1857.0000,1896.0000,,,,
0.1807,126,0,68.5417,80.2627,791.9131,69.7359,112.7836,771.3691,-0.0137,-0.0364,-0.0495,0.9980,1763.0000,1857.0000,1896.0000,,,,
0.1920,126,0,68.5417,80.2627,791.9131,69.7359,112.7836,771.3691,-0.0137,-0.0364,-0.0495,0.9980,1754.0000,1857.0000,1896.0000,,,,
0.2040,126,0,68.5417,80.2627,791.9131,69.7359,112.7836,771.3691,-0.0137,-0.0364,-0.0495,0.9980,1745.0000,1857.0000,1896.0000,,,,
0.2159,126,0,55.0527,74.6224,786.7313,56.5328,107.1315,766.1873,0.0032,0.0058,-0.0461,0.9989,1737.0000,1857.0000,1896.0000,,,,
0.2279,126,0,55.0527,74.6224,786.7313,56.5328,107.1315,766.1873,0.0032,0.0058,-0.0461,0.9989,1731.0000,1857.0000,1896.0000,,,,
0.2366,126,0,58.0059,74.3965,783.9012,58.9316,106.9262,763.3572,0.0098,-0.0150,-0.0430,0.9989,1727.0000,1857.0000,1896.0000,,,,
0.2478,126,0,58.0059,74.3965,783.9012,58.9316,106.9262,763.3572,0.0098,-0.0150,-0.0430,0.9989,1720.0000,1857.0000,1896.0000,,,,
0.2600,126,0,80.0789,86.3562,818.6827,81.0481,118.8846,798.1387,-0.0180,-0.0412,-0.0493,0.9978,1713.0000,1857.0000,1896.0000,,,,
