{HEADER}
user_id: 123
target_id: 323
target_screen_position_mm: [-71.92, 63.96]
fingertip_offset: [-0.08, 32.54, 20.54]
completion_time: 10.0265
endpoint_error_mm: [17.9546, -5.3407, 1.0717]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,323,0,-73.8269,-298.9483,868.0556,-63.2922,-268.1578,847.5116,-0.1232,0.0858,-0.1709,0.9738,1866.0000,1835.0000,1884.0000,,,,
0.0120,323,0,-73.8269,-298.9483,868.0556,-63.2922,-268.1578,847.5116,-0.1232,0.0858,-0.1709,0.9738,1866.0000,1837.0000,1869.0000,,,,
0.0229,323,0,-73.8269,-298.9483,868.0556,-63.2922,-268.1578,847.5116,-0.1232,0.0858,-0.1709,0.9738,1866.0000,1842.0000,1854.0000,,,,
0.2146,323,0,297.2383,-425.1182,869.5746,305.2127,-393.5675,849.0306,-0.2187,-0.1676,-0.1685,0.9464,1866.0000,1842.0000,1875.0000,,,,
0.2268,323,0,297.2383,-425.1182,869.5746,305.2127,-393.5675,849.0306,-0.2187,-0.1676,-0.1685,0.9464,1841.0000,1842.0000,1765.0000,,,,
0.2356,323,0,297.2383,-425.1182,869.5746,305.2127,-393.5675,849.0306,-0.2187,-0.1676,-0.1685,0.9464,1823.0000,1842.0000,1695.0000,,,,
0.3826,323,0,-41.5445,-153.7039,812.4716,-35.2176,-121.7821,791.9276,-0.0091,0.0746,-0.1112,0.9909,1865.0000,1842.0000,1859.0000,,,,
0.3948,323,0,-41.5445,-153.7039,812.4716,-35.2176,-121.7821,791.9276,-0.0091,0.0746,-0.1112,0.9909,1867.0000,1842.0000,1778.0000,,,,
0.4274,323,0,-91.7302,-174.0991,884.6329,-86.1273,-142.0422,864.0889,0.0265,0.0607,-0.1160,0.9910,1867.0000,1842.0000,1779.0000,,,,
0.4386,323,0,-91.7302,-174.0991,884.6329,-86.1273,-142.0422,864.0889,0.0265,0.0607,-0.1160,0.9910,1867.0000,1842.0000,1732.0000,,,,
0.4506,323,0,-91.7302,-174.0991,884.6329,-86.1273,-142.0422,864.0889,0.0265,0.0607,-0.1160,0.9910,1867.0000,1842.0000,1686.0000,,,,
0.4634,323,0,-57.1071,-139.9213,813.3224,-50.6197,-108.0317,792.7784,0.0062,-0.2283,-0.0661,0.9713,1867.0000,1842.0000,1647.0000,,,,
0.4747,323,0,-57.1071,-139.9213,813.3224,-50.6197,-108.0317,792.7784,0.0062,-0.2283,-0.0661,0.9713,1867.0000,1842.0000,1630.0000,,,,
0.4866,323,0,-11.6213,-182.1926,841.2549,-6.6309,-150.0347,820.7109,-0.1217,-0.2311,-0.1263,0.9570,1867.0000,1842.0000,1609.0000,,,,
0.4953,323,0,-11.6213,-182.1926,841.2549,-6.6309,-150.0347,820.7109,-0.1217,-0.2311,-0.1263,0.9570,1867.0000,1842.0000,1564.0000,,,,
0.5633,323,0,-84.9734,-116.6308,881.0565,-78.3036,-84.7788,860.5125,-0.1042,0.0297,-0.1139,0.9876,1867.0000,1842.0000,1754.0000,,,,
0.5753,323,0,-84.9734,-116.6308,881.0565,-78.3036,-84.7788,860.5125,-0.1042,0.0297,-0.1139,0.9876,1867.0000,1842.0000,1733.0000,,,,
0.5866,323,0,-76.9303,-118.0086,829.4326,-71.3830,-85.9421,808.8885,-0.0377,-0.0012,-0.0918,0.9951,1867.0000,1818.0000,1715.0000,,,,
0.5986,323,0,-76.9303,-118.0086,829.4326,-71.3830,-85.9421,808.8885,-0.0377,-0.0012,-0.0918,0.9951,1867.0000,1803.0000,1696.0000,,,,
0.6105,323,0,-76.9303,-118.0086,829.4326,-71.3830,-85.9421,808.8885,-0.0377,-0.0012,-0.0918,0.9951,1867.0000,1790.0000,1679.0000,,,,
0.6425,323,0,-71.0276,-110.5744,832.6721,-67.1106,-78.2682,812.1281,-0.0353,0.0037,-0.0866,0.9956,1867.0000,1803.0000,1747.0000,,,,
0.6544,323,0,-71.0276,-110.5744,832.6721,-67.1106,-78.2682,812.1281,-0.0353,0.0037,-0.0866,0.9956,1867.0000,1791.0000,1724.0000,,,,
