{HEADER}
user_id: 123
target_id: 309
target_screen_position_mm: [183.92, 48.04]
fingertip_offset: [-0.08, 32.54, 20.54]
completion_time: 10.4885
endpoint_error_mm: [-8.3289, -7.2498, 1.9715]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,309,0,282.7588,37.6093,757.0449,286.8400,69.8952,736.5009,-0.0085,0.0321,-0.0855,0.9958,1862.0000,1846.0000,1892.0000,,,,
0.0102,309,0,284.3552,40.0870,761.0654,288.3551,72.3830,740.5214,-0.0076,0.0390,-0.0836,0.9957,1859.0000,1845.0000,1892.0000,,,,
0.0219,309,0,284.3552,40.0870,761.0654,288.3551,72.3830,740.5214,-0.0076,0.0390,-0.0836,0.9957,1848.0000,1848.0000,1892.0000,,,,
0.0320,309,0,284.2256,41.9271,759.0217,288.2588,74.2190,738.4777,-0.0062,0.0346,-0.0826,0.9960,1838.0000,1848.0000,1892.0000,,,,
0.0439,309,0,284.2256,41.9271,759.0217,288.2588,74.2190,738.4777,-0.0062,0.0346,-0.0826,0.9960,1825.0000,1848.0000,1892.0000,,,,
0.0559,309,0,284.2256,41.9271,759.0217,288.2588,74.2190,738.4777,-0.0062,0.0346,-0.0826,0.9960,1808.0000,1848.0000,1892.0000,,,,
0.0678,309,0,283.6561,41.5288,753.7819,287.1500,73.8835,733.2379,-0.0081,0.0315,-0.0824,0.9961,1792.0000,1848.0000,1892.0000,,,,
0.0767,309,0,283.6561,41.5288,753.7819,287.1500,73.8835,733.2379,-0.0081,0.0315,-0.0824,0.9961,1780.0000,1848.0000,1892.0000,,,,
0.0879,309,0,286.8190,41.6325,757.9575,291.4778,73.8401,737.4135,-0.0040,0.0260,-0.0817,0.9963,1764.0000,1847.0000,1892.0000,,,,
0.0997,309,0,286.8190,41.6325,757.9575,291.4778,73.8401,737.4135,-0.0040,0.0260,-0.0817,0.9963,1747.0000,1847.0000,1892.0000,,,,
0.1119,309,0,291.0966,40.3415,759.5784,294.6514,72.6896,739.0344,-0.0074,0.0350,-0.0814,0.9960,1730.0000,1847.0000,1892.0000,,,,
0.1242,309,0,291.0966,40.3415,759.5784,294.6514,72.6896,739.0344,-0.0074,0.0350,-0.0814,0.9960,1711.0000,1847.0000,1892.0000,,,,
0.1358,309,0,297.2046,33.0532,758.4169,300.9786,65.3764,737.8729,-0.0066,0.0324,-0.0773,0.9965,1695.0000,1847.0000,1892.0000,,,,
0.1445,309,0,297.2046,33.0532,758.4169,300.9786,65.3764,737.8729,-0.0066,0.0324,-0.0773,0.9965,1682.0000,1847.0000,1892.0000,,,,
0.1560,309,0,297.2046,33.0532,758.4169,300.9786,65.3764,737.8729,-0.0066,0.0324,-0.0773,0.9965,1666.0000,1847.0000,1892.0000,,,,
0.1678,309,0,303.3108,29.0725,764.5499,306.4014,61.4682,744.0059,-0.0100,0.0340,-0.0741,0.9966,1650.0000,1847.0000,1892.0000,,,,
0.1800,309,0,303.3108,29.0725,764.5499,306.4014,61.4682,744.0059,-0.0100,0.0340,-0.0741,0.9966,1633.0000,1847.0000,1892.0000,,,,
0.1930,309,0,303.7814,27.2893,767.0590,307.4066,59.6296,746.5150,-0.0112,0.0359,-0.0757,0.9964,1615.0000,1847.0000,1892.0000,,,,
0.2018,309,0,303.7814,27.2893,767.0590,307.4066,59.6296,746.5150,-0.0112,0.0359,-0.0757,0.9964,1604.0000,1847.0000,1892.0000,,,,
0.2118,309,0,303.7679,23.0541,768.8104,307.0945,55.4265,748.2664,-0.0077,0.0367,-0.0747,0.9965,1591.0000,1847.0000,1892.0000,,,,
0.2238,309,0,303.7679,23.0541,768.8104,307.0945,55.4265,748.2664,-0.0077,0.0367,-0.0747,0.9965,1576.0000,1847.0000,1892.0000,,,,
0.2359,309,0,303.7679,23.0541,768.8104,307.0945,55.4265,748.2664,-0.0077,0.0367,-0.0747,0.9965,1562.0000,1847.0000,1892.0000,,,,
0.2478,309,0,305.3343,22.6625,770.7263,308.7162,55.0292,750.1823,-0.0139,0.0371,-0.0756,0.9963,1546.0000,1847.0000,1892.0000,,,,
0.2606,309,0,305.3343,22.6625,770.7263,308.7162,55.0292,750.1823,-0.0139,0.0371,-0.0756,0.9963,1528.0000,1847.0000,1891.0000,,,,
0.2694,309,0,304.9349,22.1842,764.5762,308.3638,54.5459,744.0322,-0.0135,0.0351,-0.0771,0.9963,1517.0000,1847.0000,1891.0000,,,,
0.2798,309,0,304.9349,22.1842,764.5762,308.3638,54.5459,744.0322,-0.0135,0.0351,-0.0771,0.9963,1502.0000,1847.0000,1891.0000,,,,
0.2918,309,0,307.9630,22.8679,772.4347,311.3564,55.2333,751.8907,-0.0129,0.0361,-0.0780,0.9962,1486.0000,1847.0000,1891.0000,,,,
0.3038,309,0,307.9630,22.8679,772.4347,311.3564,55.2333,751.8907,-0.0129,0.0361,-0.0780,0.9962,1469.0000,1847.0000,1891.0000,,,,
0.3159,309,0,304.8134,23.1929,774.2289,308.3699,55.5408,753.6849,-0.0134,0.0342,-0.0787,0.9962,1453.0000,1847.0000,1891.0000,,,,
0.3279,309,0,304.8134,23.1929,774.2289,308.3699,55.5408,753.6849,-0.0134,0.0342,-0.0787,0.9962,1437.0000,1847.0000,1891.0000,,,,
0.3368,309,0,304.8134,23.1929,774.2289,308.3699,55.5408,753.6849,-0.0134,0.0342,-0.0787,0.9962,1425.0000,1847.0000,1891.0000,,,,
0.3479,309,0,299.1335,22.4382,771.6994,302.7033,54.7847,751.1554,-0.0103,0.0323,-0.0779,0.9964,1411.0000,1847.0000,1891.0000,,,,
0.3599,309,0,299.1335,22.4382,771.6994,302.7033,54.7847,751.1554,-0.0103,0.0323,-0.0779,0.9964,1397.0000,1847.0000,1891.0000,,,,
0.3719,309,0,296.7451,22.3659,765.5562,300.5261,54.6883,745.0122,-0.0156,0.0338,-0.0771,0.9963,1382.0000,1847.0000,1891.0000,,,,
0.3838,309,0,296.7451,22.3659,765.5562,300.5261,54.6883,745.0122,-0.0156,0.0338,-0.0771,0.9963,1368.0000,1847.0000,1891.0000,,,,
0.3926,309,0,301.0303,21.1438,776.5590,304.5399,53.4968,756.0150,-0.0149,0.0317,-0.0787,0.9963,1356.0000,1847.0000,1891.0000,,,,
0.4042,309,0,301.0303,21.1438,776.5590,304.5399,53.4968,756.0150,-0.0149,0.0317,-0.0787,0.9963,1341.0000,1847.0000,1891.0000,,,,
0.4160,309,0,301.0303,21.1438,776.5590,304.5399,53.4968,756.0150,-0.0149,0.0317,-0.0787,0.9963,1325.0000,1847.0000,1891.0000,,,,
0.4279,309,0,300.3767,21.5405,775.4332,304.5562,53.8138,754.8892,-0.0106,0.0259,-0.0788,0.9965,1308.0000,1847.0000,1891.0000,,,,
0.4399,309,0,300.3767,21.5405,775.4332,304.5562,53.8138,754.8892,-0.0106,0.0259,-0.0788,0.9965,1293.0000,1847.0000,1891.0000,,,,
0.4519,309,0,296.8259,20.3388,779.2907,300.8309,52.6342,758.7467,-0.0148,0.0288,-0.0816,0.9961,1276.0000,1847.0000,1891.0000,,,,
0.4614,309,0,296.8259,20.3388,779.2907,300.8309,52.6342,758.7467,-0.0148,0.0288,-0.0816,0.9961,1265.0000,1847.0000,1891.0000,,,,
0.4724,309,0,294.1002,22.4395,780.0386,298.0027,54.7475,759.4946,-0.0164,0.0267,-0.0837,0.9960,1252.0000,1847.0000,1891.0000,,,,
