{HEADER}
user_id: 123
target_id: 136
target_screen_position_mm: [-183.92, -32.12]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 13.2910
endpoint_error_mm: [9.4978, 4.8518, 3.6213]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,136,0,-4.5050,-9.4130,376.9239,-3.7727,23.2695,353.7100,-0.0275,0.1694,-0.0412,0.9843,1824.0000,1830.0000,1872.0000,,,,
0.0114,136,0,-4.5050,-9.4130,376.9239,-3.7727,23.2695,353.7100,-0.0275,0.1694,-0.0412,0.9843,1819.0000,1830.0000,1871.0000,,,,
0.0235,136,0,-4.5050,-9.4130,376.9239,-3.7727,23.2695,353.7100,-0.0275,0.1694,-0.0412,0.9843,1815.0000,1830.0000,1871.0000,,,,
0.0352,136,0,6.3651,-8.8482,421.3358,7.9410,23.8045,398.1219,-0.0276,-0.2078,-0.0280,0.9774,1814.0000,1830.0000,1872.0000,,,,
0.0471,136,0,6.3651,-8.8482,421.3358,7.9410,23.8045,398.1219,-0.0276,-0.2078,-0.0280,0.9774,1813.0000,1830.0000,1872.0000,,,,
0.0557,136,0,6.3651,-8.8482,421.3358,7.9410,23.8045,398.1219,-0.0276,-0.2078,-0.0280,0.9774,1812.0000,1830.0000,1872.0000,,,,
0.0669,136,0,8.4077,-8.3576,416.7067,8.9967,24.3278,393.4928,-0.2974,-0.1206,-0.0419,0.9462,1812.0000,1830.0000,1872.0000,,,,
0.0790,136,0,8.4077,-8.3576,416.7067,8.9967,24.3278,393.4928,-0.2974,-0.1206,-0.0419,0.9462,1812.0000,1830.0000,1872.0000,,,,
0.0911,136,0,8.4077,-8.3576,416.7067,8.9967,24.3278,393.4928,-0.2974,-0.1206,-0.0419,0.9462,1812.0000,1830.0000,1872.0000,,,,
0.1032,136,0,9.1846,-8.3101,422.5642,9.4981,24.3791,399.3503,-0.1513,0.4963,0.1631,0.8392,1812.0000,1830.0000,1872.0000,,,,
0.1150,136,0,9.1846,-8.3101,422.5642,9.4981,24.3791,399.3503,-0.1513,0.4963,0.1631,0.8392,1812.0000,1830.0000,1872.0000,,,,
0.1237,136,0,9.1846,-8.3101,422.5642,9.4981,24.3791,399.3503,-0.1513,0.4963,0.1631,0.8392,1812.0000,1830.0000,1872.0000,,,,
0.1353,136,0,15.6203,-9.6361,432.5824,17.1330,23.0195,409.3685,0.5183,0.1883,-0.2233,0.8038,1811.0000,1830.0000,1872.0000,,,,
0.1472,136,0,15.6203,-9.6361,432.5824,17.1330,23.0195,409.3685,0.5183,0.1883,-0.2233,0.8038,1811.0000,1830.0000,1872.0000,,,,
0.1596,136,0,19.9385,-11.0604,449.7798,20.1995,21.6292,426.5659,0.3700,0.2454,-0.3566,0.8220,1810.0000,1830.0000,1872.0000,,,,
0.1712,136,0,19.9385,-11.0604,449.7798,20.1995,21.6292,426.5659,0.3700,0.2454,-0.3566,0.8220,1809.0000,1830.0000,1872.0000,,,,
0.1831,136,0,19.9385,-11.0604,449.7798,20.1995,21.6292,426.5659,0.3700,0.2454,-0.3566,0.8220,1808.0000,1830.0000,1872.0000,,,,
0.1918,136,0,23.8465,-11.7100,477.3828,24.1468,20.9793,454.1689,0.0165,-0.2609,-0.0255,0.9649,1807.0000,1830.0000,1872.0000,,,,
0.2033,136,0,23.8465,-11.7100,477.3828,24.1468,20.9793,454.1689,0.0165,-0.2609,-0.0255,0.9649,1805.0000,1830.0000,1872.0000,,,,
0.2151,136,0,23.8465,-11.7100,477.3828,24.1468,20.9793,454.1689,0.0165,-0.2609,-0.0255,0.9649,1804.0000,1830.0000,1872.0000,,,,
0.2271,136,0,23.0019,-11.8356,441.1783,23.2238,20.8543,417.9644,0.2496,0.6032,-0.2985,0.6962,1802.0000,1830.0000,1872.0000,,,,
0.2392,136,0,23.0019,-11.8356,441.1783,23.2238,20.8543,417.9644,0.2496,0.6032,-0.2985,0.6962,1801.0000,1830.0000,1872.0000,,,,
0.2480,136,0,23.0019,-11.8356,441.1783,23.2238,20.8543,417.9644,0.2496,0.6032,-0.2985,0.6962,1800.0000,1830.0000,1872.0000,,,,
0.2600,136,0,29.0200,-9.6920,421.9641,29.6041,22.9935,398.7502,0.1515,0.4879,-0.2714,0.8157,1798.0000,1830.0000,1872.0000,,,,
0.2720,136,0,29.0200,-9.6920,421.9641,29.6041,22.9935,398.7502,0.1515,0.4879,-0.2714,0.8157,1796.0000,1830.0000,1872.0000,,,,
0.2829,136,0,29.0200,-9.6920,421.9641,29.6041,22.9935,398.7502,0.1515,0.4879,-0.2714,0.8157,1793.0000,1830.0000,1872.0000,,,,
0.2950,136,0,29.9101,-9.9634,450.1650,30.5301,22.7213,426.9511,0.0210,-0.2203,-0.0240,0.9749,1791.0000,1830.0000,1872.0000,,,,
0.3073,136,0,29.9101,-9.9634,450.1650,30.5301,22.7213,426.9511,0.0210,-0.2203,-0.0240,0.9749,1789.0000,1830.0000,1872.0000,,,,
0.3159,136,0,29.9101,-9.9634,450.1650,30.5301,22.7213,426.9511,0.0210,-0.2203,-0.0240,0.9749,1787.0000,1830.0000,1872.0000,,,,
