{HEADER}
user_id: 123
target_id: 234
target_screen_position_mm: [-56.00, 15.92]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 11.6285
endpoint_error_mm: [-32.1518, -13.9428, 5.6254]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,234,0,27.1791,-76.9891,693.9771,55.0449,-59.8959,670.7631,-0.0420,0.0808,-0.5039,0.8589,1818.0000,1817.0000,1868.0000,,,,
0.0124,234,0,27.1791,-76.9891,693.9771,55.0449,-59.8959,670.7631,-0.0420,0.0808,-0.5039,0.8589,1818.0000,1817.0000,1860.0000,,,,
0.0240,234,0,27.1791,-76.9891,693.9771,55.0449,-59.8959,670.7631,-0.0420,0.0808,-0.5039,0.8589,1818.0000,1817.0000,1855.0000,,,,
0.0327,234,0,25.1113,-78.4160,693.8826,53.0324,-61.4133,670.6686,-0.0433,0.0825,-0.5053,0.8579,1818.0000,1817.0000,1852.0000,,,,
0.0442,234,0,25.1113,-78.4160,693.8826,53.0324,-61.4133,670.6686,-0.0433,0.0825,-0.5053,0.8579,1818.0000,1817.0000,1849.0000,,,,
0.0559,234,0,21.2377,-79.9991,692.9308,49.3247,-63.2719,669.7169,-0.0426,0.0811,-0.5079,0.8565,1818.0000,1817.0000,1846.0000,,,,
0.0685,234,0,21.2377,-79.9991,692.9308,49.3247,-63.2719,669.7169,-0.0426,0.0811,-0.5079,0.8565,1818.0000,1817.0000,1843.0000,,,,
0.0800,234,0,21.2377,-79.9991,692.9308,49.3247,-63.2719,669.7169,-0.0426,0.0811,-0.5079,0.8565,1818.0000,1817.0000,1841.0000,,,,
0.0919,234,0,17.9074,-80.9033,694.2936,46.0635,-64.2926,671.0797,-0.0411,0.0789,-0.5102,0.8554,1816.0000,1817.0000,1838.0000,,,,
0.1006,234,0,17.9074,-80.9033,694.2936,46.0635,-64.2926,671.0797,-0.0411,0.0789,-0.5102,0.8554,1815.0000,1817.0000,1836.0000,,,,
0.1119,234,0,13.7956,-82.2835,694.6652,41.9553,-65.6791,671.4513,-0.0421,0.0791,-0.5105,0.8552,1814.0000,1817.0000,1834.0000,,,,
0.1242,234,0,13.7956,-82.2835,694.6652,41.9553,-65.6791,671.4513,-0.0421,0.0791,-0.5105,0.8552,1813.0000,1817.0000,1830.0000,,,,
