{HEADER}
user_id: 123
target_id: 152
target_screen_position_mm: [71.92, -32.12]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 8.0158
endpoint_error_mm: [-23.5866, -6.5193, 2.0911]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,152,0,156.9284,-43.1743,617.4550,155.7734,-10.5040,594.2410,-0.0806,0.0777,-0.0081,0.9937,1826.0000,1804.0000,1868.0000,,,,
0.0126,152,0,159.1521,-47.3089,619.6670,158.1493,-14.6336,596.4531,-0.0831,0.0790,-0.0086,0.9934,1826.0000,1804.0000,1864.0000,,,,
0.0244,152,0,159.1521,-47.3089,619.6670,158.1493,-14.6336,596.4531,-0.0831,0.0790,-0.0086,0.9934,1826.0000,1806.0000,1859.0000,,,,
0.0335,152,0,159.1521,-47.3089,619.6670,158.1493,-14.6336,596.4531,-0.0831,0.0790,-0.0086,0.9934,1826.0000,1807.0000,1858.0000,,,,
0.0437,152,0,161.3343,-50.9015,621.7067,160.1912,-18.2309,598.4928,-0.0832,0.0811,-0.0091,0.9932,1823.0000,1810.0000,1862.0000,,,,
0.0557,152,0,161.3343,-50.9015,621.7067,160.1912,-18.2309,598.4928,-0.0832,0.0811,-0.0091,0.9932,1814.0000,1812.0000,1864.0000,,,,
0.0682,152,0,160.4156,-53.3692,620.8271,159.2345,-20.6998,597.6132,-0.0853,0.0818,-0.0094,0.9929,1806.0000,1813.0000,1866.0000,,,,
0.0800,152,0,160.4156,-53.3692,620.8271,159.2345,-20.6998,597.6132,-0.0853,0.0818,-0.0094,0.9929,1798.0000,1813.0000,1866.0000,,,,
0.0888,152,0,140.9184,-76.9977,631.2432,140.3505,-44.3120,608.0292,-0.0986,0.0724,-0.0129,0.9924,1792.0000,1813.0000,1866.0000,,,,
0.1003,152,0,140.9184,-76.9977,631.2432,140.3505,-44.3120,608.0292,-0.0986,0.0724,-0.0129,0.9924,1786.0000,1813.0000,1864.0000,,,,
0.1121,152,0,121.9196,-85.2548,624.5628,122.1718,-52.5651,601.3489,-0.1115,0.0534,-0.0340,0.9918,1779.0000,1813.0000,1862.0000,,,,
0.1241,152,0,121.9196,-85.2548,624.5628,122.1718,-52.5651,601.3489,-0.1115,0.0534,-0.0340,0.9918,1774.0000,1813.0000,1859.0000,,,,
0.1361,152,0,121.9196,-85.2548,624.5628,122.1718,-52.5651,601.3489,-0.1115,0.0534,-0.0340,0.9918,1769.0000,1813.0000,1856.0000,,,,
0.1480,152,0,114.0544,-82.3608,625.5678,115.4160,-49.6985,602.3539,-0.1086,0.0467,-0.0429,0.9921,1764.0000,1813.0000,1853.0000,,,,
0.1567,152,0,114.0544,-82.3608,625.5678,115.4160,-49.6985,602.3539,-0.1086,0.0467,-0.0429,0.9921,1761.0000,1813.0000,1851.0000,,,,
0.1683,152,0,113.9904,-78.3764,613.5458,115.8020,-45.7360,590.3319,-0.1083,0.0494,-0.0414,0.9920,1756.0000,1813.0000,1849.0000,,,,
0.1800,152,0,113.9904,-78.3764,613.5458,115.8020,-45.7360,590.3319,-0.1083,0.0494,-0.0414,0.9920,1752.0000,1813.0000,1847.0000,,,,
0.1919,152,0,118.1730,-75.9822,627.3544,119.2593,-43.3096,604.1404,-0.1056,0.0487,-0.0427,0.9923,1748.0000,1813.0000,1845.0000,,,,
0.2043,152,0,118.1730,-75.9822,627.3544,119.2593,-43.3096,604.1404,-0.1056,0.0487,-0.0427,0.9923,1743.0000,1813.0000,1844.0000,,,,
0.2160,152,0,118.1730,-75.9822,627.3544,119.2593,-43.3096,604.1404,-0.1056,0.0487,-0.0427,0.9923,1738.0000,1813.0000,1843.0000,,,,
0.2248,152,0,119.9517,-70.0664,626.9850,121.3824,-37.4071,603.7711,-0.1032,0.0499,-0.0432,0.9925,1734.0000,1813.0000,1842.0000,,,,
0.2359,152,0,119.9517,-70.0664,626.9850,121.3824,-37.4071,603.7711,-0.1032,0.0499,-0.0432,0.9925,1729.0000,1813.0000,1842.0000,,,,
0.2480,152,0,122.1873,-62.8426,627.3771,123.4697,-30.1771,604.1631,-0.0988,0.0520,-0.0446,0.9927,1724.0000,1813.0000,1841.0000,,,,
0.2600,152,0,122.1873,-62.8426,627.3771,123.4697,-30.1771,604.1631,-0.0988,0.0520,-0.0446,0.9927,1719.0000,1813.0000,1842.0000,,,,
0.2720,152,0,122.1873,-62.8426,627.3771,123.4697,-30.1771,604.1631,-0.0988,0.0520,-0.0446,0.9927,1714.0000,1813.0000,1843.0000,,,,
0.2810,152,0,124.6712,-59.6567,627.6133,125.9021,-26.9892,604.3994,-0.0992,0.0531,-0.0443,0.9927,1710.0000,1813.0000,1843.0000,,,,
0.2919,152,0,124.6712,-59.6567,627.6133,125.9021,-26.9892,604.3994,-0.0992,0.0531,-0.0443,0.9927,1705.0000,1814.0000,1844.0000,,,,
0.3040,152,0,126.6257,-52.0924,625.8245,127.8872,-19.4261,602.6105,-0.0970,0.0557,-0.0464,0.9926,1700.0000,1814.0000,1845.0000,,,,
0.3159,152,0,126.6257,-52.0924,625.8245,127.8872,-19.4261,602.6105,-0.0970,0.0557,-0.0464,0.9926,1694.0000,1814.0000,1847.0000,,,,
0.3279,152,0,126.7145,-45.2617,625.9078,128.1887,-12.6043,602.6939,-0.0922,0.0547,-0.0465,0.9932,1689.0000,1814.0000,1848.0000,,,,
0.3401,152,0,126.7145,-45.2617,625.9078,128.1887,-12.6043,602.6939,-0.0922,0.0547,-0.0465,0.9932,1685.0000,1814.0000,1851.0000,,,,
0.3491,152,0,126.7145,-45.2617,625.9078,128.1887,-12.6043,602.6939,-0.0922,0.0547,-0.0465,0.9932,1681.0000,1814.0000,1853.0000,,,,
0.3599,152,0,126.1480,-37.9005,625.7248,127.8290,-5.2530,602.5109,-0.0881,0.0535,-0.0462,0.9936,1677.0000,1814.0000,1854.0000,,,,
0.3722,152,0,126.1480,-37.9005,625.7248,127.8290,-5.2530,602.5109,-0.0881,0.0535,-0.0462,0.9936,1673.0000,1814.0000,1857.0000,,,,
0.3840,152,0,128.0905,-30.7401,624.1423,129.9906,1.8953,600.9283,-0.0858,0.0562,-0.0487,0.9935,1669.0000,1814.0000,1860.0000,,,,
0.3959,152,0,128.0905,-30.7401,624.1423,129.9906,1.8953,600.9283,-0.0858,0.0562,-0.0487,0.9935,1665.0000,1814.0000,1863.0000,,,,
0.4079,152,0,130.4847,-26.3036,621.1625,132.2538,6.3391,597.9485,-0.0840,0.0587,-0.0484,0.9936,1662.0000,1814.0000,1866.0000,,,,
0.4167,152,0,130.4847,-26.3036,621.1625,132.2538,6.3391,597.9485,-0.0840,0.0587,-0.0484,0.9936,1659.0000,1814.0000,1868.0000,,,,
0.4280,152,0,130.4847,-26.3036,621.1625,132.2538,6.3391,597.9485,-0.0840,0.0587,-0.0484,0.9936,1656.0000,1815.0000,1871.0000,,,,
0.4403,152,0,133.2598,-22.3267,617.7680,135.0601,10.3144,594.5541,-0.0822,0.0596,-0.0480,0.9937,1652.0000,1815.0000,1873.0000,,,,
0.4518,152,0,133.2598,-22.3267,617.7680,135.0601,10.3144,594.5541,-0.0822,0.0596,-0.0480,0.9937,1646.0000,1815.0000,1874.0000,,,,
0.4639,152,0,137.6702,-15.8692,609.7087,139.5026,16.7701,586.4948,-0.0784,0.0576,-0.0471,0.9941,1637.0000,1815.0000,1874.0000,,,,
0.4729,152,0,137.6702,-15.8692,609.7087,139.5026,16.7701,586.4948,-0.0784,0.0576,-0.0471,0.9941,1630.0000,1815.0000,1874.0000,,,,
0.4848,152,0,137.6702,-15.8692,609.7087,139.5026,16.7701,586.4948,-0.0784,0.0576,-0.0471,0.9941,1621.0000,1815.0000,1874.0000,,,,
0.4959,152,0,141.3783,-11.3108,610.5914,142.9848,21.3403,587.3775,-0.0768,0.0636,-0.0454,0.9940,1613.0000,1815.0000,1874.0000,,,,
0.5079,152,0,141.3783,-11.3108,610.5914,142.9848,21.3403,587.3775,-0.0768,0.0636,-0.0454,0.9940,1602.0000,1816.0000,1874.0000,,,,
0.5198,152,0,147.1861,-3.8955,606.0867,148.6812,28.7609,582.8727,-0.0718,0.0659,-0.0456,0.9942,1594.0000,1816.0000,1874.0000,,,,
0.5320,152,0,147.1861,-3.8955,606.0867,148.6812,28.7609,582.8727,-0.0718,0.0659,-0.0456,0.9942,1581.0000,1816.0000,1874.0000,,,,
0.5407,152,0,152.4715,-0.4691,603.5953,154.0337,32.1842,580.3813,-0.0722,0.0690,-0.0456,0.9940,1572.0000,1816.0000,1874.0000,,,,
0.5520,152,0,152.4715,-0.4691,603.5953,154.0337,32.1842,580.3813,-0.0722,0.0690,-0.0456,0.9940,1560.0000,1817.0000,1874.0000,,,,
0.5638,152,0,152.4715,-0.4691,603.5953,154.0337,32.1842,580.3813,-0.0722,0.0690,-0.0456,0.9940,1548.0000,1817.0000,1874.0000,,,,
0.5760,152,0,155.7699,2.6223,599.4807,157.3409,35.2752,576.2668,-0.0697,0.0701,-0.0434,0.9942,1536.0000,1817.0000,1874.0000,,,,
0.5879,152,0,155.7699,2.6223,599.4807,157.3409,35.2752,576.2668,-0.0697,0.0701,-0.0434,0.9942,1524.0000,1817.0000,1874.0000,,,,
0.5999,152,0,158.7206,8.4446,593.7311,160.0246,41.1093,570.5172,-0.0676,0.0723,-0.0429,0.9942,1512.0000,1817.0000,1874.0000,,,,
0.6087,152,0,158.7206,8.4446,593.7311,160.0246,41.1093,570.5172,-0.0676,0.0723,-0.0429,0.9942,1502.0000,1817.0000,1874.0000,,,,
0.6199,152,0,133.2753,10.3969,484.2715,129.8759,42.9103,461.0576,0.3221,-0.2706,0.0427,0.9062,1493.0000,1817.0000,1874.0000,,,,
0.6318,152,0,133.2753,10.3969,484.2715,129.8759,42.9103,461.0576,0.3221,-0.2706,0.0427,0.9062,1493.0000,1817.0000,1874.0000,,,,
