{HEADER}
user_id: 123
target_id: 106
target_screen_position_mm: [-183.92, -48.04]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 6.7716
endpoint_error_mm: [-22.1340, 2.4284, 4.6803]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,106,0,3.5400,276.2819,455.2675,1.4459,308.9054,432.0536,0.0265,0.1078,0.0590,0.9921,1829.0000,1846.0000,1866.0000,,,,
0.0091,106,0,3.5400,276.2819,455.2675,1.4459,308.9054,432.0536,0.0265,0.1078,0.0590,0.9921,1819.0000,1846.0000,1866.0000,,,,
0.0201,106,0,4.3305,276.0983,456.2160,2.2382,308.7219,433.0021,0.0272,0.1095,0.0583,0.9919,1810.0000,1846.0000,1866.0000,,,,
0.0321,106,0,4.3305,276.0983,456.2160,2.2382,308.7219,433.0021,0.0272,0.1095,0.0583,0.9919,1800.0000,1842.0000,1866.0000,,,,
0.0438,106,0,5.3223,274.9499,453.9486,3.2658,307.5758,430.7347,0.0273,0.1103,0.0597,0.9917,1792.0000,1836.0000,1866.0000,,,,
0.0557,106,0,5.3223,274.9499,453.9486,3.2658,307.5758,430.7347,0.0273,0.1103,0.0597,0.9917,1786.0000,1830.0000,1866.0000,,,,
0.0642,106,0,5.3223,274.9499,453.9486,3.2658,307.5758,430.7347,0.0273,0.1103,0.0597,0.9917,1781.0000,1824.0000,1866.0000,,,,
0.0756,106,0,5.4044,268.9572,444.5303,3.6657,301.6016,421.3164,0.0267,0.1089,0.0592,0.9919,1776.0000,1817.0000,1866.0000,,,,
0.0877,106,0,5.4044,268.9572,444.5303,3.6657,301.6016,421.3164,0.0267,0.1089,0.0592,0.9919,1770.0000,1809.0000,1866.0000,,,,
0.0997,106,0,5.0377,276.0463,454.8587,3.0708,308.6777,431.6448,0.0275,0.1103,0.0589,0.9918,1764.0000,1801.0000,1866.0000,,,,
0.1116,106,0,5.0377,276.0463,454.8587,3.0708,308.6777,431.6448,0.0275,0.1103,0.0589,0.9918,1758.0000,1793.0000,1866.0000,,,,
0.1236,106,0,5.1023,275.4117,453.8862,3.3462,308.0551,430.6723,0.0275,0.1100,0.0590,0.9918,1752.0000,1784.0000,1866.0000,,,,
0.1321,106,0,5.1023,275.4117,453.8862,3.3462,308.0551,430.6723,0.0275,0.1100,0.0590,0.9918,1747.0000,1778.0000,1866.0000,,,,
0.1436,106,0,4.6700,276.0337,454.1561,2.5803,308.6575,430.9422,0.0276,0.1107,0.0591,0.9917,1741.0000,1771.0000,1866.0000,,,,
0.1556,106,0,4.6700,276.0337,454.1561,2.5803,308.6575,430.9422,0.0276,0.1107,0.0591,0.9917,1735.0000,1763.0000,1866.0000,,,,
0.1677,106,0,4.7918,275.6638,454.4290,2.8823,308.2987,431.2151,0.0286,0.1109,0.0577,0.9917,1729.0000,1755.0000,1866.0000,,,,
0.1797,106,0,4.7918,275.6638,454.4290,2.8823,308.2987,431.2151,0.0286,0.1109,0.0577,0.9917,1721.0000,1747.0000,1866.0000,,,,
0.1888,106,0,4.7918,275.6638,454.4290,2.8823,308.2987,431.2151,0.0286,0.1109,0.0577,0.9917,1716.0000,1742.0000,1866.0000,,,,
0.1996,106,0,5.8095,274.3083,453.5099,4.0373,306.9509,430.2960,0.0277,0.1130,0.0576,0.9915,1710.0000,1735.0000,1866.0000,,,,
0.2116,106,0,5.8095,274.3083,453.5099,4.0373,306.9509,430.2960,0.0277,0.1130,0.0576,0.9915,1703.0000,1728.0000,1866.0000,,,,
0.2237,106,0,5.7075,273.9803,455.0858,3.5642,306.6006,431.8719,0.0264,0.1116,0.0581,0.9917,1696.0000,1721.0000,1866.0000,,,,
0.2357,106,0,5.7075,273.9803,455.0858,3.5642,306.6006,431.8719,0.0264,0.1116,0.0581,0.9917,1689.0000,1714.0000,1866.0000,,,,
0.2477,106,0,2.2623,274.4967,457.4928,0.2843,307.1275,434.2789,0.0249,0.1105,0.0545,0.9921,1682.0000,1707.0000,1866.0000,,,,
0.2564,106,0,2.2623,274.4967,457.4928,0.2843,307.1275,434.2789,0.0249,0.1105,0.0545,0.9921,1678.0000,1702.0000,1866.0000,,,,
0.2675,106,0,0.6735,274.1953,457.8441,-1.0122,306.8424,434.6302,0.0244,0.1069,0.0538,0.9925,1672.0000,1695.0000,1866.0000,,,,
0.2795,106,0,0.6735,274.1953,457.8441,-1.0122,306.8424,434.6302,0.0244,0.1069,0.0538,0.9925,1665.0000,1687.0000,1866.0000,,,,
0.2918,106,0,-1.1553,273.8250,457.0507,-2.9427,306.4668,433.8368,0.0244,0.1068,0.0530,0.9926,1658.0000,1680.0000,1866.0000,,,,
0.3036,106,0,-1.1553,273.8250,457.0507,-2.9427,306.4668,433.8368,0.0244,0.1068,0.0530,0.9926,1652.0000,1671.0000,1866.0000,,,,
0.3157,106,0,-1.3762,274.1337,457.7183,-3.0154,306.7832,434.5044,0.0242,0.1065,0.0526,0.9926,1645.0000,1663.0000,1867.0000,,,,
0.3244,106,0,-1.3762,274.1337,457.7183,-3.0154,306.7832,434.5044,0.0242,0.1065,0.0526,0.9926,1641.0000,1657.0000,1867.0000,,,,
0.3358,106,0,-1.3762,274.1337,457.7183,-3.0154,306.7832,434.5044,0.0242,0.1065,0.0526,0.9926,1635.0000,1650.0000,1867.0000,,,,
0.3476,106,0,-1.3578,274.1132,458.2861,-3.0744,306.7588,435.0722,0.0233,0.1051,0.0535,0.9927,1628.0000,1642.0000,1867.0000,,,,
0.3603,106,0,-1.3578,274.1132,458.2861,-3.0744,306.7588,435.0722,0.0233,0.1051,0.0535,0.9927,1621.0000,1634.0000,1867.0000,,,,
0.3716,106,0,-2.1384,271.2548,460.9852,-3.6268,303.9116,437.7713,0.0207,0.1071,0.0487,0.9928,1614.0000,1627.0000,1867.0000,,,,
0.3801,106,0,-2.1384,271.2548,460.9852,-3.6268,303.9116,437.7713,0.0207,0.1071,0.0487,0.9928,1610.0000,1622.0000,1867.0000,,,,
0.3917,106,0,0.3158,265.7160,461.3575,-1.0655,298.3775,438.1436,0.0160,0.1092,0.0485,0.9927,1604.0000,1615.0000,1867.0000,,,,
0.4036,106,0,0.3158,265.7160,461.3575,-1.0655,298.3775,438.1436,0.0160,0.1092,0.0485,0.9927,1598.0000,1610.0000,1867.0000,,,,
0.4155,106,0,0.3158,265.7160,461.3575,-1.0655,298.3775,438.1436,0.0160,0.1092,0.0485,0.9927,1591.0000,1605.0000,1867.0000,,,,
0.4277,106,0,-0.6520,265.5732,463.4089,-2.0063,298.2358,440.1950,0.0141,0.1081,0.0487,0.9928,1584.0000,1599.0000,1867.0000,,,,
0.4397,106,0,-0.6520,265.5732,463.4089,-2.0063,298.2358,440.1950,0.0141,0.1081,0.0487,0.9928,1579.0000,1593.0000,1867.0000,,,,
0.4483,106,0,-7.2250,266.6076,464.3876,-8.4308,299.2760,441.1737,0.0153,0.1045,0.0423,0.9935,1574.0000,1587.0000,1867.0000,,,,
0.4596,106,0,-7.2250,266.6076,464.3876,-8.4308,299.2760,441.1737,0.0153,0.1045,0.0423,0.9935,1570.0000,1580.0000,1867.0000,,,,
0.4717,106,0,-5.8142,266.3540,463.1933,-7.0460,299.0215,439.9794,0.0156,0.1057,0.0434,0.9933,1565.0000,1572.0000,1867.0000,,,,
0.4837,106,0,-5.8142,266.3540,463.1933,-7.0460,299.0215,439.9794,0.0156,0.1057,0.0434,0.9933,1559.0000,1564.0000,1867.0000,,,,
0.4957,106,0,-3.9051,265.9472,463.1842,-5.1702,298.6133,439.9703,0.0146,0.1066,0.0451,0.9932,1553.0000,1556.0000,1867.0000,,,,
0.5076,106,0,-3.9051,265.9472,463.1842,-5.1702,298.6133,439.9703,0.0146,0.1066,0.0451,0.9932,1547.0000,1549.0000,1867.0000,,,,
0.5160,106,0,-3.9051,265.9472,463.1842,-5.1702,298.6133,439.9703,0.0146,0.1066,0.0451,0.9932,1542.0000,1544.0000,1867.0000,,,,
0.5278,106,0,-3.9969,265.4826,462.5188,-5.2141,298.1506,439.3049,0.0152,0.1069,0.0447,0.9931,1536.0000,1537.0000,1867.0000,,,,
0.5398,106,0,-3.9969,265.4826,462.5188,-5.2141,298.1506,439.3049,0.0152,0.1069,0.0447,0.9931,1529.0000,1531.0000,1867.0000,,,,
0.5517,106,0,-3.1738,264.5236,463.2508,-4.4579,297.1890,440.0369,0.0144,0.1097,0.0435,0.9929,1522.0000,1524.0000,1867.0000,,,,
0.5637,106,0,-3.1738,264.5236,463.2508,-4.4579,297.1890,440.0369,0.0144,0.1097,0.0435,0.9929,1515.0000,1517.0000,1867.0000,,,,
0.5723,106,0,-1.9541,263.2832,461.5744,-2.8070,295.9628,438.3605,0.0133,0.1091,0.0433,0.9930,1510.0000,1513.0000,1867.0000,,,,
0.5835,106,0,-1.9541,263.2832,461.5744,-2.8070,295.9628,438.3605,0.0133,0.1091,0.0433,0.9930,1503.0000,1508.0000,1867.0000,,,,
0.5957,106,0,-3.2698,262.8681,463.1654,-4.3592,295.5406,439.9515,0.0124,0.1075,0.0435,0.9932,1495.0000,1501.0000,1867.0000,,,,
0.6076,106,0,-3.2698,262.8681,463.1654,-4.3592,295.5406,439.9515,0.0124,0.1075,0.0435,0.9932,1489.0000,1495.0000,1867.0000,,,,
0.6196,106,0,-9.7636,262.2181,467.2354,-10.7388,294.8942,444.0215,0.0091,0.1022,0.0380,0.9940,1482.0000,1488.0000,1867.0000,,,,
0.6316,106,0,-9.7636,262.2181,467.2354,-10.7388,294.8942,444.0215,0.0091,0.1022,0.0380,0.9940,1479.0000,1478.0000,1867.0000,,,,
0.6401,106,0,-9.7636,262.2181,467.2354,-10.7388,294.8942,444.0215,0.0091,0.1022,0.0380,0.9940,1476.0000,1473.0000,1867.0000,,,,
0.6517,106,0,-13.5488,259.6247,468.6061,-14.3172,292.3064,445.3922,0.0070,0.1005,0.0331,0.9944,1472.0000,1464.0000,1867.0000,,,,
0.6637,106,0,-13.5488,259.6247,468.6061,-14.3172,292.3064,445.3922,0.0070,0.1005,0.0331,0.9944,1469.0000,1455.0000,1867.0000,,,,
0.6757,106,0,-14.7275,256.1389,465.7513,-15.2468,288.8255,442.5374,0.0082,0.0976,0.0302,0.9947,1466.0000,1446.0000,1867.0000,,,,
0.6876,106,0,-14.7275,256.1389,465.7513,-15.2468,288.8255,442.5374,0.0082,0.0976,0.0302,0.9947,1463.0000,1438.0000,1867.0000,,,,
0.6996,106,0,-18.2465,256.2219,468.0554,-18.9564,288.9048,444.8415,0.0050,0.0990,0.0291,0.9946,1460.0000,1429.0000,1867.0000,,,,
0.7082,106,0,-18.2465,256.2219,468.0554,-18.9564,288.9048,444.8415,0.0050,0.0990,0.0291,0.9946,1459.0000,1423.0000,1867.0000,,,,
0.7198,106,0,-22.1217,255.7207,469.4335,-22.3862,288.4103,446.2196,0.0080,0.0986,0.0248,0.9948,1457.0000,1413.0000,1867.0000,,,,
0.7317,106,0,-22.1217,255.7207,469.4335,-22.3862,288.4103,446.2196,0.0080,0.0986,0.0248,0.9948,1456.0000,1403.0000,1867.0000,,,,
0.7437,106,0,-24.6084,254.2741,471.9306,-24.6108,286.9648,448.7167,0.0043,0.0965,0.0190,0.9951,1454.0000,1392.0000,1868.0000,,,,
0.7556,106,0,-24.6084,254.2741,471.9306,-24.6108,286.9648,448.7167,0.0043,0.0965,0.0190,0.9951,1453.0000,1383.0000,1868.0000,,,,
0.7641,106,0,-24.6084,254.2741,471.9306,-24.6108,286.9648,448.7167,0.0043,0.0965,0.0190,0.9951,1451.0000,1375.0000,1868.0000,,,,
