{HEADER}
user_id: 123
target_id: 254
target_screen_position_mm: [-216.03, 32.12]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 7.2151
endpoint_error_mm: [-20.5374, 8.4192, 1.7426]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,254,0,-69.5122,187.2393,520.9508,-74.2122,219.5904,497.7369,-0.0189,0.0667,0.0785,0.9945,1823.0000,1826.0000,1877.0000,,,,
0.0118,254,0,-69.5245,187.1953,521.3972,-74.2639,219.5406,498.1833,-0.0192,0.0641,0.0777,0.9947,1818.0000,1818.0000,1877.0000,,,,
0.0236,254,0,-69.5245,187.1953,521.3972,-74.2639,219.5406,498.1833,-0.0192,0.0641,0.0777,0.9947,1815.0000,1810.0000,1877.0000,,,,
0.0352,254,0,-69.6714,187.1974,522.9603,-74.3293,219.5546,499.7464,-0.0205,0.0644,0.0779,0.9947,1812.0000,1803.0000,1877.0000,,,,
0.0471,254,0,-69.6714,187.1974,522.9603,-74.3293,219.5546,499.7464,-0.0205,0.0644,0.0779,0.9947,1810.0000,1795.0000,1877.0000,,,,
0.0590,254,0,-69.9722,186.1625,521.5389,-74.5254,218.5345,498.3250,-0.0201,0.0648,0.0773,0.9947,1808.0000,1787.0000,1877.0000,,,,
0.0676,254,0,-69.9722,186.1625,521.5389,-74.5254,218.5345,498.3250,-0.0201,0.0648,0.0773,0.9947,1807.0000,1781.0000,1877.0000,,,,
0.0791,254,0,-70.4619,186.3306,522.7809,-75.1715,218.6802,499.5670,-0.0211,0.0641,0.0763,0.9948,1806.0000,1774.0000,1877.0000,,,,
0.0911,254,0,-70.4619,186.3306,522.7809,-75.1715,218.6802,499.5670,-0.0211,0.0641,0.0763,0.9948,1804.0000,1765.0000,1877.0000,,,,
0.1033,254,0,-70.4439,185.9992,522.7743,-74.8839,218.3870,499.5604,-0.0213,0.0647,0.0762,0.9948,1803.0000,1758.0000,1877.0000,,,,
