{HEADER}
user_id: 123
target_id: 050
target_screen_position_mm: [-167.99, -79.88]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 7.2683
endpoint_error_mm: [2.4898, -4.0116, 6.2442]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,50,0,-233.6026,166.8216,1072.2351,-226.0444,198.6265,1049.0212,-0.0642,0.0151,-0.1379,0.9882,1803.0000,1762.0000,1880.0000,,,,
0.0093,50,0,-233.6026,166.8216,1072.2351,-226.0444,198.6265,1049.0212,-0.0642,0.0151,-0.1379,0.9882,1803.0000,1754.0000,1880.0000,,,,
0.0201,50,0,-236.2591,167.0737,1074.2440,-228.8219,198.9071,1051.0302,-0.0644,0.0153,-0.1382,0.9882,1803.0000,1743.0000,1880.0000,,,,
0.0318,50,0,-236.2591,167.0737,1074.2440,-228.8219,198.9071,1051.0302,-0.0644,0.0153,-0.1382,0.9882,1805.0000,1733.0000,1880.0000,,,,
0.0436,50,0,-241.9552,166.0281,1077.6788,-234.5072,197.8590,1054.4650,-0.0638,0.0100,-0.1416,0.9878,1805.0000,1718.0000,1880.0000,,,,
0.0555,50,0,-241.9552,166.0281,1077.6788,-234.5072,197.8590,1054.4650,-0.0638,0.0100,-0.1416,0.9878,1805.0000,1704.0000,1880.0000,,,,
0.0675,50,0,-247.4153,165.1882,1085.9934,-240.0221,197.0319,1062.7795,-0.0673,0.0162,-0.1408,0.9876,1805.0000,1690.0000,1880.0000,,,,
0.1118,50,0,-352.9824,328.3828,1044.7947,-345.5864,360.2259,1021.5807,-0.0043,-0.0187,-0.1445,0.9893,1805.0000,1706.0000,1880.0000,,,,
0.1239,50,0,-352.9824,328.3828,1044.7947,-345.5864,360.2259,1021.5807,-0.0043,-0.0187,-0.1445,0.9893,1805.0000,1655.0000,1880.0000,,,,
0.1358,50,0,-370.5796,331.3996,1028.3485,-362.4782,363.0705,1005.1346,0.0060,-0.0262,-0.1551,0.9875,1805.0000,1610.0000,1880.0000,,,,
0.1444,50,0,-370.5796,331.3996,1028.3485,-362.4782,363.0705,1005.1346,0.0060,-0.0262,-0.1551,0.9875,1805.0000,1577.0000,1880.0000,,,,
0.1560,50,0,-383.8410,337.5970,1011.1250,-375.9770,369.3277,987.9111,0.0119,-0.0311,-0.1609,0.9864,1805.0000,1531.0000,1880.0000,,,,
0.1678,50,0,-383.8410,337.5970,1011.1250,-375.9770,369.3277,987.9111,0.0119,-0.0311,-0.1609,0.9864,1805.0000,1487.0000,1880.0000,,,,
0.1798,50,0,-379.9603,339.2444,1010.4968,-372.8781,371.1587,987.2829,0.0118,-0.0348,-0.1544,0.9873,1805.0000,1444.0000,1880.0000,,,,
0.1918,50,0,-379.9603,339.2444,1010.4968,-372.8781,371.1587,987.2829,0.0118,-0.0348,-0.1544,0.9873,1805.0000,1404.0000,1880.0000,,,,
0.2005,50,0,-378.3232,343.5010,1008.1102,-370.6675,375.2827,984.8963,0.0104,-0.0293,-0.1487,0.9884,1805.0000,1376.0000,1880.0000,,,,
0.2116,50,0,-378.3232,343.5010,1008.1102,-370.6675,375.2827,984.8963,0.0104,-0.0293,-0.1487,0.9884,1805.0000,1343.0000,1880.0000,,,,
0.2238,50,0,-381.0619,340.4065,1002.5505,-373.2986,372.1620,979.3366,0.0123,-0.0323,-0.1544,0.9874,1805.0000,1306.0000,1880.0000,,,,
0.2358,50,0,-381.0619,340.4065,1002.5505,-373.2986,372.1620,979.3366,0.0123,-0.0323,-0.1544,0.9874,1805.0000,1270.0000,1880.0000,,,,
0.2477,50,0,-380.6865,341.2914,1001.2017,-372.7368,373.0007,977.9878,0.0117,-0.0306,-0.1560,0.9872,1805.0000,1235.0000,1880.0000,,,,
0.2600,50,0,-380.6865,341.2914,1001.2017,-372.7368,373.0007,977.9878,0.0117,-0.0306,-0.1560,0.9872,1805.0000,1203.0000,1880.0000,,,,
0.2686,50,0,-376.1791,344.6824,1005.8641,-368.5703,376.4753,982.6501,0.0139,-0.0319,-0.1533,0.9876,1805.0000,1180.0000,1880.0000,,,,
0.2796,50,0,-376.1791,344.6824,1005.8641,-368.5703,376.4753,982.6501,0.0139,-0.0319,-0.1533,0.9876,1805.0000,1150.0000,1880.0000,,,,
0.2917,50,0,-371.2429,346.7052,1003.6732,-363.5150,378.4693,980.4593,0.0122,-0.0297,-0.1507,0.9881,1806.0000,1118.0000,1880.0000,,,,
0.3040,50,0,-371.2429,346.7052,1003.6732,-363.5150,378.4693,980.4593,0.0122,-0.0297,-0.1507,0.9881,1806.0000,1088.0000,1880.0000,,,,
0.3158,50,0,-365.8127,340.9311,996.0624,-358.6642,372.8306,972.8485,0.0187,-0.0342,-0.1538,0.9873,1806.0000,1061.0000,1880.0000,,,,
0.3286,50,0,-365.8127,340.9311,996.0624,-358.6642,372.8306,972.8485,0.0187,-0.0342,-0.1538,0.9873,1806.0000,1031.0000,1880.0000,,,,
0.3373,50,0,-310.5379,295.2501,869.1175,-310.3777,327.9404,845.9036,0.2738,0.3495,-0.0717,0.8932,1806.0000,1012.0000,1880.0000,,,,
0.3478,50,0,-310.5379,295.2501,869.1175,-310.3777,327.9404,845.9036,0.2738,0.3495,-0.0717,0.8932,1806.0000,1008.0000,1880.0000,,,,
0.3599,50,0,-349.6689,342.0477,1013.0778,-342.0888,373.8474,989.8638,0.0093,-0.0180,-0.1482,0.9888,1806.0000,997.0000,1880.0000,,,,
0.3718,50,0,-349.6689,342.0477,1013.0778,-342.0888,373.8474,989.8638,0.0093,-0.0180,-0.1482,0.9888,1806.0000,969.0000,1880.0000,,,,
0.3837,50,0,-296.2916,296.3412,883.6154,-288.6895,328.1356,860.4015,-0.2907,0.1724,-0.0068,0.9411,1806.0000,941.0000,1880.0000,,,,
0.3924,50,0,-296.2916,296.3412,883.6154,-288.6895,328.1356,860.4015,-0.2907,0.1724,-0.0068,0.9411,1806.0000,939.0000,1880.0000,,,,
0.4041,50,0,-333.2149,337.8572,1016.2742,-325.9293,369.7257,993.0602,0.0069,-0.0161,-0.1462,0.9891,1806.0000,931.0000,1880.0000,,,,
0.4158,50,0,-333.2149,337.8572,1016.2742,-325.9293,369.7257,993.0602,0.0069,-0.0161,-0.1462,0.9891,1806.0000,903.0000,1880.0000,,,,
