{HEADER}
user_id: 123
target_id: 214
target_screen_position_mm: [104.04, 0.00]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 8.2756
endpoint_error_mm: [19.1126, 19.2096, 4.9706]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,214,0,-155.4987,510.0061,741.0457,-151.5589,542.4585,717.8317,0.1934,-0.1013,-0.1183,0.9687,1825.0000,1817.0000,1873.0000,,,,
0.0122,214,0,-155.4987,510.0061,741.0457,-151.5589,542.4585,717.8317,0.1934,-0.1013,-0.1183,0.9687,1825.0000,1798.0000,1873.0000,,,,
0.0214,214,0,-155.4987,510.0061,741.0457,-151.5589,542.4585,717.8317,0.1934,-0.1013,-0.1183,0.9687,1825.0000,1781.0000,1873.0000,,,,
0.0320,214,0,-157.1700,514.8984,747.3422,-152.9087,547.3102,724.1282,0.1946,-0.1003,-0.1178,0.9686,1821.0000,1762.0000,1873.0000,,,,
0.0439,214,0,-157.1700,514.8984,747.3422,-152.9087,547.3102,724.1282,0.1946,-0.1003,-0.1178,0.9686,1816.0000,1743.0000,1873.0000,,,,
0.0558,214,0,-152.7629,512.5233,741.2477,-148.4390,544.9267,718.0338,0.1966,-0.0908,-0.1169,0.9692,1809.0000,1723.0000,1873.0000,,,,
0.0678,214,0,-151.3353,515.2134,744.5642,-146.8388,547.5934,721.3503,0.1912,-0.0998,-0.1190,0.9692,1802.0000,1706.0000,1873.0000,,,,
0.0795,214,0,-151.3353,515.2134,744.5642,-146.8388,547.5934,721.3503,0.1912,-0.0998,-0.1190,0.9692,1794.0000,1687.0000,1873.0000,,,,
0.0879,214,0,-150.1860,516.7385,746.0513,-146.0437,549.1656,722.8373,0.1955,-0.0942,-0.1169,0.9691,1789.0000,1675.0000,1873.0000,,,,
0.0998,214,0,-150.1860,516.7385,746.0513,-146.0437,549.1656,722.8373,0.1955,-0.0942,-0.1169,0.9691,1780.0000,1656.0000,1873.0000,,,,
0.1120,214,0,-130.4409,449.8579,649.8459,-128.2687,482.4763,626.6320,-0.2047,-0.6284,-0.5122,0.5485,1772.0000,1639.0000,1873.0000,,,,
0.1239,214,0,-130.4409,449.8579,649.8459,-128.2687,482.4763,626.6320,-0.2047,-0.6284,-0.5122,0.5485,1765.0000,1623.0000,1873.0000,,,,
0.1360,214,0,-149.4788,517.0078,750.1384,-145.0868,549.4020,726.9245,0.1959,-0.0914,-0.1184,0.9691,1758.0000,1610.0000,1873.0000,,,,
0.1444,214,0,-149.4788,517.0078,750.1384,-145.0868,549.4020,726.9245,0.1959,-0.0914,-0.1184,0.9691,1752.0000,1597.0000,1873.0000,,,,
0.1557,214,0,-146.6177,514.7257,757.7205,-141.7943,547.0586,734.5065,0.1882,-0.0852,-0.1195,0.9711,1744.0000,1578.0000,1873.0000,,,,
0.1678,214,0,-146.6177,514.7257,757.7205,-141.7943,547.0586,734.5065,0.1882,-0.0852,-0.1195,0.9711,1736.0000,1559.0000,1874.0000,,,,
0.1798,214,0,-141.2153,512.9934,764.3705,-136.2758,545.3087,741.1566,0.1772,-0.0902,-0.1228,0.9723,1727.0000,1539.0000,1874.0000,,,,
0.1919,214,0,-141.2153,512.9934,764.3705,-136.2758,545.3087,741.1566,0.1772,-0.0902,-0.1228,0.9723,1718.0000,1521.0000,1874.0000,,,,
0.2039,214,0,-134.2432,506.7264,765.3304,-129.7758,539.1104,742.1165,0.1681,-0.0904,-0.1239,0.9738,1709.0000,1501.0000,1874.0000,,,,
0.2124,214,0,-134.2432,506.7264,765.3304,-129.7758,539.1104,742.1165,0.1681,-0.0904,-0.1239,0.9738,1702.0000,1489.0000,1874.0000,,,,
0.2239,214,0,-133.2145,499.7266,773.9624,-128.5195,532.0784,750.7485,0.1614,-0.0885,-0.1244,0.9750,1694.0000,1474.0000,1874.0000,,,,
0.2361,214,0,-133.5302,495.6216,780.2871,-128.4346,527.9127,757.0732,0.1539,-0.0855,-0.1255,0.9763,1686.0000,1457.0000,1874.0000,,,,
0.2478,214,0,-133.5302,495.6216,780.2871,-128.4346,527.9127,757.0732,0.1539,-0.0855,-0.1255,0.9763,1678.0000,1440.0000,1874.0000,,,,
0.2598,214,0,-133.0692,493.7235,780.1957,-128.1733,526.0455,756.9818,0.1553,-0.0857,-0.1260,0.9761,1670.0000,1423.0000,1874.0000,,,,
0.2717,214,0,-133.0692,493.7235,780.1957,-128.1733,526.0455,756.9818,0.1553,-0.0857,-0.1260,0.9761,1663.0000,1406.0000,1874.0000,,,,
0.2801,214,0,-132.2932,488.8428,786.4103,-127.3507,521.1577,763.1964,0.1490,-0.0856,-0.1264,0.9770,1657.0000,1393.0000,1874.0000,,,,
0.2918,214,0,-132.2932,488.8428,786.4103,-127.3507,521.1577,763.1964,0.1490,-0.0856,-0.1264,0.9770,1651.0000,1379.0000,1875.0000,,,,
0.3039,214,0,-133.2675,480.1792,796.4335,-128.2337,512.4800,773.2195,0.1406,-0.0834,-0.1281,0.9782,1644.0000,1360.0000,1875.0000,,,,
0.3158,214,0,-133.2675,480.1792,796.4335,-128.2337,512.4800,773.2195,0.1406,-0.0834,-0.1281,0.9782,1639.0000,1345.0000,1875.0000,,,,
0.3278,214,0,-131.9155,475.4016,798.9468,-126.5714,507.6525,775.7329,0.1354,-0.0812,-0.1300,0.9789,1633.0000,1328.0000,1875.0000,,,,
0.3365,214,0,-131.9155,475.4016,798.9468,-126.5714,507.6525,775.7329,0.1354,-0.0812,-0.1300,0.9789,1628.0000,1316.0000,1875.0000,,,,
0.3477,214,0,-130.5392,469.1361,809.6245,-125.1776,501.3841,786.4105,0.1299,-0.0804,-0.1317,0.9794,1623.0000,1301.0000,1875.0000,,,,
0.3598,214,0,-130.5392,469.1361,809.6245,-125.1776,501.3841,786.4105,0.1299,-0.0804,-0.1317,0.9794,1618.0000,1286.0000,1875.0000,,,,
0.3718,214,0,-124.4947,464.9566,813.4270,-119.1262,497.2035,790.2131,0.1235,-0.0750,-0.1308,0.9808,1612.0000,1270.0000,1875.0000,,,,
0.3839,214,0,-119.2805,463.3221,824.4890,-113.8945,495.5660,801.2750,0.1177,-0.0687,-0.1300,0.9821,1605.0000,1256.0000,1875.0000,,,,
0.3958,214,0,-119.2805,463.3221,824.4890,-113.8945,495.5660,801.2750,0.1177,-0.0687,-0.1300,0.9821,1596.0000,1242.0000,1876.0000,,,,
0.4043,214,0,-100.2212,393.0709,711.1210,-89.5659,423.9763,687.9071,0.4279,0.2063,0.0119,0.8799,1592.0000,1234.0000,1876.0000,,,,
0.4156,214,0,-100.2212,393.0709,711.1210,-89.5659,423.9763,687.9071,0.4279,0.2063,0.0119,0.8799,1589.0000,1240.0000,1876.0000,,,,
0.4278,214,0,-109.3147,451.4435,832.0230,-103.6229,483.6349,808.8091,0.1104,-0.0644,-0.1303,0.9832,1585.0000,1239.0000,1876.0000,,,,
0.4399,214,0,-109.3147,451.4435,832.0230,-103.6229,483.6349,808.8091,0.1104,-0.0644,-0.1303,0.9832,1574.0000,1221.0000,1876.0000,,,,
0.4518,214,0,-101.9726,445.3717,840.5407,-96.2943,477.5654,817.3268,0.0985,-0.0599,-0.1309,0.9847,1564.0000,1204.0000,1877.0000,,,,
0.4639,214,0,-101.9726,445.3717,840.5407,-96.2943,477.5654,817.3268,0.0985,-0.0599,-0.1309,0.9847,1554.0000,1191.0000,1877.0000,,,,
0.4724,214,0,-93.5544,439.4894,855.5087,-87.5946,471.6322,832.2947,0.0924,-0.0547,-0.1308,0.9856,1546.0000,1181.0000,1877.0000,,,,
0.4839,214,0,-93.5544,439.4894,855.5087,-87.5946,471.6322,832.2947,0.0924,-0.0547,-0.1308,0.9856,1534.0000,1170.0000,1877.0000,,,,
0.4958,214,0,-83.8242,429.5187,863.0438,-77.9439,461.6761,839.8298,0.0856,-0.0490,-0.1297,0.9866,1523.0000,1157.0000,1877.0000,,,,
0.5079,214,0,-76.8110,421.8102,866.5273,-70.8528,453.9533,843.3134,0.0792,-0.0436,-0.1293,0.9875,1510.0000,1151.0000,1877.0000,,,,
0.5198,214,0,-76.8110,421.8102,866.5273,-70.8528,453.9533,843.3134,0.0792,-0.0436,-0.1293,0.9875,1498.0000,1146.0000,1878.0000,,,,
0.5286,214,0,-74.2443,419.1424,872.9688,-68.0793,451.2465,849.7549,0.0739,-0.0418,-0.1306,0.9878,1489.0000,1141.0000,1878.0000,,,,
0.5398,214,0,-74.2443,419.1424,872.9688,-68.0793,451.2465,849.7549,0.0739,-0.0418,-0.1306,0.9878,1479.0000,1136.0000,1878.0000,,,,
0.5524,214,0,-68.8571,408.4284,871.9201,-62.6551,440.5254,848.7062,0.0667,-0.0371,-0.1316,0.9884,1467.0000,1128.0000,1878.0000,,,,
0.5639,214,0,-68.8571,408.4284,871.9201,-62.6551,440.5254,848.7062,0.0667,-0.0371,-0.1316,0.9884,1457.0000,1124.0000,1878.0000,,,,
0.5759,214,0,-66.1856,400.8424,885.0811,-59.9738,432.9374,861.8671,0.0592,-0.0343,-0.1323,0.9888,1446.0000,1117.0000,1878.0000,,,,
0.5878,214,0,-66.1856,400.8424,885.0811,-59.9738,432.9374,861.8671,0.0592,-0.0343,-0.1323,0.9888,1437.0000,1112.0000,1878.0000,,,,
0.5968,214,0,-65.0576,392.3670,889.4388,-58.3441,424.3609,866.2249,0.0564,-0.0358,-0.1339,0.9887,1430.0000,1108.0000,1878.0000,,,,
0.6079,214,0,-65.0576,392.3670,889.4388,-58.3441,424.3609,866.2249,0.0564,-0.0358,-0.1339,0.9887,1423.0000,1104.0000,1878.0000,,,,
0.6198,214,0,-67.3013,383.4660,894.5117,-60.4876,415.4387,871.2978,0.0484,-0.0372,-0.1371,0.9887,1417.0000,1098.0000,1878.0000,,,,
0.6328,214,0,-67.3013,383.4660,894.5117,-60.4876,415.4387,871.2978,0.0484,-0.0372,-0.1371,0.9887,1412.0000,1092.0000,1878.0000,,,,
0.6439,214,0,-68.4425,380.0502,894.0569,-61.6209,412.0212,870.8430,0.0479,-0.0358,-0.1389,0.9885,1408.0000,1085.0000,1878.0000,,,,
0.6557,214,0,-68.4425,380.0502,894.0569,-61.6209,412.0212,870.8430,0.0479,-0.0358,-0.1389,0.9885,1404.0000,1078.0000,1878.0000,,,,
0.6645,214,0,-68.8076,378.3792,897.2747,-62.0012,410.3534,874.0607,0.0482,-0.0366,-0.1421,0.9880,1400.0000,1071.0000,1878.0000,,,,
0.6757,214,0,-68.8076,378.3792,897.2747,-62.0012,410.3534,874.0607,0.0482,-0.0366,-0.1421,0.9880,1397.0000,1063.0000,1878.0000,,,,
0.6878,214,0,-68.0335,374.4739,892.8897,-60.7831,406.3504,869.6758,0.0458,-0.0363,-0.1425,0.9881,1392.0000,1053.0000,1878.0000,,,,
0.6999,214,0,-68.0335,374.4739,892.8897,-60.7831,406.3504,869.6758,0.0458,-0.0363,-0.1425,0.9881,1387.0000,1044.0000,1878.0000,,,,
0.7120,214,0,-65.5459,373.5140,893.9690,-58.2763,405.3861,870.7551,0.0457,-0.0334,-0.1426,0.9882,1381.0000,1035.0000,1878.0000,,,,
0.7205,214,0,-65.5459,373.5140,893.9690,-58.2763,405.3861,870.7551,0.0457,-0.0334,-0.1426,0.9882,1377.0000,1029.0000,1878.0000,,,,
0.7317,214,0,-60.0655,372.1449,895.0700,-53.1355,404.0926,871.8561,0.0424,-0.0320,-0.1424,0.9884,1369.0000,1019.0000,1878.0000,,,,
0.7438,214,0,-60.0655,372.1449,895.0700,-53.1355,404.0926,871.8561,0.0424,-0.0320,-0.1424,0.9884,1360.0000,1012.0000,1878.0000,,,,
0.7558,214,0,-55.5659,368.5866,893.5613,-48.4718,400.4983,870.3474,0.0417,-0.0304,-0.1417,0.9886,1350.0000,1004.0000,1878.0000,,,,
