{HEADER}
user_id: 123
target_id: 262
target_screen_position_mm: [-88.11, 32.12]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 8.7161
endpoint_error_mm: [1.7131, -2.7707, -3.9114]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,262,0,-157.1775,-49.2625,531.0281,-150.2323,-17.3181,507.8142,0.3389,-0.4404,0.0513,0.8298,1822.0000,1816.0000,1872.0000,,,,
0.0123,262,0,-157.1775,-49.2625,531.0281,-150.2323,-17.3181,507.8142,0.3389,-0.4404,0.0513,0.8298,1823.0000,1814.0000,1872.0000,,,,
0.0243,262,0,-157.1775,-49.2625,531.0281,-150.2323,-17.3181,507.8142,0.3389,-0.4404,0.0513,0.8298,1824.0000,1812.0000,1872.0000,,,,
0.0362,262,0,-198.9603,-61.5997,674.7195,-194.8016,-29.1746,651.5056,-0.0256,0.0232,-0.0860,0.9957,1826.0000,1809.0000,1872.0000,,,,
0.0480,262,0,-198.9603,-61.5997,674.7195,-194.8016,-29.1746,651.5056,-0.0256,0.0232,-0.0860,0.9957,1828.0000,1805.0000,1872.0000,,,,
0.0565,262,0,-198.9603,-61.5997,674.7195,-194.8016,-29.1746,651.5056,-0.0256,0.0232,-0.0860,0.9957,1828.0000,1801.0000,1872.0000,,,,
0.0680,262,0,-197.1231,-60.3686,672.9534,-193.1899,-27.9154,649.7394,-0.0235,0.0244,-0.0839,0.9959,1830.0000,1796.0000,1872.0000,,,,
0.0799,262,0,-197.1231,-60.3686,672.9534,-193.1899,-27.9154,649.7394,-0.0235,0.0244,-0.0839,0.9959,1830.0000,1790.0000,1872.0000,,,,
0.0919,262,0,-188.7157,-49.5781,675.2837,-184.6170,-17.1454,652.0698,-0.0162,0.0318,-0.0836,0.9959,1831.0000,1784.0000,1871.0000,,,,
0.1042,262,0,-188.7157,-49.5781,675.2837,-184.6170,-17.1454,652.0698,-0.0162,0.0318,-0.0836,0.9959,1831.0000,1778.0000,1870.0000,,,,
0.1131,262,0,-179.7120,-42.1595,677.9493,-176.0029,-9.6799,654.7354,-0.0137,0.0377,-0.0789,0.9961,1831.0000,1774.0000,1870.0000,,,,
0.1239,262,0,-179.7120,-42.1595,677.9493,-176.0029,-9.6799,654.7354,-0.0137,0.0377,-0.0789,0.9961,1831.0000,1769.0000,1869.0000,,,,
0.1362,262,0,-179.7120,-42.1595,677.9493,-176.0029,-9.6799,654.7354,-0.0137,0.0377,-0.0789,0.9961,1831.0000,1763.0000,1869.0000,,,,
0.1480,262,0,-170.7507,-39.2522,676.6337,-167.3692,-6.7368,653.4198,-0.0122,0.0413,-0.0733,0.9964,1831.0000,1758.0000,1869.0000,,,,
0.1599,262,0,-170.7507,-39.2522,676.6337,-167.3692,-6.7368,653.4198,-0.0122,0.0413,-0.0733,0.9964,1831.0000,1753.0000,1869.0000,,,,
0.1727,262,0,-170.4150,-38.7866,674.3002,-166.4748,-6.3342,651.0862,-0.0090,0.0385,-0.0787,0.9961,1831.0000,1748.0000,1869.0000,,,,
0.1814,262,0,-170.4150,-38.7866,674.3002,-166.4748,-6.3342,651.0862,-0.0090,0.0385,-0.0787,0.9961,1831.0000,1745.0000,1869.0000,,,,
0.1918,262,0,-170.4150,-38.7866,674.3002,-166.4748,-6.3342,651.0862,-0.0090,0.0385,-0.0787,0.9961,1831.0000,1740.0000,1869.0000,,,,
0.2046,262,0,-172.2837,-38.7359,677.7658,-168.5381,-6.2605,654.5519,-0.0140,0.0398,-0.0809,0.9958,1831.0000,1735.0000,1869.0000,,,,
0.2160,262,0,-172.2837,-38.7359,677.7658,-168.5381,-6.2605,654.5519,-0.0140,0.0398,-0.0809,0.9958,1831.0000,1730.0000,1869.0000,,,,
0.2279,262,0,-171.9970,-36.1021,679.5995,-168.1405,-3.6398,656.3856,-0.0116,0.0398,-0.0775,0.9961,1831.0000,1726.0000,1869.0000,,,,
0.2401,262,0,-171.9970,-36.1021,679.5995,-168.1405,-3.6398,656.3856,-0.0116,0.0398,-0.0775,0.9961,1831.0000,1720.0000,1869.0000,,,,
0.2489,262,0,-171.9970,-36.1021,679.5995,-168.1405,-3.6398,656.3856,-0.0116,0.0398,-0.0775,0.9961,1831.0000,1716.0000,1869.0000,,,,
0.2600,262,0,-171.4059,-35.4811,680.1942,-167.4928,-3.0255,656.9803,-0.0125,0.0405,-0.0790,0.9960,1831.0000,1712.0000,1869.0000,,,,
0.2720,262,0,-171.4059,-35.4811,680.1942,-167.4928,-3.0255,656.9803,-0.0125,0.0405,-0.0790,0.9960,1831.0000,1707.0000,1869.0000,,,,
0.2839,262,0,-140.1026,-27.4670,566.5029,-139.4109,5.2163,543.2889,0.5333,-0.1323,0.0805,0.8316,1831.0000,1702.0000,1869.0000,,,,
0.2959,262,0,-140.1026,-27.4670,566.5029,-139.4109,5.2163,543.2889,0.5333,-0.1323,0.0805,0.8316,1831.0000,1701.0000,1870.0000,,,,
0.3056,262,0,-140.1026,-27.4670,566.5029,-139.4109,5.2163,543.2889,0.5333,-0.1323,0.0805,0.8316,1832.0000,1699.0000,1871.0000,,,,
0.3160,262,0,-166.5361,-29.9075,685.0853,-162.5633,2.5409,661.8714,-0.0086,0.0421,-0.0804,0.9958,1832.0000,1696.0000,1871.0000,,,,
0.3279,262,0,-166.5361,-29.9075,685.0853,-162.5633,2.5409,661.8714,-0.0086,0.0421,-0.0804,0.9958,1832.0000,1690.0000,1871.0000,,,,
0.3400,262,0,-161.6019,-26.0322,685.2755,-157.4703,6.3963,662.0616,-0.0066,0.0445,-0.0808,0.9957,1832.0000,1684.0000,1871.0000,,,,
0.3520,262,0,-161.6019,-26.0322,685.2755,-157.4703,6.3963,662.0616,-0.0066,0.0445,-0.0808,0.9957,1832.0000,1679.0000,1871.0000,,,,
0.3639,262,0,-161.6019,-26.0322,685.2755,-157.4703,6.3963,662.0616,-0.0066,0.0445,-0.0808,0.9957,1832.0000,1674.0000,1871.0000,,,,
0.3728,262,0,-155.0814,-25.0015,687.8847,-151.1730,7.4547,664.6708,-0.0088,0.0466,-0.0816,0.9955,1832.0000,1670.0000,1871.0000,,,,
0.3848,262,0,-155.0814,-25.0015,687.8847,-151.1730,7.4547,664.6708,-0.0088,0.0466,-0.0816,0.9955,1832.0000,1666.0000,1871.0000,,,,
0.3958,262,0,-141.8754,-23.1416,691.6922,-137.8969,9.3061,668.4783,-0.0081,0.0522,-0.0799,0.9954,1833.0000,1662.0000,1871.0000,,,,
0.4081,262,0,-141.8754,-23.1416,691.6922,-137.8969,9.3061,668.4783,-0.0081,0.0522,-0.0799,0.9954,1833.0000,1661.0000,1871.0000,,,,
0.4200,262,0,-141.8754,-23.1416,691.6922,-137.8969,9.3061,668.4783,-0.0081,0.0522,-0.0799,0.9954,1833.0000,1658.0000,1871.0000,,,,
0.4320,262,0,-132.7499,-20.8597,691.2614,-128.6846,11.5772,668.0474,-0.0060,0.0570,-0.0806,0.9951,1833.0000,1656.0000,1871.0000,,,,
0.4411,262,0,-132.7499,-20.8597,691.2614,-128.6846,11.5772,668.0474,-0.0060,0.0570,-0.0806,0.9951,1833.0000,1655.0000,1871.0000,,,,
0.4521,262,0,-117.3876,-19.9204,691.7239,-113.0955,12.4873,668.5099,-0.0057,0.0661,-0.0818,0.9944,1833.0000,1655.0000,1871.0000,,,,
0.4640,262,0,-117.3876,-19.9204,691.7239,-113.0955,12.4873,668.5099,-0.0057,0.0661,-0.0818,0.9944,1833.0000,1656.0000,1871.0000,,,,
0.4759,262,0,-106.6760,-17.2976,692.1763,-102.4821,15.1230,668.9623,-0.0047,0.0678,-0.0810,0.9944,1833.0000,1657.0000,1871.0000,,,,
0.4880,262,0,-106.6760,-17.2976,692.1763,-102.4821,15.1230,668.9623,-0.0047,0.0678,-0.0810,0.9944,1833.0000,1659.0000,1871.0000,,,,
0.4967,262,0,-106.6760,-17.2976,692.1763,-102.4821,15.1230,668.9623,-0.0047,0.0678,-0.0810,0.9944,1833.0000,1660.0000,1871.0000,,,,
0.5079,262,0,-96.1861,-13.9866,688.9254,-91.9193,18.4244,665.7115,-0.0041,0.0739,-0.0809,0.9940,1833.0000,1661.0000,1871.0000,,,,
0.5205,262,0,-96.1861,-13.9866,688.9254,-91.9193,18.4244,665.7115,-0.0041,0.0739,-0.0809,0.9940,1833.0000,1663.0000,1871.0000,,,,
0.5319,262,0,-81.1444,-7.7770,685.8784,-77.1060,24.6632,662.6644,-0.0031,0.0792,-0.0787,0.9937,1833.0000,1665.0000,1871.0000,,,,
0.5438,262,0,-81.1444,-7.7770,685.8784,-77.1060,24.6632,662.6644,-0.0031,0.0792,-0.0787,0.9937,1833.0000,1668.0000,1871.0000,,,,
0.5561,262,0,-81.1444,-7.7770,685.8784,-77.1060,24.6632,662.6644,-0.0031,0.0792,-0.0787,0.9937,1833.0000,1671.0000,1871.0000,,,,
0.5649,262,0,-71.7264,-4.1326,682.6683,-67.4410,28.2760,659.4544,-0.0013,0.0845,-0.0770,0.9934,1833.0000,1672.0000,1871.0000,,,,
0.5759,262,0,-71.7264,-4.1326,682.6683,-67.4410,28.2760,659.4544,-0.0013,0.0845,-0.0770,0.9934,1833.0000,1675.0000,1871.0000,,,,
0.5880,262,0,-56.8506,1.3057,677.3172,-53.1057,33.7812,654.1033,-0.0001,0.0905,-0.0744,0.9931,1833.0000,1677.0000,1871.0000,,,,
0.5999,262,0,-56.8506,1.3057,677.3172,-53.1057,33.7812,654.1033,-0.0001,0.0905,-0.0744,0.9931,1833.0000,1682.0000,1871.0000,,,,
0.6119,262,0,-47.8050,3.7956,671.3082,-43.9367,36.2566,648.0942,0.0002,0.0949,-0.0735,0.9928,1833.0000,1685.0000,1871.0000,,,,
0.6242,262,0,-47.8050,3.7956,671.3082,-43.9367,36.2566,648.0942,0.0002,0.0949,-0.0735,0.9928,1833.0000,1690.0000,1871.0000,,,,
0.6329,262,0,-47.8050,3.7956,671.3082,-43.9367,36.2566,648.0942,0.0002,0.0949,-0.0735,0.9928,1833.0000,1693.0000,1871.0000,,,,
0.6439,262,0,-39.2585,7.1348,668.1333,-35.4278,39.6003,644.9194,0.0008,0.0994,-0.0731,0.9924,1833.0000,1695.0000,1871.0000,,,,
0.6560,262,0,-39.2585,7.1348,668.1333,-35.4278,39.6003,644.9194,0.0008,0.0994,-0.0731,0.9924,1833.0000,1699.0000,1871.0000,,,,
0.6679,262,0,-26.4512,12.2728,659.2437,-22.3136,44.7006,636.0297,0.0024,0.1051,-0.0741,0.9917,1833.0000,1703.0000,1871.0000,,,,
