{HEADER}
user_id: 123
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 7.5158
endpoint_error_mm: [13.0389, 17.7987, -0.0824]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,126,0,-424.8971,-505.3314,713.6990,-417.5315,-473.4814,690.4850,-0.1909,-0.4481,0.0125,0.8733,1828.0000,1800.0000,1849.0000,,,,
0.0092,126,0,-428.6243,-506.0018,714.6627,-421.1859,-474.1687,691.4488,-0.1880,-0.4449,0.0111,0.8756,1828.0000,1786.0000,1827.0000,,,,
0.0222,126,0,-428.6243,-506.0018,714.6627,-421.1859,-474.1687,691.4488,-0.1880,-0.4449,0.0111,0.8756,1828.0000,1769.0000,1795.0000,,,,
0.0315,126,0,-429.5363,-502.8010,711.7918,-421.8932,-471.0163,688.5779,-0.1865,-0.4526,0.0137,0.8719,1828.0000,1758.0000,1771.0000,,,,
0.0433,126,0,-429.5363,-502.8010,711.7918,-421.8932,-471.0163,688.5779,-0.1865,-0.4526,0.0137,0.8719,1828.0000,1746.0000,1746.0000,,,,
0.0557,126,0,-431.8252,-503.0233,714.7261,-424.2940,-471.2119,691.5121,-0.1868,-0.4467,0.0085,0.8749,1828.0000,1735.0000,1719.0000,,,,
0.0644,126,0,-431.8252,-503.0233,714.7261,-424.2940,-471.2119,691.5121,-0.1868,-0.4467,0.0085,0.8749,1828.0000,1727.0000,1701.0000,,,,
0.0755,126,0,-431.6786,-501.4416,716.0442,-423.9491,-469.6779,692.8303,-0.1850,-0.4445,0.0067,0.8764,1828.0000,1717.0000,1677.0000,,,,
0.0876,126,0,-431.6786,-501.4416,716.0442,-423.9491,-469.6779,692.8303,-0.1850,-0.4445,0.0067,0.8764,1828.0000,1706.0000,1652.0000,,,,
0.0995,126,0,-432.2694,-501.0189,720.1848,-424.8095,-469.1908,696.9709,-0.1854,-0.4369,0.0021,0.8802,1828.0000,1696.0000,1628.0000,,,,
0.1115,126,0,-432.2694,-501.0189,720.1848,-424.8095,-469.1908,696.9709,-0.1854,-0.4369,0.0021,0.8802,1828.0000,1685.0000,1602.0000,,,,
