{HEADER}
user_id: 123
target_id: 379
target_screen_position_mm: [7.96, 96.08]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 12.7676
endpoint_error_mm: [-0.0842, 6.5767, -2.5771]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,379,0,110.9235,-176.6347,1233.7310,116.5185,-144.4264,1210.5171,-0.0466,0.0019,-0.1026,0.9936,1834.0000,1814.0000,1862.0000,,,,
0.0098,379,0,109.5839,-170.1843,1227.9999,114.7360,-137.9021,1204.7860,-0.0429,0.0083,-0.1045,0.9936,1831.0000,1814.0000,1861.0000,,,,
0.0228,379,0,109.5839,-170.1843,1227.9999,114.7360,-137.9021,1204.7860,-0.0429,0.0083,-0.1045,0.9936,1826.0000,1814.0000,1858.0000,,,,
0.0320,379,0,110.7293,-167.2953,1229.6641,116.0660,-135.0431,1206.4502,-0.0395,-0.0054,-0.1044,0.9937,1823.0000,1814.0000,1854.0000,,,,
0.0441,379,0,110.7293,-167.2953,1229.6641,116.0660,-135.0431,1206.4502,-0.0395,-0.0054,-0.1044,0.9937,1819.0000,1814.0000,1847.0000,,,,
0.0563,379,0,110.7293,-167.2953,1229.6641,116.0660,-135.0431,1206.4502,-0.0395,-0.0054,-0.1044,0.9937,1815.0000,1814.0000,1839.0000,,,,
0.0681,379,0,109.4584,-166.1119,1228.1152,115.0323,-133.8999,1204.9014,-0.0375,-0.0007,-0.1032,0.9940,1813.0000,1814.0000,1831.0000,,,,
0.0769,379,0,109.4584,-166.1119,1228.1152,115.0323,-133.8999,1204.9014,-0.0375,-0.0007,-0.1032,0.9940,1811.0000,1814.0000,1824.0000,,,,
0.0879,379,0,109.9441,-162.9346,1227.9375,114.7546,-130.5998,1204.7236,-0.0416,-0.0092,-0.1025,0.9938,1809.0000,1814.0000,1815.0000,,,,
0.1001,379,0,109.9441,-162.9346,1227.9375,114.7546,-130.5998,1204.7236,-0.0416,-0.0092,-0.1025,0.9938,1806.0000,1814.0000,1805.0000,,,,
0.1119,379,0,106.7727,-159.8209,1215.7231,112.4166,-127.6211,1192.5093,-0.0465,-0.0102,-0.1023,0.9936,1804.0000,1814.0000,1797.0000,,,,
