{HEADER}
user_id: 123
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [0.82, 32.98, 18.23]
completion_time: 6.1319
endpoint_error_mm: [-1.0314, 7.7176, 5.3279]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,126,0,113.0076,105.6457,722.8264,105.7541,137.8291,704.5965,0.1741,0.3088,0.0161,0.9349,1832.0000,1824.0000,1810.0000,7.2534,-32.1834,,
0.0124,126,0,120.2990,112.9627,779.8813,118.5742,145.9083,761.6515,0.0229,-0.0962,-0.0165,0.9950,1828.0000,1824.0000,1810.0000,1.7248,-32.9455,,
0.0241,126,0,120.2990,112.9627,779.8813,118.5742,145.9083,761.6515,0.0229,-0.0962,-0.0165,0.9950,1822.0000,1824.0000,1810.0000,1.7248,-32.9455,,
0.0328,126,0,120.2990,112.9627,779.8813,118.5742,145.9083,761.6515,0.0229,-0.0962,-0.0165,0.9950,1815.0000,1824.0000,1810.0000,1.7248,-32.9455,,
0.0438,126,0,117.7146,112.4734,778.4179,116.3479,145.4357,760.1880,0.0209,-0.0952,-0.0176,0.9951,1805.0000,1824.0000,1810.0000,1.3667,-32.9623,,
0.0558,126,0,117.7146,112.4734,778.4179,116.3479,145.4357,760.1880,0.0209,-0.0952,-0.0176,0.9951,1792.0000,1824.0000,1810.0000,1.3667,-32.9623,,
0.0678,126,0,114.2202,111.3967,775.0063,112.9280,144.3620,756.7765,0.0207,-0.0956,-0.0181,0.9950,1779.0000,1824.0000,1810.0000,1.2922,-32.9653,,
0.0798,126,0,114.2202,111.3967,775.0063,112.9280,144.3620,756.7765,0.0207,-0.0956,-0.0181,0.9950,1766.0000,1824.0000,1810.0000,1.2922,-32.9653,,
0.0918,126,0,113.4407,111.6303,775.8000,112.1621,144.5962,757.5702,0.0202,-0.0940,-0.0182,0.9952,1752.0000,1824.0000,1810.0000,1.2786,-32.9659,,
0.1005,126,0,113.4407,111.6303,775.8000,112.1621,144.5962,757.5702,0.0202,-0.0940,-0.0182,0.9952,1742.0000,1824.0000,1810.0000,1.2786,-32.9659,,
0.1118,126,0,113.4407,111.6303,775.8000,112.1621,144.5962,757.5702,0.0202,-0.0940,-0.0182,0.9952,1730.0000,1824.0000,1810.0000,1.2786,-32.9659,,
0.1239,126,0,112.3224,112.5257,775.0616,111.1058,145.4940,756.8318,0.0206,-0.0952,-0.0191,0.9951,1716.0000,1824.0000,1810.0000,1.2166,-32.9682,,
0.1359,126,0,112.3224,112.5257,775.0616,111.1058,145.4940,756.8318,0.0206,-0.0952,-0.0191,0.9951,1703.0000,1824.0000,1810.0000,1.2166,-32.9682,,
0.1477,126,0,111.7584,114.6237,773.0789,110.5151,147.5910,754.8490,0.0220,-0.0951,-0.0202,0.9950,1690.0000,1824.0000,1810.0000,1.2434,-32.9672,,
0.1564,126,0,111.7584,114.6237,773.0789,110.5151,147.5910,754.8490,0.0220,-0.0951,-0.0202,0.9950,1681.0000,1824.0000,1810.0000,1.2434,-32.9672,,
0.1681,126,0,111.7584,114.6237,773.0789,110.5151,147.5910,754.8490,0.0220,-0.0951,-0.0202,0.9950,1667.0000,1824.0000,1810.0000,1.2434,-32.9672,,
0.1798,126,0,112.1349,115.3448,765.8320,110.9006,148.3124,747.6022,0.0260,-0.0916,-0.0205,0.9952,1656.0000,1824.0000,1810.0000,1.2343,-32.9676,,
0.1917,126,0,112.1349,115.3448,765.8320,110.9006,148.3124,747.6022,0.0260,-0.0916,-0.0205,0.9952,1643.0000,1824.0000,1810.0000,1.2343,-32.9676,,
0.2038,126,0,114.5287,118.6756,765.6691,113.3843,151.6464,747.4393,0.0238,-0.0945,-0.0202,0.9950,1629.0000,1824.0000,1810.0000,1.1444,-32.9708,,
0.2158,126,0,114.5287,118.6756,765.6691,113.3843,151.6464,747.4393,0.0238,-0.0945,-0.0202,0.9950,1616.0000,1824.0000,1810.0000,1.1444,-32.9708,,
0.2246,126,0,114.5287,118.6756,765.6691,113.3843,151.6464,747.4393,0.0238,-0.0945,-0.0202,0.9950,1605.0000,1824.0000,1810.0000,1.1444,-32.9708,,
0.2358,126,0,115.3097,121.6670,763.5510,114.0157,154.6323,745.3211,0.0262,-0.0929,-0.0216,0.9951,1592.0000,1824.0000,1810.0000,1.2940,-32.9653,,
0.2482,126,0,115.3097,121.6670,763.5510,114.0157,154.6323,745.3211,0.0262,-0.0929,-0.0216,0.9951,1578.0000,1824.0000,1810.0000,1.2940,-32.9653,,
0.2598,126,0,116.4813,123.9233,756.2870,115.6622,156.9038,738.0571,0.0269,-0.0925,-0.0213,0.9951,1565.0000,1824.0000,1810.0000,0.8191,-32.9805,,
0.2717,126,0,116.4813,123.9233,756.2870,115.6622,156.9038,738.0571,0.0269,-0.0925,-0.0213,0.9951,1551.0000,1824.0000,1810.0000,0.8191,-32.9805,,
0.2837,126,0,116.4813,123.9233,756.2870,115.6622,156.9038,738.0571,0.0269,-0.0925,-0.0213,0.9951,1536.0000,1824.0000,1810.0000,0.8191,-32.9805,,
0.2924,126,0,107.5379,115.9863,699.0799,112.1693,148.6503,680.8500,0.3239,0.0820,0.1292,0.9336,1526.0000,1824.0000,1810.0000,-4.6313,-32.6640,,
