{HEADER}
user_id: 123
target_id: 049
target_screen_position_mm: [-183.92, -79.88]
fingertip_offset: [0.82, 32.98, 18.23]
completion_time: 9.3915
endpoint_error_mm: [-0.9413, -9.8223, 4.4968]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,49,0,-189.9920,-30.2216,1014.9633,-185.6153,2.4775,996.7334,-0.0421,-0.0248,-0.0980,0.9940,1819.0000,1797.0000,1810.0000,-4.3768,-32.6990,,
0.0120,49,0,-189.9920,-30.2216,1014.9633,-185.6153,2.4775,996.7334,-0.0421,-0.0248,-0.0980,0.9940,1817.0000,1797.0000,1810.0000,-4.3768,-32.6990,,
0.0209,49,0,-192.2385,-31.5551,1010.3920,-187.5535,1.1013,992.1622,-0.0436,-0.0291,-0.0982,0.9938,1820.0000,1797.0000,1810.0000,-4.6850,-32.6563,,
0.0317,49,0,-192.2385,-31.5551,1010.3920,-187.5535,1.1013,992.1622,-0.0436,-0.0291,-0.0982,0.9938,1821.0000,1792.0000,1810.0000,-4.6850,-32.6563,,
0.0441,49,0,-194.1429,-33.3080,990.2991,-189.7450,-0.6118,972.0692,-0.0235,-0.0305,-0.0951,0.9947,1821.0000,1781.0000,1810.0000,-4.3980,-32.6962,,
0.0558,49,0,-194.1429,-33.3080,990.2991,-189.7450,-0.6118,972.0692,-0.0235,-0.0305,-0.0951,0.9947,1821.0000,1768.0000,1810.0000,-4.3980,-32.6962,,
0.0680,49,0,-194.1429,-33.3080,990.2991,-189.7450,-0.6118,972.0692,-0.0235,-0.0305,-0.0951,0.9947,1821.0000,1754.0000,1810.0000,-4.3980,-32.6962,,
0.0797,49,0,-197.8532,-34.5340,1014.8116,-193.5425,-1.8262,996.5818,-0.0467,-0.0280,-0.0933,0.9941,1821.0000,1739.0000,1810.0000,-4.3108,-32.7078,,
0.0885,49,0,-197.8532,-34.5340,1014.8116,-193.5425,-1.8262,996.5818,-0.0467,-0.0280,-0.0933,0.9941,1821.0000,1728.0000,1810.0000,-4.3108,-32.7078,,
0.0997,49,0,-197.8532,-34.5340,1014.8116,-193.5425,-1.8262,996.5818,-0.0467,-0.0280,-0.0933,0.9941,1821.0000,1713.0000,1809.0000,-4.3108,-32.7078,,
0.1120,49,0,-193.0294,-33.5789,982.5445,-181.7224,-2.5865,964.3146,0.0597,0.4996,-0.2163,0.8367,1821.0000,1697.0000,1809.0000,-11.3071,-30.9925,,
0.1239,49,0,-193.0294,-33.5789,982.5445,-181.7224,-2.5865,964.3146,0.0597,0.4996,-0.2163,0.8367,1821.0000,1683.0000,1809.0000,-11.3071,-30.9925,,
0.1358,49,0,-198.0241,-34.2946,1008.7330,-193.3499,-1.6368,990.5032,-0.0401,-0.0297,-0.0948,0.9943,1821.0000,1668.0000,1809.0000,-4.6741,-32.6579,,
0.1446,49,0,-198.0241,-34.2946,1008.7330,-193.3499,-1.6368,990.5032,-0.0401,-0.0297,-0.0948,0.9943,1821.0000,1657.0000,1809.0000,-4.6741,-32.6579,,
0.1562,49,0,-198.0241,-34.2946,1008.7330,-193.3499,-1.6368,990.5032,-0.0401,-0.0297,-0.0948,0.9943,1821.0000,1643.0000,1809.0000,-4.6741,-32.6579,,
0.1680,49,0,-197.2022,-32.4222,1008.6228,-193.5907,0.3702,990.3929,-0.0429,-0.0276,-0.0944,0.9942,1821.0000,1627.0000,1809.0000,-3.6115,-32.7924,,
0.1803,49,0,-197.2022,-32.4222,1008.6228,-193.5907,0.3702,990.3929,-0.0429,-0.0276,-0.0944,0.9942,1821.0000,1611.0000,1809.0000,-3.6115,-32.7924,,
0.1918,49,0,-192.0493,-30.6384,1003.1467,-188.3023,2.1388,984.9169,-0.0403,-0.0204,-0.0958,0.9944,1821.0000,1598.0000,1809.0000,-3.7470,-32.7772,,
0.2038,49,0,-192.0493,-30.6384,1003.1467,-188.3023,2.1388,984.9169,-0.0403,-0.0204,-0.0958,0.9944,1821.0000,1583.0000,1810.0000,-3.7470,-32.7772,,
0.2126,49,0,-192.0493,-30.6384,1003.1467,-188.3023,2.1388,984.9169,-0.0403,-0.0204,-0.0958,0.9944,1821.0000,1574.0000,1810.0000,-3.7470,-32.7772,,
0.2239,49,0,-186.0565,-25.4551,983.8846,-182.3682,7.3287,965.6548,-0.0381,-0.0305,-0.0944,0.9943,1821.0000,1561.0000,1810.0000,-3.6884,-32.7838,,
0.2357,49,0,-186.0565,-25.4551,983.8846,-182.3682,7.3287,965.6548,-0.0381,-0.0305,-0.0944,0.9943,1821.0000,1548.0000,1810.0000,-3.6884,-32.7838,,
0.2479,49,0,-186.0565,-25.4551,983.8846,-182.3682,7.3287,965.6548,-0.0381,-0.0305,-0.0944,0.9943,1821.0000,1536.0000,1810.0000,-3.6884,-32.7838,,
0.2602,49,0,-185.9914,-21.4194,999.9324,-181.8275,11.3074,981.7026,-0.0370,-0.0210,-0.0946,0.9946,1821.0000,1523.0000,1810.0000,-4.1640,-32.7268,,
0.2722,49,0,-185.9914,-21.4194,999.9324,-181.8275,11.3074,981.7026,-0.0370,-0.0210,-0.0946,0.9946,1821.0000,1510.0000,1810.0000,-4.1640,-32.7268,,
