{HEADER}
user_id: 123
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 8.9085
endpoint_error_mm: [15.2592, 28.7182, 2.0012]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,126,0,192.5559,-22.1959,745.1138,194.3856,10.2187,724.6202,-0.0591,0.0470,-0.0427,0.9962,1820.0000,1828.0000,1810.0000,-1.8297,-32.4145,,
0.0120,126,0,193.7200,-20.9579,744.0269,194.8083,11.4900,723.5333,-0.0546,0.0491,-0.0426,0.9964,1820.0000,1828.0000,1804.0000,-1.0882,-32.4479,,
0.0212,126,0,193.7200,-20.9579,744.0269,194.8083,11.4900,723.5333,-0.0546,0.0491,-0.0426,0.9964,1815.0000,1828.0000,1804.0000,-1.0882,-32.4479,,
0.0321,126,0,193.7200,-20.9579,744.0269,194.8083,11.4900,723.5333,-0.0546,0.0491,-0.0426,0.9964,1806.0000,1828.0000,1804.0000,-1.0882,-32.4479,,
0.0445,126,0,195.2870,-19.7115,742.9963,195.9792,12.7472,722.5027,-0.0547,0.0489,-0.0417,0.9964,1793.0000,1828.0000,1806.0000,-0.6922,-32.4587,,
0.0559,126,0,195.2870,-19.7115,742.9963,195.9792,12.7472,722.5027,-0.0547,0.0489,-0.0417,0.9964,1779.0000,1828.0000,1807.0000,-0.6922,-32.4587,,
0.0676,126,0,194.9756,-17.7911,730.5801,196.2038,14.6517,710.0865,-0.0559,0.0489,-0.0421,0.9963,1765.0000,1828.0000,1809.0000,-1.2283,-32.4429,,
0.0765,126,0,194.9756,-17.7911,730.5801,196.2038,14.6517,710.0865,-0.0559,0.0489,-0.0421,0.9963,1754.0000,1828.0000,1811.0000,-1.2283,-32.4429,,
0.0876,126,0,198.4227,-16.4868,740.4351,199.3911,15.9649,719.9415,-0.0538,0.0519,-0.0412,0.9963,1740.0000,1828.0000,1813.0000,-0.9684,-32.4517,,
0.0995,126,0,198.4227,-16.4868,740.4351,199.3911,15.9649,719.9415,-0.0538,0.0519,-0.0412,0.9963,1724.0000,1828.0000,1815.0000,-0.9684,-32.4517,,
