{HEADER}
user_id: 123
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 18.7551
endpoint_error_mm: [3.2994, 5.3275, -0.4990]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,210.1329,14.8242,734.0115,210.9848,47.2792,713.5179,-0.0174,0.0676,-0.0289,0.9971,1815.0000,1824.0000,1814.0000,-0.8520,-32.4549,,
0.0118,275,0,209.9819,13.4578,728.5178,210.7650,45.9144,708.0242,-0.0166,0.0713,-0.0280,0.9969,1802.0000,1824.0000,1814.0000,-0.7831,-32.4567,,
0.0239,275,0,209.9819,13.4578,728.5178,210.7650,45.9144,708.0242,-0.0166,0.0713,-0.0280,0.9969,1785.0000,1824.0000,1814.0000,-0.7831,-32.4567,,
0.0352,275,0,209.9819,13.4578,728.5178,210.7650,45.9144,708.0242,-0.0166,0.0713,-0.0280,0.9969,1774.0000,1824.0000,1814.0000,-0.7831,-32.4567,,
0.0472,275,0,210.2951,12.0736,727.1986,211.1132,44.5294,706.7050,-0.0172,0.0703,-0.0266,0.9970,1759.0000,1824.0000,1814.0000,-0.8181,-32.4558,,
0.0591,275,0,210.2951,12.0736,727.1986,211.1132,44.5294,706.7050,-0.0172,0.0703,-0.0266,0.9970,1745.0000,1824.0000,1814.0000,-0.8181,-32.4558,,
0.0678,275,0,211.1579,12.2060,730.6515,211.8376,44.6650,710.1579,-0.0150,0.0712,-0.0277,0.9970,1735.0000,1824.0000,1814.0000,-0.6797,-32.4590,,
0.0791,275,0,211.1579,12.2060,730.6515,211.8376,44.6650,710.1579,-0.0150,0.0712,-0.0277,0.9970,1722.0000,1824.0000,1814.0000,-0.6797,-32.4590,,
0.0912,275,0,211.0815,12.0778,731.5242,211.7302,44.5374,711.0306,-0.0170,0.0721,-0.0275,0.9969,1709.0000,1824.0000,1814.0000,-0.6487,-32.4596,,
0.1032,275,0,211.0815,12.0778,731.5242,211.7302,44.5374,711.0306,-0.0170,0.0721,-0.0275,0.9969,1695.0000,1824.0000,1814.0000,-0.6487,-32.4596,,
