{HEADER}
user_id: 123
target_id: 057
target_screen_position_mm: [-56.00, -79.88]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 9.9444
endpoint_error_mm: [20.9135, -4.4446, 9.1115]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,57,0,204.8253,-51.4524,758.6683,201.3623,-19.1715,738.1747,-0.0851,0.1506,0.0346,0.9843,1799.0000,1811.0000,1807.0000,3.4630,-32.2809,,
0.0091,57,0,204.8253,-51.4524,758.6683,201.3623,-19.1715,738.1747,-0.0851,0.1506,0.0346,0.9843,1783.0000,1811.0000,1805.0000,3.4630,-32.2809,,
0.0213,57,0,205.4559,-50.2886,765.8109,201.3971,-18.0772,745.3173,-0.0806,0.1473,0.0347,0.9852,1760.0000,1811.0000,1801.0000,4.0588,-32.2114,,
0.0320,57,0,205.4559,-50.2886,765.8109,201.3971,-18.0772,745.3173,-0.0806,0.1473,0.0347,0.9852,1744.0000,1811.0000,1799.0000,4.0588,-32.2114,,
0.0437,57,0,205.4559,-50.2886,765.8109,201.3971,-18.0772,745.3173,-0.0806,0.1473,0.0347,0.9852,1729.0000,1811.0000,1798.0000,4.0588,-32.2114,,
0.0563,57,0,204.1163,-47.9899,766.1500,199.8133,-15.8102,745.6564,-0.0813,0.1470,0.0336,0.9852,1714.0000,1811.0000,1796.0000,4.3031,-32.1797,,
0.0651,57,0,204.1163,-47.9899,766.1500,199.8133,-15.8102,745.6564,-0.0813,0.1470,0.0336,0.9852,1703.0000,1811.0000,1796.0000,4.3031,-32.1797,,
0.0759,57,0,202.7236,-44.6796,762.3342,198.6935,-12.4646,741.8406,-0.0796,0.1457,0.0344,0.9855,1692.0000,1811.0000,1795.0000,4.0301,-32.2150,,
0.0878,57,0,202.7236,-44.6796,762.3342,198.6935,-12.4646,741.8406,-0.0796,0.1457,0.0344,0.9855,1679.0000,1811.0000,1795.0000,4.0301,-32.2150,,
0.0998,57,0,202.7236,-44.6796,762.3342,198.6935,-12.4646,741.8406,-0.0796,0.1457,0.0344,0.9855,1666.0000,1811.0000,1795.0000,4.0301,-32.2150,,
0.1117,57,0,201.6341,-42.2688,765.1547,197.6876,-10.0435,744.6611,-0.0784,0.1427,0.0330,0.9861,1654.0000,1811.0000,1795.0000,3.9465,-32.2254,,
0.1240,57,0,201.6341,-42.2688,765.1547,197.6876,-10.0435,744.6611,-0.0784,0.1427,0.0330,0.9861,1642.0000,1811.0000,1795.0000,3.9465,-32.2254,,
0.1326,57,0,198.3692,-36.9255,760.7856,194.6898,-4.6685,740.2920,-0.0744,0.1433,0.0298,0.9864,1633.0000,1811.0000,1795.0000,3.6793,-32.2570,,
0.1441,57,0,198.3692,-36.9255,760.7856,194.6898,-4.6685,740.2920,-0.0744,0.1433,0.0298,0.9864,1622.0000,1811.0000,1796.0000,3.6793,-32.2570,,
0.1560,57,0,198.3692,-36.9255,760.7856,194.6898,-4.6685,740.2920,-0.0744,0.1433,0.0298,0.9864,1610.0000,1811.0000,1797.0000,3.6793,-32.2570,,
0.1679,57,0,171.8709,-30.1322,661.4887,170.7263,2.3137,640.9951,0.2506,0.4212,0.0020,0.8716,1599.0000,1811.0000,1798.0000,1.1447,-32.4459,,
0.1800,57,0,171.8709,-30.1322,661.4887,170.7263,2.3137,640.9951,0.2506,0.4212,0.0020,0.8716,1592.0000,1811.0000,1800.0000,1.1447,-32.4459,,
0.1920,57,0,198.2647,-27.5105,756.6880,194.6122,4.7495,736.1944,-0.0764,0.1480,0.0282,0.9856,1585.0000,1811.0000,1802.0000,3.6524,-32.2600,,
0.2008,57,0,198.2647,-27.5105,756.6880,194.6122,4.7495,736.1944,-0.0764,0.1480,0.0282,0.9856,1574.0000,1811.0000,1804.0000,3.6524,-32.2600,,
0.2119,57,0,199.3324,-23.7155,755.1089,195.9131,8.5700,734.6153,-0.0699,0.1459,0.0279,0.9864,1560.0000,1811.0000,1806.0000,3.4193,-32.2856,,
0.2240,57,0,199.3324,-23.7155,755.1089,195.9131,8.5700,734.6153,-0.0699,0.1459,0.0279,0.9864,1546.0000,1811.0000,1809.0000,3.4193,-32.2856,,
0.2360,57,0,199.3324,-23.7155,755.1089,195.9131,8.5700,734.6153,-0.0699,0.1459,0.0279,0.9864,1530.0000,1811.0000,1809.0000,3.4193,-32.2856,,
0.2479,57,0,197.9533,-21.6397,750.7162,194.4243,10.6341,730.2227,-0.0691,0.1450,0.0293,0.9866,1515.0000,1810.0000,1809.0000,3.5290,-32.2737,,
0.2567,57,0,197.9533,-21.6397,750.7162,194.4243,10.6341,730.2227,-0.0691,0.1450,0.0293,0.9866,1502.0000,1810.0000,1809.0000,3.5290,-32.2737,,
0.2681,57,0,193.3123,-20.6411,745.9594,189.6414,11.6168,725.4658,-0.0682,0.1456,0.0308,0.9865,1487.0000,1810.0000,1809.0000,3.6709,-32.2579,,
0.2799,57,0,193.3123,-20.6411,745.9594,189.6414,11.6168,725.4658,-0.0682,0.1456,0.0308,0.9865,1473.0000,1810.0000,1809.0000,3.6709,-32.2579,,
0.2920,57,0,191.1167,-19.9575,745.9601,187.4864,12.3050,725.4665,-0.0659,0.1451,0.0319,0.9867,1459.0000,1810.0000,1809.0000,3.6303,-32.2625,,
0.3040,57,0,191.1167,-19.9575,745.9601,187.4864,12.3050,725.4665,-0.0659,0.1451,0.0319,0.9867,1445.0000,1810.0000,1809.0000,3.6303,-32.2625,,
0.3160,57,0,191.1167,-19.9575,745.9601,187.4864,12.3050,725.4665,-0.0659,0.1451,0.0319,0.9867,1430.0000,1810.0000,1809.0000,3.6303,-32.2625,,
