{HEADER}
user_id: 123
target_id: 383
target_screen_position_mm: [71.92, 96.08]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 10.6793
endpoint_error_mm: [17.6327, -0.9510, -0.0217]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,383,0,263.4875,-151.9363,755.1987,261.1831,-119.5520,734.7051,-0.0488,0.1107,0.0111,0.9926,1791.0000,1809.0000,1809.0000,2.3044,-32.3842,,
0.0119,383,0,241.5495,-140.5812,689.0648,235.8668,-108.6163,668.5712,0.6025,0.2844,-0.3131,0.6768,1778.0000,1809.0000,1809.0000,5.6827,-31.9649,,
0.0246,383,0,241.5495,-140.5812,689.0648,235.8668,-108.6163,668.5712,0.6025,0.2844,-0.3131,0.6768,1764.0000,1809.0000,1808.0000,5.6827,-31.9649,,
0.0342,383,0,241.5495,-140.5812,689.0648,235.8668,-108.6163,668.5712,0.6025,0.2844,-0.3131,0.6768,1750.0000,1809.0000,1802.0000,5.6827,-31.9649,,
0.0436,383,0,261.4562,-152.5821,742.1099,259.2714,-120.1896,721.6163,-0.0541,0.1156,0.0127,0.9917,1736.0000,1809.0000,1796.0000,2.1849,-32.3925,,
0.0555,383,0,261.4562,-152.5821,742.1099,259.2714,-120.1896,721.6163,-0.0541,0.1156,0.0127,0.9917,1714.0000,1809.0000,1784.0000,2.1849,-32.3925,,
0.0674,383,0,261.4562,-152.5821,742.1099,259.2714,-120.1896,721.6163,-0.0541,0.1156,0.0127,0.9917,1695.0000,1809.0000,1771.0000,2.1849,-32.3925,,
0.0797,383,0,268.0292,-157.8219,755.2925,265.5168,-125.4531,734.7990,-0.0508,0.1133,0.0147,0.9921,1673.0000,1809.0000,1756.0000,2.5124,-32.3688,,
0.0885,383,0,268.0292,-157.8219,755.2925,265.5168,-125.4531,734.7990,-0.0508,0.1133,0.0147,0.9921,1656.0000,1809.0000,1744.0000,2.5124,-32.3688,,
0.0995,383,0,269.9281,-159.6313,752.0112,267.4067,-127.2633,731.5176,-0.0529,0.1121,0.0162,0.9922,1637.0000,1808.0000,1731.0000,2.5214,-32.3681,,
0.1118,383,0,269.9281,-159.6313,752.0112,267.4067,-127.2633,731.5176,-0.0529,0.1121,0.0162,0.9922,1613.0000,1808.0000,1714.0000,2.5214,-32.3681,,
0.1234,383,0,269.9281,-159.6313,752.0112,267.4067,-127.2633,731.5176,-0.0529,0.1121,0.0162,0.9922,1593.0000,1808.0000,1699.0000,2.5214,-32.3681,,
