{HEADER}
user_id: 123
target_id: 297
target_screen_position_mm: [-7.96, 48.04]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 13.9555
endpoint_error_mm: [9.4308, -10.4309, 1.8866]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,297,0,178.4247,-107.7780,747.9153,178.9817,-75.3167,727.4217,-0.0638,0.1168,-0.0324,0.9906,1784.0000,1807.0000,1815.0000,-0.5570,-32.4613,,
0.0095,297,0,177.1120,-102.0026,746.4996,177.3328,-69.5372,726.0060,-0.0590,0.1153,-0.0317,0.9911,1777.0000,1807.0000,1815.0000,-0.2208,-32.4654,,
0.0200,297,0,177.1120,-102.0026,746.4996,177.3328,-69.5372,726.0060,-0.0590,0.1153,-0.0317,0.9911,1768.0000,1807.0000,1812.0000,-0.2208,-32.4654,,
0.0316,297,0,177.1120,-102.0026,746.4996,177.3328,-69.5372,726.0060,-0.0590,0.1153,-0.0317,0.9911,1756.0000,1807.0000,1808.0000,-0.2208,-32.4654,,
0.0436,297,0,175.9135,-97.2370,741.3769,176.4304,-64.7750,720.8833,-0.0562,0.1160,-0.0330,0.9911,1741.0000,1807.0000,1802.0000,-0.5169,-32.4620,,
0.0556,297,0,175.9135,-97.2370,741.3769,176.4304,-64.7750,720.8833,-0.0562,0.1160,-0.0330,0.9911,1727.0000,1807.0000,1796.0000,-0.5169,-32.4620,,
0.0676,297,0,177.4577,-93.4894,742.7054,178.0298,-61.0283,722.2118,-0.0566,0.1184,-0.0334,0.9908,1712.0000,1807.0000,1790.0000,-0.5721,-32.4611,,
0.0765,297,0,177.4577,-93.4894,742.7054,178.0298,-61.0283,722.2118,-0.0566,0.1184,-0.0334,0.9908,1701.0000,1807.0000,1785.0000,-0.5721,-32.4611,,
0.0879,297,0,176.5827,-87.5227,723.9616,177.5588,-55.0713,703.4680,-0.0600,0.1221,-0.0343,0.9901,1686.0000,1807.0000,1779.0000,-0.9761,-32.4514,,
0.0998,297,0,176.5827,-87.5227,723.9616,177.5588,-55.0713,703.4680,-0.0600,0.1221,-0.0343,0.9901,1671.0000,1807.0000,1774.0000,-0.9761,-32.4514,,
0.1116,297,0,181.1594,-87.7114,734.7972,181.9496,-55.2549,714.3036,-0.0533,0.1167,-0.0334,0.9912,1656.0000,1807.0000,1769.0000,-0.7902,-32.4565,,
0.1236,297,0,181.1594,-87.7114,734.7972,181.9496,-55.2549,714.3036,-0.0533,0.1167,-0.0334,0.9912,1639.0000,1807.0000,1764.0000,-0.7902,-32.4565,,
0.1357,297,0,181.1594,-87.7114,734.7972,181.9496,-55.2549,714.3036,-0.0533,0.1167,-0.0334,0.9912,1623.0000,1807.0000,1759.0000,-0.7902,-32.4565,,
0.1444,297,0,183.2796,-84.2510,737.3954,184.0965,-51.7952,716.9019,-0.0499,0.1178,-0.0359,0.9911,1612.0000,1807.0000,1755.0000,-0.8169,-32.4558,,
0.1556,297,0,183.2796,-84.2510,737.3954,184.0965,-51.7952,716.9019,-0.0499,0.1178,-0.0359,0.9911,1596.0000,1807.0000,1751.0000,-0.8169,-32.4558,,
0.1677,297,0,186.3808,-78.9390,731.9310,187.1988,-46.4832,711.4374,-0.0495,0.1207,-0.0343,0.9909,1581.0000,1807.0000,1748.0000,-0.8180,-32.4558,,
