{HEADER}
user_id: 123
target_id: 231
target_screen_position_mm: [-104.04, 15.92]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 6.2760
endpoint_error_mm: [2.2181, 6.6420, 3.7167]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,231,0,109.3714,-175.9560,684.3104,114.3187,-143.8690,663.8168,-0.4960,0.6005,0.0264,0.6267,1774.0000,1800.0000,1796.0000,-4.9474,-32.0869,,
0.0125,231,0,109.3714,-175.9560,684.3104,114.3187,-143.8690,663.8168,-0.4960,0.6005,0.0264,0.6267,1757.0000,1800.0000,1774.0000,-4.9474,-32.0869,,
0.0241,231,0,112.5266,-192.6597,742.8574,111.5449,-160.2085,722.3638,-0.1239,0.1428,-0.0214,0.9817,1747.0000,1800.0000,1755.0000,0.9817,-32.4513,,
0.0334,231,0,112.5266,-192.6597,742.8574,111.5449,-160.2085,722.3638,-0.1239,0.1428,-0.0214,0.9817,1742.0000,1800.0000,1741.0000,0.9817,-32.4513,,
0.0439,231,0,106.5624,-194.6752,754.5516,105.6773,-162.2212,734.0580,-0.1229,0.1353,-0.0191,0.9830,1738.0000,1800.0000,1722.0000,0.8851,-32.4540,,
0.0558,231,0,106.5624,-194.6752,754.5516,105.6773,-162.2212,734.0580,-0.1229,0.1353,-0.0191,0.9830,1737.0000,1800.0000,1703.0000,0.8851,-32.4540,,
0.0679,231,0,106.5624,-194.6752,754.5516,105.6773,-162.2212,734.0580,-0.1229,0.1353,-0.0191,0.9830,1737.0000,1800.0000,1682.0000,0.8851,-32.4540,,
0.0798,231,0,97.0021,-186.1950,709.4305,90.2056,-154.4482,688.9370,0.3163,0.2561,-0.1247,0.9049,1739.0000,1799.0000,1659.0000,6.7965,-31.7467,,
0.0919,231,0,97.0021,-186.1950,709.4305,90.2056,-154.4482,688.9370,0.3163,0.2561,-0.1247,0.9049,1743.0000,1799.0000,1642.0000,6.7965,-31.7467,,
0.1011,231,0,99.3111,-204.1279,757.4867,97.9931,-171.6885,736.9931,-0.1248,0.1390,-0.0194,0.9822,1746.0000,1799.0000,1626.0000,1.3180,-32.4393,,
0.1117,231,0,99.3111,-204.1279,757.4867,97.9931,-171.6885,736.9931,-0.1248,0.1390,-0.0194,0.9822,1751.0000,1799.0000,1603.0000,1.3180,-32.4393,,
0.1238,231,0,99.3111,-204.1279,757.4867,97.9931,-171.6885,736.9931,-0.1248,0.1390,-0.0194,0.9822,1756.0000,1799.0000,1578.0000,1.3180,-32.4393,,
0.1360,231,0,100.0227,-206.0909,759.2133,98.8820,-173.6449,738.7197,-0.1277,0.1376,-0.0181,0.9821,1760.0000,1799.0000,1553.0000,1.1407,-32.4461,,
0.1479,231,0,100.0227,-206.0909,759.2133,98.8820,-173.6449,738.7197,-0.1277,0.1376,-0.0181,0.9821,1764.0000,1799.0000,1529.0000,1.1407,-32.4461,,
0.1567,231,0,99.8141,-203.5620,759.9769,98.1735,-171.1374,739.4833,-0.1247,0.1359,-0.0147,0.9827,1767.0000,1799.0000,1510.0000,1.6406,-32.4246,,
0.1679,231,0,99.8141,-203.5620,759.9769,98.1735,-171.1374,739.4833,-0.1247,0.1359,-0.0147,0.9827,1770.0000,1799.0000,1488.0000,1.6406,-32.4246,,
0.1801,231,0,99.8141,-203.5620,759.9769,98.1735,-171.1374,739.4833,-0.1247,0.1359,-0.0147,0.9827,1773.0000,1799.0000,1463.0000,1.6406,-32.4246,,
0.1919,231,0,97.4626,-197.7803,747.5776,96.7410,-165.3222,727.0840,-0.1281,0.1317,-0.0130,0.9829,1775.0000,1799.0000,1441.0000,0.7217,-32.4581,,
0.2039,231,0,97.4626,-197.7803,747.5776,96.7410,-165.3222,727.0840,-0.1281,0.1317,-0.0130,0.9829,1776.0000,1799.0000,1420.0000,0.7217,-32.4581,,
0.2160,231,0,99.3655,-189.2350,763.7360,98.0691,-156.7948,743.2424,-0.1161,0.1320,-0.0153,0.9843,1776.0000,1799.0000,1402.0000,1.2965,-32.4402,,
0.2250,231,0,99.3655,-189.2350,763.7360,98.0691,-156.7948,743.2424,-0.1161,0.1320,-0.0153,0.9843,1774.0000,1799.0000,1390.0000,1.2965,-32.4402,,
0.2360,231,0,99.3655,-189.2350,763.7360,98.0691,-156.7948,743.2424,-0.1161,0.1320,-0.0153,0.9843,1771.0000,1799.0000,1375.0000,1.2965,-32.4402,,
0.2483,231,0,101.5591,-181.3900,760.8887,100.1584,-148.9541,740.3951,-0.1146,0.1343,-0.0142,0.9842,1769.0000,1799.0000,1360.0000,1.4007,-32.4359,,
0.2600,231,0,101.5591,-181.3900,760.8887,100.1584,-148.9541,740.3951,-0.1146,0.1343,-0.0142,0.9842,1762.0000,1799.0000,1348.0000,1.4007,-32.4359,,
0.2719,231,0,105.5762,-165.6913,756.4209,104.1925,-133.2547,735.9273,-0.1057,0.1366,-0.0125,0.9849,1756.0000,1799.0000,1336.0000,1.3836,-32.4366,,
0.2840,231,0,105.5762,-165.6913,756.4209,104.1925,-133.2547,735.9273,-0.1057,0.1366,-0.0125,0.9849,1742.0000,1799.0000,1335.0000,1.3836,-32.4366,,
0.2927,231,0,105.0164,-153.2298,748.4272,103.6408,-120.7929,727.9336,-0.1048,0.1377,-0.0117,0.9848,1733.0000,1799.0000,1334.0000,1.3756,-32.4370,,
0.3042,231,0,105.0164,-153.2298,748.4272,103.6408,-120.7929,727.9336,-0.1048,0.1377,-0.0117,0.9848,1719.0000,1799.0000,1339.0000,1.3756,-32.4370,,
0.3163,231,0,105.0164,-153.2298,748.4272,103.6408,-120.7929,727.9336,-0.1048,0.1377,-0.0117,0.9848,1704.0000,1799.0000,1341.0000,1.3756,-32.4370,,
0.3283,231,0,108.7081,-140.1159,751.1348,107.3183,-107.6795,730.6412,-0.0972,0.1358,-0.0104,0.9859,1692.0000,1799.0000,1341.0000,1.3897,-32.4364,,
0.3400,231,0,108.7081,-140.1159,751.1348,107.3183,-107.6795,730.6412,-0.0972,0.1358,-0.0104,0.9859,1674.0000,1799.0000,1350.0000,1.3897,-32.4364,,
0.3487,231,0,109.3636,-125.4078,740.7249,108.0795,-92.9671,720.2313,-0.0879,0.1417,-0.0079,0.9860,1661.0000,1799.0000,1356.0000,1.2841,-32.4407,,
0.3598,231,0,109.3636,-125.4078,740.7249,108.0795,-92.9671,720.2313,-0.0879,0.1417,-0.0079,0.9860,1642.0000,1799.0000,1372.0000,1.2841,-32.4407,,
