{HEADER}
user_id: 123
target_id: 249
target_screen_position_mm: [183.92, 15.92]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 6.1874
endpoint_error_mm: [9.7214, 10.5813, 6.1974]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,249,0,374.9089,-164.2269,778.9997,374.7676,-131.7611,758.5061,-0.1136,0.1138,-0.0317,0.9865,1789.0000,1798.0000,1810.0000,0.1413,-32.4658,,
0.0119,249,0,374.9089,-164.2269,778.9997,374.7676,-131.7611,758.5061,-0.1136,0.1138,-0.0317,0.9865,1778.0000,1798.0000,1796.0000,0.1413,-32.4658,,
0.0238,249,0,374.6878,-164.0217,774.8973,374.1324,-131.5603,754.4037,-0.1127,0.1110,-0.0284,0.9870,1757.0000,1798.0000,1782.0000,0.5553,-32.4614,,
0.0326,249,0,374.6878,-164.0217,774.8973,374.1324,-131.5603,754.4037,-0.1127,0.1110,-0.0284,0.9870,1740.0000,1798.0000,1774.0000,0.5553,-32.4614,,
0.0435,249,0,340.5547,-142.1221,697.4126,352.6341,-111.9868,676.9190,0.0000,0.0000,0.0000,1.0000,1713.0000,1798.0000,1763.0000,-12.0794,-30.1353,,
0.0554,249,0,340.5547,-142.1221,697.4126,352.6341,-111.9868,676.9190,0.0000,0.0000,0.0000,1.0000,1686.0000,1798.0000,1755.0000,-12.0794,-30.1353,,
0.0681,249,0,380.1093,-148.9769,774.3874,380.2272,-116.5110,753.8938,-0.1065,0.1198,-0.0325,0.9865,1652.0000,1798.0000,1745.0000,-0.1179,-32.4659,,
0.0793,249,0,380.1093,-148.9769,774.3874,380.2272,-116.5110,753.8938,-0.1065,0.1198,-0.0325,0.9865,1621.0000,1798.0000,1737.0000,-0.1179,-32.4659,,
0.0879,249,0,380.1093,-148.9769,774.3874,380.2272,-116.5110,753.8938,-0.1065,0.1198,-0.0325,0.9865,1595.0000,1798.0000,1730.0000,-0.1179,-32.4659,,
0.0995,249,0,380.7495,-138.1987,769.5964,381.1670,-105.7353,749.1028,-0.1028,0.1168,-0.0351,0.9872,1563.0000,1798.0000,1722.0000,-0.4175,-32.4634,,
0.1115,249,0,380.7495,-138.1987,769.5964,381.1670,-105.7353,749.1028,-0.1028,0.1168,-0.0351,0.9872,1529.0000,1798.0000,1716.0000,-0.4175,-32.4634,,
0.1231,249,0,383.4668,-122.0749,766.1548,383.7742,-89.6102,745.6613,-0.0974,0.1180,-0.0335,0.9877,1497.0000,1798.0000,1709.0000,-0.3074,-32.4647,,
0.1356,249,0,383.4668,-122.0749,766.1548,383.7742,-89.6102,745.6613,-0.0974,0.1180,-0.0335,0.9877,1460.0000,1799.0000,1706.0000,-0.3074,-32.4647,,
0.1472,249,0,385.3167,-113.9029,761.1453,385.6243,-81.4382,740.6517,-0.0924,0.1205,-0.0333,0.9878,1427.0000,1799.0000,1703.0000,-0.3077,-32.4647,,
0.1573,249,0,385.3167,-113.9029,761.1453,385.6243,-81.4382,740.6517,-0.0924,0.1205,-0.0333,0.9878,1399.0000,1799.0000,1701.0000,-0.3077,-32.4647,,
0.1674,249,0,385.3167,-113.9029,761.1453,385.6243,-81.4382,740.6517,-0.0924,0.1205,-0.0333,0.9878,1370.0000,1799.0000,1699.0000,-0.3077,-32.4647,,
0.1793,249,0,387.3630,-106.2103,755.4459,387.5971,-73.7451,734.9523,-0.0901,0.1211,-0.0317,0.9880,1337.0000,1799.0000,1697.0000,-0.2342,-32.4653,,
0.1911,249,0,387.3630,-106.2103,755.4459,387.5971,-73.7451,734.9523,-0.0901,0.1211,-0.0317,0.9880,1302.0000,1799.0000,1696.0000,-0.2342,-32.4653,,
0.2032,249,0,392.2053,-97.0999,748.0297,392.4614,-64.6348,727.5361,-0.0853,0.1245,-0.0294,0.9881,1271.0000,1799.0000,1694.0000,-0.2562,-32.4651,,
0.2131,249,0,392.2053,-97.0999,748.0297,392.4614,-64.6348,727.5361,-0.0853,0.1245,-0.0294,0.9881,1242.0000,1798.0000,1695.0000,-0.2562,-32.4651,,
0.2239,249,0,392.2053,-97.0999,748.0297,392.4614,-64.6348,727.5361,-0.0853,0.1245,-0.0294,0.9881,1212.0000,1798.0000,1695.0000,-0.2562,-32.4651,,
0.2358,249,0,395.5859,-92.6361,744.3068,395.7110,-60.1703,723.8132,-0.0831,0.1272,-0.0285,0.9880,1178.0000,1799.0000,1694.0000,-0.1251,-32.4659,,
0.2472,249,0,395.5859,-92.6361,744.3068,395.7110,-60.1703,723.8132,-0.0831,0.1272,-0.0285,0.9880,1142.0000,1799.0000,1695.0000,-0.1251,-32.4659,,
0.2592,249,0,365.3337,-81.9456,677.7977,365.3630,-49.4795,657.3041,0.0565,0.5745,-0.1818,0.7961,1112.0000,1799.0000,1694.0000,-0.0293,-32.4661,,
0.2711,249,0,365.3337,-81.9456,677.7977,365.3630,-49.4795,657.3041,0.0565,0.5745,-0.1818,0.7961,1089.0000,1799.0000,1697.0000,-0.0293,-32.4661,,
