{HEADER}
user_id: 123
target_id: 124
target_screen_position_mm: [104.04, -48.04]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 6.7747
endpoint_error_mm: [7.8276, -0.1422, 7.0108]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,124,0,83.9190,67.8469,736.2578,102.8625,94.2133,715.7642,-0.0601,0.0765,-0.3030,0.9480,1771.0000,1801.0000,1817.0000,-18.9436,-26.3664,,
0.0115,124,0,87.0490,69.1981,754.8712,104.1688,96.7836,734.3776,-0.0574,0.0733,-0.3039,0.9481,1755.0000,1801.0000,1817.0000,-17.1198,-27.5855,,
0.0230,124,0,87.0490,69.1981,754.8712,104.1688,96.7836,734.3776,-0.0574,0.0733,-0.3039,0.9481,1741.0000,1801.0000,1817.0000,-17.1198,-27.5855,,
0.0322,124,0,87.0490,69.1981,754.8712,104.1688,96.7836,734.3776,-0.0574,0.0733,-0.3039,0.9481,1731.0000,1801.0000,1817.0000,-17.1198,-27.5855,,
0.0430,124,0,89.9443,69.6653,754.9027,107.6666,96.8677,734.4091,-0.0595,0.0778,-0.3030,0.9480,1718.0000,1801.0000,1817.0000,-17.7223,-27.2024,,
0.0549,124,0,89.9443,69.6653,754.9027,107.6666,96.8677,734.4091,-0.0595,0.0778,-0.3030,0.9480,1705.0000,1801.0000,1817.0000,-17.7223,-27.2024,,
0.0669,124,0,99.1914,71.2839,753.8332,116.7752,98.5760,733.3396,-0.0586,0.0783,-0.3024,0.9482,1693.0000,1801.0000,1817.0000,-17.5838,-27.2921,,
0.0789,124,0,99.1914,71.2839,753.8332,116.7752,98.5760,733.3396,-0.0586,0.0783,-0.3024,0.9482,1679.0000,1801.0000,1817.0000,-17.5838,-27.2921,,
0.0910,124,0,106.1256,73.4728,756.1608,123.5940,100.8389,735.6672,-0.0603,0.0820,-0.3016,0.9480,1665.0000,1801.0000,1817.0000,-17.4684,-27.3661,,
0.0998,124,0,106.1256,73.4728,756.1608,123.5940,100.8389,735.6672,-0.0603,0.0820,-0.3016,0.9480,1654.0000,1801.0000,1817.0000,-17.4684,-27.3661,,
0.1113,124,0,106.1256,73.4728,756.1608,123.5940,100.8389,735.6672,-0.0603,0.0820,-0.3016,0.9480,1640.0000,1801.0000,1817.0000,-17.4684,-27.3661,,
