{HEADER}
user_id: 124
target_id: 286
target_screen_position_mm: [-183.92, 48.04]
fingertip_offset: [3.03, 32.73, 19.23]
completion_time: 10.2069
endpoint_error_mm: [-0.5205, 17.6598, 2.6478]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.685735, 9.682273, 7.470439, 8.990629]
control_points_accel: [0.497382, -2.264590, 3.190859, -1.423652]
stiffness_measurements: [0.185872, 0.059771, 0.120415, 0.242385]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,286,0,-75.0993,-332.7100,922.5621,-79.0829,-300.0790,903.3339,-0.1253,0.0418,0.0129,0.9912,1833.0000,1831.0000,1827.0000,3.9835,-32.6310,,
0.0114,286,0,-76.2168,-332.5200,924.5797,-80.3032,-299.9017,905.3516,-0.1291,0.0418,0.0123,0.9907,1833.0000,1831.0000,1793.0000,4.0864,-32.6182,,
0.0256,286,0,-76.2168,-332.5200,924.5797,-80.3032,-299.9017,905.3516,-0.1291,0.0418,0.0123,0.9907,1833.0000,1831.0000,1728.0000,4.0864,-32.6182,,
0.0352,286,0,-74.2786,-328.2090,917.6715,-77.8392,-295.5292,898.4434,-0.1248,0.0418,0.0076,0.9913,1833.0000,1831.0000,1698.0000,3.5606,-32.6798,,
0.0476,286,0,-74.2786,-328.2090,917.6715,-77.8392,-295.5292,898.4434,-0.1248,0.0418,0.0076,0.9913,1833.0000,1831.0000,1649.0000,3.5606,-32.6798,,
0.0592,286,0,-74.2786,-328.2090,917.6715,-77.8392,-295.5292,898.4434,-0.1248,0.0418,0.0076,0.9913,1833.0000,1831.0000,1604.0000,3.5606,-32.6798,,
0.0680,286,0,-74.7532,-328.1780,922.0198,-78.3089,-295.4977,902.7916,-0.1246,0.0399,0.0092,0.9914,1833.0000,1831.0000,1579.0000,3.5557,-32.6803,,
0.0790,286,0,-74.7532,-328.1780,922.0198,-78.3089,-295.4977,902.7916,-0.1246,0.0399,0.0092,0.9914,1833.0000,1831.0000,1543.0000,3.5557,-32.6803,,
0.0911,286,0,-74.7444,-321.2593,911.0685,-78.4100,-288.5911,891.8404,-0.1204,0.0412,0.0090,0.9918,1833.0000,1831.0000,1505.0000,3.6656,-32.6682,,
0.1030,286,0,-74.7444,-321.2593,911.0685,-78.4100,-288.5911,891.8404,-0.1204,0.0412,0.0090,0.9918,1833.0000,1831.0000,1469.0000,3.6656,-32.6682,,
0.1153,286,0,-74.7444,-321.2593,911.0685,-78.4100,-288.5911,891.8404,-0.1204,0.0412,0.0090,0.9918,1833.0000,1831.0000,1432.0000,3.6656,-32.6682,,
0.1272,286,0,-76.3813,-318.6852,924.3322,-79.9064,-286.0015,905.1041,-0.1187,0.0450,0.0070,0.9919,1833.0000,1831.0000,1399.0000,3.5251,-32.6837,,
0.1359,286,0,-76.3813,-318.6852,924.3322,-79.9064,-286.0015,905.1041,-0.1187,0.0450,0.0070,0.9919,1834.0000,1831.0000,1371.0000,3.5251,-32.6837,,
