{HEADER}
user_id: 124
target_id: 382
target_screen_position_mm: [56.00, 96.08]
fingertip_offset: [3.03, 32.73, 19.23]
completion_time: 8.8030
endpoint_error_mm: [-13.8152, 28.4398, -0.5746]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.685735, 9.682273, 7.470439, 8.990629]
control_points_accel: [0.497382, -2.264590, 3.190859, -1.423652]
stiffness_measurements: [0.185872, 0.059771, 0.120415, 0.242385]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,382,0,93.6557,-127.7270,760.5271,92.8381,-94.8640,741.2990,-0.0282,0.0646,-0.0226,0.9973,1826.0000,1834.0000,1840.0000,0.8177,-32.8630,,
0.0092,382,0,93.6557,-127.7270,760.5271,92.8381,-94.8640,741.2990,-0.0282,0.0646,-0.0226,0.9973,1826.0000,1833.0000,1840.0000,0.8177,-32.8630,,
0.0192,382,0,93.6557,-127.7270,760.5271,92.8381,-94.8640,741.2990,-0.0282,0.0646,-0.0226,0.9973,1826.0000,1835.0000,1840.0000,0.8177,-32.8630,,
0.0314,382,0,95.3606,-126.1956,759.2067,94.4979,-93.3337,739.9786,-0.0280,0.0656,-0.0229,0.9972,1825.0000,1839.0000,1838.0000,0.8627,-32.8619,,
0.0441,382,0,95.3606,-126.1956,759.2067,94.4979,-93.3337,739.9786,-0.0280,0.0656,-0.0229,0.9972,1819.0000,1839.0000,1825.0000,0.8627,-32.8619,,
0.0551,382,0,96.2399,-122.7891,750.4765,95.4590,-89.9252,731.2484,-0.0288,0.0677,-0.0229,0.9970,1813.0000,1839.0000,1813.0000,0.7809,-32.8639,,
0.0672,382,0,96.2399,-122.7891,750.4765,95.4590,-89.9252,731.2484,-0.0288,0.0677,-0.0229,0.9970,1805.0000,1839.0000,1798.0000,0.7809,-32.8639,,
0.0758,382,0,96.2399,-122.7891,750.4765,95.4590,-89.9252,731.2484,-0.0288,0.0677,-0.0229,0.9970,1800.0000,1839.0000,1788.0000,0.7809,-32.8639,,
0.0871,382,0,97.0827,-120.8816,750.7004,96.1193,-88.0226,731.4723,-0.0268,0.0679,-0.0227,0.9971,1792.0000,1839.0000,1774.0000,0.9634,-32.8591,,
0.0992,382,0,97.0827,-120.8816,750.7004,96.1193,-88.0226,731.4723,-0.0268,0.0679,-0.0227,0.9971,1783.0000,1839.0000,1759.0000,0.9634,-32.8591,,
0.1118,382,0,100.3619,-118.8659,753.3403,99.6040,-86.0015,734.1122,-0.0267,0.0683,-0.0227,0.9970,1773.0000,1839.0000,1743.0000,0.7578,-32.8645,,
0.1231,382,0,100.3619,-118.8659,753.3403,99.6040,-86.0015,734.1122,-0.0267,0.0683,-0.0227,0.9970,1763.0000,1839.0000,1730.0000,0.7578,-32.8645,,
0.1318,382,0,100.3619,-118.8659,753.3403,99.6040,-86.0015,734.1122,-0.0267,0.0683,-0.0227,0.9970,1757.0000,1839.0000,1721.0000,0.7578,-32.8645,,
0.1432,382,0,101.7243,-115.7176,747.4800,100.9490,-82.8535,728.2518,-0.0247,0.0699,-0.0246,0.9969,1748.0000,1839.0000,1709.0000,0.7753,-32.8641,,
0.1551,382,0,101.7243,-115.7176,747.4800,100.9490,-82.8535,728.2518,-0.0247,0.0699,-0.0246,0.9969,1736.0000,1839.0000,1696.0000,0.7753,-32.8641,,
0.1672,382,0,107.2538,-113.0819,741.7545,106.2796,-80.2232,722.5263,-0.0225,0.0686,-0.0236,0.9971,1727.0000,1839.0000,1685.0000,0.9742,-32.8587,,
0.1792,382,0,107.2538,-113.0819,741.7545,106.2796,-80.2232,722.5263,-0.0225,0.0686,-0.0236,0.9971,1713.0000,1839.0000,1674.0000,0.9742,-32.8587,,
0.1910,382,0,108.6877,-111.6765,735.5804,107.8632,-78.8137,716.3523,-0.0225,0.0742,-0.0217,0.9967,1701.0000,1839.0000,1665.0000,0.8245,-32.8628,,
0.1997,382,0,108.6877,-111.6765,735.5804,107.8632,-78.8137,716.3523,-0.0225,0.0742,-0.0217,0.9967,1691.0000,1839.0000,1657.0000,0.8245,-32.8628,,
0.2111,382,0,108.6877,-111.6765,735.5804,107.8632,-78.8137,716.3523,-0.0225,0.0742,-0.0217,0.9967,1680.0000,1839.0000,1648.0000,0.8245,-32.8628,,
0.2234,382,0,111.7326,-110.8753,735.4208,110.9294,-78.0120,716.1926,-0.0228,0.0729,-0.0221,0.9968,1667.0000,1839.0000,1638.0000,0.8031,-32.8634,,
0.2351,382,0,111.7326,-110.8753,735.4208,110.9294,-78.0120,716.1926,-0.0228,0.0729,-0.0221,0.9968,1654.0000,1839.0000,1629.0000,0.8031,-32.8634,,
0.2473,382,0,113.7487,-108.4296,729.2167,112.8511,-75.5686,709.9885,-0.0241,0.0776,-0.0215,0.9965,1641.0000,1839.0000,1620.0000,0.8976,-32.8609,,
0.2561,382,0,113.7487,-108.4296,729.2167,112.8511,-75.5686,709.9885,-0.0241,0.0776,-0.0215,0.9965,1630.0000,1839.0000,1614.0000,0.8976,-32.8609,,
0.2671,382,0,114.4262,-105.6885,721.6506,113.3728,-72.8322,702.4225,-0.0219,0.0789,-0.0212,0.9964,1618.0000,1839.0000,1607.0000,1.0533,-32.8563,,
0.2791,382,0,114.4262,-105.6885,721.6506,113.3728,-72.8322,702.4225,-0.0219,0.0789,-0.0212,0.9964,1603.0000,1839.0000,1601.0000,1.0533,-32.8563,,
0.2912,382,0,114.4262,-105.6885,721.6506,113.3728,-72.8322,702.4225,-0.0219,0.0789,-0.0212,0.9964,1590.0000,1839.0000,1593.0000,1.0533,-32.8563,,
0.3031,382,0,116.7383,-102.6860,722.4332,107.8293,-71.0431,703.2051,0.5110,0.2472,-0.1881,0.8015,1578.0000,1839.0000,1586.0000,8.9091,-31.6429,,
0.3152,382,0,116.7383,-102.6860,722.4332,107.8293,-71.0431,703.2051,0.5110,0.2472,-0.1881,0.8015,1568.0000,1839.0000,1579.0000,8.9091,-31.6429,,
0.3239,382,0,118.8396,-100.1592,716.9362,117.9126,-67.2991,697.7081,-0.0214,0.0773,-0.0217,0.9965,1560.0000,1839.0000,1574.0000,0.9270,-32.8601,,
0.3351,382,0,118.8396,-100.1592,716.9362,117.9126,-67.2991,697.7081,-0.0214,0.0773,-0.0217,0.9965,1542.0000,1839.0000,1571.0000,0.9270,-32.8601,,
0.3472,382,0,120.0318,-99.5002,717.1769,118.9541,-66.6446,697.9487,-0.0191,0.0797,-0.0206,0.9964,1526.0000,1839.0000,1567.0000,1.0777,-32.8555,,
0.3592,382,0,120.0318,-99.5002,717.1769,118.9541,-66.6446,697.9487,-0.0191,0.0797,-0.0206,0.9964,1508.0000,1839.0000,1562.0000,1.0777,-32.8555,,
0.3714,382,0,119.8863,-97.6259,712.0691,118.9100,-64.7672,692.8409,-0.0184,0.0811,-0.0224,0.9963,1490.0000,1839.0000,1556.0000,0.9763,-32.8587,,
0.3832,382,0,119.8863,-97.6259,712.0691,118.9100,-64.7672,692.8409,-0.0184,0.0811,-0.0224,0.9963,1475.0000,1839.0000,1551.0000,0.9763,-32.8587,,
0.3921,382,0,119.8863,-97.6259,712.0691,118.9100,-64.7672,692.8409,-0.0184,0.0811,-0.0224,0.9963,1465.0000,1839.0000,1548.0000,0.9763,-32.8587,,
0.4031,382,0,122.0991,-95.6211,710.5676,121.3828,-62.7557,691.3394,-0.0181,0.0814,-0.0225,0.9963,1450.0000,1839.0000,1543.0000,0.7163,-32.8654,,
0.4158,382,0,122.0991,-95.6211,710.5676,121.3828,-62.7557,691.3394,-0.0181,0.0814,-0.0225,0.9963,1432.0000,1839.0000,1538.0000,0.7163,-32.8654,,
0.4273,382,0,121.7225,-91.8099,697.0944,121.2981,-58.9395,677.8662,-0.0121,0.0819,-0.0220,0.9963,1414.0000,1839.0000,1534.0000,0.4244,-32.8705,,
0.4393,382,0,121.7225,-91.8099,697.0944,121.2981,-58.9395,677.8662,-0.0121,0.0819,-0.0220,0.9963,1396.0000,1839.0000,1533.0000,0.4244,-32.8705,,
0.4482,382,0,121.7225,-91.8099,697.0944,121.2981,-58.9395,677.8662,-0.0121,0.0819,-0.0220,0.9963,1385.0000,1839.0000,1531.0000,0.4244,-32.8705,,
0.4594,382,0,120.6753,-91.7943,698.2538,119.4950,-58.9423,679.0256,-0.0170,0.0816,-0.0214,0.9963,1369.0000,1839.0000,1528.0000,1.1803,-32.8520,,
0.4712,382,0,120.6753,-91.7943,698.2538,119.4950,-58.9423,679.0256,-0.0170,0.0816,-0.0214,0.9963,1355.0000,1839.0000,1523.0000,1.1803,-32.8520,,
0.4831,382,0,119.7118,-90.5678,696.5748,118.8914,-57.7049,677.3466,-0.0142,0.0809,-0.0225,0.9964,1342.0000,1839.0000,1519.0000,0.8204,-32.8630,,
0.4954,382,0,119.7118,-90.5678,696.5748,118.8914,-57.7049,677.3466,-0.0142,0.0809,-0.0225,0.9964,1328.0000,1839.0000,1516.0000,0.8204,-32.8630,,
0.5071,382,0,117.8351,-90.0871,695.4285,117.1309,-57.2214,676.2003,-0.0153,0.0790,-0.0210,0.9965,1315.0000,1839.0000,1511.0000,0.7042,-32.8656,,
0.5159,382,0,117.8351,-90.0871,695.4285,117.1309,-57.2214,676.2003,-0.0153,0.0790,-0.0210,0.9965,1306.0000,1839.0000,1508.0000,0.7042,-32.8656,,
0.5285,382,0,114.5236,-89.6386,693.7169,113.7949,-56.7735,674.4887,-0.0133,0.0796,-0.0224,0.9965,1293.0000,1838.0000,1502.0000,0.7286,-32.8651,,
0.5391,382,0,114.5236,-89.6386,693.7169,113.7949,-56.7735,674.4887,-0.0133,0.0796,-0.0224,0.9965,1287.0000,1838.0000,1498.0000,0.7286,-32.8651,,
0.5512,382,0,114.5236,-89.6386,693.7169,113.7949,-56.7735,674.4887,-0.0133,0.0796,-0.0224,0.9965,1278.0000,1838.0000,1493.0000,0.7286,-32.8651,,
0.5643,382,0,111.2169,-87.3657,688.8659,110.3939,-54.5029,669.6378,-0.0125,0.0765,-0.0225,0.9967,1268.0000,1838.0000,1487.0000,0.8231,-32.8629,,
0.5754,382,0,111.2169,-87.3657,688.8659,110.3939,-54.5029,669.6378,-0.0125,0.0765,-0.0225,0.9967,1262.0000,1838.0000,1485.0000,0.8231,-32.8629,,
