{HEADER}
user_id: 125
target_id: 070
target_screen_position_mm: [152.07, -79.88]
fingertip_offset: [0.72, 31.52, 20.04]
completion_time: 10.4676
endpoint_error_mm: [6.3539, -6.4967, 4.6593]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.526157, 7.702400, 9.025190, 8.415630]
control_points_accel: [2.208233, -0.255412, -0.830226, -1.122595]
stiffness_measurements: [0.125060, 0.186677, 0.208203, 0.316209]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,70,0,465.8556,65.2383,450.1274,469.5012,96.5558,430.0898,-0.0132,0.3171,-0.0908,0.9439,1778.0000,1791.0000,1810.0000,-3.6456,-31.3175,,
0.0136,70,0,465.8556,65.2383,450.1274,469.5012,96.5558,430.0898,-0.0132,0.3171,-0.0908,0.9439,1735.0000,1791.0000,1810.0000,-3.6456,-31.3175,,
0.0239,70,0,465.8556,65.2383,450.1274,469.5012,96.5558,430.0898,-0.0132,0.3171,-0.0908,0.9439,1698.0000,1791.0000,1810.0000,-3.6456,-31.3175,,
0.0324,70,0,467.5484,65.0657,450.6783,470.8585,96.4205,430.6407,-0.5811,0.1463,-0.0562,0.7986,1664.0000,1791.0000,1810.0000,-3.3101,-31.3548,,
0.0436,70,0,467.5484,65.0657,450.6783,470.8585,96.4205,430.6407,-0.5811,0.1463,-0.0562,0.7986,1623.0000,1791.0000,1810.0000,-3.3101,-31.3548,,
0.0558,70,0,467.5484,65.0657,450.6783,470.8585,96.4205,430.6407,-0.5811,0.1463,-0.0562,0.7986,1576.0000,1791.0000,1810.0000,-3.3101,-31.3548,,
0.0678,70,0,467.0825,64.7922,450.7611,470.7780,96.1039,430.7235,-0.0147,0.3147,-0.0902,0.9448,1531.0000,1791.0000,1810.0000,-3.6956,-31.3117,,
0.0796,70,0,467.0825,64.7922,450.7611,470.7780,96.1039,430.7235,-0.0147,0.3147,-0.0902,0.9448,1488.0000,1791.0000,1810.0000,-3.6956,-31.3117,,
0.0916,70,0,444.1542,60.4656,429.7579,447.0150,91.8645,409.7203,-0.0231,0.3289,-0.0881,0.9400,1438.0000,1791.0000,1810.0000,-2.8608,-31.3990,,
0.1003,70,0,444.1542,60.4656,429.7579,447.0150,91.8645,409.7203,-0.0231,0.3289,-0.0881,0.9400,1409.0000,1791.0000,1810.0000,-2.8608,-31.3990,,
0.1118,70,0,444.1542,60.4656,429.7579,447.0150,91.8645,409.7203,-0.0231,0.3289,-0.0881,0.9400,1368.0000,1791.0000,1810.0000,-2.8608,-31.3990,,
0.1235,70,0,469.4747,63.0394,456.4637,472.8180,94.3906,436.4261,-0.0166,0.3078,-0.0897,0.9471,1323.0000,1791.0000,1810.0000,-3.3434,-31.3512,,
0.1356,70,0,469.4747,63.0394,456.4637,472.8180,94.3906,436.4261,-0.0166,0.3078,-0.0897,0.9471,1274.0000,1791.0000,1810.0000,-3.3434,-31.3512,,
0.1479,70,0,466.6154,58.4731,458.5992,470.0651,89.8129,438.5616,-0.0216,0.3126,-0.0868,0.9457,1226.0000,1791.0000,1810.0000,-3.4496,-31.3397,,
0.1603,70,0,466.6154,58.4731,458.5992,470.0651,89.8129,438.5616,-0.0216,0.3126,-0.0868,0.9457,1179.0000,1791.0000,1810.0000,-3.4496,-31.3397,,
0.1690,70,0,466.6154,58.4731,458.5992,470.0651,89.8129,438.5616,-0.0216,0.3126,-0.0868,0.9457,1148.0000,1791.0000,1810.0000,-3.4496,-31.3397,,
0.1795,70,0,467.0042,55.3290,461.7175,470.2042,86.6952,441.6799,-0.0232,0.3024,-0.0851,0.9491,1103.0000,1791.0000,1810.0000,-3.2000,-31.3662,,
