{HEADER}
user_id: 127
target_id: 111
target_screen_position_mm: [-104.04, -48.04]
fingertip_offset: [0.90, 32.48, 19.99]
completion_time: 9.4281
endpoint_error_mm: [3.4567, -4.8239, 4.7128]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.866152, 6.262093, 8.555854, 7.134895]
control_points_accel: [-1.434911, 2.992726, -3.489342, 1.931526]
stiffness_measurements: [0.160299, 0.232607, 0.084488, 0.496826]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,111,0,-104.1612,75.0848,767.2827,-106.3999,107.5030,747.2953,0.0112,0.0567,0.0021,0.9983,1849.0000,1829.0000,1848.0000,-2.3671,-5.2388,,
0.0122,111,0,-104.1838,75.8887,766.2017,-106.3113,108.3144,746.2144,0.0147,0.0576,0.0022,0.9982,1849.0000,1825.0000,1848.0000,-2.3671,-5.2388,,
0.0218,111,0,-104.1838,75.8887,766.2017,-106.3113,108.3144,746.2144,0.0147,0.0576,0.0022,0.9982,1849.0000,1816.0000,1848.0000,-2.3671,-5.2388,,
0.0324,111,0,-104.6321,76.8472,767.3943,-106.9966,109.2564,747.4070,0.0111,0.0593,0.0027,0.9982,1849.0000,1804.0000,1848.0000,-2.3671,-5.2388,,
0.0443,111,0,-104.6321,76.8472,767.3943,-106.9966,109.2564,747.4070,0.0111,0.0593,0.0027,0.9982,1849.0000,1787.0000,1848.0000,-2.3705,-5.2369,,
0.0560,111,0,-104.6321,76.8472,767.3943,-106.9966,109.2564,747.4070,0.0111,0.0593,0.0027,0.9982,1849.0000,1770.0000,1848.0000,-2.3739,-5.2349,,
0.0685,111,0,-104.6616,77.8842,765.6892,-106.8159,110.3081,745.7019,0.0109,0.0583,0.0023,0.9982,1849.0000,1750.0000,1848.0000,-2.3807,-5.2311,,
0.0798,111,0,-104.6616,77.8842,765.6892,-106.8159,110.3081,745.7019,0.0109,0.0583,0.0023,0.9982,1849.0000,1730.0000,1848.0000,-2.3875,-5.2272,,
0.0888,111,0,-105.0672,79.7021,766.7071,-107.4071,112.1131,746.7198,0.0089,0.0581,0.0017,0.9983,1849.0000,1716.0000,1848.0000,-2.4012,-5.2195,,
0.1001,111,0,-105.0672,79.7021,766.7071,-107.4071,112.1131,746.7198,0.0089,0.0581,0.0017,0.9983,1849.0000,1696.0000,1848.0000,-2.4148,-5.2117,,
0.1122,111,0,-105.2787,79.8566,763.7066,-107.1876,112.2958,743.7193,0.0071,0.0541,0.0016,0.9985,1849.0000,1674.0000,1848.0000,-2.4762,-5.1770,,
0.1241,111,0,-105.2787,79.8566,763.7066,-107.1876,112.2958,743.7193,0.0071,0.0541,0.0016,0.9985,1849.0000,1654.0000,1848.0000,-2.7799,-5.0048,,
0.1371,111,0,-105.2787,79.8566,763.7066,-107.1876,112.2958,743.7193,0.0071,0.0541,0.0016,0.9985,1849.0000,1633.0000,1848.0000,-2.9371,-4.9157,,
0.1459,111,0,-105.9137,80.8417,766.3856,-108.0582,113.2663,746.3983,0.0123,0.0579,0.0013,0.9982,1849.0000,1616.0000,1848.0000,-3.1938,-4.7671,,
0.1558,111,0,-105.9137,80.8417,766.3856,-108.0582,113.2663,746.3983,0.0123,0.0579,0.0013,0.9982,1849.0000,1599.0000,1848.0000,-3.2383,-4.7388,,
0.1684,111,0,-105.4675,81.8017,763.2916,-109.3888,114.0596,743.3043,-0.1947,-0.7107,-0.0205,0.6758,1849.0000,1577.0000,1848.0000,-3.2383,-4.7388,,
0.1800,111,0,-105.4675,81.8017,763.2916,-109.3888,114.0596,743.3043,-0.1947,-0.7107,-0.0205,0.6758,1849.0000,1558.0000,1848.0000,-3.2520,-4.7311,,
0.1919,111,0,-101.2984,81.4084,762.3433,-103.3971,113.8359,742.3560,0.0113,0.0597,-0.0002,0.9982,1849.0000,1537.0000,1848.0000,-3.2965,-4.7058,,
0.2041,111,0,-101.2984,81.4084,762.3433,-103.3971,113.8359,742.3560,0.0113,0.0597,-0.0002,0.9982,1849.0000,1518.0000,1848.0000,-3.7082,-4.4663,,
0.2127,111,0,-101.2984,81.4084,762.3433,-103.3971,113.8359,742.3560,0.0113,0.0597,-0.0002,0.9982,1849.0000,1504.0000,1848.0000,-3.8972,-4.3530,,
0.2240,111,0,-98.3890,83.2205,757.4554,-100.5391,115.6447,737.4681,0.0119,0.0599,0.0029,0.9981,1849.0000,1486.0000,1848.0000,-4.2207,-4.1541,,
0.2358,111,0,-98.3890,83.2205,757.4554,-100.5391,115.6447,737.4681,0.0119,0.0599,0.0029,0.9981,1849.0000,1467.0000,1848.0000,-4.5310,-3.9659,,
0.2479,111,0,-97.6351,85.8481,755.4603,-99.7194,118.2766,735.4730,0.0115,0.0628,-0.0006,0.9980,1849.0000,1447.0000,1848.0000,-4.8730,-3.7720,,
0.2600,111,0,-97.6351,85.8481,755.4603,-99.7194,118.2766,735.4730,0.0115,0.0628,-0.0006,0.9980,1849.0000,1426.0000,1848.0000,-5.1776,-3.5870,,
0.2719,111,0,-93.5724,86.9124,754.2066,-95.5146,119.3497,734.2193,0.0146,0.0655,-0.0013,0.9977,1849.0000,1405.0000,1848.0000,-5.4028,-3.4346,,
0.2806,111,0,-93.5724,86.9124,754.2066,-95.5146,119.3497,734.2193,0.0146,0.0655,-0.0013,0.9977,1849.0000,1392.0000,1848.0000,-5.5521,-3.3345,,
0.2920,111,0,-93.5724,86.9124,754.2066,-95.5146,119.3497,734.2193,0.0146,0.0655,-0.0013,0.9977,1849.0000,1373.0000,1848.0000,-5.6006,-3.2760,,
0.3039,111,0,-86.4387,89.4904,749.4920,-88.3605,121.9290,729.5047,0.0141,0.0681,0.0012,0.9976,1849.0000,1355.0000,1848.0000,-5.6145,-3.2650,,
0.3168,111,0,-86.4387,89.4904,749.4920,-88.3605,121.9290,729.5047,0.0141,0.0681,0.0012,0.9976,1849.0000,1335.0000,1848.0000,-5.6388,-3.2513,,
0.3280,111,0,-77.5372,93.1443,745.2833,-79.6089,125.5736,725.2960,0.0146,0.0739,0.0031,0.9972,1849.0000,1318.0000,1848.0000,-5.9099,-3.0976,,
0.3367,111,0,-77.5372,93.1443,745.2833,-79.6089,125.5736,725.2960,0.0146,0.0739,0.0031,0.9972,1849.0000,1304.0000,1848.0000,-6.2895,-2.8485,,
0.3479,111,0,-77.5372,93.1443,745.2833,-79.6089,125.5736,725.2960,0.0146,0.0739,0.0031,0.9972,1849.0000,1287.0000,1848.0000,-6.5232,-2.6820,,
0.3601,111,0,-73.8417,96.6732,740.8611,-76.0287,129.0949,720.8738,0.0167,0.0736,0.0041,0.9971,1849.0000,1269.0000,1848.0000,-7.2962,-2.1170,,
0.3720,111,0,-73.8417,96.6732,740.8611,-76.0287,129.0949,720.8738,0.0167,0.0736,0.0041,0.9971,1849.0000,1249.0000,1848.0000,-7.5488,-1.9306,,
0.3843,111,0,-67.2743,99.4878,732.3198,-69.2550,131.9228,712.3325,0.0184,0.0802,0.0033,0.9966,1849.0000,1230.0000,1849.0000,-8.1325,-1.4176,,
0.3959,111,0,-67.2743,99.4878,732.3198,-69.2550,131.9228,712.3325,0.0184,0.0802,0.0033,0.9966,1849.0000,1212.0000,1849.0000,-8.4462,-1.1534,,
0.4049,111,0,-55.8411,98.9312,729.2652,-58.0924,131.3484,709.2779,0.0175,0.0842,0.0062,0.9963,1849.0000,1197.0000,1849.0000,-8.5945,-1.0570,,
0.4160,111,0,-55.8411,98.9312,729.2652,-58.0924,131.3484,709.2779,0.0175,0.0842,0.0062,0.9963,1849.0000,1185.0000,1849.0000,-8.8029,-0.9389,,
0.4279,111,0,-42.8885,95.9456,715.7184,-45.3816,128.3452,695.7311,0.0154,0.0916,0.0100,0.9956,1836.0000,1172.0000,1849.0000,-9.0151,-0.8186,,
0.4400,111,0,-42.8885,95.9456,715.7184,-45.3816,128.3452,695.7311,0.0154,0.0916,0.0100,0.9956,1813.0000,1167.0000,1849.0000,-9.1851,-0.7223,,
0.4520,111,0,-42.8885,95.9456,715.7184,-45.3816,128.3452,695.7311,0.0154,0.0916,0.0100,0.9956,1795.0000,1161.0000,1849.0000,-9.2985,-0.6580,,
0.4640,111,0,-32.9169,92.7082,706.1180,-35.4557,125.1043,686.1307,0.0139,0.0972,0.0089,0.9951,1776.0000,1154.0000,1849.0000,-9.5219,-0.5283,,
0.4730,111,0,-32.9169,92.7082,706.1180,-35.4557,125.1043,686.1307,0.0139,0.0972,0.0089,0.9951,1759.0000,1153.0000,1849.0000,-9.5787,-0.4838,,
0.4849,111,0,-23.5533,94.3045,697.0887,-25.8706,126.7172,677.1014,0.0166,0.1024,0.0078,0.9946,1738.0000,1152.0000,1849.0000,-9.7563,-0.2999,,
0.4961,111,0,-23.5533,94.3045,697.0887,-25.8706,126.7172,677.1014,0.0166,0.1024,0.0078,0.9946,1707.0000,1153.0000,1849.0000,-9.8913,-0.1864,,
0.5080,111,0,-18.5290,94.9271,693.0433,-21.9478,127.2421,673.0560,0.6043,0.3824,-0.1238,0.6880,1682.0000,1152.0000,1849.0000,-10.1938,0.1206,,
0.5199,111,0,-18.5290,94.9271,693.0433,-21.9478,127.2421,673.0560,0.6043,0.3824,-0.1238,0.6880,1655.0000,1150.0000,1849.0000,-10.3083,0.2198,,
0.5287,111,0,-18.5290,94.9271,693.0433,-21.9478,127.2421,673.0560,0.6043,0.3824,-0.1238,0.6880,1639.0000,1148.0000,1849.0000,-10.3471,0.2849,,
0.5399,111,0,-12.1361,93.1613,685.6304,-14.4173,125.5766,665.6431,0.0145,0.1088,0.0087,0.9939,1618.0000,1144.0000,1849.0000,-10.3898,0.3092,,
0.5519,111,0,-12.1361,93.1613,685.6304,-14.4173,125.5766,665.6431,0.0145,0.1088,0.0087,0.9939,1589.0000,1146.0000,1849.0000,-10.4295,0.3352,,
0.5639,111,0,0.5597,88.4115,673.8472,-1.6547,120.8314,653.8599,0.0130,0.1169,0.0064,0.9930,1561.0000,1148.0000,1849.0000,-10.6946,0.4956,,
0.5760,111,0,0.5597,88.4115,673.8472,-1.6547,120.8314,653.8599,0.0130,0.1169,0.0064,0.9930,1522.0000,1163.0000,1849.0000,-10.6789,0.5044,,
0.5882,111,0,8.1823,86.1417,661.6760,6.2974,118.5824,641.6887,0.0117,0.1196,0.0080,0.9927,1490.0000,1173.0000,1849.0000,-10.6446,0.5239,,
0.5968,111,0,8.1823,86.1417,661.6760,6.2974,118.5824,641.6887,0.0117,0.1196,0.0080,0.9927,1458.0000,1187.0000,1849.0000,-10.5134,0.5983,,
0.6080,111,0,8.1823,86.1417,661.6760,6.2974,118.5824,641.6887,0.0117,0.1196,0.0080,0.9927,1425.0000,1200.0000,1849.0000,-10.2976,0.7298,,
0.6199,111,0,15.6497,85.7784,655.1391,13.6200,118.2103,635.1518,0.0116,0.1251,0.0071,0.9921,1396.0000,1210.0000,1849.0000,-10.0250,0.9028,,
0.6319,111,0,15.6497,85.7784,655.1391,13.6200,118.2103,635.1518,0.0116,0.1251,0.0071,0.9921,1352.0000,1227.0000,1849.0000,-9.7425,1.1306,,
0.6440,111,0,25.9916,85.6606,644.7095,23.7465,118.0783,624.7222,0.0139,0.1302,0.0084,0.9913,1319.0000,1244.0000,1850.0000,-9.5255,1.3765,,
0.6559,111,0,25.9916,85.6606,644.7095,23.7465,118.0783,624.7222,0.0139,0.1302,0.0084,0.9913,1279.0000,1281.0000,1850.0000,-9.2735,1.6697,,
0.6647,111,0,29.9634,83.7693,635.3207,28.8896,116.2470,615.3334,0.0118,0.1354,0.0086,0.9907,1251.0000,1304.0000,1850.0000,-8.9105,1.9246,,
0.6760,111,0,29.9634,83.7693,635.3207,28.8896,116.2470,615.3334,0.0118,0.1354,0.0086,0.9907,1220.0000,1333.0000,1850.0000,-8.6982,2.0623,,
0.6883,111,0,32.4745,80.1892,632.2961,30.5797,112.6293,612.3088,0.0099,0.1340,0.0065,0.9909,1187.0000,1359.0000,1850.0000,-8.0122,2.5779,,
0.7003,111,0,32.4745,80.1892,632.2961,30.5797,112.6293,612.3088,0.0099,0.1340,0.0065,0.9909,1160.0000,1385.0000,1850.0000,-7.7763,2.7596,,
