{HEADER}
user_id: 127
target_id: 286
target_screen_position_mm: [-183.92, 48.04]
fingertip_offset: [0.90, 32.48, 19.99]
completion_time: 8.0510
endpoint_error_mm: [-5.4810, -6.7126, 9.8217]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.866152, 6.262093, 8.555854, 7.134895]
control_points_accel: [-1.434911, 2.992726, -3.489342, 1.931526]
stiffness_measurements: [0.160299, 0.232607, 0.084488, 0.496826]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,286,0,-17.8533,-58.4453,462.8443,-16.3565,-25.9844,442.8570,-0.0417,0.1764,-0.0507,0.9821,1833.0000,1814.0000,1852.0000,-4.0414,11.8155,,
0.0129,286,0,-17.8533,-58.4453,462.8443,-16.3565,-25.9844,442.8570,-0.0417,0.1764,-0.0507,0.9821,1833.0000,1813.0000,1846.0000,-4.0414,11.8155,,
0.0237,286,0,-17.8533,-58.4453,462.8443,-16.3565,-25.9844,442.8570,-0.0417,0.1764,-0.0507,0.9821,1833.0000,1813.0000,1841.0000,-4.0414,11.8155,,
0.0353,286,0,-17.7448,-52.8509,455.1314,-16.4229,-20.3825,435.1441,-0.0378,0.1773,-0.0492,0.9822,1833.0000,1813.0000,1836.0000,-4.0414,11.8155,,
0.0472,286,0,-17.7448,-52.8509,455.1314,-16.4229,-20.3825,435.1441,-0.0378,0.1773,-0.0492,0.9822,1833.0000,1812.0000,1832.0000,-4.0414,11.8155,,
0.0592,286,0,-17.8760,-46.3603,450.5032,-16.4991,-13.8941,430.5159,-0.0334,0.1767,-0.0456,0.9826,1833.0000,1810.0000,1828.0000,-4.0414,11.8125,,
0.0679,286,0,-17.8760,-46.3603,450.5032,-16.4991,-13.8941,430.5159,-0.0334,0.1767,-0.0456,0.9826,1833.0000,1809.0000,1827.0000,-4.0414,11.8125,,
0.0791,286,0,-17.8760,-46.3603,450.5032,-16.4991,-13.8941,430.5159,-0.0334,0.1767,-0.0456,0.9826,1833.0000,1807.0000,1826.0000,-4.0414,11.8095,,
0.0910,286,0,-18.4924,-42.3584,448.4396,-17.1915,-9.8890,428.4523,-0.0304,0.1769,-0.0464,0.9827,1833.0000,1804.0000,1825.0000,-4.0414,11.8095,,
0.1030,286,0,-18.4924,-42.3584,448.4396,-17.1915,-9.8890,428.4523,-0.0304,0.1769,-0.0464,0.9827,1833.0000,1802.0000,1826.0000,-4.0414,11.8095,,
