{HEADER}
user_id: 127
target_id: 352
target_screen_position_mm: [-40.08, 79.88]
fingertip_offset: [0.90, 32.48, 19.99]
completion_time: 7.2276
endpoint_error_mm: [4.9095, 9.4888, -0.4605]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.866152, 6.262093, 8.555854, 7.134895]
control_points_accel: [-1.434911, 2.992726, -3.489342, 1.931526]
stiffness_measurements: [0.160299, 0.232607, 0.084488, 0.496826]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,352,0,9.9681,-206.8363,967.8133,6.3033,-174.5483,947.8260,-0.0344,0.0615,0.0180,0.9974,1837.0000,1815.0000,1831.0000,-6.4682,6.9939,,
0.0123,352,0,10.6007,-207.5524,987.6904,6.3770,-175.3327,967.7031,-0.0395,0.0578,0.0187,0.9974,1837.0000,1815.0000,1803.0000,-6.4682,6.9939,,
0.0275,352,0,10.6007,-207.5524,987.6904,6.3770,-175.3327,967.7031,-0.0395,0.0578,0.0187,0.9974,1837.0000,1815.0000,1747.0000,-6.4682,6.9939,,
0.0363,352,0,10.6007,-207.5524,987.6904,6.3770,-175.3327,967.7031,-0.0395,0.0578,0.0187,0.9974,1837.0000,1815.0000,1712.0000,-6.4682,6.9877,,
0.0449,352,0,10.6007,-207.5524,987.6904,6.3770,-175.3327,967.7031,-0.0395,0.0578,0.0187,0.9974,1837.0000,1815.0000,1673.0000,-6.4682,6.9846,,
0.0560,352,0,11.2189,-206.6336,991.1188,7.5892,-174.3416,971.1315,-0.0307,0.0574,0.0182,0.9977,1837.0000,1815.0000,1625.0000,-6.4682,6.9319,,
0.0678,352,0,11.2189,-206.6336,991.1188,7.5892,-174.3416,971.1315,-0.0307,0.0574,0.0182,0.9977,1837.0000,1815.0000,1576.0000,-6.4682,6.8172,,
0.0799,352,0,11.6901,-197.0738,959.7724,7.6107,-164.8355,939.7851,-0.0337,0.0605,0.0182,0.9974,1837.0000,1815.0000,1522.0000,-6.4682,6.6837,,
0.0925,352,0,11.6901,-197.0738,959.7724,7.6107,-164.8355,939.7851,-0.0337,0.0605,0.0182,0.9974,1837.0000,1815.0000,1470.0000,-6.4682,6.3790,,
0.1012,352,0,11.6901,-197.0738,959.7724,7.6107,-164.8355,939.7851,-0.0337,0.0605,0.0182,0.9974,1837.0000,1815.0000,1432.0000,-6.4682,6.1360,,
0.1118,352,0,12.7046,-200.1412,981.3085,9.4864,-167.8056,961.3212,-0.0327,0.0567,0.0164,0.9977,1837.0000,1815.0000,1391.0000,-6.4682,6.0144,,
0.1238,352,0,12.7046,-200.1412,981.3085,9.4864,-167.8056,961.3212,-0.0327,0.0567,0.0164,0.9977,1837.0000,1815.0000,1338.0000,-6.4682,5.7708,,
0.1376,352,0,11.6494,-193.0953,988.7206,7.5362,-160.8613,968.7333,-0.0265,0.0538,0.0194,0.9980,1837.0000,1815.0000,1279.0000,-6.4682,5.5205,,
0.1480,352,0,11.6494,-193.0953,988.7206,7.5362,-160.8613,968.7333,-0.0265,0.0538,0.0194,0.9980,1837.0000,1815.0000,1241.0000,-6.4715,5.3275,,
0.1600,352,0,9.2243,-182.0334,986.1446,5.9532,-149.7031,966.1573,-0.0218,0.0576,0.0202,0.9979,1837.0000,1815.0000,1193.0000,-6.4744,5.1334,,
0.1688,352,0,9.2243,-182.0334,986.1446,5.9532,-149.7031,966.1573,-0.0218,0.0576,0.0202,0.9979,1837.0000,1815.0000,1166.0000,-6.4744,5.1334,,
0.1799,352,0,9.2243,-182.0334,986.1446,5.9532,-149.7031,966.1573,-0.0218,0.0576,0.0202,0.9979,1837.0000,1815.0000,1134.0000,-6.4744,4.9984,,
0.1919,352,0,8.7225,-169.1333,979.4387,4.9493,-136.8578,959.4514,-0.0149,0.0568,0.0216,0.9980,1837.0000,1815.0000,1093.0000,-6.4744,4.8569,,
0.2040,352,0,8.7225,-169.1333,979.4387,4.9493,-136.8578,959.4514,-0.0149,0.0568,0.0216,0.9980,1837.0000,1815.0000,1068.0000,-6.4744,4.8443,,
0.2159,352,0,9.3309,-155.1806,978.7755,-1.9841,-124.7188,958.7882,-0.5631,0.2934,0.0456,0.7712,1837.0000,1815.0000,1040.0000,-6.4744,4.8255,,
0.2282,352,0,9.3309,-155.1806,978.7755,-1.9841,-124.7188,958.7882,-0.5631,0.2934,0.0456,0.7712,1837.0000,1815.0000,1021.0000,-6.4744,4.7783,,
0.2370,352,0,9.3309,-155.1806,978.7755,-1.9841,-124.7188,958.7882,-0.5631,0.2934,0.0456,0.7712,1837.0000,1815.0000,1005.0000,-6.4811,4.5099,,
0.2481,352,0,10.1373,-149.3902,977.1783,5.1957,-117.2727,957.1910,-0.0125,0.0602,0.0262,0.9978,1837.0000,1815.0000,983.0000,-6.5505,4.2055,,
0.2599,352,0,10.1373,-149.3902,977.1783,5.1957,-117.2727,957.1910,-0.0125,0.0602,0.0262,0.9978,1837.0000,1815.0000,971.0000,-6.6559,4.0279,,
0.2719,352,0,15.5368,-144.0243,964.4435,11.5242,-111.7777,944.4562,-0.0116,0.0594,0.0291,0.9977,1838.0000,1815.0000,957.0000,-6.9859,3.5434,,
0.2839,352,0,15.5368,-144.0243,964.4435,11.5242,-111.7777,944.4562,-0.0116,0.0594,0.0291,0.9977,1838.0000,1815.0000,951.0000,-7.2099,3.3499,,
0.2932,352,0,15.5368,-144.0243,964.4435,11.5242,-111.7777,944.4562,-0.0116,0.0594,0.0291,0.9977,1838.0000,1815.0000,942.0000,-7.2593,3.2998,,
0.3040,352,0,14.4843,-129.9337,962.0184,10.1941,-97.7228,942.0311,-0.0072,0.0670,0.0318,0.9972,1838.0000,1815.0000,931.0000,-7.2593,3.2174,,
0.3159,352,0,14.4843,-129.9337,962.0184,10.1941,-97.7228,942.0311,-0.0072,0.0670,0.0318,0.9972,1838.0000,1815.0000,936.0000,-7.2626,3.1013,,
0.3278,352,0,13.9874,-106.4987,959.6764,9.6786,-74.2902,939.6891,0.0059,0.0680,0.0329,0.9971,1838.0000,1815.0000,939.0000,-7.2626,3.0505,,
0.3399,352,0,13.9874,-106.4987,959.6764,9.6786,-74.2902,939.6891,0.0059,0.0680,0.0329,0.9971,1838.0000,1815.0000,972.0000,-7.2626,3.0473,,
0.3520,352,0,13.9874,-106.4987,959.6764,9.6786,-74.2902,939.6891,0.0059,0.0680,0.0329,0.9971,1838.0000,1815.0000,999.0000,-7.2626,3.0473,,
0.3608,352,0,13.7081,-99.6405,958.4581,8.9831,-67.4905,938.4708,0.0090,0.0622,0.0372,0.9973,1838.0000,1815.0000,1013.0000,-7.2626,3.0505,,
0.3725,352,0,13.7081,-99.6405,958.4581,8.9831,-67.4905,938.4708,0.0090,0.0622,0.0372,0.9973,1838.0000,1815.0000,1036.0000,-7.2626,3.0505,,
0.3839,352,0,8.9768,-89.7193,954.1555,0.3721,-58.3838,934.1682,0.1324,0.5262,0.0042,0.8400,1838.0000,1815.0000,1054.0000,-7.2622,3.0466,,
0.3959,352,0,8.9768,-89.7193,954.1555,0.3721,-58.3838,934.1682,0.1324,0.5262,0.0042,0.8400,1838.0000,1815.0000,1075.0000,-7.2546,3.0417,,
0.4078,352,0,8.9768,-89.7193,954.1555,0.3721,-58.3838,934.1682,0.1324,0.5262,0.0042,0.8400,1838.0000,1815.0000,1089.0000,-7.2612,3.0379,,
0.4199,352,0,4.9136,-87.0244,956.1375,1.3213,-54.7282,936.1502,0.0124,0.0652,0.0363,0.9971,1838.0000,1815.0000,1099.0000,-7.3003,3.0116,,
0.4287,352,0,4.9136,-87.0244,956.1375,1.3213,-54.7282,936.1502,0.0124,0.0652,0.0363,0.9971,1838.0000,1815.0000,1111.0000,-7.3891,2.9613,,
0.4396,352,0,-0.3966,-80.7210,955.6101,-5.0999,-48.5678,935.6228,0.0125,0.0614,0.0369,0.9974,1838.0000,1815.0000,1120.0000,-7.4548,2.9240,,
0.4516,352,0,-0.3966,-80.7210,955.6101,-5.0999,-48.5678,935.6228,0.0125,0.0614,0.0369,0.9974,1838.0000,1815.0000,1133.0000,-7.5271,2.8862,,
0.4636,352,0,-0.3966,-80.7210,955.6101,-5.0999,-48.5678,935.6228,0.0125,0.0614,0.0369,0.9974,1838.0000,1815.0000,1140.0000,-7.5337,2.8825,,
0.4758,352,0,-4.4761,-75.2893,948.9434,-9.2730,-43.1499,928.9561,0.0141,0.0581,0.0378,0.9975,1838.0000,1815.0000,1154.0000,-7.5337,2.8825,,
0.4846,352,0,-4.4761,-75.2893,948.9434,-9.2730,-43.1499,928.9561,0.0141,0.0581,0.0378,0.9975,1838.0000,1815.0000,1174.0000,-7.5337,2.8825,,
