{HEADER}
user_id: 128
target_id: 090
target_screen_position_mm: [40.08, -63.96]
fingertip_offset: [1.67, 32.94, 18.39]
completion_time: 7.0116
endpoint_error_mm: [-6.0535, -3.2022, 1.0520]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.009040, 7.025934, 6.609582, 7.243828]
control_points_accel: [2.372631, -1.875081, 1.642459, -2.140009]
stiffness_measurements: [0.232406, 0.257908, 0.307181, 0.139936]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,90,0,-315.5793,-187.8633,609.4495,-302.6682,-157.5145,591.0611,-0.2513,-0.2951,-0.2311,0.8924,1870.0000,1815.0000,1821.0000,-2.6587,4.9822,,
0.0122,90,0,-326.9680,-191.1229,609.0961,-313.8773,-160.8511,590.7077,-0.2505,-0.2850,-0.2354,0.8948,1870.0000,1783.0000,1794.0000,-2.6587,4.9822,,
0.0252,90,0,-326.9680,-191.1229,609.0961,-313.8773,-160.8511,590.7077,-0.2505,-0.2850,-0.2354,0.8948,1870.0000,1749.0000,1767.0000,-2.6587,4.9822,,
0.0344,90,0,-323.4973,-192.4167,607.5729,-310.2841,-162.1982,589.1846,-0.2511,-0.2827,-0.2367,0.8950,1870.0000,1719.0000,1744.0000,-2.6721,4.9866,,
0.0439,90,0,-315.9773,-183.0723,607.5729,-302.2981,-153.0619,589.1846,-0.2598,-0.2759,-0.2445,0.8925,1870.0000,1690.0000,1724.0000,-2.7424,5.0199,,
0.0559,90,0,-315.9773,-183.0723,607.5729,-302.2981,-153.0619,589.1846,-0.2598,-0.2759,-0.2445,0.8925,1870.0000,1656.0000,1700.0000,-2.9600,5.1400,,
0.0679,90,0,-325.7985,-193.1037,609.0942,-312.9145,-162.7434,590.7058,-0.2522,-0.2922,-0.2335,0.8924,1870.0000,1620.0000,1676.0000,-3.1411,5.2362,,
0.0801,90,0,-321.3959,-186.8188,611.1328,-307.8324,-156.7559,592.7444,-0.2481,-0.2845,-0.2364,0.8953,1870.0000,1580.0000,1649.0000,-3.6787,5.5246,,
0.0920,90,0,-329.6959,-190.5649,612.8434,-316.4827,-160.3464,594.4551,-0.2523,-0.2879,-0.2354,0.8933,1870.0000,1544.0000,1625.0000,-3.8471,5.6136,,
0.1009,90,0,-329.6959,-190.5649,612.8434,-316.4827,-160.3464,594.4551,-0.2523,-0.2879,-0.2354,0.8933,1870.0000,1513.0000,1605.0000,-4.0797,5.7130,,
