{HEADER}
user_id: 128
target_id: 111
target_screen_position_mm: [-104.04, -48.04]
fingertip_offset: [1.67, 32.94, 18.39]
completion_time: 8.6237
endpoint_error_mm: [-1.1668, 7.2905, 1.9633]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.009040, 7.025934, 6.609582, 7.243828]
control_points_accel: [2.372631, -1.875081, 1.642459, -2.140009]
stiffness_measurements: [0.232406, 0.257908, 0.307181, 0.139936]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,111,0,-140.7254,104.8236,611.1656,-143.3603,137.6992,592.7773,0.0136,-0.0802,0.0136,0.9966,1887.0000,1845.0000,1840.0000,-3.9036,-4.9239,,
0.0123,111,0,-141.7565,104.8178,613.9816,-144.2256,137.7062,595.5932,0.0170,-0.0821,0.0131,0.9964,1887.0000,1825.0000,1840.0000,-3.9036,-4.9239,,
0.0215,111,0,-141.7565,104.8178,613.9816,-144.2256,137.7062,595.5932,0.0170,-0.0821,0.0131,0.9964,1887.0000,1810.0000,1840.0000,-3.9036,-4.9239,,
0.0325,111,0,-141.5706,103.9109,611.1656,-144.2174,136.7855,592.7773,0.0145,-0.0792,0.0132,0.9967,1887.0000,1778.0000,1840.0000,-3.9036,-4.9239,,
0.0439,111,0,-142.1148,103.4770,614.0345,-144.7681,136.3511,595.6461,0.0140,-0.0788,0.0130,0.9967,1887.0000,1744.0000,1840.0000,-3.9036,-4.9239,,
0.0559,111,0,-141.9588,103.2961,614.0345,-144.2825,136.1951,595.6461,0.0140,-0.0809,0.0129,0.9965,1887.0000,1701.0000,1840.0000,-3.9162,-4.9168,,
0.0679,111,0,-141.9588,103.2961,614.0345,-144.2825,136.1951,595.6461,0.0140,-0.0809,0.0129,0.9965,1887.0000,1657.0000,1840.0000,-3.9573,-4.8935,,
0.0767,111,0,-139.6612,102.1295,608.4788,-142.2922,135.0054,590.0904,0.0131,-0.0837,0.0129,0.9963,1887.0000,1628.0000,1840.0000,-3.9857,-4.8742,,
0.0878,111,0,-141.2152,102.5975,614.0345,-143.6829,135.4861,595.6461,0.0138,-0.0789,0.0126,0.9967,1887.0000,1586.0000,1840.0000,-4.1247,-4.7954,,
0.1002,111,0,-141.2152,102.5975,614.0345,-143.6829,135.4861,595.6461,0.0138,-0.0789,0.0126,0.9967,1887.0000,1539.0000,1840.0000,-4.4665,-4.5952,,
0.1118,111,0,-140.3604,102.7754,614.0345,-142.8445,135.6628,595.6461,0.0126,-0.0784,0.0121,0.9968,1887.0000,1497.0000,1840.0000,-4.9394,-4.3079,,
0.1239,111,0,-137.4215,102.8348,611.2690,-139.7464,135.7338,592.8807,0.0138,-0.0804,0.0127,0.9966,1887.0000,1452.0000,1840.0000,-5.5414,-3.9344,,
0.1357,111,0,-135.4494,102.3726,611.1656,-137.9185,135.2610,592.7773,0.0139,-0.0787,0.0123,0.9967,1887.0000,1409.0000,1840.0000,-5.8001,-3.7652,,
0.1444,111,0,-135.4494,102.3726,611.1656,-137.9185,135.2610,592.7773,0.0139,-0.0787,0.0123,0.9967,1887.0000,1377.0000,1840.0000,-6.2709,-3.4565,,
0.1558,111,0,-133.7999,102.5530,616.6694,-136.4246,135.4294,598.2810,0.0136,-0.0736,0.0121,0.9971,1887.0000,1339.0000,1840.0000,-6.6627,-3.1668,,
0.1678,111,0,-123.7202,101.0465,619.6921,-125.9255,133.9537,601.3037,0.0108,-0.0688,0.0133,0.9975,1887.0000,1299.0000,1840.0000,-7.0587,-2.8618,,
0.1804,111,0,-118.1923,100.1744,619.4316,-120.6722,133.0621,601.0433,0.0120,-0.0655,0.0172,0.9976,1887.0000,1265.0000,1840.0000,-7.4364,-2.5866,,
0.1920,111,0,-113.9842,100.9423,625.3467,-116.6737,133.8135,606.9584,0.0110,-0.0632,0.0198,0.9977,1887.0000,1235.0000,1840.0000,-7.8474,-2.3472,,
0.2039,111,0,-113.9842,100.9423,625.3467,-116.6737,133.8135,606.9584,0.0110,-0.0632,0.0198,0.9977,1887.0000,1206.0000,1840.0000,-8.2303,-2.1302,,
0.2127,111,0,-109.6260,100.0062,627.3717,-112.6122,132.8518,608.9833,0.0099,-0.0595,0.0213,0.9980,1887.0000,1184.0000,1840.0000,-8.4905,-1.9796,,
0.2239,111,0,-102.5245,98.6631,630.5476,-105.4844,131.5110,612.1592,0.0106,-0.0528,0.0227,0.9983,1887.0000,1160.0000,1840.0000,-8.5914,-1.9095,,
0.2358,111,0,-102.5245,98.6631,630.5476,-105.4844,131.5110,612.1592,0.0106,-0.0528,0.0227,0.9983,1887.0000,1138.0000,1840.0000,-8.8391,-1.7305,,
0.2488,111,0,-97.2413,98.3040,624.9677,-99.8998,131.1777,606.5793,0.0094,-0.0543,0.0225,0.9982,1887.0000,1112.0000,1840.0000,-9.3422,-1.3971,,
0.2598,111,0,-92.1007,98.4447,627.7478,-95.2454,131.2755,609.3594,0.0088,-0.0497,0.0253,0.9984,1887.0000,1094.0000,1840.0000,-9.5681,-1.2530,,
0.2683,111,0,-91.1438,98.0993,633.6565,-94.1140,130.9463,615.2681,0.0081,-0.0469,0.0239,0.9986,1887.0000,1082.0000,1840.0000,-10.0506,-0.8959,,
0.2799,111,0,-91.1438,98.0993,633.6565,-94.1140,130.9463,615.2681,0.0081,-0.0469,0.0239,0.9986,1887.0000,1063.0000,1841.0000,-10.5181,-0.4544,,
0.2918,111,0,-88.8248,96.1819,631.0481,-91.6410,129.0424,612.6597,0.0049,-0.0472,0.0222,0.9986,1887.0000,1044.0000,1841.0000,-10.9373,-0.0371,,
0.3039,111,0,-82.4187,92.1747,636.7932,-84.8971,125.0624,618.4048,0.0058,-0.0407,0.0204,0.9989,1887.0000,1025.0000,1841.0000,-11.2484,0.3090,,
0.3160,111,0,-77.4264,88.3378,636.9667,-80.2665,121.1963,618.5783,0.0044,-0.0380,0.0212,0.9990,1887.0000,1014.0000,1841.0000,-11.3842,0.4532,,
0.3279,111,0,-73.0923,83.4423,642.5845,-75.7477,116.3163,624.1962,-0.0028,-0.0341,0.0215,0.9992,1887.0000,1007.0000,1841.0000,-11.5368,0.6741,,
0.3369,111,0,-73.0923,83.4423,642.5845,-75.7477,116.3163,624.1962,-0.0028,-0.0341,0.0215,0.9992,1887.0000,1005.0000,1842.0000,-11.6994,0.8143,,
0.3480,111,0,-67.8277,78.8590,642.2348,-70.4605,111.7348,623.8464,-0.0040,-0.0336,0.0221,0.9992,1887.0000,1001.0000,1842.0000,-11.7160,0.8652,,
0.3599,111,0,-62.0109,72.7245,645.8133,-64.6932,105.5963,627.4249,-0.0073,-0.0299,0.0229,0.9993,1887.0000,1001.0000,1842.0000,-11.7160,0.9100,,
