{HEADER}
user_id: 128
target_id: 124
target_screen_position_mm: [104.04, -48.04]
fingertip_offset: [1.67, 32.94, 18.39]
completion_time: 7.9241
endpoint_error_mm: [-4.2927, 0.8324, 5.2734]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.009040, 7.025934, 6.609582, 7.243828]
control_points_accel: [2.372631, -1.875081, 1.642459, -2.140009]
stiffness_measurements: [0.232406, 0.257908, 0.307181, 0.139936]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,124,0,330.3225,-15.9719,539.4899,329.0477,16.9845,521.1015,-0.0545,0.0576,-0.0002,0.9969,1859.0000,1841.0000,1838.0000,0.9733,3.1542,,
0.0094,124,0,330.3225,-15.9719,539.4899,329.0477,16.9845,521.1015,-0.0545,0.0576,-0.0002,0.9969,1830.0000,1841.0000,1834.0000,0.9733,3.1542,,
0.0205,124,0,330.5719,-15.5773,539.5142,329.5692,17.3885,521.1258,-0.0540,0.0570,-0.0006,0.9969,1788.0000,1841.0000,1831.0000,0.9728,3.1544,,
0.0335,124,0,331.5478,-15.0917,539.3380,330.8925,17.8828,520.9496,0.1224,0.5841,-0.1289,0.7920,1743.0000,1841.0000,1831.0000,0.9811,3.1591,,
0.0442,124,0,331.5478,-15.0917,539.3380,330.8925,17.8828,520.9496,0.1224,0.5841,-0.1289,0.7920,1713.0000,1841.0000,1832.0000,0.9783,3.1576,,
0.0560,124,0,331.1009,-14.8361,536.9850,329.8239,18.1202,518.5966,-0.0550,0.0581,0.0000,0.9968,1671.0000,1841.0000,1835.0000,0.9976,3.1685,,
0.0645,124,0,329.8728,-14.2895,532.9502,328.7132,18.6711,514.5618,-0.0524,0.0585,-0.0001,0.9969,1640.0000,1841.0000,1837.0000,1.0142,3.1779,,
0.0760,124,0,329.8728,-14.2895,532.9502,328.7132,18.6711,514.5618,-0.0524,0.0585,-0.0001,0.9969,1596.0000,1841.0000,1841.0000,1.0557,3.2014,,
0.0881,124,0,331.8790,-13.5259,534.9087,325.4694,18.8263,516.5203,-0.0725,0.5595,0.0338,0.8249,1551.0000,1841.0000,1841.0000,1.2410,3.3064,,
0.1000,124,0,332.5544,-11.7213,533.2315,331.5446,21.2442,514.8431,-0.0530,0.0589,-0.0005,0.9969,1506.0000,1841.0000,1841.0000,1.4017,3.3975,,
0.1120,124,0,333.0882,-10.8741,533.0878,331.9572,22.0875,514.6994,-0.0516,0.0592,-0.0005,0.9969,1465.0000,1841.0000,1841.0000,1.4821,3.4431,,
0.1241,124,0,333.0882,-10.8741,533.0878,331.9572,22.0875,514.6994,-0.0516,0.0592,-0.0005,0.9969,1419.0000,1841.0000,1841.0000,1.6320,3.5281,,
0.1327,124,0,331.8810,-10.3529,530.8357,330.7554,22.6089,512.4473,-0.0500,0.0600,-0.0000,0.9969,1389.0000,1841.0000,1841.0000,1.7571,3.5989,,
0.1440,124,0,331.2821,-9.1606,528.7598,330.1546,23.8011,510.3714,-0.0508,0.0617,0.0011,0.9968,1345.0000,1841.0000,1841.0000,1.8934,3.6762,,
0.1562,124,0,331.2821,-9.1606,528.7598,330.1546,23.8011,510.3714,-0.0508,0.0617,0.0011,0.9968,1297.0000,1841.0000,1841.0000,2.3118,3.9166,,
0.1680,124,0,331.7975,-8.1976,528.8425,330.7689,24.7674,510.4541,-0.0495,0.0610,0.0013,0.9969,1255.0000,1841.0000,1841.0000,2.4545,3.9974,,
0.1800,124,0,331.4290,-6.1464,529.0454,330.1613,26.8103,510.6570,-0.0472,0.0587,0.0015,0.9972,1207.0000,1841.0000,1841.0000,2.8104,4.2088,,
0.1919,124,0,329.0129,-5.2646,526.8525,327.5912,27.6858,508.4642,-0.0484,0.0594,0.0012,0.9971,1160.0000,1841.0000,1841.0000,3.0576,4.3521,,
0.2004,124,0,329.0129,-5.2646,526.8525,327.5912,27.6858,508.4642,-0.0484,0.0594,0.0012,0.9971,1131.0000,1841.0000,1841.0000,3.1927,4.4319,,
0.2123,124,0,328.6505,-4.2454,526.9299,327.6199,28.7195,508.5416,-0.0485,0.0585,0.0009,0.9971,1085.0000,1841.0000,1841.0000,3.4465,4.5757,,
0.2241,124,0,328.4845,-2.9923,529.0437,327.4738,29.9733,510.6553,-0.0474,0.0567,0.0004,0.9973,1037.0000,1841.0000,1841.0000,3.6781,4.7167,,
0.2360,124,0,327.3307,-2.6912,528.9045,326.3181,30.2742,510.5161,-0.0461,0.0590,0.0003,0.9972,990.0000,1841.0000,1841.0000,3.9896,4.9157,,
0.2481,124,0,327.3307,-2.6912,528.9045,326.3181,30.2742,510.5161,-0.0461,0.0590,0.0003,0.9972,942.0000,1841.0000,1841.0000,4.4421,5.2033,,
