{HEADER}
user_id: 128
target_id: 176
target_screen_position_mm: [-24.16, -15.92]
fingertip_offset: [1.67, 32.94, 18.39]
completion_time: 9.5958
endpoint_error_mm: [0.6078, 10.9970, 2.5909]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.009040, 7.025934, 6.609582, 7.243828]
control_points_accel: [2.372631, -1.875081, 1.642459, -2.140009]
stiffness_measurements: [0.232406, 0.257908, 0.307181, 0.139936]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,176,0,211.6000,17.7533,405.2337,215.5454,50.4975,386.8454,-0.0280,0.1283,-0.0719,0.9887,1855.0000,1838.0000,1838.0000,-1.0124,2.1618,,
0.0124,176,0,211.3667,17.6578,405.7408,215.3395,50.3987,387.3525,-0.0276,0.1294,-0.0724,0.9886,1819.0000,1838.0000,1838.0000,-1.0096,2.1633,,
0.0249,176,0,210.9838,17.2951,405.7408,214.9464,50.0372,387.3525,-0.0274,0.1281,-0.0720,0.9888,1790.0000,1838.0000,1838.0000,-1.0041,2.1664,,
0.0338,176,0,210.9838,17.2951,405.7408,214.9464,50.0372,387.3525,-0.0274,0.1281,-0.0720,0.9888,1766.0000,1838.0000,1838.0000,-0.9875,2.1758,,
0.0438,176,0,212.2600,17.2385,408.6251,216.2669,49.9752,390.2368,-0.0277,0.1270,-0.0718,0.9889,1740.0000,1838.0000,1838.0000,-0.9488,2.1978,,
0.0559,176,0,212.1092,17.0022,410.0863,215.8991,49.7647,391.6979,-0.0278,0.1266,-0.0724,0.9889,1711.0000,1838.0000,1838.0000,-0.9129,2.2181,,
0.0677,176,0,212.1092,17.0022,410.0863,215.8991,49.7647,391.6979,-0.0278,0.1266,-0.0724,0.9889,1679.0000,1838.0000,1838.0000,-0.8105,2.2762,,
0.0796,176,0,211.2793,16.8454,408.6373,215.1613,49.5972,390.2490,-0.0279,0.1256,-0.0725,0.9890,1650.0000,1838.0000,1838.0000,-0.7247,2.3248,,
0.0917,176,0,211.5377,16.1005,410.0981,215.4897,48.8439,391.7098,-0.0283,0.1251,-0.0717,0.9891,1617.0000,1838.0000,1838.0000,-0.7247,2.3281,,
0.1003,176,0,211.5377,16.1005,410.0981,215.4897,48.8439,391.7098,-0.0283,0.1251,-0.0717,0.9891,1594.0000,1838.0000,1838.0000,-0.6831,2.3516,,
0.1118,176,0,210.8763,15.9434,410.5101,214.7657,48.6943,392.1217,-0.0288,0.1252,-0.0710,0.9892,1566.0000,1838.0000,1838.0000,-0.6138,2.3909,,
0.1237,176,0,210.0341,15.4721,410.5420,213.8470,48.2319,392.1537,-0.0291,0.1246,-0.0717,0.9892,1533.0000,1838.0000,1838.0000,-0.2278,2.6097,,
0.1357,176,0,210.0341,15.4721,410.5420,213.8470,48.2319,392.1537,-0.0291,0.1246,-0.0717,0.9892,1502.0000,1838.0000,1838.0000,-0.0114,2.7175,,
0.1477,176,0,210.2395,16.1255,412.0154,214.2935,48.8565,393.6271,-0.0284,0.1228,-0.0719,0.9894,1470.0000,1838.0000,1838.0000,0.0882,2.7590,,
0.1597,176,0,209.0598,14.5915,413.9967,212.9445,47.3430,395.6083,-0.0292,0.1224,-0.0708,0.9895,1441.0000,1838.0000,1838.0000,0.3872,2.9061,,
0.1685,176,0,209.0598,14.5915,413.9967,212.9445,47.3430,395.6083,-0.0292,0.1224,-0.0708,0.9895,1417.0000,1838.0000,1838.0000,0.4851,2.9616,,
0.1799,176,0,209.5825,13.4818,416.0241,213.1577,46.2684,397.6358,-0.0301,0.1211,-0.0698,0.9897,1388.0000,1838.0000,1838.0000,0.6392,3.0522,,
0.1919,176,0,209.2627,12.2850,419.1209,213.0071,45.0528,400.7325,-0.0308,0.1177,-0.0683,0.9902,1359.0000,1838.0000,1838.0000,0.7995,3.1425,,
0.2038,176,0,208.2407,11.6670,419.6407,212.0515,44.4271,401.2524,-0.0304,0.1184,-0.0687,0.9901,1326.0000,1838.0000,1838.0000,0.9567,3.2317,,
0.2157,176,0,208.2407,11.6670,419.6407,212.0515,44.4271,401.2524,-0.0304,0.1184,-0.0687,0.9901,1298.0000,1838.0000,1838.0000,1.0917,3.3147,,
0.2246,176,0,207.8322,11.2681,420.6209,211.5384,44.0402,402.2326,-0.0313,0.1164,-0.0690,0.9903,1275.0000,1838.0000,1838.0000,1.2409,3.3992,,
0.2359,176,0,207.3370,9.7157,422.6303,210.8678,42.5071,404.2420,-0.0326,0.1139,-0.0682,0.9906,1247.0000,1838.0000,1838.0000,1.3029,3.4344,,
0.2480,176,0,207.3370,9.7157,422.6303,210.8678,42.5071,404.2420,-0.0326,0.1139,-0.0682,0.9906,1216.0000,1838.0000,1838.0000,1.4947,3.5496,,
0.2598,176,0,206.8092,8.9514,423.2282,210.4333,41.7327,404.8399,-0.0325,0.1132,-0.0683,0.9907,1189.0000,1838.0000,1838.0000,1.6694,3.6365,,
0.2718,176,0,206.0188,7.8034,425.2673,209.5635,40.5934,406.8790,-0.0340,0.1106,-0.0683,0.9909,1157.0000,1838.0000,1838.0000,1.9464,3.7395,,
0.2839,176,0,205.9032,6.9636,427.9366,207.5212,39.9049,409.5483,0.2115,0.5351,-0.1358,0.8065,1126.0000,1838.0000,1838.0000,2.3341,3.9122,,
0.2926,176,0,205.9032,6.9636,427.9366,207.5212,39.9049,409.5483,0.2115,0.5351,-0.1358,0.8065,1108.0000,1838.0000,1838.0000,2.3341,3.9122,,
0.3039,176,0,205.8213,5.5707,429.4774,209.4885,38.3472,411.0891,-0.0359,0.1088,-0.0666,0.9912,1082.0000,1838.0000,1838.0000,2.6896,4.1300,,
0.3165,176,0,205.7965,2.9341,434.3579,209.1846,35.7406,415.9696,-0.0373,0.1061,-0.0646,0.9916,1049.0000,1838.0000,1838.0000,2.9720,4.2965,,
0.3278,176,0,205.7965,2.9341,434.3579,209.1846,35.7406,415.9696,-0.0373,0.1061,-0.0646,0.9916,1023.0000,1838.0000,1838.0000,3.0863,4.3678,,
0.3398,176,0,204.7302,1.3886,434.9344,208.1226,34.1946,416.5461,-0.0384,0.1055,-0.0642,0.9916,992.0000,1838.0000,1838.0000,3.3753,4.5577,,
0.3518,176,0,202.6628,-1.6107,438.2446,205.9567,31.2055,419.8563,-0.0398,0.1026,-0.0623,0.9920,967.0000,1838.0000,1838.0000,3.4613,4.6194,,
0.3607,176,0,202.6628,-1.6107,438.2446,205.9567,31.2055,419.8563,-0.0398,0.1026,-0.0623,0.9920,948.0000,1838.0000,1838.0000,3.6565,4.7398,,
0.3719,176,0,203.1135,-3.1772,442.7440,206.2260,29.6566,424.3557,-0.0410,0.1003,-0.0617,0.9922,922.0000,1838.0000,1838.0000,3.8721,4.8685,,
0.3838,176,0,200.5046,-6.1729,443.7561,203.5967,26.6629,425.3678,-0.0423,0.0968,-0.0612,0.9925,896.0000,1838.0000,1838.0000,4.1234,5.0101,,
0.3961,176,0,200.5046,-6.1729,443.7561,203.5967,26.6629,425.3678,-0.0423,0.0968,-0.0612,0.9925,873.0000,1838.0000,1838.0000,4.4296,5.1570,,
0.4078,176,0,200.0568,-7.3802,446.1011,211.0046,23.7307,427.7128,0.0000,0.0000,0.0000,1.0000,849.0000,1839.0000,1838.0000,4.7966,5.2534,,
0.4165,176,0,199.0136,-10.3269,452.5379,202.0922,22.5102,434.1496,-0.0453,0.0919,-0.0588,0.9930,826.0000,1839.0000,1838.0000,4.9579,5.2765,,
0.4279,176,0,199.0136,-10.3269,452.5379,202.0922,22.5102,434.1496,-0.0453,0.0919,-0.0588,0.9930,808.0000,1839.0000,1838.0000,5.2919,5.4083,,
0.4399,176,0,196.5686,-12.0520,452.5198,199.5984,20.7896,434.1315,-0.0459,0.0909,-0.0584,0.9931,783.0000,1839.0000,1838.0000,5.5435,5.5189,,
0.4520,176,0,193.5361,-15.0716,458.6016,196.5527,17.7712,440.2133,-0.0492,0.0849,-0.0587,0.9934,763.0000,1839.0000,1838.0000,5.9352,5.6333,,
0.4641,176,0,191.5662,-16.2392,463.0603,194.6423,16.5981,444.6719,-0.0486,0.0822,-0.0606,0.9936,744.0000,1840.0000,1838.0000,6.7324,5.8127,,
0.4759,176,0,191.5662,-16.2392,463.0603,194.6423,16.5981,444.6719,-0.0486,0.0822,-0.0606,0.9936,728.0000,1840.0000,1838.0000,6.9545,5.8785,,
0.4846,176,0,189.0392,-18.3183,466.0966,192.0550,14.5245,447.7083,-0.0501,0.0791,-0.0613,0.9937,714.0000,1840.0000,1838.0000,7.3701,6.0164,,
