{HEADER}
user_id: 128
target_id: 267
target_screen_position_mm: [-7.96, 32.12]
fingertip_offset: [1.67, 32.94, 18.39]
completion_time: 9.5386
endpoint_error_mm: [-3.5072, 3.1905, -0.3921]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.009040, 7.025934, 6.609582, 7.243828]
control_points_accel: [2.372631, -1.875081, 1.642459, -2.140009]
stiffness_measurements: [0.232406, 0.257908, 0.307181, 0.139936]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,267,0,57.6194,-48.5811,614.0864,56.5991,-15.6159,595.6981,-0.0110,-0.0429,-0.0012,0.9990,1880.0000,1830.0000,1841.0000,-2.5459,-0.7770,,
0.0093,267,0,59.7657,-48.3592,614.0860,59.0607,-15.3857,595.6976,-0.0110,-0.0433,-0.0007,0.9990,1879.0000,1827.0000,1841.0000,-2.5459,-0.7770,,
0.0195,267,0,59.7657,-48.3592,614.0860,59.0607,-15.3857,595.6976,-0.0110,-0.0433,-0.0007,0.9990,1876.0000,1829.0000,1841.0000,-2.5524,-0.7734,,
0.0312,267,0,61.9859,-48.3720,619.5889,60.8159,-15.4118,601.2005,-0.0105,-0.0404,-0.0004,0.9991,1871.0000,1836.0000,1841.0000,-2.5491,-0.7752,,
0.0429,267,0,65.6173,-47.2556,614.0350,64.4268,-14.2960,595.6466,-0.0085,-0.0402,0.0006,0.9992,1865.0000,1843.0000,1841.0000,-2.5491,-0.7752,,
0.0548,267,0,65.6173,-47.2556,614.0350,64.4268,-14.2960,595.6466,-0.0085,-0.0402,0.0006,0.9992,1858.0000,1843.0000,1841.0000,-2.5491,-0.7752,,
0.0669,267,0,67.6400,-46.8789,614.0864,66.7702,-13.9094,595.6981,-0.0096,-0.0389,0.0014,0.9992,1851.0000,1843.0000,1841.0000,-2.5459,-0.7770,,
0.0756,267,0,70.7076,-45.7045,608.5294,69.5409,-12.7442,590.1410,-0.0097,-0.0360,0.0017,0.9993,1845.0000,1843.0000,1841.0000,-2.5491,-0.7752,,
0.0867,267,0,70.7076,-45.7045,608.5294,69.5409,-12.7442,590.1410,-0.0097,-0.0360,0.0017,0.9993,1836.0000,1843.0000,1841.0000,-2.5459,-0.7770,,
0.0987,267,0,73.5744,-45.9307,614.0350,72.0781,-12.9836,595.6466,-0.0073,-0.0358,0.0018,0.9993,1827.0000,1843.0000,1837.0000,-2.5459,-0.7770,,
0.1111,267,0,76.2973,-44.4035,608.5294,74.9540,-11.4499,590.1410,-0.0084,-0.0337,0.0011,0.9994,1818.0000,1843.0000,1834.0000,-2.5360,-0.7677,,
0.1226,267,0,76.9780,-44.3803,611.2195,75.3443,-11.4397,592.8311,-0.0073,-0.0322,0.0009,0.9995,1808.0000,1843.0000,1831.0000,-2.5334,-0.7662,,
0.1349,267,0,79.2238,-43.6302,611.1695,77.5845,-10.6900,592.7811,-0.0078,-0.0328,0.0009,0.9994,1798.0000,1843.0000,1828.0000,-2.5302,-0.7681,,
0.1449,267,0,79.2238,-43.6302,611.1695,77.5845,-10.6900,592.7811,-0.0078,-0.0328,0.0009,0.9994,1789.0000,1843.0000,1827.0000,-2.5307,-0.7647,,
0.1549,267,0,79.9006,-43.3069,611.2700,78.8981,-10.3411,592.8817,-0.0053,-0.0310,0.0009,0.9995,1780.0000,1843.0000,1825.0000,-2.5275,-0.7666,,
0.1666,267,0,81.9475,-41.6277,608.5294,80.7577,-8.6682,590.1410,-0.0053,-0.0295,0.0009,0.9996,1768.0000,1843.0000,1823.0000,-2.5249,-0.7651,,
0.1786,267,0,81.9475,-41.6277,608.5294,80.7577,-8.6682,590.1410,-0.0053,-0.0295,0.0009,0.9996,1757.0000,1843.0000,1822.0000,-2.5249,-0.7651,,
0.1906,267,0,82.9502,-40.4808,605.7640,81.6136,-7.5269,587.3756,-0.0053,-0.0293,0.0011,0.9996,1745.0000,1843.0000,1820.0000,-2.5197,-0.7621,,
0.2002,267,0,85.0260,-38.3693,603.0236,83.7148,-5.4143,584.6353,-0.0037,-0.0288,0.0018,0.9996,1735.0000,1843.0000,1820.0000,-2.4750,-0.7400,,
0.2109,267,0,85.5056,-37.2826,600.4041,84.1831,-4.3281,582.0157,-0.0036,-0.0256,0.0019,0.9997,1723.0000,1843.0000,1820.0000,-2.4460,-0.7236,,
0.2228,267,0,85.5056,-37.2826,600.4041,84.1831,-4.3281,582.0157,-0.0036,-0.0256,0.0019,0.9997,1710.0000,1843.0000,1821.0000,-2.2511,-0.6131,,
