{HEADER}
user_id: 128
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [1.67, 32.94, 18.39]
completion_time: 7.6632
endpoint_error_mm: [2.5811, 4.0051, 4.1218]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.009040, 7.025934, 6.609582, 7.243828]
control_points_accel: [2.372631, -1.875081, 1.642459, -2.140009]
stiffness_measurements: [0.232406, 0.257908, 0.307181, 0.139936]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,340.3320,-53.9389,516.9905,339.5778,-20.9665,498.6022,-0.0306,0.0434,-0.0049,0.9986,1869.0000,1845.0000,1837.0000,4.1603,1.2853,,
0.0091,275,0,336.2400,-53.4041,514.9329,335.7245,-20.4271,496.5445,-0.0309,0.0435,-0.0056,0.9986,1859.0000,1845.0000,1834.0000,4.1603,1.2853,,
0.0214,275,0,336.2400,-53.4041,514.9329,335.7245,-20.4271,496.5445,-0.0309,0.0435,-0.0056,0.9986,1834.0000,1845.0000,1829.0000,4.1630,1.2868,,
0.0316,275,0,335.3311,-53.1853,514.7531,334.8227,-20.2082,496.3647,-0.0316,0.0425,-0.0056,0.9986,1808.0000,1845.0000,1827.0000,4.1630,1.2868,,
0.0434,275,0,333.6048,-52.7733,514.5319,333.2308,-19.7944,496.1436,-0.0305,0.0405,-0.0063,0.9987,1769.0000,1845.0000,1823.0000,4.1714,1.2915,,
0.0554,275,0,333.6048,-52.7733,514.5319,333.2308,-19.7944,496.1436,-0.0305,0.0405,-0.0063,0.9987,1729.0000,1845.0000,1821.0000,4.2018,1.3088,,
0.0673,275,0,333.9520,-52.7554,516.7998,333.4567,-19.7781,498.4114,-0.0303,0.0404,-0.0065,0.9987,1686.0000,1845.0000,1818.0000,4.2766,1.3512,,
0.0760,275,0,331.4282,-51.6842,516.6187,331.3163,-18.7034,498.2303,-0.0303,0.0402,-0.0078,0.9987,1652.0000,1845.0000,1816.0000,4.3154,1.3732,,
0.0877,275,0,331.4282,-51.6842,516.6187,331.3163,-18.7034,498.2303,-0.0303,0.0402,-0.0078,0.9987,1609.0000,1845.0000,1814.0000,4.5013,1.4785,,
0.0994,275,0,332.0198,-51.3833,518.9053,331.6472,-18.4044,500.5169,-0.0301,0.0387,-0.0084,0.9988,1564.0000,1845.0000,1812.0000,4.7073,1.5917,,
0.1114,275,0,330.3982,-50.2266,520.9580,330.0400,-17.2475,502.5696,-0.0294,0.0374,-0.0097,0.9988,1515.0000,1845.0000,1810.0000,4.9524,1.7306,,
0.1235,275,0,327.1305,-49.3424,518.5621,326.8830,-16.3623,500.1738,-0.0300,0.0375,-0.0104,0.9988,1471.0000,1845.0000,1808.0000,5.1812,1.8603,,
0.1321,275,0,327.1305,-49.3424,518.5621,326.8830,-16.3623,500.1738,-0.0300,0.0375,-0.0104,0.9988,1441.0000,1845.0000,1807.0000,5.2567,1.9030,,
0.1434,275,0,326.6629,-49.8394,520.4901,326.6761,-16.8584,502.1017,-0.0298,0.0375,-0.0101,0.9988,1399.0000,1845.0000,1805.0000,5.4497,2.0124,,
0.1554,275,0,326.5421,-51.4590,524.6699,326.3002,-18.4788,506.2815,-0.0335,0.0331,-0.0083,0.9989,1352.0000,1845.0000,1803.0000,5.7918,2.2063,,
0.1682,275,0,324.8324,-52.1658,524.6394,324.7375,-19.1849,506.2510,-0.0307,0.0320,-0.0081,0.9990,1306.0000,1845.0000,1800.0000,5.8985,2.2668,,
0.1794,275,0,324.8324,-52.1658,524.6394,324.7375,-19.1849,506.2510,-0.0307,0.0320,-0.0081,0.9990,1263.0000,1845.0000,1797.0000,6.2564,2.4661,,
0.1915,275,0,324.3340,-52.1602,526.5756,324.2371,-19.1793,508.1873,-0.0307,0.0307,-0.0079,0.9990,1226.0000,1845.0000,1794.0000,6.4289,2.5602,,
0.2002,275,0,322.3402,-52.8803,528.5916,322.2429,-19.8994,510.2032,-0.0307,0.0285,-0.0078,0.9991,1192.0000,1845.0000,1792.0000,6.7636,2.7423,,
0.2115,275,0,322.3402,-52.8803,528.5916,322.2429,-19.8994,510.2032,-0.0307,0.0285,-0.0078,0.9991,1156.0000,1845.0000,1789.0000,7.1028,2.9165,,
0.2235,275,0,321.1407,-52.7166,528.7921,320.6440,-19.7393,510.4037,-0.0296,0.0279,-0.0083,0.9991,1114.0000,1845.0000,1785.0000,7.2775,3.0011,,
0.2355,275,0,320.8910,-54.7481,533.1814,320.2636,-21.7731,514.7930,-0.0313,0.0264,-0.0073,0.9991,1072.0000,1845.0000,1782.0000,7.8779,3.2292,,
0.2474,275,0,317.2182,-55.5111,530.7603,308.7387,-23.6388,512.3719,0.1175,0.4503,-0.0497,0.8837,1036.0000,1845.0000,1778.0000,8.0735,3.2932,,
0.2594,275,0,317.2182,-55.5111,530.7603,308.7387,-23.6388,512.3719,0.1175,0.4503,-0.0497,0.8837,1004.0000,1845.0000,1773.0000,8.4137,3.3956,,
0.2681,275,0,317.1257,-56.6673,533.0082,316.9012,-23.6870,514.6198,-0.0320,0.0236,-0.0062,0.9992,980.0000,1845.0000,1769.0000,8.7644,3.5219,,
0.2794,275,0,314.3181,-59.0874,535.3555,313.5717,-26.1148,516.9672,-0.0345,0.0205,-0.0045,0.9992,940.0000,1845.0000,1764.0000,9.1219,3.7170,,
0.2914,275,0,314.3181,-59.0874,535.3555,313.5717,-26.1148,516.9672,-0.0345,0.0205,-0.0045,0.9992,903.0000,1845.0000,1757.0000,9.4680,3.9293,,
0.3036,275,0,313.0940,-60.3791,537.6114,314.2524,-27.4184,519.2230,0.1241,0.1081,0.0559,0.9848,865.0000,1845.0000,1751.0000,9.7891,4.1338,,
0.3155,275,0,310.1862,-64.2799,541.8331,309.4374,-31.3074,523.4448,-0.0352,0.0167,-0.0016,0.9992,828.0000,1845.0000,1744.0000,10.1022,4.3788,,
0.3241,275,0,310.1862,-64.2799,541.8331,309.4374,-31.3074,523.4448,-0.0352,0.0167,-0.0016,0.9992,803.0000,1845.0000,1737.0000,10.2853,4.5341,,
0.3354,275,0,308.0286,-67.4769,544.0029,307.4110,-34.5016,525.6146,-0.0374,0.0151,-0.0004,0.9992,770.0000,1845.0000,1727.0000,10.9705,5.1025,,
0.3474,275,0,303.0476,-73.3672,544.3704,301.8956,-40.4063,525.9821,-0.0411,0.0105,0.0020,0.9991,742.0000,1845.0000,1717.0000,11.1988,5.3121,,
0.3594,275,0,301.3936,-77.5899,544.4427,300.3767,-44.6246,526.0543,-0.0428,0.0098,0.0035,0.9990,716.0000,1845.0000,1702.0000,11.6066,5.6524,,
0.3715,275,0,298.1230,-82.2639,542.1241,296.5746,-49.3193,523.7358,-0.0455,0.0089,0.0057,0.9989,693.0000,1845.0000,1685.0000,12.0246,5.9086,,
0.3835,275,0,298.1230,-82.2639,542.1241,296.5746,-49.3193,523.7358,-0.0455,0.0089,0.0057,0.9989,672.0000,1845.0000,1665.0000,12.4671,6.1166,,
0.3923,275,0,293.5928,-86.6918,537.8932,292.3142,-53.7355,519.5048,-0.0494,0.0080,0.0075,0.9987,656.0000,1846.0000,1653.0000,12.9325,6.2221,,
