{HEADER}
user_id: 129
target_id: 111
target_screen_position_mm: [-104.04, -48.04]
fingertip_offset: [2.19, 34.26, 18.97]
completion_time: 7.4753
endpoint_error_mm: [-6.0343, -5.8171, 1.7781]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [10.469238, 10.884633, 12.337678, 9.139754]
control_points_accel: [-2.247274, 2.322390, -4.519025, 4.443908]
stiffness_measurements: [0.163343, 0.178979, 0.171609, 0.255058]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,111,0,101.3501,8.1595,485.6057,99.0712,42.4149,466.6376,-0.0363,0.0751,-0.0544,0.9950,1857.0000,1846.0000,1811.0000,8.4571,4.7384,,
0.0122,111,0,101.3501,8.1595,485.6057,99.0712,42.4149,466.6376,-0.0363,0.0751,-0.0544,0.9950,1849.0000,1846.0000,1822.0000,8.4571,4.7384,,
0.0242,111,0,101.3501,8.1595,485.6057,99.0712,42.4149,466.6376,-0.0363,0.0751,-0.0544,0.9950,1843.0000,1846.0000,1830.0000,8.4571,4.7384,,
0.0341,111,0,102.6186,9.2284,489.1080,100.6355,43.5022,470.1400,-0.0349,0.0760,-0.0550,0.9950,1839.0000,1846.0000,1835.0000,8.4571,4.7384,,
0.0437,111,0,102.6186,9.2284,489.1080,100.6355,43.5022,470.1400,-0.0349,0.0760,-0.0550,0.9950,1836.0000,1846.0000,1836.0000,8.4571,4.7384,,
0.0558,111,0,102.5838,11.0790,483.6582,100.5730,45.3512,464.6902,-0.0334,0.0766,-0.0552,0.9950,1798.0000,1846.0000,1836.0000,8.4571,4.7384,,
0.0678,111,0,102.5838,11.0790,483.6582,100.5730,45.3512,464.6902,-0.0334,0.0766,-0.0552,0.9950,1792.0000,1846.0000,1836.0000,8.4571,4.7384,,
0.0798,111,0,102.5838,11.0790,483.6582,100.5730,45.3512,464.6902,-0.0334,0.0766,-0.0552,0.9950,1787.0000,1846.0000,1836.0000,8.4571,4.7384,,
0.0918,111,0,102.4692,11.9261,482.1696,100.4717,46.1991,463.2016,-0.0326,0.0784,-0.0550,0.9949,1751.0000,1846.0000,1836.0000,8.4571,4.7384,,
0.1005,111,0,102.4692,11.9261,482.1696,100.4717,46.1991,463.2016,-0.0326,0.0784,-0.0550,0.9949,1747.0000,1846.0000,1836.0000,8.4571,4.7384,,
