{HEADER}
user_id: 129
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [2.19, 34.26, 18.97]
completion_time: 7.7795
endpoint_error_mm: [-0.7423, 10.8151, -0.9054]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [10.469238, 10.884633, 12.337678, 9.139754]
control_points_accel: [-2.247274, 2.322390, -4.519025, 4.443908]
stiffness_measurements: [0.163343, 0.178979, 0.171609, 0.255058]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,358.4496,-102.8356,443.6871,355.4656,-68.6344,424.7191,-0.0809,0.1514,-0.0514,0.9838,1832.0000,1839.0000,1837.0000,-3.2254,4.7548,,
0.0125,275,0,358.4496,-102.8356,443.6871,355.4656,-68.6344,424.7191,-0.0809,0.1514,-0.0514,0.9838,1825.0000,1839.0000,1835.0000,-3.2254,4.7548,,
0.0242,275,0,356.3971,-97.7668,443.2698,353.3507,-63.5711,424.3018,-0.0785,0.1494,-0.0530,0.9842,1799.0000,1839.0000,1829.0000,-3.2065,4.7655,,
0.0358,275,0,356.3971,-97.7668,443.2698,353.3507,-63.5711,424.3018,-0.0785,0.1494,-0.0530,0.9842,1793.0000,1839.0000,1825.0000,-3.2092,4.7639,,
0.0445,275,0,356.3971,-97.7668,443.2698,353.3507,-63.5711,424.3018,-0.0785,0.1494,-0.0530,0.9842,1789.0000,1839.0000,1823.0000,-3.2011,4.7685,,
0.0557,275,0,355.6468,-95.0958,442.7509,352.9539,-60.8705,423.7829,-0.0766,0.1479,-0.0539,0.9846,1756.0000,1839.0000,1815.0000,-3.1984,4.7701,,
0.0683,275,0,355.6468,-95.0958,442.7509,352.9539,-60.8705,423.7829,-0.0766,0.1479,-0.0539,0.9846,1750.0000,1839.0000,1813.0000,-3.1930,4.7731,,
0.0797,275,0,352.4492,-91.0729,437.6664,349.5761,-56.8623,418.6984,-0.0701,0.1516,-0.0541,0.9845,1435.0000,1839.0000,1749.0000,-3.1229,4.8063,,
0.0917,275,0,352.4492,-91.0729,437.6664,349.5761,-56.8623,418.6984,-0.0701,0.1516,-0.0541,0.9845,1427.0000,1839.0000,1745.0000,-3.1175,4.8061,,
0.1004,275,0,352.4492,-91.0729,437.6664,349.5761,-56.8623,418.6984,-0.0701,0.1516,-0.0541,0.9845,1419.0000,1839.0000,1742.0000,-2.7553,4.9327,,
0.1117,275,0,352.5752,-88.0550,435.6292,349.9866,-53.8217,416.6612,-0.0717,0.1480,-0.0535,0.9849,1277.0000,1839.0000,1712.0000,-1.7538,5.2551,,
0.1236,275,0,352.5752,-88.0550,435.6292,349.9866,-53.8217,416.6612,-0.0717,0.1480,-0.0535,0.9849,1267.0000,1839.0000,1710.0000,-1.2133,5.4370,,
0.1361,275,0,348.4594,-82.6902,428.5016,346.0793,-48.4417,409.5335,-0.0664,0.1517,-0.0545,0.9847,780.0000,1839.0000,1611.0000,0.0446,6.0470,,
0.1480,275,0,348.4594,-82.6902,428.5016,346.0793,-48.4417,409.5335,-0.0664,0.1517,-0.0545,0.9847,770.0000,1839.0000,1615.0000,0.3062,6.1285,,
0.1597,275,0,348.4594,-82.6902,428.5016,346.0793,-48.4417,409.5335,-0.0664,0.1517,-0.0545,0.9847,756.0000,1840.0000,1617.0000,1.6027,6.6133,,
0.1683,275,0,347.4770,-81.2366,430.1591,344.8886,-47.0032,411.1911,-0.0613,0.1471,-0.0515,0.9859,748.0000,1840.0000,1619.0000,2.2714,6.7917,,
0.1798,275,0,347.4770,-81.2366,430.1591,344.8886,-47.0032,411.1911,-0.0613,0.1471,-0.0515,0.9859,738.0000,1840.0000,1622.0000,3.5866,7.0055,,
0.1917,275,0,342.0387,-76.5666,433.5619,339.9058,-42.3019,414.5939,-0.0588,0.1355,-0.0549,0.9875,731.0000,1841.0000,1626.0000,4.7324,6.9595,,
0.2040,275,0,342.0387,-76.5666,433.5619,339.9058,-42.3019,414.5939,-0.0588,0.1355,-0.0549,0.9875,727.0000,1842.0000,1634.0000,5.5899,6.8589,,
0.2157,275,0,342.0387,-76.5666,433.5619,339.9058,-42.3019,414.5939,-0.0588,0.1355,-0.0549,0.9875,725.0000,1842.0000,1639.0000,6.0036,6.7541,,
0.2278,275,0,337.7917,-77.4100,439.5996,335.7216,-43.1414,420.6316,-0.0544,0.1300,-0.0533,0.9886,723.0000,1842.0000,1644.0000,6.0552,6.7377,,
0.2368,275,0,337.7917,-77.4100,439.5996,335.7216,-43.1414,420.6316,-0.0544,0.1300,-0.0533,0.9886,725.0000,1842.0000,1645.0000,6.0577,6.7263,,
0.2477,275,0,330.1012,-71.5700,447.7590,328.0100,-37.3026,428.7910,-0.0456,0.1192,-0.0596,0.9900,726.0000,1842.0000,1648.0000,6.1351,6.7505,,
0.2596,275,0,330.1012,-71.5700,447.7590,328.0100,-37.3026,428.7910,-0.0456,0.1192,-0.0596,0.9900,730.0000,1842.0000,1654.0000,6.3789,6.8496,,
