{HEADER}
user_id: 130
target_id: 057
target_screen_position_mm: [-56.00, -79.88]
fingertip_offset: [0.97, 32.75, 22.61]
completion_time: 10.9395
endpoint_error_mm: [7.2188, 29.5844, 2.5980]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.272861, 9.515079, 14.725125, 8.168392]
control_points_accel: [-4.362951, 6.858844, -10.992110, 8.496218]
stiffness_measurements: [0.149728, 0.082179, 0.152772, 0.485483]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,57,0,-167.9585,81.7293,654.1827,-171.2220,114.3326,631.5709,-0.0342,-0.0502,0.0232,0.9979,1881.0000,1838.0000,1843.0000,-4.8927,-4.8127,,
0.0124,57,0,-167.4911,82.5107,656.8230,-170.8706,115.1023,634.2111,-0.0329,-0.0523,0.0236,0.9978,1881.0000,1838.0000,1843.0000,-4.8927,-4.8127,,
0.0263,57,0,-167.4911,82.5107,656.8230,-170.8706,115.1023,634.2111,-0.0329,-0.0523,0.0236,0.9978,1881.0000,1838.0000,1843.0000,-4.8927,-4.8127,,
0.0352,57,0,-167.3471,83.2590,660.6831,-170.5396,115.8694,638.0712,-0.0331,-0.0476,0.0247,0.9980,1881.0000,1838.0000,1843.0000,-4.8927,-4.8127,,
0.0439,57,0,-167.3471,83.2590,660.6831,-170.5396,115.8694,638.0712,-0.0331,-0.0476,0.0247,0.9980,1881.0000,1838.0000,1843.0000,-4.8927,-4.8127,,
0.0556,57,0,-167.3471,83.2590,660.6831,-170.5396,115.8694,638.0712,-0.0331,-0.0476,0.0247,0.9980,1881.0000,1838.0000,1843.0000,-4.8927,-4.8127,,
0.0675,57,0,-167.9559,83.4468,663.6412,-171.5044,116.0204,641.0293,-0.0318,-0.0493,0.0252,0.9980,1881.0000,1838.0000,1843.0000,-4.8960,-4.8108,,
0.0798,57,0,-167.9559,83.4468,663.6412,-171.5044,116.0204,641.0293,-0.0318,-0.0493,0.0252,0.9980,1881.0000,1838.0000,1843.0000,-4.8960,-4.8108,,
0.0884,57,0,-169.4065,83.8995,667.6807,-172.6285,116.5070,645.0688,-0.0314,-0.0484,0.0244,0.9980,1881.0000,1838.0000,1843.0000,-4.8960,-4.8108,,
0.0995,57,0,-169.4065,83.8995,667.6807,-172.6285,116.5070,645.0688,-0.0314,-0.0484,0.0244,0.9980,1881.0000,1838.0000,1843.0000,-4.8960,-4.8108,,
0.1116,57,0,-169.1470,83.8390,667.6807,-172.3533,116.4481,645.0688,-0.0315,-0.0491,0.0242,0.9980,1881.0000,1838.0000,1843.0000,-4.8960,-4.8108,,
0.1237,57,0,-169.1470,83.8390,667.6807,-172.3533,116.4481,645.0688,-0.0315,-0.0491,0.0242,0.9980,1881.0000,1838.0000,1843.0000,-4.8960,-4.8108,,
0.1357,57,0,-169.1470,83.8390,667.6807,-172.3533,116.4481,645.0688,-0.0315,-0.0491,0.0242,0.9980,1881.0000,1838.0000,1843.0000,-4.8960,-4.8108,,
0.1478,57,0,-166.0621,82.1423,653.1552,-169.1040,114.7671,630.5433,-0.0311,-0.0495,0.0237,0.9980,1881.0000,1823.0000,1843.0000,-4.8960,-4.8108,,
0.1568,57,0,-166.0621,82.1423,653.1552,-169.1040,114.7671,630.5433,-0.0311,-0.0495,0.0237,0.9980,1881.0000,1823.0000,1843.0000,-4.8960,-4.8108,,
0.1674,57,0,-168.2110,82.6829,657.0169,-171.4170,115.2920,634.4050,-0.0288,-0.0508,0.0234,0.9980,1881.0000,1823.0000,1843.0000,-4.8993,-4.8089,,
0.1795,57,0,-168.2110,82.6829,657.0169,-171.4170,115.2920,634.4050,-0.0288,-0.0508,0.0234,0.9980,1881.0000,1823.0000,1843.0000,-4.8993,-4.8089,,
0.1915,57,0,-169.8884,83.6871,661.1273,-173.1019,116.2954,638.5154,-0.0329,-0.0508,0.0221,0.9979,1881.0000,1823.0000,1843.0000,-4.8993,-4.8089,,
0.2036,57,0,-169.8884,83.6871,661.1273,-173.1019,116.2954,638.5154,-0.0329,-0.0508,0.0221,0.9979,1881.0000,1823.0000,1843.0000,-4.9025,-4.8071,,
0.2122,57,0,-169.8884,83.6871,661.1273,-173.1019,116.2954,638.5154,-0.0329,-0.0508,0.0221,0.9979,1881.0000,1823.0000,1843.0000,-4.9025,-4.8071,,
0.2237,57,0,-171.0892,84.0286,664.1542,-174.3028,116.6370,641.5424,-0.0312,-0.0525,0.0219,0.9979,1881.0000,1823.0000,1843.0000,-4.9025,-4.8071,,
0.2355,57,0,-171.0892,84.0286,664.1542,-174.3028,116.6370,641.5424,-0.0312,-0.0525,0.0219,0.9979,1881.0000,1822.0000,1843.0000,-4.9025,-4.8071,,
0.2478,57,0,-170.7667,82.6180,661.1273,-173.9586,115.2285,638.5154,-0.0357,-0.0529,0.0221,0.9977,1881.0000,1822.0000,1843.0000,-4.9025,-4.8071,,
0.2595,57,0,-170.7667,82.6180,661.1273,-173.9586,115.2285,638.5154,-0.0357,-0.0529,0.0221,0.9977,1881.0000,1822.0000,1843.0000,-4.9025,-4.8071,,
