{HEADER}
user_id: 130
target_id: 111
target_screen_position_mm: [-104.04, -48.04]
fingertip_offset: [0.97, 32.75, 22.61]
completion_time: 16.6643
endpoint_error_mm: [-4.9336, 1.1436, 1.9112]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.272861, 9.515079, 14.725125, 8.168392]
control_points_accel: [-4.362951, 6.858844, -10.992110, 8.496218]
stiffness_measurements: [0.149728, 0.082179, 0.152772, 0.485483]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,111,0,-12.1079,25.4276,432.2145,-13.9650,58.1412,409.6026,-0.0424,0.0743,0.0080,0.9963,1784.0000,1838.0000,1826.0000,1.8500,-6.4262,,
0.0130,111,0,-12.1079,25.4276,432.2145,-13.9650,58.1412,409.6026,-0.0424,0.0743,0.0080,0.9963,1808.0000,1838.0000,1835.0000,1.8500,-6.4262,,
0.0241,111,0,-12.1079,25.4276,432.2145,-13.9650,58.1412,409.6026,-0.0424,0.0743,0.0080,0.9963,1821.0000,1838.0000,1836.0000,1.8611,-6.4199,,
0.0329,111,0,-11.9685,25.2882,429.3935,-13.9411,57.9950,406.7816,-0.0424,0.0744,0.0086,0.9963,1801.0000,1838.0000,1836.0000,1.8584,-6.4215,,
0.0438,111,0,-11.9685,25.2882,429.3935,-13.9411,57.9950,406.7816,-0.0424,0.0744,0.0086,0.9963,1815.0000,1838.0000,1836.0000,1.8584,-6.4215,,
0.0559,111,0,-11.6753,25.4280,433.7467,-13.6396,58.1353,411.1348,-0.0417,0.0738,0.0083,0.9964,1827.0000,1838.0000,1836.0000,1.8584,-6.4215,,
0.0679,111,0,-11.6753,25.4280,433.7467,-13.6396,58.1353,411.1348,-0.0417,0.0738,0.0083,0.9964,1837.0000,1838.0000,1836.0000,1.8584,-6.4215,,
0.0803,111,0,-11.6753,25.4280,433.7467,-13.6396,58.1353,411.1348,-0.0417,0.0738,0.0083,0.9964,1844.0000,1838.0000,1836.0000,1.8556,-6.4231,,
0.0890,111,0,-11.8822,25.2976,432.3048,-13.9902,57.9960,409.6929,-0.0429,0.0745,0.0084,0.9963,1848.0000,1837.0000,1836.0000,1.8556,-6.4231,,
0.0999,111,0,-11.8822,25.2976,432.3048,-13.9902,57.9960,409.6929,-0.0429,0.0745,0.0084,0.9963,1852.0000,1833.0000,1836.0000,1.8556,-6.4231,,
0.1119,111,0,-11.7624,25.0532,429.6367,-13.8299,57.7542,407.0248,-0.0439,0.0740,0.0086,0.9963,1855.0000,1829.0000,1836.0000,1.8556,-6.4231,,
0.1239,111,0,-11.7624,25.0532,429.6367,-13.8299,57.7542,407.0248,-0.0439,0.0740,0.0086,0.9963,1857.0000,1827.0000,1836.0000,1.8556,-6.4231,,
0.1359,111,0,-11.7624,25.0532,429.6367,-13.8299,57.7542,407.0248,-0.0439,0.0740,0.0086,0.9963,1859.0000,1825.0000,1836.0000,1.8523,-6.4212,,
0.1480,111,0,-11.5573,24.9879,429.5810,-13.5216,57.6952,406.9691,-0.0427,0.0738,0.0086,0.9963,1860.0000,1823.0000,1836.0000,1.8523,-6.4212,,
0.1567,111,0,-11.5573,24.9879,429.5810,-13.5216,57.6952,406.9691,-0.0427,0.0738,0.0086,0.9963,1860.0000,1822.0000,1836.0000,1.8495,-6.4228,,
0.1679,111,0,-12.6616,24.7205,430.8956,-15.0254,57.4015,408.2837,-0.5108,0.3906,0.1733,0.7460,1860.0000,1821.0000,1836.0000,1.8523,-6.4212,,
