{HEADER}
user_id: 130
target_id: 124
target_screen_position_mm: [104.04, -48.04]
fingertip_offset: [0.97, 32.75, 22.61]
completion_time: 11.3677
endpoint_error_mm: [3.3199, 9.5313, 3.4009]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.272861, 9.515079, 14.725125, 8.168392]
control_points_accel: [-4.362951, 6.858844, -10.992110, 8.496218]
stiffness_measurements: [0.149728, 0.082179, 0.152772, 0.485483]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,124,0,97.3224,34.8142,559.3334,97.1905,67.5803,536.7216,-0.0366,-0.0057,-0.0222,0.9991,1868.0000,1796.0000,1830.0000,2.9473,-1.7806,,
0.0091,124,0,97.3224,34.8142,559.3334,97.1905,67.5803,536.7216,-0.0366,-0.0057,-0.0222,0.9991,1868.0000,1806.0000,1835.0000,2.9473,-1.7806,,
0.0200,124,0,97.3224,34.8142,559.3334,97.1905,67.5803,536.7216,-0.0366,-0.0057,-0.0222,0.9991,1868.0000,1817.0000,1839.0000,2.9341,-1.7764,,
0.0341,124,0,98.1121,34.8277,561.5650,98.3983,67.5928,538.9531,-0.0378,-0.0059,-0.0224,0.9990,1868.0000,1827.0000,1841.0000,2.9341,-1.7764,,
0.0439,124,0,98.1121,34.8277,561.5650,98.3983,67.5928,538.9531,-0.0378,-0.0059,-0.0224,0.9990,1868.0000,1832.0000,1841.0000,2.9341,-1.7764,,
0.0559,124,0,99.4168,33.7964,556.9271,99.4114,66.5627,534.3152,-0.0384,-0.0083,-0.0221,0.9990,1864.0000,1834.0000,1841.0000,2.9374,-1.7782,,
0.0647,124,0,99.4168,33.7964,556.9271,99.4114,66.5627,534.3152,-0.0384,-0.0083,-0.0221,0.9990,1859.0000,1837.0000,1841.0000,2.9374,-1.7782,,
0.0758,124,0,100.6146,33.3094,559.3347,100.4710,66.0754,536.7228,-0.0374,-0.0054,-0.0216,0.9991,1853.0000,1838.0000,1841.0000,2.9374,-1.7782,,
0.0881,124,0,100.6146,33.3094,559.3347,100.4710,66.0754,536.7228,-0.0374,-0.0054,-0.0216,0.9991,1848.0000,1838.0000,1841.0000,2.9374,-1.7782,,
0.0998,124,0,101.8364,33.4893,559.3334,101.2882,66.2510,536.7216,-0.0396,-0.0057,-0.0217,0.9990,1843.0000,1838.0000,1841.0000,2.9374,-1.7782,,
0.1118,124,0,101.8364,33.4893,559.3334,101.2882,66.2510,536.7216,-0.0396,-0.0057,-0.0217,0.9990,1840.0000,1838.0000,1841.0000,2.9374,-1.7782,,
0.1241,124,0,101.8364,33.4893,559.3334,101.2882,66.2510,536.7216,-0.0396,-0.0057,-0.0217,0.9990,1837.0000,1838.0000,1841.0000,2.9374,-1.7782,,
