{HEADER}
user_id: 130
target_id: 267
target_screen_position_mm: [-7.96, 32.12]
fingertip_offset: [0.97, 32.75, 22.61]
completion_time: 8.4915
endpoint_error_mm: [-6.6395, 1.2520, 0.5395]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.272861, 9.515079, 14.725125, 8.168392]
control_points_accel: [-4.362951, 6.858844, -10.992110, 8.496218]
stiffness_measurements: [0.149728, 0.082179, 0.152772, 0.485483]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,267,0,75.6815,-49.9367,589.0031,74.7491,-17.1837,566.3912,-0.0340,0.0398,-0.0102,0.9986,1874.0000,1837.0000,1842.0000,-1.4537,-2.8840,,
0.0120,267,0,77.0144,-49.1723,586.7264,76.3899,-16.4120,564.1146,-0.0343,0.0397,-0.0101,0.9986,1866.0000,1837.0000,1842.0000,-1.4537,-2.8840,,
0.0237,267,0,77.0144,-49.1723,586.7264,76.3899,-16.4120,564.1146,-0.0343,0.0397,-0.0101,0.9986,1865.0000,1837.0000,1842.0000,-1.4537,-2.8840,,
0.0355,267,0,77.0144,-49.1723,586.7264,76.3899,-16.4120,564.1146,-0.0343,0.0397,-0.0101,0.9986,1865.0000,1837.0000,1842.0000,-1.4537,-2.8840,,
0.0445,267,0,76.8279,-48.3975,578.8760,76.0100,-15.6414,556.2642,-0.0331,0.0427,-0.0098,0.9985,1831.0000,1837.0000,1842.0000,-1.4537,-2.8840,,
0.0556,267,0,76.8279,-48.3975,578.8760,76.0100,-15.6414,556.2642,-0.0331,0.0427,-0.0098,0.9985,1829.0000,1837.0000,1842.0000,-1.4537,-2.8840,,
0.0677,267,0,79.2928,-48.7009,581.7486,78.2148,-15.9523,559.1367,-0.0338,0.0413,-0.0074,0.9985,1828.0000,1837.0000,1842.0000,-1.4510,-2.8824,,
0.0797,267,0,79.2928,-48.7009,581.7486,78.2148,-15.9523,559.1367,-0.0338,0.0413,-0.0074,0.9985,1826.0000,1837.0000,1842.0000,-1.4510,-2.8824,,
0.0919,267,0,79.0433,-48.6037,581.7486,77.9715,-15.8549,559.1367,-0.0337,0.0432,-0.0073,0.9985,1825.0000,1837.0000,1842.0000,-1.4482,-2.8809,,
0.1009,267,0,79.0433,-48.6037,581.7486,77.9715,-15.8549,559.1367,-0.0337,0.0432,-0.0073,0.9985,1824.0000,1837.0000,1840.0000,-1.4482,-2.8809,,
