{HEADER}
user_id: 130
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [0.97, 32.75, 22.61]
completion_time: 7.7677
endpoint_error_mm: [7.2598, 24.5924, -0.7014]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.272861, 9.515079, 14.725125, 8.168392]
control_points_accel: [-4.362951, 6.858844, -10.992110, 8.496218]
stiffness_measurements: [0.149728, 0.082179, 0.152772, 0.485483]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,269.9372,-56.3480,474.7298,271.4922,-23.6186,452.1180,-0.0648,0.0991,-0.0484,0.9918,1871.0000,1837.0000,1839.0000,0.6956,-3.5653,,
0.0193,275,0,269.9372,-56.3480,474.7298,271.4922,-23.6186,452.1180,-0.0648,0.0991,-0.0484,0.9918,1871.0000,1837.0000,1839.0000,0.6956,-3.5653,,
0.0284,275,0,267.8310,-55.5976,471.9088,269.2899,-22.8638,449.2969,-0.0647,0.0989,-0.0477,0.9919,1862.0000,1837.0000,1839.0000,0.6956,-3.5653,,
0.0373,275,0,267.8310,-55.5976,471.9088,269.2899,-22.8638,449.2969,-0.0647,0.0989,-0.0477,0.9919,1862.0000,1837.0000,1839.0000,0.6956,-3.5653,,
0.0460,275,0,267.8310,-55.5976,471.9088,269.2899,-22.8638,449.2969,-0.0647,0.0989,-0.0477,0.9919,1862.0000,1837.0000,1839.0000,0.6956,-3.5653,,
0.0557,275,0,266.1100,-55.1039,470.0986,267.6353,-22.3731,447.4868,-0.0632,0.0996,-0.0486,0.9918,1820.0000,1837.0000,1839.0000,0.6956,-3.5653,,
0.0679,275,0,266.1100,-55.1039,470.0986,267.6353,-22.3731,447.4868,-0.0632,0.0996,-0.0486,0.9918,1819.0000,1837.0000,1838.0000,0.6956,-3.5653,,
0.0798,275,0,267.4901,-54.5212,472.3204,269.7278,-21.8314,449.7086,-0.0638,0.1008,-0.0491,0.9916,1818.0000,1837.0000,1837.0000,0.7067,-3.5590,,
0.0925,275,0,267.4901,-54.5212,472.3204,269.7278,-21.8314,449.7086,-0.0638,0.1008,-0.0491,0.9916,1817.0000,1837.0000,1836.0000,0.7067,-3.5590,,
0.1012,275,0,267.4901,-54.5212,472.3204,269.7278,-21.8314,449.7086,-0.0638,0.1008,-0.0491,0.9916,1817.0000,1837.0000,1836.0000,0.7067,-3.5590,,
0.1118,275,0,267.0975,-54.9169,469.6222,268.7874,-22.1942,447.0103,-0.0622,0.0996,-0.0480,0.9919,1804.0000,1837.0000,1835.0000,0.7067,-3.5590,,
0.1240,275,0,267.0975,-54.9169,469.6222,268.7874,-22.1942,447.0103,-0.0622,0.0996,-0.0480,0.9919,1804.0000,1837.0000,1834.0000,0.7067,-3.5590,,
0.1359,275,0,267.4711,-55.0990,467.5919,269.1357,-22.3750,444.9801,-0.0625,0.1005,-0.0474,0.9918,1753.0000,1837.0000,1830.0000,0.7067,-3.5590,,
0.1480,275,0,267.4711,-55.0990,467.5919,269.1357,-22.3750,444.9801,-0.0625,0.1005,-0.0474,0.9918,1752.0000,1837.0000,1829.0000,0.7067,-3.5590,,
0.1599,275,0,267.4711,-55.0990,467.5919,269.1357,-22.3750,444.9801,-0.0625,0.1005,-0.0474,0.9918,1752.0000,1837.0000,1829.0000,0.7201,-3.5476,,
0.1689,275,0,268.3267,-54.4755,466.2619,269.9913,-21.7515,443.6500,-0.0636,0.1024,-0.0466,0.9916,1717.0000,1837.0000,1825.0000,0.7201,-3.5476,,
0.1798,275,0,268.3267,-54.4755,466.2619,269.9913,-21.7515,443.6500,-0.0636,0.1024,-0.0466,0.9916,1717.0000,1837.0000,1825.0000,0.7256,-3.5445,,
0.1917,275,0,269.0263,-54.5163,463.6866,270.7945,-21.7977,441.0747,-0.0602,0.1034,-0.0466,0.9917,1651.0000,1837.0000,1819.0000,0.7367,-3.5382,,
0.2038,275,0,269.0263,-54.5163,463.6866,270.7945,-21.7977,441.0747,-0.0602,0.1034,-0.0466,0.9917,1650.0000,1837.0000,1818.0000,0.7979,-3.5035,,
0.2158,275,0,269.0263,-54.5163,463.6866,270.7945,-21.7977,441.0747,-0.0602,0.1034,-0.0466,0.9917,1649.0000,1837.0000,1818.0000,1.0121,-3.3821,,
0.2245,275,0,266.1059,-52.9261,456.5572,267.6718,-20.1972,433.9454,-0.0608,0.1081,-0.0463,0.9912,1465.0000,1837.0000,1800.0000,1.0706,-3.3489,,
0.2358,275,0,266.1059,-52.9261,456.5572,267.6718,-20.1972,433.9454,-0.0608,0.1081,-0.0463,0.9912,1466.0000,1837.0000,1801.0000,1.1292,-3.3158,,
0.2478,275,0,270.6944,-53.0992,458.7105,272.3091,-20.3727,436.0987,-0.0611,0.1076,-0.0434,0.9914,1465.0000,1837.0000,1801.0000,1.4167,-3.1560,,
0.2601,275,0,270.6944,-53.0992,458.7105,272.3091,-20.3727,436.0987,-0.0611,0.1076,-0.0434,0.9914,1462.0000,1837.0000,1800.0000,1.8704,-2.8957,,
0.2717,275,0,271.5219,-53.0707,457.8619,272.8793,-20.3326,435.2501,-0.0608,0.1050,-0.0419,0.9917,1460.0000,1837.0000,1800.0000,2.1406,-2.7430,,
0.2839,275,0,271.5219,-53.0707,457.8619,272.8793,-20.3326,435.2501,-0.0608,0.1050,-0.0419,0.9917,1459.0000,1837.0000,1801.0000,2.2447,-2.6840,,
0.2926,275,0,271.5219,-53.0707,457.8619,272.8793,-20.3326,435.2501,-0.0608,0.1050,-0.0419,0.9917,1458.0000,1837.0000,1801.0000,2.3405,-2.6297,,
0.3039,275,0,271.2044,-51.8319,456.9607,272.6254,-19.0965,434.3488,-0.0599,0.1065,-0.0423,0.9916,1457.0000,1837.0000,1801.0000,2.3630,-2.6137,,
0.3158,275,0,271.2044,-51.8319,456.9607,272.6254,-19.0965,434.3488,-0.0599,0.1065,-0.0423,0.9916,1457.0000,1837.0000,1802.0000,2.3659,-2.6121,,
0.3279,275,0,267.6015,-52.2379,457.0060,269.0816,-19.5050,434.3941,-0.0581,0.1044,-0.0435,0.9919,1457.0000,1837.0000,1802.0000,2.3659,-2.6121,,
0.3397,275,0,267.6015,-52.2379,457.0060,269.0816,-19.5050,434.3941,-0.0581,0.1044,-0.0435,0.9919,1458.0000,1837.0000,1803.0000,2.3659,-2.6121,,
0.3519,275,0,267.6015,-52.2379,457.0060,269.0816,-19.5050,434.3941,-0.0581,0.1044,-0.0435,0.9919,1458.0000,1837.0000,1803.0000,2.3659,-2.6121,,
0.3607,275,0,267.4773,-51.7028,455.6504,268.8460,-18.9651,433.0386,-0.0596,0.1013,-0.0436,0.9921,1435.0000,1837.0000,1801.0000,2.3659,-2.6121,,
0.3718,275,0,267.4773,-51.7028,455.6504,268.8460,-18.9651,433.0386,-0.0596,0.1013,-0.0436,0.9921,1436.0000,1837.0000,1801.0000,2.3715,-2.6089,,
0.3838,275,0,264.7633,-51.4942,447.4112,265.8177,-18.7449,424.7993,-0.0602,0.1068,-0.0412,0.9916,1222.0000,1837.0000,1783.0000,2.4307,-2.5754,,
0.3959,275,0,264.7633,-51.4942,447.4112,265.8177,-18.7449,424.7993,-0.0602,0.1068,-0.0412,0.9916,1223.0000,1837.0000,1783.0000,2.7045,-2.4169,,
0.4078,275,0,266.6164,-51.6207,448.7921,267.8387,-18.8772,426.1802,-0.0588,0.1055,-0.0408,0.9918,1223.0000,1837.0000,1783.0000,2.9535,-2.2758,,
