{HEADER}
user_id: 130
target_id: 286
target_screen_position_mm: [-183.92, 48.04]
fingertip_offset: [0.97, 32.75, 22.61]
completion_time: 7.1915
endpoint_error_mm: [-6.5267, 23.5839, -0.7284]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.272861, 9.515079, 14.725125, 8.168392]
control_points_accel: [-4.362951, 6.858844, -10.992110, 8.496218]
stiffness_measurements: [0.149728, 0.082179, 0.152772, 0.485483]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,286,0,-27.2084,-91.4239,532.2163,-27.6598,-58.6607,509.6044,-0.0504,0.0705,-0.0167,0.9961,1820.0000,1838.0000,1815.0000,0.7792,-3.4969,,
0.0119,286,0,-27.2084,-91.4239,532.2163,-27.6598,-58.6607,509.6044,-0.0504,0.0705,-0.0167,0.9961,1832.0000,1838.0000,1811.0000,0.7819,-3.4953,,
0.0241,286,0,-27.2084,-91.4239,532.2163,-27.6598,-58.6607,509.6044,-0.0504,0.0705,-0.0167,0.9961,1845.0000,1838.0000,1804.0000,0.7957,-3.4940,,
0.0355,286,0,-28.2849,-91.0228,532.2163,-28.8534,-58.2614,509.6044,-0.0541,0.0725,-0.0169,0.9958,1856.0000,1838.0000,1798.0000,0.7902,-3.4971,,
0.0440,286,0,-28.2849,-91.0228,532.2163,-28.8534,-58.2614,509.6044,-0.0541,0.0725,-0.0169,0.9958,1864.0000,1838.0000,1793.0000,0.7902,-3.5003,,
0.0558,286,0,-28.8427,-91.5167,531.8833,-29.4035,-58.7552,509.2714,-0.0531,0.0708,-0.0179,0.9959,1872.0000,1838.0000,1782.0000,0.7875,-3.5051,,
0.0676,286,0,-28.8427,-91.5167,531.8833,-29.4035,-58.7552,509.2714,-0.0531,0.0708,-0.0179,0.9959,1872.0000,1838.0000,1774.0000,0.7847,-3.5099,,
0.0796,286,0,-28.6517,-89.5141,520.7195,-28.6818,-56.7478,498.1077,-0.0514,0.0734,-0.0187,0.9958,1872.0000,1838.0000,1592.0000,0.7819,-3.5179,,
0.0919,286,0,-28.6517,-89.5141,520.7195,-28.6818,-56.7478,498.1077,-0.0514,0.0734,-0.0187,0.9958,1872.0000,1838.0000,1586.0000,0.7819,-3.5211,,
0.1037,286,0,-28.6517,-89.5141,520.7195,-28.6818,-56.7478,498.1077,-0.0514,0.0734,-0.0187,0.9958,1872.0000,1838.0000,1597.0000,0.7819,-3.8338,,
