{HEADER}
user_id: 130
target_id: 318
target_screen_position_mm: [-152.07, 63.96]
fingertip_offset: [2.01, 33.54, 18.56]
completion_time: 10.2514
endpoint_error_mm: [5.5105, -1.2660, 31.7315]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.623162, 9.639349, 12.775930, 6.874553]
control_points_accel: [0.232463, 1.827177, -7.248406, 5.188766]
stiffness_measurements: [0.228392, 0.293825, 0.109327, 0.488727]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,318,0,-303.6118,-111.3737,1128.2655,-312.2608,-78.9098,1109.7073,-0.0527,0.0754,0.0966,0.9911,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0122,318,0,-297.7585,-108.6526,1130.4791,-306.9326,-76.3331,1111.9209,-0.0460,0.0767,0.0969,0.9913,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0249,318,0,-297.7585,-108.6526,1130.4791,-306.9326,-76.3331,1111.9209,-0.0460,0.0767,0.0969,0.9913,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0357,318,0,-294.7247,-107.9936,1129.8467,-303.7394,-75.6293,1111.2885,-0.0461,0.0735,0.0969,0.9915,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0446,318,0,-289.4925,-105.0736,1129.1005,-298.6677,-72.7544,1110.5422,-0.0452,0.0788,0.0978,0.9911,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0557,318,0,-289.4925,-105.0736,1129.1005,-298.6677,-72.7544,1110.5422,-0.0452,0.0788,0.0978,0.9911,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0677,318,0,-285.9327,-104.7111,1128.9521,-294.5785,-72.2463,1110.3939,-0.0463,0.0781,0.0976,0.9911,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0798,318,0,-279.5487,-102.6501,1127.4193,-289.0094,-70.4134,1108.8611,-0.0420,0.0768,0.0985,0.9913,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0886,318,0,-279.5487,-102.6501,1127.4193,-289.0094,-70.4134,1108.8611,-0.0420,0.0768,0.0985,0.9913,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
0.0999,318,0,-277.4306,-102.2152,1130.3282,-286.4785,-69.8602,1111.7700,-0.0434,0.0836,0.0978,0.9907,1889.0000,1834.0000,1840.0000,-12.4743,5.0422,,
