{HEADER}
user_id: 130
target_id: 340
target_screen_position_mm: [200.11, 63.96]
fingertip_offset: [2.01, 33.54, 18.56]
completion_time: 9.3356
endpoint_error_mm: [8.6992, 4.6162, 31.8492]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.623162, 9.639349, 12.775930, 6.874553]
control_points_accel: [0.232463, 1.827177, -7.248406, 5.188766]
stiffness_measurements: [0.228392, 0.293825, 0.109327, 0.488727]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,340,0,64.2415,-60.5182,911.6176,61.8721,-27.0055,893.0594,-0.0258,0.0145,-0.0020,0.9996,1877.0000,1843.0000,1834.0000,1.5944,1.4059,,
0.0098,340,0,64.2415,-60.5182,911.6176,61.8721,-27.0055,893.0594,-0.0258,0.0145,-0.0020,0.9996,1877.0000,1843.0000,1834.0000,1.5944,1.4059,,
0.0213,340,0,65.1778,-60.8675,911.1804,63.3462,-27.3211,892.6222,-0.0229,0.0157,-0.0031,0.9996,1875.0000,1843.0000,1833.0000,1.5939,1.4093,,
0.0316,340,0,67.3380,-61.6416,914.3107,67.8904,-28.0499,895.7524,0.1624,-0.5388,0.1790,0.8070,1875.0000,1843.0000,1833.0000,1.5939,1.4093,,
0.0439,340,0,67.3380,-61.6416,914.3107,67.8904,-28.0499,895.7524,0.1624,-0.5388,0.1790,0.8070,1875.0000,1843.0000,1833.0000,1.5901,1.4178,,
0.0558,340,0,67.6461,-60.8465,910.8434,65.7557,-27.3035,892.2852,-0.0229,0.0155,-0.0057,0.9996,1874.0000,1843.0000,1832.0000,1.5741,1.4269,,
0.0678,340,0,68.1129,-60.9149,908.8159,65.9651,-27.3873,890.2576,-0.0256,0.0187,-0.0071,0.9995,1865.0000,1843.0000,1826.0000,1.5451,1.4399,,
0.0767,340,0,68.1129,-60.9149,908.8159,65.9651,-27.3873,890.2576,-0.0256,0.0187,-0.0071,0.9995,1865.0000,1843.0000,1826.0000,1.5007,1.4654,,
0.0881,340,0,69.1309,-60.2911,909.6125,66.7252,-26.7811,891.0543,-0.0255,0.0182,-0.0077,0.9995,1865.0000,1843.0000,1826.0000,1.5033,1.4636,,
0.0998,340,0,71.4377,-59.1888,910.6184,68.7123,-25.7032,892.0602,-0.0252,0.0170,-0.0072,0.9995,1865.0000,1843.0000,1826.0000,1.5060,1.4651,,
0.1118,340,0,73.1690,-58.5413,908.9062,71.1895,-25.0034,890.3480,-0.0230,0.0175,-0.0078,0.9996,1865.0000,1843.0000,1826.0000,1.5060,1.4651,,
0.1237,340,0,73.1690,-58.5413,908.9062,71.1895,-25.0034,890.3480,-0.0230,0.0175,-0.0078,0.9996,1864.0000,1843.0000,1826.0000,1.5087,1.4667,,
0.1327,340,0,74.0639,-58.0337,906.8398,72.4197,-24.4776,888.2816,-0.0249,0.0190,-0.0077,0.9995,1855.0000,1843.0000,1821.0000,1.5141,1.4697,,
0.1437,340,0,74.0639,-58.0337,906.8398,72.4197,-24.4776,888.2816,-0.0249,0.0190,-0.0077,0.9995,1855.0000,1843.0000,1821.0000,1.5141,1.4697,,
0.1561,340,0,76.3761,-56.6350,905.8812,74.3937,-23.0973,887.3229,-0.0261,0.0201,-0.0081,0.9994,1850.0000,1843.0000,1819.0000,1.5141,1.4697,,
0.1677,340,0,79.1025,-55.3994,903.6476,77.5770,-21.8378,885.0894,-0.0221,0.0194,-0.0077,0.9995,1839.0000,1843.0000,1813.0000,1.5141,1.4697,,
0.1797,340,0,80.6693,-54.2395,902.3861,79.0623,-20.6816,883.8279,-0.0227,0.0220,-0.0069,0.9995,1832.0000,1843.0000,1811.0000,1.5141,1.4697,,
0.1916,340,0,80.6693,-54.2395,902.3861,79.0623,-20.6816,883.8279,-0.0227,0.0220,-0.0069,0.9995,1831.0000,1843.0000,1812.0000,1.5274,1.4740,,
0.2004,340,0,82.6652,-53.8775,903.3059,80.6091,-20.3442,884.7477,-0.0216,0.0214,-0.0060,0.9995,1830.0000,1843.0000,1812.0000,1.5382,1.4801,,
0.2118,340,0,86.1014,-52.2526,902.9783,84.0670,-18.7180,884.4200,-0.0220,0.0222,-0.0060,0.9995,1830.0000,1843.0000,1813.0000,1.5382,1.4801,,
0.2236,340,0,86.1014,-52.2526,902.9783,84.0670,-18.7180,884.4200,-0.0220,0.0222,-0.0060,0.9995,1828.0000,1843.0000,1814.0000,1.5382,1.4801,,
0.2357,340,0,87.0944,-51.6579,899.1205,85.0131,-18.1261,880.5623,-0.0233,0.0254,-0.0059,0.9994,1810.0000,1843.0000,1808.0000,1.5382,1.4801,,
0.2482,340,0,89.1642,-50.3346,897.4609,87.2300,-16.7940,878.9027,-0.0208,0.0244,-0.0065,0.9995,1799.0000,1843.0000,1805.0000,1.5382,1.4801,,
0.2580,340,0,90.3290,-50.2650,897.0930,95.3159,-17.0409,878.5348,-0.0623,-0.1907,0.0600,0.9778,1796.0000,1843.0000,1806.0000,1.5623,1.4937,,
0.2677,340,0,90.3290,-50.2650,897.0930,95.3159,-17.0409,878.5348,-0.0623,-0.1907,0.0600,0.9778,1794.0000,1843.0000,1807.0000,1.5971,1.5135,,
