{HEADER}
user_id: 131
target_id: 030
target_screen_position_mm: [-104.04, -96.08]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 5.9388
endpoint_error_mm: [9.1106, 19.0914, 2.9571]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,30,0,-35.1695,-487.8893,462.8021,-33.0145,-452.6181,440.4440,-0.4075,0.0439,-0.0409,0.9112,1858.0000,1839.0000,1843.0000,11.9442,2.3662,,
0.0113,30,0,-35.1695,-487.8893,462.8021,-33.0145,-452.6181,440.4440,-0.4075,0.0439,-0.0409,0.9112,1858.0000,1840.0000,1843.0000,12.1304,2.2257,,
0.0233,30,0,-81.1457,-489.1208,468.6740,-79.0364,-453.8468,446.3158,-0.3960,-0.1027,0.0206,0.9123,1858.0000,1840.0000,1843.0000,12.3327,2.0793,,
0.0352,30,0,-81.1457,-489.1208,468.6740,-79.0364,-453.8468,446.3158,-0.3960,-0.1027,0.0206,0.9123,1858.0000,1840.0000,1843.0000,12.4598,1.9660,,
0.0445,30,0,-59.3401,-432.4522,444.2260,-56.9496,-397.1962,421.8678,-0.3874,-0.0547,-0.0128,0.9202,1858.0000,1840.0000,633.0000,12.5315,1.8968,,
0.0556,30,0,-59.3401,-432.4522,444.2260,-56.9496,-397.1962,421.8678,-0.3874,-0.0547,-0.0128,0.9202,1858.0000,1840.0000,515.0000,12.6780,1.7502,,
0.0673,30,0,-61.4347,-422.1634,461.1312,-62.3828,-386.8391,438.7731,0.6696,-0.6034,-0.3096,-0.3027,1858.0000,1840.0000,490.0000,12.7170,-0.6875,,
0.0792,30,0,-61.4347,-422.1634,461.1312,-62.3828,-386.8391,438.7731,0.6696,-0.6034,-0.3096,-0.3027,1858.0000,1840.0000,476.0000,12.7290,-2.1618,,
0.0908,30,0,-61.2036,-408.7916,476.0192,-58.0788,-373.5931,453.6610,-0.3657,-0.0489,-0.0245,0.9291,1858.0000,1841.0000,447.0000,12.8068,-5.4348,,
0.0994,30,0,-61.2036,-408.7916,476.0192,-58.0788,-373.5931,453.6610,-0.3657,-0.0489,-0.0245,0.9291,1859.0000,1842.0000,430.0000,12.9707,-7.8809,,
