{HEADER}
user_id: 131
target_id: 069
target_screen_position_mm: [135.88, -79.88]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 7.2838
endpoint_error_mm: [1.6951, -0.2235, 2.0031]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,69,0,157.2254,43.0894,707.7656,156.2402,78.4126,685.4074,-0.0319,0.0009,0.0095,0.9994,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.0123,69,0,157.2254,43.0894,707.7656,156.2402,78.4126,685.4074,-0.0319,0.0009,0.0095,0.9994,1886.0000,1846.0000,1835.0000,-1.2192,-16.4403,,
0.0243,69,0,157.4207,45.2418,711.0732,156.2433,80.5592,688.7151,-0.0380,0.0020,0.0086,0.9992,1886.0000,1846.0000,1835.0000,-1.2192,-16.4403,,
0.0333,69,0,157.4207,45.2418,711.0732,156.2433,80.5592,688.7151,-0.0380,0.0020,0.0086,0.9992,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.0440,69,0,158.2278,46.4629,714.9706,157.2509,81.7864,692.6125,-0.0388,0.0043,0.0078,0.9992,1886.0000,1846.0000,1835.0000,-1.2192,-16.4403,,
0.0559,69,0,158.2278,46.4629,714.9706,157.2509,81.7864,692.6125,-0.0388,0.0043,0.0078,0.9992,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.0681,69,0,157.8529,46.8845,711.3132,156.8676,82.2077,688.9550,-0.0368,0.0041,0.0068,0.9993,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.0800,69,0,157.8529,46.8845,711.3132,156.8676,82.2077,688.9550,-0.0368,0.0041,0.0068,0.9993,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.0888,69,0,157.8529,46.8845,711.3132,156.8676,82.2077,688.9550,-0.0368,0.0041,0.0068,0.9993,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.0998,69,0,158.0012,47.4509,711.3132,157.3998,82.7827,688.9550,-0.0393,0.0029,0.0058,0.9992,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.1119,69,0,158.0012,47.4509,711.3132,157.3998,82.7827,688.9550,-0.0393,0.0029,0.0058,0.9992,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.1239,69,0,159.0387,48.6221,711.3132,158.4417,83.9541,688.9550,-0.0369,0.0041,0.0045,0.9993,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.1360,69,0,159.0387,48.6221,711.3132,158.4417,83.9541,688.9550,-0.0369,0.0041,0.0045,0.9993,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.1480,69,0,160.3504,49.5375,711.3132,159.7534,84.8695,688.9550,-0.0368,0.0045,0.0036,0.9993,1886.0000,1845.0000,1835.0000,-1.2255,-16.4367,,
0.1568,69,0,160.3504,49.5375,711.3132,159.7534,84.8695,688.9550,-0.0368,0.0045,0.0036,0.9993,1886.0000,1845.0000,1835.0000,-1.2255,-16.4367,,
0.1679,69,0,160.3504,49.5375,711.3132,159.7534,84.8695,688.9550,-0.0368,0.0045,0.0036,0.9993,1886.0000,1845.0000,1835.0000,-1.2255,-16.4367,,
0.1802,69,0,162.5388,50.6738,715.1332,162.1296,86.0084,692.7750,-0.0350,0.0086,0.0032,0.9993,1886.0000,1845.0000,1835.0000,-1.2255,-16.4367,,
0.1919,69,0,162.5388,50.6738,715.1332,162.1296,86.0084,692.7750,-0.0350,0.0086,0.0032,0.9993,1886.0000,1845.0000,1835.0000,-1.2255,-16.4367,,
0.2040,69,0,166.2572,51.5165,711.4708,165.8481,86.8511,689.1126,-0.0352,0.0084,0.0028,0.9993,1886.0000,1845.0000,1835.0000,-1.2255,-16.4367,,
0.2162,69,0,166.2572,51.5165,711.4708,165.8481,86.8511,689.1126,-0.0352,0.0084,0.0028,0.9993,1886.0000,1845.0000,1835.0000,-1.2255,-16.4367,,
0.2249,69,0,170.2226,52.8380,715.2133,169.6255,88.1700,692.8551,-0.0349,0.0103,0.0023,0.9993,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.2362,69,0,170.2226,52.8380,715.2133,169.6255,88.1700,692.8551,-0.0349,0.0103,0.0023,0.9993,1886.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.2479,69,0,173.5116,53.9560,715.1348,172.7265,89.2843,692.7767,-0.0377,0.0100,0.0019,0.9992,1886.0000,1846.0000,1835.0000,-1.2192,-16.4403,,
0.2600,69,0,173.5116,53.9560,715.1348,172.7265,89.2843,692.7767,-0.0377,0.0100,0.0019,0.9992,1886.0000,1846.0000,1835.0000,-1.2192,-16.4403,,
0.2721,69,0,177.4299,55.8005,719.0779,177.2086,91.1368,696.7197,-0.0354,0.0123,0.0011,0.9993,1886.0000,1846.0000,1835.0000,-1.2192,-16.4403,,
0.2808,69,0,177.4299,55.8005,719.0779,177.2086,91.1368,696.7197,-0.0354,0.0123,0.0011,0.9993,1886.0000,1846.0000,1835.0000,-1.2192,-16.4403,,
0.2919,69,0,177.4299,55.8005,719.0779,177.2086,91.1368,696.7197,-0.0354,0.0123,0.0011,0.9993,1886.0000,1846.0000,1835.0000,-1.2192,-16.4403,,
0.3039,69,0,175.4616,56.2303,700.1612,175.0525,91.5649,677.8030,-0.0367,0.0162,0.0003,0.9992,1795.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.3159,69,0,175.4616,56.2303,700.1612,175.0525,91.5649,677.8030,-0.0367,0.0162,0.0003,0.9992,1795.0000,1846.0000,1835.0000,-1.2224,-16.4385,,
0.3279,69,0,184.0850,60.1351,707.6121,183.8561,95.4713,685.2539,-0.0337,0.0154,-0.0002,0.9993,1794.0000,1845.0000,1835.0000,-1.1010,-16.3661,,
0.3402,69,0,184.0850,60.1351,707.6121,183.8561,95.4713,685.2539,-0.0337,0.0154,-0.0002,0.9993,1793.0000,1845.0000,1835.0000,-1.0425,-16.3329,,
0.3490,69,0,188.1002,62.2928,707.5280,187.6910,97.6274,685.1699,-0.0352,0.0196,-0.0010,0.9992,1792.0000,1845.0000,1835.0000,-0.9635,-16.2882,,
0.3602,69,0,188.1002,62.2928,707.5280,187.6910,97.6274,685.1699,-0.0352,0.0196,-0.0010,0.9992,1791.0000,1845.0000,1835.0000,-0.9457,-16.2781,,
0.3722,69,0,188.1002,62.2928,707.5280,187.6910,97.6274,685.1699,-0.0352,0.0196,-0.0010,0.9992,1790.0000,1845.0000,1835.0000,-0.9457,-16.2781,,
0.3841,69,0,192.2571,64.6703,703.8669,191.8400,100.0048,681.5087,-0.0336,0.0214,-0.0016,0.9992,1789.0000,1846.0000,1835.0000,-0.9425,-16.2799,,
0.3959,69,0,192.2571,64.6703,703.8669,191.8400,100.0048,681.5087,-0.0336,0.0214,-0.0016,0.9992,1788.0000,1846.0000,1835.0000,-0.9425,-16.2799,,
0.4082,69,0,195.1514,67.9255,696.5014,195.1146,103.2625,674.1432,-0.0351,0.0221,-0.0029,0.9991,1740.0000,1846.0000,1835.0000,-0.9425,-16.2799,,
0.4171,69,0,195.1514,67.9255,696.5014,195.1146,103.2625,674.1432,-0.0351,0.0221,-0.0029,0.9991,1738.0000,1846.0000,1835.0000,-0.9400,-16.2784,,
0.4280,69,0,199.6867,71.6358,692.8797,199.6498,106.9727,670.5215,-0.0321,0.0214,-0.0038,0.9992,1689.0000,1846.0000,1835.0000,-0.9119,-16.2625,,
0.4402,69,0,199.6867,71.6358,692.8797,199.6498,106.9727,670.5215,-0.0321,0.0214,-0.0038,0.9992,1687.0000,1846.0000,1835.0000,-0.8017,-16.2036,,
