{HEADER}
user_id: 131
target_id: 111
target_screen_position_mm: [-104.04, -48.04]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 11.7377
endpoint_error_mm: [6.2262, -1.0615, 2.8213]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,111,0,31.7615,42.0837,524.5512,29.2219,77.3293,502.1931,-0.0307,0.0716,0.0414,0.9961,1880.0000,1840.0000,1839.0000,-1.8592,-9.2087,,
0.0138,111,0,33.8534,42.9624,524.9358,31.0907,78.1912,502.5776,-0.0268,0.0733,0.0401,0.9961,1880.0000,1840.0000,1839.0000,-1.8592,-9.2087,,
0.0225,111,0,33.8534,42.9624,524.9358,31.0907,78.1912,502.5776,-0.0268,0.0733,0.0401,0.9961,1880.0000,1840.0000,1839.0000,-1.8592,-9.2087,,
0.0312,111,0,37.5436,45.1284,522.5999,34.6912,80.3501,500.2417,-0.0292,0.0728,0.0413,0.9961,1875.0000,1839.0000,1839.0000,-1.8592,-9.2087,,
0.0417,111,0,37.5436,45.1284,522.5999,34.6912,80.3501,500.2417,-0.0292,0.0728,0.0413,0.9961,1874.0000,1839.0000,1839.0000,-1.8592,-9.2087,,
0.0537,111,0,37.5436,45.1284,522.5999,34.6912,80.3501,500.2417,-0.0292,0.0728,0.0413,0.9961,1873.0000,1839.0000,1839.0000,-1.8592,-9.2087,,
0.0656,111,0,36.2667,43.3088,518.5657,33.3306,78.5235,496.2075,-0.0267,0.0753,0.0408,0.9960,1856.0000,1836.0000,1839.0000,-1.8592,-9.2087,,
0.0743,111,0,36.2667,43.3088,518.5657,33.3306,78.5235,496.2075,-0.0267,0.0753,0.0408,0.9960,1855.0000,1836.0000,1839.0000,-1.8592,-9.2087,,
0.0857,111,0,38.3420,43.5510,512.5734,35.5163,78.7748,490.2153,-0.0285,0.0791,0.0410,0.9956,1826.0000,1830.0000,1839.0000,-1.8592,-9.2087,,
0.0978,111,0,38.3420,43.5510,512.5734,35.5163,78.7748,490.2153,-0.0285,0.0791,0.0410,0.9956,1823.0000,1831.0000,1839.0000,-1.8625,-9.2069,,
0.1096,111,0,40.8010,43.9437,514.4202,37.9690,79.1671,492.0621,-0.0276,0.0778,0.0414,0.9957,1821.0000,1831.0000,1839.0000,-1.8598,-9.2054,,
0.1217,111,0,40.8010,43.9437,514.4202,37.9690,79.1671,492.0621,-0.0276,0.0778,0.0414,0.9957,1819.0000,1831.0000,1839.0000,-1.8441,-9.1964,,
0.1307,111,0,40.8010,43.9437,514.4202,37.9690,79.1671,492.0621,-0.0276,0.0778,0.0414,0.9957,1817.0000,1831.0000,1839.0000,-1.8441,-9.1964,,
0.1417,111,0,42.3774,44.0269,514.3878,39.0917,79.2108,492.0296,-0.0271,0.0819,0.0424,0.9954,1816.0000,1832.0000,1839.0000,-1.8441,-9.1964,,
0.1538,111,0,42.3774,44.0269,514.3878,39.0917,79.2108,492.0296,-0.0271,0.0819,0.0424,0.9954,1814.0000,1832.0000,1839.0000,-1.8441,-9.1964,,
0.1657,111,0,44.2604,43.5119,508.6404,40.9135,78.6900,486.2823,-0.4756,0.5067,0.1032,0.7116,1791.0000,1830.0000,1839.0000,-1.8441,-9.1964,,
0.1777,111,0,44.2604,43.5119,508.6404,40.9135,78.6900,486.2823,-0.4756,0.5067,0.1032,0.7116,1790.0000,1831.0000,1839.0000,-1.8441,-9.1964,,
0.1897,111,0,46.2241,42.6813,512.5734,43.4572,77.9098,490.2153,-0.0271,0.0825,0.0423,0.9953,1788.0000,1832.0000,1839.0000,-1.8316,-9.1857,,
0.1986,111,0,46.2241,42.6813,512.5734,43.4572,77.9098,490.2153,-0.0271,0.0825,0.0423,0.9953,1787.0000,1833.0000,1839.0000,-1.8263,-9.1827,,
0.2098,111,0,46.2241,42.6813,512.5734,43.4572,77.9098,490.2153,-0.0271,0.0825,0.0423,0.9953,1786.0000,1834.0000,1839.0000,-1.8263,-9.1827,,
0.2218,111,0,45.9565,43.4903,504.8876,42.3787,78.6457,482.5294,-0.0284,0.0860,0.0439,0.9949,1762.0000,1834.0000,1839.0000,-1.8263,-9.1827,,
0.2337,111,0,45.9565,43.4903,504.8876,42.3787,78.6457,482.5294,-0.0284,0.0860,0.0439,0.9949,1762.0000,1835.0000,1839.0000,-1.8263,-9.1827,,
0.2459,111,0,48.3727,43.3462,504.8876,45.4662,78.5635,482.5294,-0.0271,0.0826,0.0437,0.9953,1761.0000,1835.0000,1839.0000,-1.8211,-9.1797,,
0.2555,111,0,48.3727,43.3462,504.8876,45.4662,78.5635,482.5294,-0.0271,0.0826,0.0437,0.9953,1760.0000,1836.0000,1839.0000,-1.8211,-9.1797,,
0.2657,111,0,48.3727,43.3462,504.8876,45.4662,78.5635,482.5294,-0.0271,0.0826,0.0437,0.9953,1759.0000,1837.0000,1839.0000,-1.8211,-9.1797,,
0.2779,111,0,47.8276,44.1443,502.8661,45.0260,79.3700,480.5079,-0.0273,0.0844,0.0431,0.9951,1745.0000,1838.0000,1839.0000,-1.8211,-9.1797,,
0.2897,111,0,47.8276,44.1443,502.8661,45.0260,79.3700,480.5079,-0.0273,0.0844,0.0431,0.9951,1744.0000,1839.0000,1839.0000,-1.8184,-9.1782,,
0.3018,111,0,48.3631,44.7404,503.1071,45.4425,79.9565,480.7489,-0.0273,0.0853,0.0441,0.9950,1744.0000,1839.0000,1839.0000,-1.8106,-9.1737,,
0.3142,111,0,48.3631,44.7404,503.1071,45.4425,79.9565,480.7489,-0.0273,0.0853,0.0441,0.9950,1743.0000,1839.0000,1839.0000,-1.7869,-9.1603,,
0.3228,111,0,47.9999,45.0293,497.4274,44.4876,80.1913,475.0693,-0.0238,0.0851,0.0428,0.9952,1708.0000,1839.0000,1839.0000,-1.7869,-9.1603,,
0.3337,111,0,47.9999,45.0293,497.4274,44.4876,80.1913,475.0693,-0.0238,0.0851,0.0428,0.9952,1708.0000,1839.0000,1839.0000,-1.7843,-9.1588,,
0.3466,111,0,47.9999,45.0293,497.4274,44.4876,80.1913,475.0693,-0.0238,0.0851,0.0428,0.9952,1707.0000,1839.0000,1839.0000,-1.7685,-9.1499,,
0.3578,111,0,47.4654,45.2108,495.9171,44.3850,80.4133,473.5590,-0.0234,0.0872,0.0426,0.9950,1698.0000,1838.0000,1839.0000,-1.7475,-9.1380,,
0.3697,111,0,47.4654,45.2108,495.9171,44.3850,80.4133,473.5590,-0.0234,0.0872,0.0426,0.9950,1697.0000,1838.0000,1839.0000,-1.7370,-9.1320,,
0.3817,111,0,47.6224,46.0485,499.3631,44.5225,81.2492,477.0049,-0.0248,0.0860,0.0423,0.9951,1697.0000,1838.0000,1839.0000,-1.7291,-9.1276,,
0.3904,111,0,47.6224,46.0485,499.3631,44.5225,81.2492,477.0049,-0.0248,0.0860,0.0423,0.9951,1697.0000,1838.0000,1839.0000,-1.7264,-9.1228,,
0.4016,111,0,47.0241,45.8702,501.1297,44.1249,81.0880,478.7715,-0.0253,0.0885,0.0414,0.9949,1697.0000,1837.0000,1839.0000,-1.7264,-9.1228,,
0.4142,111,0,47.0241,45.8702,501.1297,44.1249,81.0880,478.7715,-0.0253,0.0885,0.0414,0.9949,1697.0000,1837.0000,1839.0000,-1.7264,-9.1228,,
0.4258,111,0,47.0241,45.8702,501.1297,44.1249,81.0880,478.7715,-0.0253,0.0885,0.0414,0.9949,1697.0000,1837.0000,1839.0000,-1.7264,-9.1228,,
0.4375,111,0,46.7115,46.6705,501.2861,44.1123,81.9118,478.9280,-0.0281,0.0853,0.0407,0.9951,1697.0000,1836.0000,1839.0000,-1.7264,-9.1228,,
0.4475,111,0,46.7115,46.6705,501.2861,44.1123,81.9118,478.9280,-0.0281,0.0853,0.0407,0.9951,1696.0000,1836.0000,1839.0000,-1.7264,-9.1228,,
0.4588,111,0,46.7094,46.3930,499.1283,43.8427,81.6135,476.7701,-0.0272,0.0849,0.0413,0.9952,1696.0000,1836.0000,1839.0000,-1.7264,-9.1228,,
0.4695,111,0,46.7094,46.3930,499.1283,43.8427,81.6135,476.7701,-0.0272,0.0849,0.0413,0.9952,1696.0000,1836.0000,1839.0000,-1.7264,-9.1228,,
0.4818,111,0,46.3166,46.2490,497.1971,43.3976,81.4652,474.8390,-0.0263,0.0849,0.0418,0.9952,1696.0000,1835.0000,1839.0000,-1.7264,-9.1228,,
0.4935,111,0,46.3166,46.2490,497.1971,43.3976,81.4652,474.8390,-0.0263,0.0849,0.0418,0.9952,1697.0000,1835.0000,1839.0000,-1.7264,-9.1228,,
0.5054,111,0,46.3166,46.2490,497.1971,43.3976,81.4652,474.8390,-0.0263,0.0849,0.0418,0.9952,1697.0000,1834.0000,1839.0000,-1.7264,-9.1228,,
0.5149,111,0,46.1812,47.0615,499.1283,43.4666,82.2941,476.7701,-0.0264,0.0859,0.0413,0.9951,1697.0000,1834.0000,1839.0000,-1.7264,-9.1228,,
0.5257,111,0,46.1812,47.0615,499.1283,43.4666,82.2941,476.7701,-0.0264,0.0859,0.0413,0.9951,1697.0000,1834.0000,1839.0000,-1.7264,-9.1228,,
0.5378,111,0,45.3138,47.3757,497.3592,42.5576,82.6050,475.0010,-0.0227,0.0835,0.0411,0.9954,1697.0000,1833.0000,1839.0000,-1.7264,-9.1228,,
0.5497,111,0,45.3138,47.3757,497.3592,42.5576,82.6050,475.0010,-0.0227,0.0835,0.0411,0.9954,1697.0000,1833.0000,1839.0000,-1.7264,-9.1228,,
0.5617,111,0,45.4216,47.8273,499.1711,42.3413,83.0298,476.8129,-0.0246,0.0829,0.0415,0.9954,1697.0000,1832.0000,1839.0000,-1.7264,-9.1228,,
0.5735,111,0,45.4216,47.8273,499.1711,42.3413,83.0298,476.8129,-0.0246,0.0829,0.0415,0.9954,1698.0000,1831.0000,1839.0000,-1.7264,-9.1228,,
0.5823,111,0,45.4216,47.8273,499.1711,42.3413,83.0298,476.8129,-0.0246,0.0829,0.0415,0.9954,1698.0000,1831.0000,1839.0000,-1.7264,-9.1228,,
0.5938,111,0,44.7863,48.3396,501.2697,42.1284,83.5765,478.9115,-0.0251,0.0840,0.0412,0.9953,1698.0000,1830.0000,1839.0000,-1.7264,-9.1228,,
0.6056,111,0,44.7863,48.3396,501.2697,42.1284,83.5765,478.9115,-0.0251,0.0840,0.0412,0.9953,1698.0000,1830.0000,1839.0000,-1.7264,-9.1228,,
0.6178,111,0,44.3365,48.2095,499.1711,41.4176,83.4258,476.8129,-0.0236,0.0843,0.0408,0.9953,1698.0000,1829.0000,1839.0000,-1.7264,-9.1228,,
0.6296,111,0,44.3365,48.2095,499.1711,41.4176,83.4258,476.8129,-0.0236,0.0843,0.0408,0.9953,1699.0000,1828.0000,1839.0000,-1.7264,-9.1228,,
0.6389,111,0,44.3365,48.2095,499.1711,41.4176,83.4258,476.8129,-0.0236,0.0843,0.0408,0.9953,1699.0000,1828.0000,1839.0000,-1.7264,-9.1228,,
0.6498,111,0,44.5456,48.3666,501.1310,41.6213,83.5824,478.7728,-0.0250,0.0834,0.0408,0.9954,1699.0000,1827.0000,1839.0000,-1.7264,-9.1228,,
0.6616,111,0,44.5456,48.3666,501.1310,41.6213,83.5824,478.7728,-0.0250,0.0834,0.0408,0.9954,1699.0000,1827.0000,1839.0000,-1.7264,-9.1228,,
0.6741,111,0,44.1685,48.2391,501.1297,41.2170,83.4527,478.7715,-0.0236,0.0824,0.0408,0.9955,1699.0000,1827.0000,1839.0000,-1.7297,-9.1210,,
0.6858,111,0,44.1685,48.2391,501.1297,41.2170,83.4527,478.7715,-0.0236,0.0824,0.0408,0.9955,1699.0000,1826.0000,1839.0000,-1.7297,-9.1210,,
0.6978,111,0,43.5174,47.3280,497.1245,40.7675,82.5578,474.7663,-0.0249,0.0838,0.0407,0.9953,1700.0000,1826.0000,1839.0000,-1.7297,-9.1210,,
0.7065,111,0,43.5174,47.3280,497.1245,40.7675,82.5578,474.7663,-0.0249,0.0838,0.0407,0.9953,1700.0000,1826.0000,1839.0000,-1.7297,-9.1210,,
0.7176,111,0,43.5174,47.3280,497.1245,40.7675,82.5578,474.7663,-0.0249,0.0838,0.0407,0.9953,1701.0000,1826.0000,1839.0000,-1.7297,-9.1210,,
0.7296,111,0,43.3170,47.2282,495.2510,40.6650,82.4656,472.8928,-0.0276,0.0812,0.0416,0.9954,1697.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.7420,111,0,43.3170,47.2282,495.2510,40.6650,82.4656,472.8928,-0.0276,0.0812,0.0416,0.9954,1697.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.7537,111,0,43.7004,46.8646,501.0473,41.0861,82.1048,478.6891,-0.0271,0.0827,0.0408,0.9954,1697.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.7656,111,0,43.7004,46.8646,501.0473,41.0861,82.1048,478.6891,-0.0271,0.0827,0.0408,0.9954,1698.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.7746,111,0,43.4765,46.7253,501.1189,40.5920,81.9443,478.7607,-0.0251,0.0830,0.0401,0.9954,1698.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.7857,111,0,43.4765,46.7253,501.1189,40.5920,81.9443,478.7607,-0.0251,0.0830,0.0401,0.9954,1698.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.7978,111,0,43.4765,46.7253,501.1189,40.5920,81.9443,478.7607,-0.0251,0.0830,0.0401,0.9954,1698.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.8099,111,0,43.5719,46.7079,501.1189,40.6591,81.9246,478.7607,-0.0258,0.0825,0.0401,0.9954,1699.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.8217,111,0,43.5719,46.7079,501.1189,40.6591,81.9246,478.7607,-0.0258,0.0825,0.0401,0.9954,1699.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.8304,111,0,43.5132,46.9657,501.0926,41.0100,82.2139,478.7344,-0.0256,0.0835,0.0401,0.9954,1699.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.8419,111,0,43.5132,46.9657,501.0926,41.0100,82.2139,478.7344,-0.0256,0.0835,0.0401,0.9954,1699.0000,1825.0000,1839.0000,-1.7297,-9.1210,,
0.8537,111,0,43.5132,46.9657,501.0926,41.0100,82.2139,478.7344,-0.0256,0.0835,0.0401,0.9954,1699.0000,1826.0000,1839.0000,-1.7297,-9.1210,,
0.8658,111,0,43.4349,47.2091,501.2861,40.9365,82.4576,478.9280,-0.0254,0.0843,0.0403,0.9953,1698.0000,1826.0000,1839.0000,-1.7297,-9.1210,,
