{HEADER}
user_id: 131
target_id: 156
target_screen_position_mm: [135.88, -32.12]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 9.3959
endpoint_error_mm: [1.4613, 2.8888, 2.7442]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,156,0,247.8592,-7.7384,767.4609,248.0579,27.5980,745.1028,-0.0376,0.0284,-0.0150,0.9988,1884.0000,1844.0000,1832.0000,-1.2795,-17.4729,,
0.0123,156,0,247.8592,-7.7384,767.4609,248.0579,27.5980,745.1028,-0.0376,0.0284,-0.0150,0.9988,1884.0000,1844.0000,1832.0000,-1.2795,-17.4729,,
0.0244,156,0,248.8431,-7.8858,762.8594,249.4672,27.4457,740.5013,-0.0365,0.0298,-0.0144,0.9988,1822.0000,1844.0000,1832.0000,-1.2795,-17.4796,,
0.0362,156,0,248.8431,-7.8858,762.8594,249.4672,27.4457,740.5013,-0.0365,0.0298,-0.0144,0.9988,1822.0000,1844.0000,1832.0000,-1.2795,-17.4930,,
0.0479,156,0,250.1244,-7.5527,763.2584,250.3465,27.7836,740.9003,-0.0370,0.0277,-0.0138,0.9988,1822.0000,1844.0000,1832.0000,-1.2795,-17.4930,,
0.0565,156,0,250.1244,-7.5527,763.2584,250.3465,27.7836,740.9003,-0.0370,0.0277,-0.0138,0.9988,1822.0000,1844.0000,1832.0000,-1.2769,-17.4982,,
0.0683,156,0,250.1244,-7.5527,763.2584,250.3465,27.7836,740.9003,-0.0370,0.0277,-0.0138,0.9988,1822.0000,1844.0000,1832.0000,-1.2769,-17.5049,,
0.0799,156,0,250.2392,-7.1795,759.2010,251.2470,28.1431,736.8428,-0.0350,0.0310,-0.0135,0.9988,1772.0000,1844.0000,1832.0000,-1.2769,-17.5082,,
0.0920,156,0,250.2392,-7.1795,759.2010,251.2470,28.1431,736.8428,-0.0350,0.0310,-0.0135,0.9988,1772.0000,1844.0000,1832.0000,-1.2769,-17.5082,,
0.1040,156,0,253.6969,-5.4458,763.2584,253.0684,29.8856,740.9003,-0.0320,0.0308,-0.0142,0.9989,1772.0000,1844.0000,1832.0000,-1.2667,-17.5024,,
0.1127,156,0,253.6969,-5.4458,763.2584,253.0684,29.8856,740.9003,-0.0320,0.0308,-0.0142,0.9989,1771.0000,1844.0000,1832.0000,-1.2667,-17.5024,,
0.1240,156,0,252.8828,-3.8971,758.6152,253.5158,31.4342,736.2571,-0.0335,0.0282,-0.0152,0.9989,1763.0000,1844.0000,1832.0000,-1.2667,-17.5024,,
0.1368,156,0,252.8828,-3.8971,758.6152,253.5158,31.4342,736.2571,-0.0335,0.0282,-0.0152,0.9989,1763.0000,1844.0000,1832.0000,-1.2667,-17.5058,,
0.1480,156,0,252.8828,-3.8971,758.6152,253.5158,31.4342,736.2571,-0.0335,0.0282,-0.0152,0.9989,1762.0000,1844.0000,1832.0000,-1.2635,-17.5076,,
0.1600,156,0,251.5248,-2.7398,754.8027,252.1258,32.5921,732.4445,-0.0336,0.0311,-0.0156,0.9988,1709.0000,1844.0000,1832.0000,-1.2610,-17.5128,,
0.1720,156,0,251.5248,-2.7398,754.8027,252.1258,32.5921,732.4445,-0.0336,0.0311,-0.0156,0.9988,1709.0000,1844.0000,1832.0000,-1.2610,-17.5229,,
0.1808,156,0,250.3363,-1.6671,754.3224,251.1422,33.6607,731.9642,-0.0349,0.0330,-0.0155,0.9987,1702.0000,1844.0000,1832.0000,-1.2328,-17.5102,,
0.1918,156,0,250.3363,-1.6671,754.3224,251.1422,33.6607,731.9642,-0.0349,0.0330,-0.0155,0.9987,1702.0000,1844.0000,1832.0000,-1.1969,-17.4899,,
0.2040,156,0,252.3449,-1.1464,762.8594,252.9639,34.1852,740.5013,-0.0356,0.0351,-0.0167,0.9986,1702.0000,1844.0000,1832.0000,-1.1841,-17.4827,,
0.2160,156,0,252.3449,-1.1464,762.8594,252.9639,34.1852,740.5013,-0.0356,0.0351,-0.0167,0.9986,1702.0000,1844.0000,1832.0000,-1.1713,-17.4754,,
0.2282,156,0,250.1158,-0.8535,758.3297,251.0881,34.4701,735.9715,-0.0341,0.0297,-0.0176,0.9988,1702.0000,1844.0000,1832.0000,-1.1713,-17.4754,,
0.2400,156,0,250.1158,-0.8535,758.3297,251.0881,34.4701,735.9715,-0.0341,0.0297,-0.0176,0.9988,1702.0000,1844.0000,1832.0000,-1.1713,-17.4754,,
0.2487,156,0,250.1158,-0.8535,758.3297,251.0881,34.4701,735.9715,-0.0341,0.0297,-0.0176,0.9988,1702.0000,1844.0000,1832.0000,-1.1713,-17.4754,,
