{HEADER}
user_id: 131
target_id: 240
target_screen_position_mm: [40.08, 15.92]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 10.0363
endpoint_error_mm: [1.7493, 13.7489, 2.7970]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,240,0,206.0660,-71.6562,516.6638,204.8796,-36.3392,494.3057,-0.0561,0.0865,0.0013,0.9947,1871.0000,1845.0000,1835.0000,7.6166,-10.4619,,
0.0143,240,0,205.5718,-70.9656,514.8301,204.7612,-35.6379,492.4719,-0.0544,0.0870,0.0020,0.9947,1861.0000,1845.0000,1819.0000,7.6166,-10.4619,,
0.0232,240,0,205.5718,-70.9656,514.8301,204.7612,-35.6379,492.4719,-0.0544,0.0870,0.0020,0.9947,1855.0000,1845.0000,1822.0000,7.6166,-10.4619,,
0.0326,240,0,205.5718,-70.9656,514.8301,204.7612,-35.6379,492.4719,-0.0544,0.0870,0.0020,0.9947,1852.0000,1845.0000,1823.0000,7.6194,-10.4603,,
0.0436,240,0,208.2181,-70.8757,520.8504,207.5329,-35.5453,498.4922,-0.0531,0.0854,0.0011,0.9949,1849.0000,1845.0000,1824.0000,7.6194,-10.4636,,
0.0561,240,0,208.2181,-70.8757,520.8504,207.5329,-35.5453,498.4922,-0.0531,0.0854,0.0011,0.9949,1847.0000,1845.0000,1825.0000,7.6194,-10.4636,,
0.0680,240,0,206.4442,-68.2792,516.7888,205.8782,-32.9468,494.4306,-0.0514,0.0836,0.0002,0.9952,1845.0000,1845.0000,1826.0000,7.6226,-10.4654,,
0.0767,240,0,206.4442,-68.2792,516.7888,205.8782,-32.9468,494.4306,-0.0514,0.0836,0.0002,0.9952,1843.0000,1845.0000,1826.0000,7.6226,-10.4654,,
0.0877,240,0,206.4442,-68.2792,516.7888,205.8782,-32.9468,494.4306,-0.0514,0.0836,0.0002,0.9952,1842.0000,1845.0000,1827.0000,7.6222,-10.4620,,
0.1002,240,0,205.6357,-67.4657,514.8941,205.2399,-32.1309,492.5359,-0.0532,0.0872,0.0005,0.9948,1841.0000,1845.0000,1827.0000,7.6254,-10.4638,,
