{HEADER}
user_id: 131
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 8.5475
endpoint_error_mm: [-2.1575, 6.6955, 2.2383]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,204.0425,-131.7294,597.6212,203.6334,-96.3948,575.2630,-0.0723,0.0127,-0.0022,0.9973,1867.0000,1842.0000,1838.0000,7.6472,-5.7188,,
0.0121,275,0,206.6736,-130.5593,597.5724,206.1009,-95.2269,575.2143,-0.0728,0.0133,-0.0028,0.9973,1867.0000,1842.0000,1837.0000,7.6472,-5.7188,,
0.0241,275,0,206.6736,-130.5593,597.5724,206.1009,-95.2269,575.2143,-0.0728,0.0133,-0.0028,0.9973,1867.0000,1842.0000,1837.0000,7.6472,-5.7188,,
0.0357,275,0,211.0028,-130.1819,600.2626,210.7686,-94.8457,577.9045,-0.0709,0.0153,-0.0033,0.9974,1867.0000,1842.0000,1838.0000,7.6472,-5.7188,,
0.0445,275,0,211.0028,-130.1819,600.2626,210.7686,-94.8457,577.9045,-0.0709,0.0153,-0.0033,0.9974,1867.0000,1842.0000,1838.0000,7.6472,-5.7188,,
0.0558,275,0,212.4593,-128.4706,597.6191,212.2200,-93.1344,575.2610,-0.0693,0.0166,-0.0041,0.9975,1867.0000,1842.0000,1838.0000,7.6472,-5.7188,,
0.0678,275,0,212.4593,-128.4706,597.6191,212.2200,-93.1344,575.2610,-0.0693,0.0166,-0.0041,0.9975,1867.0000,1842.0000,1838.0000,7.6472,-5.7188,,
0.0798,275,0,212.4593,-128.4706,597.6191,212.2200,-93.1344,575.2610,-0.0693,0.0166,-0.0041,0.9975,1867.0000,1842.0000,1838.0000,7.6472,-5.7188,,
0.0917,275,0,214.1641,-126.3838,597.7127,214.2552,-91.0469,575.3546,-0.0701,0.0177,-0.0049,0.9974,1867.0000,1842.0000,1838.0000,7.6472,-5.7188,,
0.1005,275,0,214.1641,-126.3838,597.7127,214.2552,-91.0469,575.3546,-0.0701,0.0177,-0.0049,0.9974,1867.0000,1842.0000,1838.0000,7.6472,-5.7188,,
0.1117,275,0,215.3033,-121.8910,592.3515,215.3730,-86.5541,569.9933,-0.0701,0.0190,-0.0066,0.9973,1797.0000,1842.0000,1778.0000,7.6472,-5.7188,,
0.1238,275,0,215.3033,-121.8910,592.3515,215.3730,-86.5541,569.9933,-0.0701,0.0190,-0.0066,0.9973,1793.0000,1842.0000,1780.0000,7.6505,-5.7207,,
0.1356,275,0,215.3033,-121.8910,592.3515,215.3730,-86.5541,569.9933,-0.0701,0.0190,-0.0066,0.9973,1790.0000,1842.0000,1781.0000,7.6561,-5.7629,,
