{HEADER}
user_id: 131
target_id: 286
target_screen_position_mm: [-183.92, 48.04]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 7.9473
endpoint_error_mm: [6.7843, 10.5619, -0.1424]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,286,0,-187.8035,-35.1437,628.4050,-188.3824,0.1886,606.0468,-0.0188,-0.0117,0.0026,0.9998,1874.0000,1843.0000,1839.0000,4.0420,-8.4482,,
0.0091,286,0,-183.0040,-33.0086,614.0350,-183.4132,2.3260,591.6768,-0.0198,-0.0156,0.0033,0.9997,1874.0000,1676.0000,1839.0000,4.0420,-8.4482,,
0.0204,286,0,-183.0040,-33.0086,614.0350,-183.4132,2.3260,591.6768,-0.0198,-0.0156,0.0033,0.9997,1874.0000,1671.0000,1839.0000,4.0420,-8.4482,,
0.0315,286,0,-183.0040,-33.0086,614.0350,-183.4132,2.3260,591.6768,-0.0198,-0.0156,0.0033,0.9997,1874.0000,1667.0000,1839.0000,3.7913,-8.3061,,
0.0433,286,0,-187.1414,-31.4657,628.4050,-187.8936,3.8633,606.0468,-0.0148,-0.0129,0.0039,0.9998,1874.0000,1664.0000,1839.0000,3.6314,-8.2216,,
0.0553,286,0,-187.1414,-31.4657,628.4050,-187.8936,3.8633,606.0468,-0.0148,-0.0129,0.0039,0.9998,1874.0000,1660.0000,1839.0000,3.3446,-8.0992,,
0.0676,286,0,-186.6168,-29.0861,628.1845,-187.3530,6.2432,605.8264,-0.0156,-0.0119,0.0049,0.9998,1874.0000,1657.0000,1839.0000,3.3046,-8.0890,,
0.0761,286,0,-186.6168,-29.0861,628.1845,-187.3530,6.2432,605.8264,-0.0156,-0.0119,0.0049,0.9998,1874.0000,1654.0000,1839.0000,3.2761,-8.0759,,
0.0874,286,0,-183.8546,-28.2426,624.8126,-184.6002,7.0865,602.4544,-0.0198,-0.0092,0.0031,0.9998,1874.0000,1652.0000,1839.0000,3.2761,-8.0759,,
0.0994,286,0,-183.8546,-28.2426,624.8126,-184.6002,7.0865,602.4544,-0.0198,-0.0092,0.0031,0.9998,1874.0000,1651.0000,1839.0000,3.2729,-8.0740,,
