{HEADER}
user_id: 131
target_id: 288
target_screen_position_mm: [-152.07, 48.04]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 6.8980
endpoint_error_mm: [1.4329, 2.8549, 1.9231]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,288,0,-156.0202,-838.7803,528.9789,-150.6148,-803.8592,506.6207,-0.3987,-0.1455,-0.0016,0.9055,1858.0000,1836.0000,1841.0000,9.7875,2.3605,,
0.0111,288,0,-180.5470,-854.2167,527.4392,-175.1416,-819.2956,505.0811,-0.3936,-0.1363,-0.0038,0.9091,1858.0000,1836.0000,1647.0000,9.7875,2.3605,,
0.0226,288,0,-180.5470,-854.2167,527.4392,-175.1416,-819.2956,505.0811,-0.3936,-0.1363,-0.0038,0.9091,1858.0000,1836.0000,1634.0000,9.7875,2.3605,,
0.0316,288,0,-129.3248,-809.9465,529.0944,-123.2152,-775.1417,506.7362,-0.3779,0.0291,-0.0802,0.9219,1858.0000,1836.0000,1624.0000,9.7875,2.2997,,
0.0426,288,0,-129.3248,-809.9465,529.0944,-123.2152,-775.1417,506.7362,-0.3779,0.0291,-0.0802,0.9219,1858.0000,1836.0000,1617.0000,9.7845,2.1634,,
0.0549,288,0,-158.9967,-838.4183,530.0672,-153.5913,-803.4971,507.7090,-0.3824,-0.1441,-0.0000,0.9127,1858.0000,1836.0000,1610.0000,9.7756,2.1263,,
0.0667,288,0,-158.9967,-838.4183,530.0672,-153.5913,-803.4971,507.7090,-0.3824,-0.1441,-0.0000,0.9127,1858.0000,1836.0000,1604.0000,9.7756,2.1263,,
0.0785,288,0,-83.7152,-770.9309,526.6851,-77.7343,-736.1038,504.3270,-0.3882,-0.1499,-0.0024,0.9093,1858.0000,1836.0000,1481.0000,9.7756,2.1263,,
0.0908,288,0,-83.7152,-770.9309,526.6851,-77.7343,-736.1038,504.3270,-0.3882,-0.1499,-0.0024,0.9093,1858.0000,1836.0000,1479.0000,9.7756,2.1167,,
0.0996,288,0,-163.8763,-835.6099,534.1356,-158.4709,-800.6887,511.7774,-0.3839,-0.1371,-0.0051,0.9131,1858.0000,1836.0000,1477.0000,9.7756,1.8761,,
0.1105,288,0,-163.8763,-835.6099,534.1356,-158.4709,-800.6887,511.7774,-0.3839,-0.1371,-0.0051,0.9131,1858.0000,1836.0000,1472.0000,9.7756,1.6769,,
0.1228,288,0,-123.8886,-790.0444,531.6694,-117.9078,-755.2172,509.3112,-0.3831,-0.1017,-0.0230,0.9178,1858.0000,1836.0000,1467.0000,9.7729,1.1628,,
0.1345,288,0,-123.8886,-790.0444,531.6694,-117.9078,-755.2172,509.3112,-0.3831,-0.1017,-0.0230,0.9178,1858.0000,1836.0000,1466.0000,9.7699,1.0449,,
0.1466,288,0,-118.6325,-792.5356,535.8315,-112.5229,-757.7308,513.4733,-0.3787,-0.1321,-0.0111,0.9160,1858.0000,1836.0000,1466.0000,9.7699,1.0288,,
0.1586,288,0,-118.6325,-792.5356,535.8315,-112.5229,-757.7308,513.4733,-0.3787,-0.1321,-0.0111,0.9160,1858.0000,1836.0000,1466.0000,9.7699,1.0288,,
0.1676,288,0,-135.7064,-801.5469,551.1669,-130.3010,-766.6257,528.8088,-0.3838,-0.1319,-0.0143,0.9138,1858.0000,1836.0000,1466.0000,9.7699,1.0288,,
0.1785,288,0,-135.7064,-801.5469,551.1669,-130.3010,-766.6257,528.8088,-0.3838,-0.1319,-0.0143,0.9138,1858.0000,1836.0000,1465.0000,9.7699,1.0288,,
0.1906,288,0,-127.1800,-672.7295,476.3448,-121.8636,-637.7947,453.9867,-0.3756,-0.0831,-0.0408,0.9221,1858.0000,1836.0000,491.0000,9.7699,1.0288,,
0.2025,288,0,-127.1800,-672.7295,476.3448,-121.8636,-637.7947,453.9867,-0.3756,-0.0831,-0.0408,0.9221,1858.0000,1836.0000,491.0000,9.7699,1.0288,,
0.2145,288,0,-126.0981,-672.5707,479.5216,-120.4308,-637.6911,457.1634,-0.3798,-0.0811,-0.0431,0.9205,1858.0000,1836.0000,476.0000,9.7699,-0.3854,,
0.2235,288,0,-126.0981,-672.5707,479.5216,-120.4308,-637.6911,457.1634,-0.3798,-0.0811,-0.0431,0.9205,1858.0000,1836.0000,466.0000,9.7643,-1.4220,,
0.2346,288,0,-127.1138,-669.1296,483.0358,-121.8617,-634.1851,460.6777,-0.3668,-0.0796,-0.0437,0.9258,1858.0000,1837.0000,444.0000,9.8054,-3.6918,,
0.2463,288,0,-127.1138,-669.1296,483.0358,-121.8617,-634.1851,460.6777,-0.3668,-0.0796,-0.0437,0.9258,1858.0000,1837.0000,430.0000,9.8208,-5.3655,,
0.2585,288,0,-127.3688,-668.7546,488.3596,-121.6389,-633.8853,466.0015,-0.3681,-0.0723,-0.0466,0.9258,1858.0000,1837.0000,426.0000,9.6755,-5.9357,,
0.2709,288,0,-127.3688,-668.7546,488.3596,-121.6389,-633.8853,466.0015,-0.3681,-0.0723,-0.0466,0.9258,1859.0000,1837.0000,425.0000,9.4974,-6.0467,,
0.3028,288,0,-143.1153,-584.5356,580.9415,-137.8944,-549.5865,558.5833,-0.3124,-0.0012,-0.0620,0.9479,1859.0000,1837.0000,439.0000,9.2485,-4.8480,,
0.3150,288,0,-143.1153,-584.5356,580.9415,-137.8944,-549.5865,558.5833,-0.3124,-0.0012,-0.0620,0.9479,1859.0000,1837.0000,450.0000,9.2515,-3.7027,,
