{HEADER}
user_id: 131
target_id: 370
target_screen_position_mm: [-136.15, 96.08]
fingertip_offset: [0.90, 35.33, 22.36]
completion_time: 7.6451
endpoint_error_mm: [-4.2117, 7.5898, 0.4717]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.678383, 6.670874, 10.304529, 11.656583]
control_points_accel: [0.191640, 3.827885, -1.785516, -2.234009]
stiffness_measurements: [0.155969, 0.132823, 0.139843, 0.371055]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,370,0,105.8906,-139.2489,654.8513,106.2097,-103.9134,632.4932,-0.0533,0.0712,-0.0058,0.9960,1858.0000,1842.0000,1833.0000,8.8984,-8.5126,,
0.0113,370,0,105.8906,-139.2489,654.8513,106.2097,-103.9134,632.4932,-0.0533,0.0712,-0.0058,0.9960,1858.0000,1842.0000,1832.0000,8.8726,-8.4980,,
0.0234,370,0,105.7606,-140.0215,654.9860,105.8835,-104.6847,632.6279,-0.0534,0.0783,-0.0060,0.9955,1859.0000,1842.0000,1831.0000,8.8047,-8.4562,,
0.0358,370,0,105.7606,-140.0215,654.9860,105.8835,-104.6847,632.6279,-0.0534,0.0783,-0.0060,0.9955,1860.0000,1842.0000,1831.0000,8.6722,-8.3811,,
0.0469,370,0,105.7606,-140.0215,654.9860,105.8835,-104.6847,632.6279,-0.0534,0.0783,-0.0060,0.9955,1860.0000,1842.0000,1830.0000,8.6689,-8.3793,,
0.0554,370,0,105.8995,-140.8283,651.6912,105.6941,-105.4919,629.3330,-0.0548,0.0740,-0.0058,0.9957,1826.0000,1842.0000,1802.0000,8.6689,-8.3759,,
0.0668,370,0,105.8995,-140.8283,651.6912,105.6941,-105.4919,629.3330,-0.0548,0.0740,-0.0058,0.9957,1829.0000,1842.0000,1799.0000,8.6689,-8.3759,,
0.0788,370,0,108.2208,-145.0188,661.2049,108.3884,-109.6822,638.8467,-0.0577,0.0760,-0.0066,0.9954,1832.0000,1842.0000,1796.0000,8.6657,-8.3807,,
0.0908,370,0,108.2208,-145.0188,661.2049,108.3884,-109.6822,638.8467,-0.0577,0.0760,-0.0066,0.9954,1835.0000,1842.0000,1793.0000,8.6528,-8.3701,,
0.1030,370,0,108.8734,-145.4746,658.2874,108.9982,-110.1379,635.9293,-0.0575,0.0747,-0.0069,0.9955,1837.0000,1842.0000,1791.0000,8.6398,-8.3661,,
0.1148,370,0,108.8734,-145.4746,658.2874,108.9982,-110.1379,635.9293,-0.0575,0.0747,-0.0069,0.9955,1839.0000,1842.0000,1789.0000,8.6237,-8.3569,,
0.1236,370,0,108.8734,-145.4746,658.2874,108.9982,-110.1379,635.9293,-0.0575,0.0747,-0.0069,0.9955,1840.0000,1842.0000,1788.0000,8.6204,-8.3551,,
0.1349,370,0,109.1659,-144.7371,654.7899,109.2949,-109.4004,632.4318,-0.0544,0.0779,-0.0086,0.9954,1841.0000,1842.0000,1786.0000,8.6204,-8.3551,,
0.1468,370,0,109.1659,-144.7371,654.7899,109.2949,-109.4004,632.4318,-0.0544,0.0779,-0.0086,0.9954,1842.0000,1842.0000,1785.0000,8.6042,-8.3459,,
0.1589,370,0,110.2275,-143.1815,648.1528,107.2447,-107.9707,625.7947,0.3266,0.2659,-0.0150,0.9068,1821.0000,1841.0000,1736.0000,8.5881,-8.3367,,
0.1711,370,0,110.2275,-143.1815,648.1528,107.2447,-107.9707,625.7947,0.3266,0.2659,-0.0150,0.9068,1822.0000,1841.0000,1735.0000,8.5557,-8.3184,,
