{HEADER}
user_id: 435
target_id: 299
target_screen_position_mm: [23.88, 48.04]
fingertip_offset: [0, 0, 0]
completion_time: 1.7278
endpoint_error_mm: [-101.6665, 76.0242, 1018.4000]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: []
control_points_radius: []
control_points_accel: []
stiffness_measurements: []
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0121,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0211,299,0,-95.8469,71.5900,995.4641,-95.8469,71.5900,995.4641,-0.0032,-0.0311,0.0116,0.9994,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0320,299,0,-95.8469,71.5900,995.4641,-95.8469,71.5900,995.4641,-0.0032,-0.0311,0.0116,0.9994,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0434,299,0,-96.0244,71.6590,994.8053,-96.0244,71.6590,994.8053,-0.0062,-0.0284,0.0118,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0554,299,0,-96.0244,71.6590,994.8053,-96.0244,71.6590,994.8053,-0.0062,-0.0284,0.0118,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0679,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0798,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0898,299,0,-94.9187,71.0880,988.2631,-94.9187,71.0880,988.2631,-0.0044,-0.0318,0.0115,0.9994,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.0995,299,0,-94.9187,71.0880,988.2631,-94.9187,71.0880,988.2631,-0.0044,-0.0318,0.0115,0.9994,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.1115,299,0,-95.8080,71.7813,995.2411,-95.8080,71.7813,995.2411,-0.0067,-0.0294,0.0119,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.1234,299,0,-95.8080,71.7813,995.2411,-95.8080,71.7813,995.2411,-0.0067,-0.0294,0.0119,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.1357,299,0,-96.1068,71.7480,995.4641,-96.1068,71.7480,995.4641,-0.0043,-0.0304,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.1476,299,0,-96.1068,71.7480,995.4641,-96.1068,71.7480,995.4641,-0.0043,-0.0304,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.1564,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.1685,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.1803,299,0,-94.5482,70.6526,981.1594,-94.5482,70.6526,981.1594,-0.0051,-0.0297,0.0116,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.1915,299,0,-94.5482,70.6526,981.1594,-94.5482,70.6526,981.1594,-0.0051,-0.0297,0.0116,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2035,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2121,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2240,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2358,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2476,299,0,-96.0495,71.8593,995.4641,-96.0495,71.8593,995.4641,-0.0039,-0.0304,0.0116,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2597,299,0,-96.0495,71.8593,995.4641,-96.0495,71.8593,995.4641,-0.0039,-0.0304,0.0116,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2717,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2811,299,0,-95.9479,71.7252,995.4641,-95.9479,71.7252,995.4641,-0.0039,-0.0307,0.0117,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.2930,299,0,-96.6702,72.2854,1002.5445,-96.6702,72.2854,1002.5445,-0.0059,-0.0292,0.0119,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
0.3035,299,0,-96.6702,72.2854,1002.5445,-96.6702,72.2854,1002.5445,-0.0059,-0.0292,0.0119,0.9995,2028.0000,2027.0000,2028.0000,-27.8217,-5.7468,,
